EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station CAEN-CARPIQUET, FRANCE (STAID: 738)
Blended and updated with sources:4045 907027 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
   738,  4045,19451001,  114,    0
   738,  4045,19451002,  129,    0
   738,  4045,19451003,  116,    0
   738,  4045,19451004,  134,    0
   738,  4045,19451005,  108,    0
   738,  4045,19451006,  108,    0
   738,  4045,19451007,  130,    0
   738,  4045,19451008,   99,    0
   738,  4045,19451009,   99,    0
   738,  4045,19451010,  142,    0
   738,  4045,19451011,  175,    0
   738,  4045,19451012,  158,    0
   738,  4045,19451013,  128,    0
   738,  4045,19451014,  155,    0
   738,  4045,19451015,  112,    0
   738,  4045,19451016,  117,    0
   738,  4045,19451017,  127,    0
   738,  4045,19451018,  111,    0
   738,  4045,19451019,  116,    0
   738,  4045,19451020,  144,    0
   738,  4045,19451021,  154,    0
   738,  4045,19451022,  170,    0
   738,  4045,19451023,  151,    0
   738,  4045,19451024,  140,    0
   738,  4045,19451025,  122,    0
   738,  4045,19451026,  121,    0
   738,  4045,19451027,  121,    0
   738,  4045,19451028,  118,    0
   738,  4045,19451029,  114,    0
   738,  4045,19451030,   95,    0
   738,  4045,19451031,   92,    0
   738,  4045,19451101,   93,    0
   738,  4045,19451102,  130,    0
   738,  4045,19451103,  108,    0
   738,  4045,19451104,  122,    0
   738,  4045,19451105,  104,    0
   738,  4045,19451106,   97,    0
   738,  4045,19451107,   92,    0
   738,  4045,19451108,  106,    0
   738,  4045,19451109,  118,    0
   738,  4045,19451110,   92,    0
   738,  4045,19451111,   52,    0
   738,  4045,19451112,   82,    0
   738,  4045,19451113,   72,    0
   738,  4045,19451114,   58,    0
   738,  4045,19451115,   15,    0
   738,  4045,19451116,   34,    0
   738,  4045,19451117,   72,    0
   738,  4045,19451118,   72,    0
   738,  4045,19451119,   64,    0
   738,  4045,19451120,   81,    0
   738,  4045,19451121,  105,    0
   738,  4045,19451122,   94,    0
   738,  4045,19451123,   60,    0
   738,  4045,19451124,   58,    0
   738,  4045,19451125,   46,    0
   738,  4045,19451126,   32,    0
   738,  4045,19451127,   66,    0
   738,  4045,19451128,   49,    0
   738,  4045,19451129,   64,    0
   738,  4045,19451130,   19,    0
   738,  4045,19451201,   71,    0
   738,  4045,19451202,  111,    0
   738,  4045,19451203,   68,    0
   738,  4045,19451204,   45,    0
   738,  4045,19451205,   81,    0
   738,  4045,19451206,   58,    0
   738,  4045,19451207,   24,    0
   738,  4045,19451208,   11,    0
   738,  4045,19451209,  -30,    0
   738,  4045,19451210,   -8,    0
   738,  4045,19451211,   35,    0
   738,  4045,19451212,   69,    0
   738,  4045,19451213,   66,    0
   738,  4045,19451214,   78,    0
   738,  4045,19451215,   62,    0
   738,  4045,19451216,   98,    0
   738,  4045,19451217,   86,    0
   738,  4045,19451218,   95,    0
   738,  4045,19451219,  105,    0
   738,  4045,19451220,   64,    0
   738,  4045,19451221,   46,    0
   738,  4045,19451222,   68,    0
   738,  4045,19451223,   79,    0
   738,  4045,19451224,   97,    0
   738,  4045,19451225,   62,    0
   738,  4045,19451226,   75,    0
   738,  4045,19451227,  104,    0
   738,  4045,19451228,  122,    0
   738,  4045,19451229,   66,    0
   738,  4045,19451230,   68,    0
   738,  4045,19451231,   16,    0
   738,  4045,19460101,    0,    0
   738,  4045,19460102,  -25,    0
   738,  4045,19460103,  -36,    0
   738,  4045,19460104,  -29,    0
   738,  4045,19460105,    2,    0
   738,  4045,19460106,    7,    0
   738,  4045,19460107,  -11,    0
   738,  4045,19460108,   17,    0
   738,  4045,19460109,   77,    0
   738,  4045,19460110,  114,    0
   738,  4045,19460111,  136,    0
   738,  4045,19460112,   92,    0
   738,  4045,19460113,   64,    0
   738,  4045,19460114,    9,    0
   738,  4045,19460115,  -17,    0
   738,  4045,19460116,  -11,    0
   738,  4045,19460117,  -48,    0
   738,  4045,19460118,  -44,    0
   738,  4045,19460119,  -14,    0
   738,  4045,19460120,   14,    0
   738,  4045,19460121,   28,    0
   738,  4045,19460122,  -31,    0
   738,  4045,19460123,    0,    0
   738,  4045,19460124,   27,    0
   738,  4045,19460125,    8,    0
   738,  4045,19460126,   11,    0
   738,  4045,19460127,    0,    0
   738,  4045,19460128,   40,    0
   738,  4045,19460129,   80,    0
   738,  4045,19460130,   60,    0
   738,  4045,19460131,   54,    0
   738,  4045,19460201,  104,    0
   738,  4045,19460202,   78,    0
   738,  4045,19460203,  103,    0
   738,  4045,19460204,   96,    0
   738,  4045,19460205,   88,    0
   738,  4045,19460206,   92,    0
   738,  4045,19460207,  114,    0
   738,  4045,19460208,  115,    0
   738,  4045,19460209,   73,    0
   738,  4045,19460210,   66,    0
   738,  4045,19460211,   75,    0
   738,  4045,19460212,   85,    0
   738,  4045,19460213,   74,    0
   738,  4045,19460214,   78,    0
   738,  4045,19460215,   65,    0
   738,  4045,19460216,   82,    0
   738,  4045,19460217,   84,    0
   738,  4045,19460218,   70,    0
   738,  4045,19460219,   97,    0
   738,  4045,19460220,   75,    0
   738,  4045,19460221,   46,    0
   738,  4045,19460222,   31,    0
   738,  4045,19460223,   50,    0
   738,  4045,19460224,   40,    0
   738,  4045,19460225,   53,    0
   738,  4045,19460226,   91,    0
   738,  4045,19460227,   40,    0
   738,  4045,19460228,   12,    0
   738,  4045,19460301,   30,    0
   738,  4045,19460302,   19,    0
   738,  4045,19460303,   21,    0
   738,  4045,19460304,   24,    0
   738,  4045,19460305,   28,    0
   738,  4045,19460306,   24,    0
   738,  4045,19460307,    5,    0
   738,  4045,19460308,   -3,    0
   738,  4045,19460309,   14,    0
   738,  4045,19460310,   26,    0
   738,  4045,19460311,   48,    0
   738,  4045,19460312,   61,    0
   738,  4045,19460313,   78,    0
   738,  4045,19460314,   58,    0
