EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station MITILINI, GREECE (STAID: 837)
Blended and updated with sources:55851 916667 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
   837,916667,19980101,   95,    0
   837, 55851,19980102,   97,    0
   837, 55851,19980103,  114,    0
   837, 55851,19980104,  125,    0
   837, 55851,19980105,  132,    0
   837, 55851,19980106,  144,    0
   837, 55851,19980107,  137,    0
   837, 55851,19980108,   83,    0
   837, 55851,19980109,   90,    0
   837, 55851,19980110,  102,    0
   837, 55851,19980111,   68,    0
   837, 55851,19980112,   58,    0
   837, 55851,19980113,   77,    0
   837, 55851,19980114,  107,    0
   837, 55851,19980115,  150,    0
   837, 55851,19980116,  117,    0
   837, 55851,19980117,  110,    0
   837, 55851,19980118,  119,    0
   837, 55851,19980119,   98,    0
   837, 55851,19980120,  123,    0
   837, 55851,19980121,  139,    0
   837, 55851,19980122,  104,    0
   837, 55851,19980123,  102,    0
   837, 55851,19980124,   83,    0
   837, 55851,19980125,   57,    0
   837, 55851,19980126,   58,    0
   837, 55851,19980127,   79,    0
   837, 55851,19980128,   71,    0
   837, 55851,19980129,   64,    0
   837, 55851,19980130,   70,    0
   837, 55851,19980131,   73,    0
   837, 55851,19980201,  105,    0
   837, 55851,19980202,  116,    0
   837, 55851,19980203,  120,    0
   837, 55851,19980204,  157,    0
   837, 55851,19980205,  136,    0
   837, 55851,19980206,   79,    0
   837, 55851,19980207,   79,    0
   837, 55851,19980208,   81,    0
   837, 55851,19980209,   76,    0
   837, 55851,19980210,   77,    0
   837, 55851,19980211,   95,    0
   837, 55851,19980212,   88,    0
   837, 55851,19980213,  113,    0
   837, 55851,19980214,  120,    0
   837, 55851,19980215,   78,    0
   837, 55851,19980216,  103,    0
   837, 55851,19980217,  148,    0
   837, 55851,19980218,   77,    0
   837, 55851,19980219,   81,    0
   837, 55851,19980220,   85,    0
   837, 55851,19980221,  107,    0
   837, 55851,19980222,  114,    0
   837, 55851,19980223,  125,    0
   837, 55851,19980224,  115,    0
   837, 55851,19980225,  127,    0
   837, 55851,19980226,  104,    0
   837, 55851,19980227,   96,    0
   837, 55851,19980228,   88,    0
   837, 55851,19980301,  139,    0
   837, 55851,19980302,  137,    0
   837, 55851,19980303,  123,    0
   837, 55851,19980304,  117,    0
   837, 55851,19980305,  153,    0
   837, 55851,19980306,  130,    0
   837, 55851,19980307,  110,    0
   837, 55851,19980308,  148,    0
   837, 55851,19980309,  159,    0
   837, 55851,19980310,  168,    0
   837, 55851,19980311,   92,    0
   837, 55851,19980312,   77,    0
   837, 55851,19980313,   90,    0
   837, 55851,19980314,  106,    0
   837, 55851,19980315,  102,    0
   837, 55851,19980316,   65,    0
   837, 55851,19980317,   66,    0
   837, 55851,19980318,   65,    0
   837, 55851,19980319,   74,    0
   837, 55851,19980320,   93,    0
   837, 55851,19980321,   72,    0
   837, 55851,19980322,   57,    0
   837, 55851,19980323,   54,    0
   837, 55851,19980324,   57,    0
   837, 55851,19980325,   97,    0
   837, 55851,19980326,   79,    0
   837, 55851,19980327,   88,    0
   837, 55851,19980328,   86,    0
   837, 55851,19980329,   90,    0
   837, 55851,19980330,   88,    0
   837, 55851,19980331,  113,    0
   837, 55851,19980401,  119,    0
   837, 55851,19980402,  143,    0
   837, 55851,19980403,  144,    0
   837, 55851,19980404,  153,    0
   837, 55851,19980405,  190,    0
   837, 55851,19980406,  179,    0
   837, 55851,19980407,  180,    0
   837, 55851,19980408,  196,    0
   837, 55851,19980409,  231,    0
   837, 55851,19980410,  234,    0
   837, 55851,19980411,  241,    0
   837, 55851,19980412,  252,    0
   837, 55851,19980413,  209,    0
   837, 55851,19980414,  178,    0
   837, 55851,19980415,  176,    0
   837, 55851,19980416,  177,    0
   837, 55851,19980417,  183,    0
   837, 55851,19980418,  194,    0
   837, 55851,19980419,  185,    0
   837, 55851,19980420,  168,    0
   837, 55851,19980421,  144,    0
   837, 55851,19980422,  156,    0
   837, 55851,19980423,  160,    0
   837, 55851,19980424,  159,    0
   837, 55851,19980425,  131,    0
   837, 55851,19980426,  132,    0
   837, 55851,19980427,  156,    0
   837, 55851,19980428,  160,    0
   837, 55851,19980429,  176,    0
   837, 55851,19980430,  184,    0
   837, 55851,19980501,  174,    0
   837, 55851,19980502,  193,    0
   837, 55851,19980503,  209,    0
   837, 55851,19980504,  235,    0
   837, 55851,19980505,  209,    0
   837, 55851,19980506,  194,    0
   837, 55851,19980507,  198,    0
   837, 55851,19980508,  191,    0
   837, 55851,19980509,  168,    0
   837, 55851,19980510,  187,    0
   837, 55851,19980511,  185,    0
   837, 55851,19980512,  162,    0
   837, 55851,19980513,  171,    0
   837, 55851,19980514,  198,    0
   837, 55851,19980515,  182,    0
   837, 55851,19980516,  193,    0
   837, 55851,19980517,  181,    0
   837, 55851,19980518,  182,    0
   837, 55851,19980519,  162,    0
   837, 55851,19980520,  189,    0
   837, 55851,19980521,  203,    0
   837, 55851,19980522,  213,    0
   837, 55851,19980523,  198,    0
   837, 55851,19980524,  198,    0
   837, 55851,19980525,  231,    0
   837, 55851,19980526,  218,    0
   837, 55851,19980527,  226,    0
   837, 55851,19980528,  223,    0
   837, 55851,19980529,  230,    0
   837, 55851,19980530,  214,    0
   837, 55851,19980531,  238,    0
   837, 55851,19980601,  244,    0
   837, 55851,19980602,  245,    0
   837, 55851,19980603,  251,    0
   837, 55851,19980604,  244,    0
   837, 55851,19980605,  250,    0
   837, 55851,19980606,  248,    0
   837, 55851,19980607,  261,    0
   837, 55851,19980608,  248,    0
   837, 55851,19980609,  236,    0
   837, 55851,19980610,  263,    0
   837, 55851,19980611,  259,    0
   837, 55851,19980612,  280,    0
   837, 55851,19980613,  274,    0
   837, 55851,19980614,  243,    0
   837, 55851,19980615,  248,    0
   837, 55851,19980616,  274,    0
   837, 55851,19980617,  269,    0
   837, 55851,19980618,  265,    0
   837, 55851,19980619,  250,    0
   837, 55851,19980620,  238,    0
   837, 55851,19980621,  231,    0
   837, 55851,19980622,  247,    0
   837, 55851,19980623,  259,    0
   837, 55851,19980624,  277,    0
   837, 55851,19980625,  286,    0
   837, 55851,19980626,  280,    0
   837, 55851,19980627,  264,    0
   837, 55851,19980628,  274,    0
   837, 55851,19980629,  290,    0
   837, 55851,19980630,  288,    0
   837, 55851,19980701,  301,    0
   837, 55851,19980702,  290,    0
   837, 55851,19980703,  314,    0
   837, 55851,19980704,  299,    0
   837, 55851,19980705,  256,    0
   837, 55851,19980706,  255,    0
   837, 55851,19980707,  259,    0
   837, 55851,19980708,  277,    0
   837, 55851,19980709,  233,    0
   837, 55851,19980710,  222,    0
   837, 55851,19980711,  246,    0
   837, 55851,19980712,  286,    0
   837, 55851,19980713,  295,    0
