EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station GARDERMOEN, NORWAY (STAID: 1048)
Blended and updated with sources:9516 99713 901384 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  1048,  9516,19561201,-9999,    9
  1048,  9516,19561202,-9999,    9
  1048,  9516,19561203,-9999,    9
  1048,  9516,19561204,-9999,    9
  1048,  9516,19561205,-9999,    9
  1048,  9516,19561206,-9999,    9
  1048,  9516,19561207,-9999,    9
  1048,  9516,19561208,-9999,    9
  1048,  9516,19561209,-9999,    9
  1048,  9516,19561210,-9999,    9
  1048,  9516,19561211,-9999,    9
  1048,  9516,19561212,-9999,    9
  1048,  9516,19561213,-9999,    9
  1048,  9516,19561214,-9999,    9
  1048,  9516,19561215,-9999,    9
  1048,  9516,19561216,-9999,    9
  1048,  9516,19561217,-9999,    9
  1048,  9516,19561218,-9999,    9
  1048,  9516,19561219,-9999,    9
  1048,  9516,19561220,-9999,    9
  1048,  9516,19561221,-9999,    9
  1048,  9516,19561222,-9999,    9
  1048,  9516,19561223,-9999,    9
  1048,  9516,19561224,-9999,    9
  1048,  9516,19561225,-9999,    9
  1048,  9516,19561226,-9999,    9
  1048,  9516,19561227,-9999,    9
  1048,  9516,19561228,-9999,    9
  1048,  9516,19561229,-9999,    9
  1048,  9516,19561230,-9999,    9
  1048,  9516,19561231,-9999,    9
  1048,  9516,19570101,  -55,    0
  1048,  9516,19570102,  -72,    0
  1048,  9516,19570103,  -81,    0
  1048,  9516,19570104,  -51,    0
  1048,  9516,19570105,    7,    0
  1048,  9516,19570106,    0,    0
  1048,  9516,19570107,  -25,    0
  1048,  9516,19570108,   38,    0
  1048,  9516,19570109,   41,    0
  1048,  9516,19570110,   13,    0
  1048,  9516,19570111,  -14,    0
  1048,  9516,19570112,  -19,    0
  1048,  9516,19570113,  -65,    0
  1048,  9516,19570114, -159,    0
  1048,  9516,19570115, -191,    0
  1048,  9516,19570116, -135,    0
  1048,  9516,19570117, -104,    0
  1048,  9516,19570118, -149,    0
  1048,  9516,19570119,  -97,    0
  1048,  9516,19570120,   17,    0
  1048,  9516,19570121,   31,    0
  1048,  9516,19570122,   11,    0
  1048,  9516,19570123,  -46,    0
  1048,  9516,19570124,  -13,    0
  1048,  9516,19570125,  -13,    0
  1048,  9516,19570126,   -8,    0
  1048,  9516,19570127,  -37,    0
  1048,  9516,19570128,  -89,    0
  1048,  9516,19570129,   20,    0
  1048,  9516,19570130,  -33,    0
  1048,  9516,19570131,  -88,    0
  1048,  9516,19570201,   -3,    0
  1048,  9516,19570202,   12,    0
  1048,  9516,19570203,  -23,    0
  1048,  9516,19570204,    0,    0
  1048,  9516,19570205,   22,    0
  1048,  9516,19570206,   17,    0
  1048,  9516,19570207,   13,    0
  1048,  9516,19570208,  -46,    0
  1048,  9516,19570209,  -24,    0
  1048,  9516,19570210,  -14,    0
  1048,  9516,19570211,  -80,    0
  1048,  9516,19570212, -115,    0
  1048,  9516,19570213,  -62,    0
  1048,  9516,19570214,  -66,    0
  1048,  9516,19570215,  -64,    0
  1048,  9516,19570216,  -58,    0
  1048,  9516,19570217,  -44,    0
  1048,  9516,19570218,  -37,    0
  1048,  9516,19570219,  -29,    0
  1048,  9516,19570220,  -37,    0
  1048,  9516,19570221,  -57,    0
  1048,  9516,19570222,  -94,    0
  1048,  9516,19570223,  -92,    0
  1048,  9516,19570224,  -99,    0
  1048,  9516,19570225, -156,    0
  1048,  9516,19570226,  -65,    0
  1048,  9516,19570227,  -55,    0
  1048,  9516,19570228, -108,    0
  1048,  9516,19570301,  -17,    0
  1048,  9516,19570302,  -11,    0
  1048,  9516,19570303,    4,    0
  1048,  9516,19570304,  -17,    0
  1048,  9516,19570305,  -20,    0
  1048,  9516,19570306,  -83,    0
  1048,  9516,19570307,  -21,    0
  1048,  9516,19570308,  -35,    0
  1048,  9516,19570309,  -32,    0
  1048,  9516,19570310,  -10,    0
  1048,  9516,19570311,    5,    0
  1048,  9516,19570312,    8,    0
  1048,  9516,19570313,   16,    0
