EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station OPARINO, RUSSIAN FEDERATION (STAID: 1178)
Blended and updated with sources:49188 927083 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  1178, 49188,19580101,  -32,    0
  1178, 49188,19580102,  -61,    0
  1178, 49188,19580103,  -76,    0
  1178, 49188,19580104, -132,    0
  1178, 49188,19580105, -190,    0
  1178, 49188,19580106, -175,    0
  1178, 49188,19580107, -172,    0
  1178, 49188,19580108, -260,    0
  1178, 49188,19580109, -173,    0
  1178, 49188,19580110, -124,    0
  1178, 49188,19580111,  -90,    0
  1178, 49188,19580112, -103,    0
  1178, 49188,19580113, -102,    0
  1178, 49188,19580114,  -67,    0
  1178, 49188,19580115,  -73,    0
  1178, 49188,19580116,  -95,    0
  1178, 49188,19580117,  -67,    0
  1178, 49188,19580118,  -37,    0
  1178, 49188,19580119,  -42,    0
  1178, 49188,19580120,  -34,    0
  1178, 49188,19580121,  -16,    0
  1178, 49188,19580122,  -75,    0
  1178, 49188,19580123,  -26,    0
  1178, 49188,19580124, -101,    0
  1178, 49188,19580125, -172,    0
  1178, 49188,19580126, -108,    0
  1178, 49188,19580127,  -80,    0
  1178, 49188,19580128,  -76,    0
  1178, 49188,19580129, -114,    0
  1178, 49188,19580130, -145,    0
  1178, 49188,19580131, -211,    0
  1178, 49188,19580201, -206,    0
  1178, 49188,19580202, -145,    0
  1178, 49188,19580203, -137,    0
  1178, 49188,19580204, -158,    0
  1178, 49188,19580205, -194,    0
  1178, 49188,19580206, -174,    0
  1178, 49188,19580207,  -95,    0
  1178, 49188,19580208, -167,    0
  1178, 49188,19580209, -181,    0
  1178, 49188,19580210, -180,    0
  1178, 49188,19580211, -236,    0
  1178, 49188,19580212, -254,    0
  1178, 49188,19580213, -237,    0
  1178, 49188,19580214, -158,    0
  1178, 49188,19580215, -126,    0
  1178, 49188,19580216, -128,    0
  1178, 49188,19580217,  -98,    0
  1178, 49188,19580218,  -40,    0
  1178, 49188,19580219,  -46,    0
  1178, 49188,19580220,  -66,    0
  1178, 49188,19580221,  -38,    0
  1178, 49188,19580222,  -82,    0
  1178, 49188,19580223,  -68,    0
  1178, 49188,19580224, -118,    0
  1178, 49188,19580225,  -66,    0
  1178, 49188,19580226,  -56,    0
  1178, 49188,19580227,  -72,    0
  1178, 49188,19580228,  -66,    0
  1178, 49188,19580301,  -40,    0
  1178, 49188,19580302,  -27,    0
  1178, 49188,19580303,  -49,    0
  1178, 49188,19580304, -172,    0
  1178, 49188,19580305, -237,    0
  1178, 49188,19580306, -103,    0
  1178, 49188,19580307,  -32,    0
  1178, 49188,19580308,  -62,    0
  1178, 49188,19580309, -182,    0
  1178, 49188,19580310, -180,    0
  1178, 49188,19580311,  -85,    0
  1178, 49188,19580312,  -32,    0
  1178, 49188,19580313,  -16,    0
  1178, 49188,19580314,  -50,    0
  1178, 49188,19580315,  -64,    0
  1178, 49188,19580316,  -64,    0
  1178, 49188,19580317, -154,    0
  1178, 49188,19580318, -213,    0
  1178, 49188,19580319, -206,    0
  1178, 49188,19580320, -205,    0
  1178, 49188,19580321, -212,    0
  1178, 49188,19580322, -109,    0
  1178, 49188,19580323,  -66,    0
  1178, 49188,19580324,  -73,    0
  1178, 49188,19580325,  -75,    0
  1178, 49188,19580326,  -56,    0
  1178, 49188,19580327,  -87,    0
  1178, 49188,19580328, -122,    0
  1178, 49188,19580329, -122,    0
  1178, 49188,19580330, -106,    0
  1178, 49188,19580331,-9999,    9
  1178, 49188,19580401,  -39,    0
  1178, 49188,19580402,  -43,    0
  1178, 49188,19580403,  -12,    0
  1178, 49188,19580404,   16,    0
  1178, 49188,19580405,   29,    0
  1178, 49188,19580406,    6,    0
  1178, 49188,19580407,   27,    0
  1178, 49188,19580408,   16,    0
  1178, 49188,19580409,    6,    0
  1178, 49188,19580410,   38,    0
  1178, 49188,19580411,   30,    0
  1178, 49188,19580412,   41,    0
  1178, 49188,19580413,   17,    0
  1178, 49188,19580414,   21,    0
  1178, 49188,19580415,  -38,    0
  1178, 49188,19580416,  -32,    0
  1178, 49188,19580417,   48,    0
  1178, 49188,19580418,   57,    0
  1178, 49188,19580419,   43,    0
  1178, 49188,19580420,   18,    0
  1178, 49188,19580421,  -24,    0
  1178, 49188,19580422,   -4,    0
  1178, 49188,19580423,   -2,    0
  1178, 49188,19580424,   37,    0
  1178, 49188,19580425,   34,    0
  1178, 49188,19580426,   34,    0
  1178, 49188,19580427,   35,    0
  1178, 49188,19580428,   20,    0
  1178, 49188,19580429,   36,    0
  1178, 49188,19580430,   48,    0
  1178, 49188,19580501,   50,    0
  1178, 49188,19580502,   74,    0
  1178, 49188,19580503,   42,    0
  1178, 49188,19580504,   48,    0
  1178, 49188,19580505,   59,    0
  1178, 49188,19580506,   58,    0
  1178, 49188,19580507,   56,    0
  1178, 49188,19580508,   18,    0
  1178, 49188,19580509,   28,    0
  1178, 49188,19580510,   65,    0
  1178, 49188,19580511,   27,    0
  1178, 49188,19580512,   44,    0
  1178, 49188,19580513,   82,    0
  1178, 49188,19580514,   77,    0
  1178, 49188,19580515,   25,    0
  1178, 49188,19580516,   35,    0
  1178, 49188,19580517,   57,    0
  1178, 49188,19580518,  144,    0
  1178, 49188,19580519,  134,    0
  1178, 49188,19580520,   99,    0
  1178, 49188,19580521,   27,    0
  1178, 49188,19580522,  114,    0
  1178, 49188,19580523,  146,    0
  1178, 49188,19580524,  102,    0
  1178, 49188,19580525,   89,    0
  1178, 49188,19580526,   93,    0
  1178, 49188,19580527,  160,    0
  1178, 49188,19580528,  106,    0
  1178, 49188,19580529,  153,    0
  1178, 49188,19580530,  205,    0
  1178, 49188,19580531,   78,    0
  1178, 49188,19580601,   26,    0
  1178, 49188,19580602,   77,    0
  1178, 49188,19580603,  132,    0
  1178, 49188,19580604,   92,    0
  1178, 49188,19580605,  138,    0
  1178, 49188,19580606,  162,    0
  1178, 49188,19580607,   80,    0
  1178, 49188,19580608,   59,    0
  1178, 49188,19580609,   73,    0
  1178, 49188,19580610,  121,    0
  1178, 49188,19580611,  163,    0
  1178, 49188,19580612,  185,    0
  1178, 49188,19580613,  156,    0
  1178, 49188,19580614,  116,    0
  1178, 49188,19580615,  116,    0
  1178, 49188,19580616,   51,    0
  1178, 49188,19580617,   90,    0
  1178, 49188,19580618,  103,    0
  1178, 49188,19580619,  116,    0
  1178, 49188,19580620,  183,    0
  1178, 49188,19580621,  144,    0
  1178, 49188,19580622,  135,    0
  1178, 49188,19580623,  184,    0
  1178, 49188,19580624,  213,    0
  1178, 49188,19580625,  176,    0
  1178, 49188,19580626,  183,    0
  1178, 49188,19580627,  188,    0
  1178, 49188,19580628,  188,    0
  1178, 49188,19580629,  183,    0
  1178, 49188,19580630,  170,    0
  1178, 49188,19580701,  186,    0
  1178, 49188,19580702,  152,    0
  1178, 49188,19580703,  103,    0
  1178, 49188,19580704,  133,    0
  1178, 49188,19580705,  145,    0
  1178, 49188,19580706,   75,    0
  1178, 49188,19580707,   95,    0
  1178, 49188,19580708,   98,    0
  1178, 49188,19580709,  132,    0
  1178, 49188,19580710,  147,    0
  1178, 49188,19580711,  135,    0
  1178, 49188,19580712,  150,    0
  1178, 49188,19580713,  154,    0
  1178, 49188,19580714,  152,    0
  1178, 49188,19580715,  166,    0
  1178, 49188,19580716,  145,    0
  1178, 49188,19580717,  150,    0
  1178, 49188,19580718,  152,    0
  1178, 49188,19580719,  142,    0
  1178, 49188,19580720,  142,    0
  1178, 49188,19580721,  126,    0
  1178, 49188,19580722,  117,    0
  1178, 49188,19580723,  151,    0
  1178, 49188,19580724,  182,    0
  1178, 49188,19580725,  233,    0
  1178, 49188,19580726,  217,    0
  1178, 49188,19580727,  212,    0
  1178, 49188,19580728,  195,    0
  1178, 49188,19580729,  180,    0
  1178, 49188,19580730,  176,    0
  1178, 49188,19580731,  182,    0
  1178, 49188,19580801,  195,    0
  1178, 49188,19580802,  197,    0
  1178, 49188,19580803,  202,    0
  1178, 49188,19580804,  181,    0
  1178, 49188,19580805,  152,    0
  1178, 49188,19580806,  136,    0
  1178, 49188,19580807,  143,    0
  1178, 49188,19580808,  192,    0
  1178, 49188,19580809,  198,    0
  1178, 49188,19580810,  204,    0
  1178, 49188,19580811,  198,    0
  1178, 49188,19580812,  154,    0
