EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station E'L'TON, RUSSIAN FEDERATION (STAID: 1312)
Blended and updated with sources:51948 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  1312, 51948,19140101,   12,    0
  1312, 51948,19140102,  -13,    0
  1312, 51948,19140103,   13,    0
  1312, 51948,19140104,    3,    0
  1312, 51948,19140105,  -43,    0
  1312, 51948,19140106,   13,    0
  1312, 51948,19140107,    5,    0
  1312, 51948,19140108,    5,    0
  1312, 51948,19140109,    4,    0
  1312, 51948,19140110,   11,    0
  1312, 51948,19140111,   -7,    0
  1312, 51948,19140112,  -66,    0
  1312, 51948,19140113, -119,    0
  1312, 51948,19140114, -132,    0
  1312, 51948,19140115,  -99,    0
  1312, 51948,19140116, -122,    0
  1312, 51948,19140117,  -76,    0
  1312, 51948,19140118, -213,    0
  1312, 51948,19140119, -211,    0
  1312, 51948,19140120, -168,    0
  1312, 51948,19140121, -125,    0
  1312, 51948,19140122,  -19,    0
  1312, 51948,19140123,  -85,    0
  1312, 51948,19140124, -107,    0
  1312, 51948,19140125, -152,    0
  1312, 51948,19140126,  -24,    0
  1312, 51948,19140127,  -18,    0
  1312, 51948,19140128,  -38,    0
  1312, 51948,19140129, -123,    0
  1312, 51948,19140130, -182,    0
  1312, 51948,19140131,  -71,    0
  1312, 51948,19140201,  -39,    0
  1312, 51948,19140202,   -5,    0
  1312, 51948,19140203,    2,    0
  1312, 51948,19140204,   11,    0
  1312, 51948,19140205,    9,    0
  1312, 51948,19140206,   13,    0
  1312, 51948,19140207,    8,    0
  1312, 51948,19140208,    8,    0
  1312, 51948,19140209,    3,    0
  1312, 51948,19140210,   -6,    0
  1312, 51948,19140211,   -4,    0
  1312, 51948,19140212,  -11,    0
  1312, 51948,19140213, -121,    0
  1312, 51948,19140214,  -76,    0
  1312, 51948,19140215,  -16,    0
  1312, 51948,19140216,   -9,    0
  1312, 51948,19140217,   13,    0
  1312, 51948,19140218,   13,    0
  1312, 51948,19140219,   13,    0
  1312, 51948,19140220,   11,    0
  1312, 51948,19140221,   18,    0
  1312, 51948,19140222,   10,    0
  1312, 51948,19140223,   -7,    0
  1312, 51948,19140224,  -24,    0
  1312, 51948,19140225,  -10,    0
  1312, 51948,19140226,  -40,    0
  1312, 51948,19140227,  -49,    0
  1312, 51948,19140228,    7,    0
  1312, 51948,19140301,   21,    0
  1312, 51948,19140302,    1,    0
  1312, 51948,19140303,  -31,    0
  1312, 51948,19140304,  -29,    0
  1312, 51948,19140305,   -1,    0
  1312, 51948,19140306,    5,    0
  1312, 51948,19140307,   42,    0
  1312, 51948,19140308,   52,    0
  1312, 51948,19140309,   35,    0
