EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station Ð¡IMLYANSK (VOLGODONSK), RUSSIAN FEDERATION (STAID: 1323)
Blended and updated with sources:17349 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  1323, 17349,19520101,-9999,    9
  1323, 17349,19520102,-9999,    9
  1323, 17349,19520103,-9999,    9
  1323, 17349,19520104,-9999,    9
  1323, 17349,19520105,-9999,    9
  1323, 17349,19520106,-9999,    9
  1323, 17349,19520107,-9999,    9
  1323, 17349,19520108,-9999,    9
  1323, 17349,19520109,-9999,    9
  1323, 17349,19520110,-9999,    9
  1323, 17349,19520111,-9999,    9
  1323, 17349,19520112,-9999,    9
  1323, 17349,19520113,-9999,    9
  1323, 17349,19520114,-9999,    9
  1323, 17349,19520115,-9999,    9
  1323, 17349,19520116,-9999,    9
  1323, 17349,19520117,-9999,    9
  1323, 17349,19520118,-9999,    9
  1323, 17349,19520119,-9999,    9
  1323, 17349,19520120,-9999,    9
  1323, 17349,19520121,-9999,    9
  1323, 17349,19520122,-9999,    9
  1323, 17349,19520123,-9999,    9
  1323, 17349,19520124,-9999,    9
  1323, 17349,19520125,-9999,    9
  1323, 17349,19520126,-9999,    9
  1323, 17349,19520127,-9999,    9
  1323, 17349,19520128,-9999,    9
  1323, 17349,19520129,-9999,    9
  1323, 17349,19520130,-9999,    9
  1323, 17349,19520131,-9999,    9
  1323, 17349,19520201,  -19,    0
  1323, 17349,19520202,   -7,    0
  1323, 17349,19520203,   -8,    0
