EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station TAGANROG, RUSSIAN FEDERATION (STAID: 1327)
Blended and updated with sources:52008 934720 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  1327, 52008,19050101,   29,    0
  1327, 52008,19050102,  -49,    0
  1327, 52008,19050103, -108,    0
  1327, 52008,19050104,  -67,    0
  1327, 52008,19050105,  -42,    0
  1327, 52008,19050106,  -21,    0
  1327, 52008,19050107,   29,    0
  1327, 52008,19050108,   24,    0
  1327, 52008,19050109,  -78,    0
  1327, 52008,19050110,  -11,    0
  1327, 52008,19050111,  -11,    0
  1327, 52008,19050112,  -48,    0
  1327, 52008,19050113,  -10,    0
  1327, 52008,19050114,   -2,    0
  1327, 52008,19050115,  -30,    0
  1327, 52008,19050116,  -45,    0
  1327, 52008,19050117,  -81,    0
  1327, 52008,19050118,  -61,    0
  1327, 52008,19050119,  -82,    0
  1327, 52008,19050120, -170,    0
  1327, 52008,19050121, -156,    0
  1327, 52008,19050122,  -77,    0
  1327, 52008,19050123,  -93,    0
  1327, 52008,19050124,  -81,    0
  1327, 52008,19050125,  -85,    0
  1327, 52008,19050126, -122,    0
  1327, 52008,19050127, -148,    0
  1327, 52008,19050128, -130,    0
  1327, 52008,19050129, -146,    0
  1327, 52008,19050130,  -34,    0
  1327, 52008,19050131,    6,    0
  1327, 52008,19050201,    0,    0
  1327, 52008,19050202,  -13,    0
  1327, 52008,19050203,   15,    0
  1327, 52008,19050204,    9,    0
  1327, 52008,19050205,  -26,    0
  1327, 52008,19050206,  -84,    0
  1327, 52008,19050207, -126,    0
  1327, 52008,19050208,  -77,    0
  1327, 52008,19050209,  -20,    0
  1327, 52008,19050210,  -44,    0
  1327, 52008,19050211,  -38,    0
  1327, 52008,19050212,  -10,    0
  1327, 52008,19050213,  -58,    0
  1327, 52008,19050214,  -48,    0
  1327, 52008,19050215,  -40,    0
  1327, 52008,19050216,  -62,    0
  1327, 52008,19050217,  -45,    0
  1327, 52008,19050218,  -24,    0
  1327, 52008,19050219,    1,    0
  1327, 52008,19050220,    4,    0
  1327, 52008,19050221,    6,    0
  1327, 52008,19050222,   -2,    0
  1327, 52008,19050223,  -22,    0
  1327, 52008,19050224,  -33,    0
  1327, 52008,19050225,  -42,    0
  1327, 52008,19050226,  -49,    0
  1327, 52008,19050227,  -13,    0
  1327, 52008,19050228,    0,    0
  1327, 52008,19050301,  -34,    0
  1327, 52008,19050302,  -58,    0
  1327, 52008,19050303,  -89,    0
  1327, 52008,19050304,  -86,    0
  1327, 52008,19050305,  -86,    0
  1327, 52008,19050306,  -76,    0
  1327, 52008,19050307,  -43,    0
  1327, 52008,19050308,   -1,    0
  1327, 52008,19050309,   -1,    0
  1327, 52008,19050310,    4,    0
  1327, 52008,19050311,    2,    0
  1327, 52008,19050312,    2,    0
  1327, 52008,19050313,   -8,    0
  1327, 52008,19050314,  -32,    0
  1327, 52008,19050315,  -31,    0
  1327, 52008,19050316,  -18,    0
  1327, 52008,19050317,    0,    0
  1327, 52008,19050318,   16,    0
  1327, 52008,19050319,   14,    0
  1327, 52008,19050320,   16,    0
  1327, 52008,19050321,   14,    0
  1327, 52008,19050322,   24,    0
  1327, 52008,19050323,    6,    0
  1327, 52008,19050324,   -3,    0
  1327, 52008,19050325,    2,    0
  1327, 52008,19050326,    7,    0
  1327, 52008,19050327,   22,    0
  1327, 52008,19050328,   33,    0
  1327, 52008,19050329,   44,    0
  1327, 52008,19050330,   54,    0
  1327, 52008,19050331,   47,    0
  1327, 52008,19050401,   47,    0
  1327, 52008,19050402,   44,    0
  1327, 52008,19050403,   49,    0
  1327, 52008,19050404,   61,    0
  1327, 52008,19050405,   26,    0
  1327, 52008,19050406,   67,    0
  1327, 52008,19050407,   74,    0
  1327, 52008,19050408,   32,    0
  1327, 52008,19050409,   54,    0
  1327, 52008,19050410,   28,    0
  1327, 52008,19050411,   61,    0
  1327, 52008,19050412,   64,    0
  1327, 52008,19050413,   90,    0
  1327, 52008,19050414,   96,    0
  1327, 52008,19050415,   62,    0
  1327, 52008,19050416,   74,    0
  1327, 52008,19050417,   76,    0
  1327, 52008,19050418,   91,    0
  1327, 52008,19050419,   94,    0
  1327, 52008,19050420,  108,    0
  1327, 52008,19050421,  104,    0
  1327, 52008,19050422,  111,    0
  1327, 52008,19050423,  141,    0
  1327, 52008,19050424,   93,    0
  1327, 52008,19050425,   85,    0
  1327, 52008,19050426,   95,    0
  1327, 52008,19050427,  103,    0
  1327, 52008,19050428,  124,    0
  1327, 52008,19050429,  149,    0
  1327, 52008,19050430,  158,    0
  1327, 52008,19050501,  176,    0
  1327, 52008,19050502,  181,    0
  1327, 52008,19050503,  144,    0
  1327, 52008,19050504,  150,    0
  1327, 52008,19050505,  148,    0
  1327, 52008,19050506,  169,    0
  1327, 52008,19050507,  152,    0
  1327, 52008,19050508,   98,    0
  1327, 52008,19050509,  124,    0
  1327, 52008,19050510,  154,    0
  1327, 52008,19050511,  182,    0
  1327, 52008,19050512,  192,    0
  1327, 52008,19050513,  214,    0
  1327, 52008,19050514,  207,    0
  1327, 52008,19050515,  210,    0
  1327, 52008,19050516,  192,    0
  1327, 52008,19050517,  198,    0
  1327, 52008,19050518,  183,    0
  1327, 52008,19050519,  184,    0
  1327, 52008,19050520,  196,    0
  1327, 52008,19050521,  201,    0
  1327, 52008,19050522,  183,    0
  1327, 52008,19050523,  202,    0
  1327, 52008,19050524,  231,    0
  1327, 52008,19050525,  239,    0
  1327, 52008,19050526,  247,    0
  1327, 52008,19050527,  252,    0
  1327, 52008,19050528,  210,    0
  1327, 52008,19050529,  168,    0
  1327, 52008,19050530,  159,    0
  1327, 52008,19050531,  187,    0
  1327, 52008,19050601,  214,    0
  1327, 52008,19050602,  210,    0
  1327, 52008,19050603,  228,    0
  1327, 52008,19050604,  235,    0
  1327, 52008,19050605,  252,    0
  1327, 52008,19050606,  274,    0
