EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station LEON VIRGEN DEL CAMINO, SPAIN (STAID: 1397)
Blended and updated with sources:20219 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  1397, 20219,19380101,  -12,    0
  1397, 20219,19380102,    2,    0
  1397, 20219,19380103,   -3,    0
  1397, 20219,19380104,  -15,    0
  1397, 20219,19380105,   -1,    0
  1397, 20219,19380106,    2,    0
  1397, 20219,19380107,   10,    0
  1397, 20219,19380108,   46,    0
  1397, 20219,19380109,   51,    0
  1397, 20219,19380110,   32,    0
  1397, 20219,19380111,   43,    0
  1397, 20219,19380112,   93,    0
  1397, 20219,19380113,   62,    0
  1397, 20219,19380114,   56,    0
  1397, 20219,19380115,   58,    0
  1397, 20219,19380116,   34,    0
  1397, 20219,19380117,   84,    0
  1397, 20219,19380118,   45,    0
  1397, 20219,19380119,   72,    0
  1397, 20219,19380120,   82,    0
  1397, 20219,19380121,   52,    0
  1397, 20219,19380122,   91,    0
  1397, 20219,19380123,  118,    0
  1397, 20219,19380124,  129,    0
  1397, 20219,19380125,   96,    0
  1397, 20219,19380126,   58,    0
  1397, 20219,19380127,   44,    0
  1397, 20219,19380128,   38,    0
  1397, 20219,19380129,   75,    0
  1397, 20219,19380130,  108,    0
  1397, 20219,19380131,   90,    0
  1397, 20219,19380201,   56,    0
  1397, 20219,19380202,   58,    0
  1397, 20219,19380203,   75,    0
  1397, 20219,19380204,   52,    0
  1397, 20219,19380205,   91,    0
  1397, 20219,19380206,   63,    0
  1397, 20219,19380207,   18,    0
  1397, 20219,19380208,   25,    0
  1397, 20219,19380209,   61,    0
  1397, 20219,19380210,   70,    0
  1397, 20219,19380211,   74,    0
  1397, 20219,19380212,   28,    0
  1397, 20219,19380213,   38,    0
  1397, 20219,19380214,   -1,    0
  1397, 20219,19380215,  -23,    0
  1397, 20219,19380216,   -5,    0
  1397, 20219,19380217,  -10,    0
  1397, 20219,19380218,    2,    0
  1397, 20219,19380219,    8,    0
  1397, 20219,19380220,   10,    0
  1397, 20219,19380221,   32,    0
  1397, 20219,19380222,   20,    0
  1397, 20219,19380223,   36,    0
  1397, 20219,19380224,   68,    0
  1397, 20219,19380225,   82,    0
  1397, 20219,19380226,   67,    0
  1397, 20219,19380227,   89,    0
  1397, 20219,19380228,  110,    0
  1397, 20219,19380301,  112,    0
  1397, 20219,19380302,   90,    0
  1397, 20219,19380303,   76,    0
  1397, 20219,19380304,  122,    0
  1397, 20219,19380305,  130,    0
  1397, 20219,19380306,  127,    0
  1397, 20219,19380307,  136,    0
  1397, 20219,19380308,  132,    0
  1397, 20219,19380309,  128,    0
  1397, 20219,19380310,  122,    0
  1397, 20219,19380311,  126,    0
  1397, 20219,19380312,  142,    0
  1397, 20219,19380313,  120,    0
  1397, 20219,19380314,  114,    0
  1397, 20219,19380315,  108,    0
  1397, 20219,19380316,  112,    0
  1397, 20219,19380317,  117,    0
  1397, 20219,19380318,  116,    0
  1397, 20219,19380319,  112,    0
  1397, 20219,19380320,  100,    0
  1397, 20219,19380321,   82,    0
  1397, 20219,19380322,   68,    0
  1397, 20219,19380323,   62,    0
  1397, 20219,19380324,   98,    0
  1397, 20219,19380325,   76,    0
  1397, 20219,19380326,   98,    0
  1397, 20219,19380327,   98,    0
  1397, 20219,19380328,  122,    0
  1397, 20219,19380329,  134,    0
  1397, 20219,19380330,  142,    0
  1397, 20219,19380331,  155,    0
  1397, 20219,19380401,  167,    0
  1397, 20219,19380402,  176,    0
  1397, 20219,19380403,  181,    0
  1397, 20219,19380404,  117,    0
  1397, 20219,19380405,  108,    0
  1397, 20219,19380406,   96,    0
  1397, 20219,19380407,  132,    0
  1397, 20219,19380408,  148,    0
  1397, 20219,19380409,  155,    0
  1397, 20219,19380410,  134,    0
  1397, 20219,19380411,  101,    0
  1397, 20219,19380412,   90,    0
  1397, 20219,19380413,   87,    0
  1397, 20219,19380414,  118,    0
  1397, 20219,19380415,  106,    0
  1397, 20219,19380416,  146,    0
  1397, 20219,19380417,  148,    0
  1397, 20219,19380418,  128,    0
  1397, 20219,19380419,   88,    0
  1397, 20219,19380420,   92,    0
  1397, 20219,19380421,   92,    0
  1397, 20219,19380422,   85,    0
  1397, 20219,19380423,  102,    0
  1397, 20219,19380424,   99,    0
  1397, 20219,19380425,  112,    0
  1397, 20219,19380426,   58,    0
  1397, 20219,19380427,   89,    0
  1397, 20219,19380428,   90,    0
  1397, 20219,19380429,  130,    0
  1397, 20219,19380430,  110,    0
  1397, 20219,19380501,   76,    0
  1397, 20219,19380502,   79,    0
  1397, 20219,19380503,   68,    0
  1397, 20219,19380504,   82,    0
  1397, 20219,19380505,   83,    0
  1397, 20219,19380506,   98,    0
  1397, 20219,19380507,  103,    0
  1397, 20219,19380508,  105,    0
  1397, 20219,19380509,  127,    0
  1397, 20219,19380510,  122,    0
  1397, 20219,19380511,  128,    0
  1397, 20219,19380512,  132,    0
  1397, 20219,19380513,  148,    0
  1397, 20219,19380514,  135,    0
  1397, 20219,19380515,  116,    0
  1397, 20219,19380516,  114,    0
  1397, 20219,19380517,  123,    0
  1397, 20219,19380518,   78,    0
  1397, 20219,19380519,  102,    0
  1397, 20219,19380520,  121,    0
  1397, 20219,19380521,  125,    0
  1397, 20219,19380522,  145,    0
  1397, 20219,19380523,  150,    0
  1397, 20219,19380524,  139,    0
  1397, 20219,19380525,  130,    0
  1397, 20219,19380526,  148,    0
  1397, 20219,19380527,   99,    0
  1397, 20219,19380528,  110,    0
  1397, 20219,19380529,  145,    0
  1397, 20219,19380530,  180,    0
  1397, 20219,19380531,  198,    0
  1397, 20219,19380601,  169,    0
  1397, 20219,19380602,  136,    0
  1397, 20219,19380603,  160,    0
  1397, 20219,19380604,  148,    0
  1397, 20219,19380605,  172,    0
  1397, 20219,19380606,  190,    0
  1397, 20219,19380607,  218,    0
  1397, 20219,19380608,  206,    0
  1397, 20219,19380609,  195,    0
  1397, 20219,19380610,  162,    0
  1397, 20219,19380611,  129,    0
  1397, 20219,19380612,  117,    0
  1397, 20219,19380613,  147,    0
  1397, 20219,19380614,  143,    0
  1397, 20219,19380615,  163,    0
  1397, 20219,19380616,  216,    0
  1397, 20219,19380617,  231,    0
  1397, 20219,19380618,  231,    0
  1397, 20219,19380619,  228,    0
  1397, 20219,19380620,  234,    0
  1397, 20219,19380621,  253,    0
  1397, 20219,19380622,  247,    0
  1397, 20219,19380623,  269,    0
  1397, 20219,19380624,  270,    0
  1397, 20219,19380625,  230,    0
  1397, 20219,19380626,  230,    0
  1397, 20219,19380627,  228,    0
  1397, 20219,19380628,  213,    0
  1397, 20219,19380629,  214,    0
  1397, 20219,19380630,  214,    0
  1397, 20219,19380701,  149,    0
  1397, 20219,19380702,  131,    0
  1397, 20219,19380703,  163,    0
  1397, 20219,19380704,  187,    0
  1397, 20219,19380705,  168,    0
  1397, 20219,19380706,  169,    0
  1397, 20219,19380707,  165,    0
  1397, 20219,19380708,  141,    0
  1397, 20219,19380709,  158,    0
  1397, 20219,19380710,  177,    0
  1397, 20219,19380711,  216,    0
  1397, 20219,19380712,  216,    0
  1397, 20219,19380713,  223,    0
  1397, 20219,19380714,  211,    0
  1397, 20219,19380715,  209,    0
  1397, 20219,19380716,  194,    0
  1397, 20219,19380717,  228,    0
  1397, 20219,19380718,  242,    0
  1397, 20219,19380719,  264,    0
  1397, 20219,19380720,  274,    0
  1397, 20219,19380721,  255,    0
  1397, 20219,19380722,  231,    0
  1397, 20219,19380723,  194,    0
  1397, 20219,19380724,  200,    0
  1397, 20219,19380725,  222,    0
  1397, 20219,19380726,  185,    0
  1397, 20219,19380727,  193,    0
  1397, 20219,19380728,  212,    0
  1397, 20219,19380729,  224,    0
  1397, 20219,19380730,  260,    0
  1397, 20219,19380731,  273,    0
  1397, 20219,19380801,  267,    0
  1397, 20219,19380802,  260,    0
  1397, 20219,19380803,  229,    0
  1397, 20219,19380804,  206,    0
  1397, 20219,19380805,  200,    0
  1397, 20219,19380806,  198,    0
  1397, 20219,19380807,  190,    0
  1397, 20219,19380808,  196,    0
  1397, 20219,19380809,  188,    0
  1397, 20219,19380810,  180,    0
  1397, 20219,19380811,  189,    0
  1397, 20219,19380812,  182,    0
  1397, 20219,19380813,  181,    0
  1397, 20219,19380814,  220,    0
  1397, 20219,19380815,  216,    0
  1397, 20219,19380816,  237,    0
  1397, 20219,19380817,  246,    0
  1397, 20219,19380818,  272,    0
  1397, 20219,19380819,  262,    0
  1397, 20219,19380820,  197,    0
  1397, 20219,19380821,  160,    0
  1397, 20219,19380822,  167,    0
  1397, 20219,19380823,  205,    0
  1397, 20219,19380824,  236,    0
  1397, 20219,19380825,  208,    0
  1397, 20219,19380826,  194,    0
  1397, 20219,19380827,  195,    0
  1397, 20219,19380828,  184,    0
  1397, 20219,19380829,  148,    0
  1397, 20219,19380830,  150,    0
  1397, 20219,19380831,  161,    0
  1397, 20219,19380901,  194,    0
  1397, 20219,19380902,  208,    0
  1397, 20219,19380903,  182,    0
  1397, 20219,19380904,  183,    0
  1397, 20219,19380905,  181,    0
  1397, 20219,19380906,  175,    0
  1397, 20219,19380907,  167,    0
  1397, 20219,19380908,  131,    0
  1397, 20219,19380909,  118,    0
  1397, 20219,19380910,  134,    0
  1397, 20219,19380911,  146,    0
  1397, 20219,19380912,  156,    0
  1397, 20219,19380913,  170,    0
  1397, 20219,19380914,  160,    0
  1397, 20219,19380915,  160,    0
  1397, 20219,19380916,  152,    0
  1397, 20219,19380917,  177,    0
  1397, 20219,19380918,  154,    0
  1397, 20219,19380919,  157,    0
  1397, 20219,19380920,  161,    0
  1397, 20219,19380921,  146,    0
  1397, 20219,19380922,  163,    0
  1397, 20219,19380923,  148,    0
  1397, 20219,19380924,  146,    0
  1397, 20219,19380925,  148,    0
  1397, 20219,19380926,  159,    0
  1397, 20219,19380927,  171,    0
  1397, 20219,19380928,  190,    0
  1397, 20219,19380929,  186,    0
  1397, 20219,19380930,  170,    0
  1397, 20219,19381001,  141,    0
  1397, 20219,19381002,  139,    0
  1397, 20219,19381003,  154,    0
  1397, 20219,19381004,  168,    0
  1397, 20219,19381005,  156,    0
  1397, 20219,19381006,  121,    0
  1397, 20219,19381007,  136,    0
  1397, 20219,19381008,  172,    0
  1397, 20219,19381009,  171,    0
  1397, 20219,19381010,  151,    0
  1397, 20219,19381011,  129,    0
  1397, 20219,19381012,  102,    0
  1397, 20219,19381013,  156,    0
  1397, 20219,19381014,  169,    0
  1397, 20219,19381015,  170,    0
  1397, 20219,19381016,  172,    0
  1397, 20219,19381017,  175,    0
  1397, 20219,19381018,  173,    0
  1397, 20219,19381019,  159,    0
  1397, 20219,19381020,  163,    0
  1397, 20219,19381021,  141,    0
  1397, 20219,19381022,  132,    0
  1397, 20219,19381023,   97,    0
  1397, 20219,19381024,  126,    0
  1397, 20219,19381025,  150,    0
  1397, 20219,19381026,  104,    0
  1397, 20219,19381027,  107,    0
  1397, 20219,19381028,   82,    0
  1397, 20219,19381029,   88,    0
  1397, 20219,19381030,  102,    0
  1397, 20219,19381031,  104,    0
  1397, 20219,19381101,   97,    0
  1397, 20219,19381102,  114,    0
  1397, 20219,19381103,  116,    0
  1397, 20219,19381104,  115,    0
  1397, 20219,19381105,  119,    0
  1397, 20219,19381106,  138,    0
  1397, 20219,19381107,  122,    0
  1397, 20219,19381108,  117,    0
  1397, 20219,19381109,   83,    0
  1397, 20219,19381110,  103,    0
  1397, 20219,19381111,  109,    0
  1397, 20219,19381112,  107,    0
  1397, 20219,19381113,  113,    0
  1397, 20219,19381114,   98,    0
  1397, 20219,19381115,  144,    0
  1397, 20219,19381116,  102,    0
  1397, 20219,19381117,  113,    0
  1397, 20219,19381118,  116,    0
  1397, 20219,19381119,   88,    0
  1397, 20219,19381120,   84,    0
  1397, 20219,19381121,  101,    0
  1397, 20219,19381122,  124,    0
  1397, 20219,19381123,  116,    0
  1397, 20219,19381124,   57,    0
  1397, 20219,19381125,   62,    0
  1397, 20219,19381126,   17,    0
  1397, 20219,19381127,   61,    0
  1397, 20219,19381128,   57,    0
  1397, 20219,19381129,   40,    0
  1397, 20219,19381130,   50,    0
  1397, 20219,19381201,   79,    0
  1397, 20219,19381202,   76,    0
  1397, 20219,19381203,   34,    0
  1397, 20219,19381204,   94,    0
  1397, 20219,19381205,   91,    0
  1397, 20219,19381206,   82,    0
  1397, 20219,19381207,   76,    0
  1397, 20219,19381208,   63,    0
  1397, 20219,19381209,   27,    0
  1397, 20219,19381210,   50,    0
  1397, 20219,19381211,   55,    0
  1397, 20219,19381212,   60,    0
  1397, 20219,19381213,   45,    0
  1397, 20219,19381214,   76,    0
  1397, 20219,19381215,   34,    0
  1397, 20219,19381216,   57,    0
  1397, 20219,19381217,   42,    0
  1397, 20219,19381218,   10,    0
  1397, 20219,19381219,    9,    0
  1397, 20219,19381220,    8,    0
  1397, 20219,19381221,  -30,    0
