EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station OREBRO 1, SWEDEN (STAID: 1425)
Blended and updated with sources:36077 36089 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  1425, 36077,18581201,    7,    1
  1425, 36077,18581202,   10,    1
  1425, 36077,18581203,   11,    1
  1425, 36077,18581204,   13,    1
  1425, 36077,18581205,   12,    1
  1425, 36077,18581206,   14,    1
  1425, 36077,18581207,   18,    1
  1425, 36077,18581208,   27,    1
  1425, 36077,18581209,   18,    1
  1425, 36077,18581210,  -12,    1
  1425, 36077,18581211,   -5,    1
  1425, 36077,18581212,    3,    1
  1425, 36077,18581213,   -6,    1
  1425, 36077,18581214,    5,    1
  1425, 36077,18581215,    2,    1
  1425, 36077,18581216,  -17,    1
  1425, 36077,18581217,-9999,    9
  1425, 36077,18581218,  -48,    1
  1425, 36077,18581219,  -37,    1
  1425, 36077,18581220,  -13,    1
  1425, 36077,18581221,  -17,    1
  1425, 36077,18581222,   10,    1
  1425, 36077,18581223,   35,    1
  1425, 36077,18581224,   32,    1
  1425, 36077,18581225,  -31,    1
  1425, 36077,18581226,  -81,    1
  1425, 36077,18581227,  -32,    1
  1425, 36077,18581228,  -37,    1
  1425, 36077,18581229,  -60,    1
  1425, 36077,18581230, -137,    1
  1425, 36077,18581231,  -68,    1
  1425, 36077,18590101,    9,    1
  1425, 36077,18590102,   -5,    1
  1425, 36077,18590103,   19,    1
  1425, 36077,18590104,  -16,    1
  1425, 36077,18590105,    1,    1
  1425, 36077,18590106,   12,    1
  1425, 36077,18590107,  -30,    1
  1425, 36077,18590108,  -73,    1
  1425, 36077,18590109,  -15,    1
  1425, 36077,18590110,   40,    1
  1425, 36077,18590111,   19,    1
  1425, 36077,18590112,  -33,    1
  1425, 36077,18590113,  -38,    1
  1425, 36077,18590114,  -42,    1
  1425, 36077,18590115,  -10,    1
  1425, 36077,18590116,    6,    1
  1425, 36077,18590117,   -1,    1
  1425, 36077,18590118,   24,    1
  1425, 36077,18590119,   53,    1
  1425, 36077,18590120,   13,    1
  1425, 36077,18590121,   28,    1
  1425, 36077,18590122,   18,    1
  1425, 36077,18590123,   10,    1
  1425, 36077,18590124,   16,    1
  1425, 36077,18590125,   44,    1
  1425, 36077,18590126,   33,    1
  1425, 36077,18590127,   12,    1
  1425, 36077,18590128,    5,    1
  1425, 36077,18590129,    2,    1
  1425, 36077,18590130,   24,    1
  1425, 36077,18590131,   12,    1
  1425, 36077,18590201,   14,    1
  1425, 36077,18590202,   10,    1
  1425, 36077,18590203,   -9,    1
  1425, 36077,18590204,  -38,    1
