EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station CRAIBSTONE, UNITED KINGDOM (STAID: 1629)
Blended and updated with sources:6932 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  1629,  6932,20010101,   22,    0
  1629,  6932,20010102,   56,    0
  1629,  6932,20010103,   36,    0
  1629,  6932,20010104,   38,    0
  1629,  6932,20010105,   21,    0
  1629,  6932,20010106,   24,    0
  1629,  6932,20010107,   26,    0
  1629,  6932,20010108,   34,    0
  1629,  6932,20010109,   22,    0
  1629,  6932,20010110,   14,    0
  1629,  6932,20010111,   23,    0
  1629,  6932,20010112,   32,    0
  1629,  6932,20010113,   40,    0
  1629,  6932,20010114,   26,    0
  1629,  6932,20010115,   18,    0
  1629,  6932,20010116,   17,    0
  1629,  6932,20010117,   14,    0
  1629,  6932,20010118,   12,    0
  1629,  6932,20010119,   10,    0
  1629,  6932,20010120,   20,    0
  1629,  6932,20010121,   21,    0
  1629,  6932,20010122,   40,    0
  1629,  6932,20010123,   48,    0
  1629,  6932,20010124,   58,    1
  1629,  6932,20010125,   32,    0
  1629,  6932,20010126,   34,    0
  1629,  6932,20010127,   38,    0
  1629,  6932,20010128,   30,    0
  1629,  6932,20010129,   34,    0
  1629,  6932,20010130,    8,    0
  1629,  6932,20010131,   15,    0
  1629,  6932,20010201,   14,    0
  1629,  6932,20010202,   30,    1
