EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station CAMBRIDGE (B. GDNS), UNITED KINGDOM (STAID: 1639)
Blended and updated with sources:6942 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  1639,  6942,20010101,   52,    0
  1639,  6942,20010102,   98,    0
  1639,  6942,20010103,   63,    0
  1639,  6942,20010104,   64,    0
  1639,  6942,20010105,   67,    0
  1639,  6942,20010106,   46,    0
  1639,  6942,20010107,   41,    0
  1639,  6942,20010108,   50,    0
  1639,  6942,20010109,   28,    0
  1639,  6942,20010110,   30,    0
  1639,  6942,20010111,   38,    0
  1639,  6942,20010112,   38,    0
  1639,  6942,20010113,   30,    0
  1639,  6942,20010114,   30,    0
  1639,  6942,20010115,   26,    0
  1639,  6942,20010116,   -9,    0
  1639,  6942,20010117,  -13,    0
  1639,  6942,20010118,  -18,    0
  1639,  6942,20010119,  -12,    0
  1639,  6942,20010120,   -2,    0
  1639,  6942,20010121,    8,    0
  1639,  6942,20010122,   52,    0
  1639,  6942,20010123,   84,    0
  1639,  6942,20010124,   80,    0
  1639,  6942,20010125,   68,    0
  1639,  6942,20010126,   62,    0
  1639,  6942,20010127,   42,    0
  1639,  6942,20010128,   10,    0
  1639,  6942,20010129,    8,    0
  1639,  6942,20010130,   13,    0
  1639,  6942,20010131,   34,    0
  1639,  6942,20010201,   10,    0
  1639,  6942,20010202,   22,    0
  1639,  6942,20010203,   72,    0
  1639,  6942,20010204,   66,    0
  1639,  6942,20010205,   78,    0
  1639,  6942,20010206,  100,    0
  1639,  6942,20010207,  100,    1
  1639,  6942,20010208,   52,    0
  1639,  6942,20010209,   34,    0
  1639,  6942,20010210,   58,    0
  1639,  6942,20010211,   96,    0
  1639,  6942,20010212,  108,    1
  1639,  6942,20010213,   58,    0
  1639,  6942,20010214,   42,    0
  1639,  6942,20010215,   32,    0
