EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ALDERGROVE, UNITED KINGDOM (STAID: 1640)
Blended and updated with sources:6943 903917 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  1640,  6943,20010101,   64,    0
  1640,  6943,20010102,   68,    0
  1640,  6943,20010103,   38,    0
  1640,  6943,20010104,   30,    0
  1640,  6943,20010105,   20,    0
  1640,  6943,20010106,   40,    0
  1640,  6943,20010107,   45,    0
  1640,  6943,20010108,   41,    0
  1640,  6943,20010109,   27,    0
  1640,  6943,20010110,   18,    0
  1640,  6943,20010111,   24,    0
  1640,  6943,20010112,   44,    0
  1640,  6943,20010113,   52,    0
  1640,  6943,20010114,   42,    0
  1640,  6943,20010115,   21,    0
  1640,  6943,20010116,    8,    0
  1640,  6943,20010117,   26,    0
  1640,  6943,20010118,    3,    0
  1640,  6943,20010119,   17,    0
  1640,  6943,20010120,    5,    0
  1640,  6943,20010121,   34,    0
  1640,  6943,20010122,   66,    0
  1640,  6943,20010123,   73,    1
  1640,  6943,20010124,   50,    0
  1640,  6943,20010125,   34,    0
  1640,  6943,20010126,   36,    0
  1640,  6943,20010127,   28,    0
  1640,  6943,20010128,    4,    0
  1640,  6943,20010129,   16,    0
  1640,  6943,20010130,   36,    0
  1640,  6943,20010131,   53,    0
  1640,  6943,20010201,   66,    0
  1640,  6943,20010202,   55,    0
  1640,  6943,20010203,   58,    1
  1640,  6943,20010204,   14,    0
  1640,  6943,20010205,   43,    0
  1640,  6943,20010206,   60,    1
  1640,  6943,20010207,   38,    0
  1640,  6943,20010208,   12,    0
  1640,  6943,20010209,    8,    0
  1640,  6943,20010210,   46,    0
  1640,  6943,20010211,   86,    0
  1640,  6943,20010212,   68,    0
  1640,  6943,20010213,   47,    0
  1640,  6943,20010214,   49,    0
  1640,  6943,20010215,   46,    0
  1640,  6943,20010216,   18,    0
  1640,  6943,20010217,   24,    0
  1640,  6943,20010218,   34,    0
  1640,  6943,20010219,   58,    0
  1640,  6943,20010220,   44,    0
  1640,  6943,20010221,   60,    0
  1640,  6943,20010222,   70,    1
  1640,  6943,20010223,   41,    0
  1640,  6943,20010224,    4,    0
  1640,  6943,20010225,   24,    0
  1640,  6943,20010226,   24,    1
  1640,  6943,20010227,    4,    0
  1640,  6943,20010228,  -19,    0
  1640,  6943,20010301,  -13,    0
  1640,  6943,20010302,  -20,    0
  1640,  6943,20010303,   -2,    0
  1640,  6943,20010304,    8,    0
  1640,  6943,20010305,   44,    0
  1640,  6943,20010306,   64,    0
  1640,  6943,20010307,   90,    0
  1640,  6943,20010308,   94,    0
  1640,  6943,20010309,   90,    0
  1640,  6943,20010310,  101,    1
  1640,  6943,20010311,   50,    0
  1640,  6943,20010312,   42,    0
  1640,  6943,20010313,   44,    0
  1640,  6943,20010314,   44,    0
  1640,  6943,20010315,   33,    0
  1640,  6943,20010316,   32,    0
  1640,  6943,20010317,   44,    0
  1640,  6943,20010318,   27,    0
  1640,  6943,20010319,   24,    0
  1640,  6943,20010320,   34,    0
  1640,  6943,20010321,   24,    0
  1640,  6943,20010322,   34,    0
  1640,  6943,20010323,   53,    0
  1640,  6943,20010324,   59,    0
  1640,  6943,20010325,   48,    0
  1640,  6943,20010326,   52,    0
  1640,  6943,20010327,   54,    0
  1640,  6943,20010328,   53,    0
  1640,  6943,20010329,   47,    0
  1640,  6943,20010330,   66,    0
  1640,  6943,20010331,   90,    0
  1640,  6943,20010401,   74,    0
  1640,  6943,20010402,  108,    0
  1640,  6943,20010403,   72,    0
  1640,  6943,20010404,   62,    0
  1640,  6943,20010405,   50,    0
  1640,  6943,20010406,   80,    0
  1640,  6943,20010407,   74,    0
  1640,  6943,20010408,   60,    0
  1640,  6943,20010409,   82,    0
  1640,  6943,20010410,   91,    0
  1640,  6943,20010411,   66,    0
  1640,  6943,20010412,   70,    0
  1640,  6943,20010413,   81,    0
  1640,  6943,20010414,   90,    0
  1640,  6943,20010415,   85,    0
  1640,  6943,20010416,   64,    0
  1640,  6943,20010417,   73,    0
  1640,  6943,20010418,   30,    0
  1640,  6943,20010419,   52,    0
  1640,  6943,20010420,   53,    0
  1640,  6943,20010421,   59,    0
  1640,  6943,20010422,   82,    0
  1640,  6943,20010423,   76,    0
  1640,  6943,20010424,   81,    0
  1640,  6943,20010425,   77,    0
  1640,  6943,20010426,   88,    0
  1640,  6943,20010427,   66,    0
  1640,  6943,20010428,   66,    0
  1640,  6943,20010429,   52,    0
  1640,  6943,20010430,   76,    0
  1640,  6943,20010501,   85,    0
  1640,  6943,20010502,  113,    0
  1640,  6943,20010503,   76,    0
  1640,  6943,20010504,   72,    0
  1640,  6943,20010505,   82,    0
  1640,  6943,20010506,   97,    0
  1640,  6943,20010507,   98,    0
  1640,  6943,20010508,   97,    0
  1640,  6943,20010509,   96,    0
  1640,  6943,20010510,  141,    0
  1640,  6943,20010511,  144,    0
  1640,  6943,20010512,  165,    0
  1640,  6943,20010513,  166,    1
  1640,  6943,20010514,  120,    1
  1640,  6943,20010515,   94,    0
  1640,  6943,20010516,   93,    0
