EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station GLENLEE, UNITED KINGDOM (STAID: 1801)
Blended and updated with sources:6995 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  1801,  6995,19600101,   70,    1
  1801,  6995,19600102,    6,    0
  1801,  6995,19600103,   39,    0
  1801,  6995,19600104,   44,    0
  1801,  6995,19600105,   42,    0
  1801,  6995,19600106,   28,    0
  1801,  6995,19600107,    6,    0
  1801,  6995,19600108,   14,    0
  1801,  6995,19600109,   25,    0
  1801,  6995,19600110,   -2,    0
  1801,  6995,19600111,   42,    0
  1801,  6995,19600112,   30,    0
  1801,  6995,19600113,   22,    0
  1801,  6995,19600114,   -8,    0
  1801,  6995,19600115,   20,    0
  1801,  6995,19600116,   58,    1
  1801,  6995,19600117,   14,    0
  1801,  6995,19600118,   34,    0
  1801,  6995,19600119,   31,    0
  1801,  6995,19600120,    3,    0
  1801,  6995,19600121,   34,    0
  1801,  6995,19600122,   58,    0
  1801,  6995,19600123,   61,    0
  1801,  6995,19600124,   52,    0
  1801,  6995,19600125,   14,    0
  1801,  6995,19600126,   20,    0
  1801,  6995,19600127,    0,    0
  1801,  6995,19600128,   11,    0
  1801,  6995,19600129,    0,    0
  1801,  6995,19600130,   16,    0
  1801,  6995,19600131,   44,    0
  1801,  6995,19600201,   72,    0
  1801,  6995,19600202,   67,    0
  1801,  6995,19600203,   84,    1
  1801,  6995,19600204,   64,    0
  1801,  6995,19600205,   39,    0
  1801,  6995,19600206,   30,    0
  1801,  6995,19600207,   25,    0
  1801,  6995,19600208,   14,    0
  1801,  6995,19600209,    6,    0
  1801,  6995,19600210,    8,    0
  1801,  6995,19600211,   -8,    0
  1801,  6995,19600212,   -8,    0
  1801,  6995,19600213,   -6,    0
  1801,  6995,19600214,  -20,    0
  1801,  6995,19600215,   -6,    0
  1801,  6995,19600216,   16,    0
  1801,  6995,19600217,  -36,    0
  1801,  6995,19600218,  -30,    0
  1801,  6995,19600219,  -39,    0
  1801,  6995,19600220,  -17,    0
  1801,  6995,19600221,  -20,    0
  1801,  6995,19600222,  -11,    0
  1801,  6995,19600223,  -36,    0
  1801,  6995,19600224,    0,    0
  1801,  6995,19600225,   25,    0
  1801,  6995,19600226,   28,    0
  1801,  6995,19600227,   44,    0
  1801,  6995,19600228,   94,    0
  1801,  6995,19600229,   89,    0
  1801,  6995,19600301,   92,    1
  1801,  6995,19600302,   66,    0
  1801,  6995,19600303,   72,    0
  1801,  6995,19600304,   28,    0
  1801,  6995,19600305,   64,    0
  1801,  6995,19600306,   70,    1
  1801,  6995,19600307,   28,    0
  1801,  6995,19600308,   14,    0
  1801,  6995,19600309,   17,    0
  1801,  6995,19600310,   36,    0
  1801,  6995,19600311,   66,    0
  1801,  6995,19600312,   52,    0
  1801,  6995,19600313,   64,    0
  1801,  6995,19600314,   86,    0
  1801,  6995,19600315,   83,    1
  1801,  6995,19600316,   67,    0
  1801,  6995,19600317,   56,    0
  1801,  6995,19600318,   42,    0
  1801,  6995,19600319,   47,    0
  1801,  6995,19600320,   64,    0
  1801,  6995,19600321,   58,    0
  1801,  6995,19600322,   61,    0
  1801,  6995,19600323,   44,    0
  1801,  6995,19600324,   72,    0
  1801,  6995,19600325,   53,    0
  1801,  6995,19600326,   58,    0
  1801,  6995,19600327,   42,    0
  1801,  6995,19600328,   36,    0
  1801,  6995,19600329,   38,    0
  1801,  6995,19600330,   34,    0
  1801,  6995,19600331,   34,    0
  1801,  6995,19600401,   72,    0
  1801,  6995,19600402,   80,    0
  1801,  6995,19600403,   80,    0
  1801,  6995,19600404,   98,    0
  1801,  6995,19600405,  100,    0
  1801,  6995,19600406,  103,    0
  1801,  6995,19600407,   89,    0
  1801,  6995,19600408,   97,    0
  1801,  6995,19600409,  106,    0
  1801,  6995,19600410,   98,    0
  1801,  6995,19600411,   86,    0
  1801,  6995,19600412,   80,    0
  1801,  6995,19600413,  100,    0
  1801,  6995,19600414,   72,    0
  1801,  6995,19600415,   94,    0
  1801,  6995,19600416,   52,    0
  1801,  6995,19600417,   53,    0
  1801,  6995,19600418,   62,    0
  1801,  6995,19600419,   89,    0
  1801,  6995,19600420,   75,    0
  1801,  6995,19600421,   83,    0
  1801,  6995,19600422,  111,    0
  1801,  6995,19600423,   89,    0
  1801,  6995,19600424,  102,    0
  1801,  6995,19600425,   80,    0
  1801,  6995,19600426,   80,    0
  1801,  6995,19600427,   94,    0
  1801,  6995,19600428,  106,    0
  1801,  6995,19600429,   86,    0
  1801,  6995,19600430,   72,    0
  1801,  6995,19600501,  103,    0
  1801,  6995,19600502,   64,    0
  1801,  6995,19600503,   92,    0
  1801,  6995,19600504,   97,    0
  1801,  6995,19600505,  122,    0
  1801,  6995,19600506,  120,    0
  1801,  6995,19600507,  136,    0
  1801,  6995,19600508,  122,    0
  1801,  6995,19600509,  150,    0
  1801,  6995,19600510,  136,    0
  1801,  6995,19600511,  122,    0
  1801,  6995,19600512,  136,    0
  1801,  6995,19600513,  119,    0
  1801,  6995,19600514,  112,    0
  1801,  6995,19600515,  134,    0
  1801,  6995,19600516,  128,    0
  1801,  6995,19600517,  125,    0
  1801,  6995,19600518,  122,    0
  1801,  6995,19600519,   89,    0
  1801,  6995,19600520,   78,    0
  1801,  6995,19600521,  100,    0
  1801,  6995,19600522,   89,    0
  1801,  6995,19600523,  111,    0
  1801,  6995,19600524,  108,    0
  1801,  6995,19600525,   75,    0
  1801,  6995,19600526,  136,    0
  1801,  6995,19600527,  139,    0
  1801,  6995,19600528,  111,    0
  1801,  6995,19600529,  100,    0
  1801,  6995,19600530,  108,    0
  1801,  6995,19600531,  106,    0
  1801,  6995,19600601,  142,    0
  1801,  6995,19600602,  156,    0
  1801,  6995,19600603,  183,    0
  1801,  6995,19600604,  158,    0
  1801,  6995,19600605,  175,    0
  1801,  6995,19600606,  172,    1
  1801,  6995,19600607,  108,    0
  1801,  6995,19600608,  128,    0
  1801,  6995,19600609,  128,    0
  1801,  6995,19600610,  133,    0
  1801,  6995,19600611,  139,    0
  1801,  6995,19600612,  114,    0
  1801,  6995,19600613,  130,    0
  1801,  6995,19600614,  120,    0
  1801,  6995,19600615,  100,    0
  1801,  6995,19600616,  162,    0
  1801,  6995,19600617,  178,    0
  1801,  6995,19600618,  175,    0
  1801,  6995,19600619,  144,    0
  1801,  6995,19600620,  166,    0
  1801,  6995,19600621,  150,    0
  1801,  6995,19600622,  178,    0
  1801,  6995,19600623,  186,    0
  1801,  6995,19600624,  175,    0
  1801,  6995,19600625,  184,    0
  1801,  6995,19600626,  170,    0
  1801,  6995,19600627,  142,    0
  1801,  6995,19600628,  125,    0
  1801,  6995,19600629,  116,    0
  1801,  6995,19600630,  111,    0
  1801,  6995,19600701,  134,    0
  1801,  6995,19600702,  144,    0
  1801,  6995,19600703,  128,    0
  1801,  6995,19600704,  152,    0
  1801,  6995,19600705,  153,    0
  1801,  6995,19600706,  128,    0
  1801,  6995,19600707,  148,    0
  1801,  6995,19600708,  136,    0
  1801,  6995,19600709,  162,    0
  1801,  6995,19600710,  142,    0
  1801,  6995,19600711,  162,    0
  1801,  6995,19600712,  147,    0
  1801,  6995,19600713,  156,    0
  1801,  6995,19600714,  161,    0
  1801,  6995,19600715,  144,    0
  1801,  6995,19600716,  116,    0
  1801,  6995,19600717,  158,    0
  1801,  6995,19600718,  136,    0
  1801,  6995,19600719,  162,    0
  1801,  6995,19600720,  133,    0
  1801,  6995,19600721,  144,    0
  1801,  6995,19600722,  125,    0
  1801,  6995,19600723,  112,    0
  1801,  6995,19600724,  161,    0
  1801,  6995,19600725,  148,    0
  1801,  6995,19600726,  134,    0
  1801,  6995,19600727,  108,    0
  1801,  6995,19600728,  166,    0
  1801,  6995,19600729,  133,    0
  1801,  6995,19600730,  138,    0
  1801,  6995,19600731,  120,    0
  1801,  6995,19600801,  144,    0
  1801,  6995,19600802,  136,    0
  1801,  6995,19600803,  166,    0
  1801,  6995,19600804,  180,    0
  1801,  6995,19600805,  178,    0
  1801,  6995,19600806,  142,    0
  1801,  6995,19600807,  147,    0
  1801,  6995,19600808,  111,    0
  1801,  6995,19600809,  122,    0
  1801,  6995,19600810,  130,    0
  1801,  6995,19600811,  111,    0
  1801,  6995,19600812,  120,    0
  1801,  6995,19600813,  111,    0
  1801,  6995,19600814,  128,    0
  1801,  6995,19600815,  108,    0
  1801,  6995,19600816,  142,    0
  1801,  6995,19600817,  125,    0
  1801,  6995,19600818,  114,    0
  1801,  6995,19600819,   94,    0
  1801,  6995,19600820,  128,    0
  1801,  6995,19600821,  150,    0
  1801,  6995,19600822,  166,    0
  1801,  6995,19600823,  158,    0
  1801,  6995,19600824,  142,    0
  1801,  6995,19600825,  150,    0
  1801,  6995,19600826,  158,    0
  1801,  6995,19600827,  156,    0
  1801,  6995,19600828,  153,    0
  1801,  6995,19600829,  150,    0
  1801,  6995,19600830,  144,    0
  1801,  6995,19600831,  144,    0
  1801,  6995,19600901,  128,    0
  1801,  6995,19600902,  108,    0
  1801,  6995,19600903,  130,    0
  1801,  6995,19600904,  120,    0
  1801,  6995,19600905,   89,    0
  1801,  6995,19600906,  116,    0
  1801,  6995,19600907,  138,    0
  1801,  6995,19600908,  125,    0
  1801,  6995,19600909,  161,    0
  1801,  6995,19600910,  116,    0
  1801,  6995,19600911,  125,    0
  1801,  6995,19600912,  136,    0
  1801,  6995,19600913,  136,    0
  1801,  6995,19600914,  122,    0
  1801,  6995,19600915,   86,    0
  1801,  6995,19600916,   98,    0
  1801,  6995,19600917,  142,    0
  1801,  6995,19600918,  136,    0
  1801,  6995,19600919,  122,    0
  1801,  6995,19600920,   89,    0
  1801,  6995,19600921,   78,    0
  1801,  6995,19600922,  128,    0
  1801,  6995,19600923,   94,    0
  1801,  6995,19600924,  100,    0
  1801,  6995,19600925,  108,    0
  1801,  6995,19600926,   97,    0
  1801,  6995,19600927,   88,    0
  1801,  6995,19600928,  111,    0
  1801,  6995,19600929,  114,    0
  1801,  6995,19600930,   83,    0
  1801,  6995,19601001,   80,    0
  1801,  6995,19601002,  114,    0
