EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station WRITTLE, UNITED KINGDOM (STAID: 1845)
Blended and updated with sources:7039 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  1845,  7039,19600101,  106,    1
  1845,  7039,19600102,   53,    0
  1845,  7039,19600103,   78,    0
  1845,  7039,19600104,   89,    0
  1845,  7039,19600105,   86,    1
  1845,  7039,19600106,   30,    1
  1845,  7039,19600107,    0,    0
  1845,  7039,19600108,   22,    1
  1845,  7039,19600109,   12,    0
  1845,  7039,19600110,    2,    0
  1845,  7039,19600111,   22,    0
  1845,  7039,19600112,   -3,    0
  1845,  7039,19600113,  -16,    0
  1845,  7039,19600114,  -28,    0
  1845,  7039,19600115,  -16,    0
  1845,  7039,19600116,   -6,    0
  1845,  7039,19600117,    6,    0
  1845,  7039,19600118,   30,    0
  1845,  7039,19600119,   58,    1
  1845,  7039,19600120,   30,    0
  1845,  7039,19600121,   58,    0
  1845,  7039,19600122,   75,    0
  1845,  7039,19600123,  106,    0
  1845,  7039,19600124,  100,    1
  1845,  7039,19600125,   56,    1
  1845,  7039,19600126,    6,    0
  1845,  7039,19600127,   36,    0
  1845,  7039,19600128,   50,    0
  1845,  7039,19600129,   56,    0
  1845,  7039,19600130,   66,    0
  1845,  7039,19600131,   78,    0
  1845,  7039,19600201,   36,    0
  1845,  7039,19600202,   64,    0
  1845,  7039,19600203,   92,    0
  1845,  7039,19600204,   75,    0
  1845,  7039,19600205,   53,    0
  1845,  7039,19600206,   25,    0
  1845,  7039,19600207,   25,    0
  1845,  7039,19600208,   11,    0
  1845,  7039,19600209,   36,    0
  1845,  7039,19600210,   44,    0
  1845,  7039,19600211,   30,    0
  1845,  7039,19600212,   22,    0
  1845,  7039,19600213,   22,    0
  1845,  7039,19600214,   20,    0
  1845,  7039,19600215,   16,    0
  1845,  7039,19600216,   16,    0
  1845,  7039,19600217,    6,    0
  1845,  7039,19600218,   -2,    0
  1845,  7039,19600219,   36,    0
  1845,  7039,19600220,   42,    0
  1845,  7039,19600221,   42,    0
  1845,  7039,19600222,   25,    0
  1845,  7039,19600223,   52,    0
  1845,  7039,19600224,   12,    0
