EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station HASTINGS, UNITED KINGDOM (STAID: 1865)
Blended and updated with sources:7059 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  1865,  7059,19600101,   97,    1
  1865,  7059,19600102,   83,    0
  1865,  7059,19600103,   86,    0
  1865,  7059,19600104,   89,    0
  1865,  7059,19600105,  102,    1
  1865,  7059,19600106,   44,    0
  1865,  7059,19600107,   42,    0
  1865,  7059,19600108,   25,    1
  1865,  7059,19600109,    8,    0
  1865,  7059,19600110,    2,    0
  1865,  7059,19600111,   20,    1
  1865,  7059,19600112,    0,    0
  1865,  7059,19600113,   -6,    0
  1865,  7059,19600114,  -22,    0
  1865,  7059,19600115,  -16,    0
  1865,  7059,19600116,   -8,    0
  1865,  7059,19600117,   16,    0
  1865,  7059,19600118,   36,    0
  1865,  7059,19600119,   50,    0
  1865,  7059,19600120,   44,    0
  1865,  7059,19600121,   56,    0
  1865,  7059,19600122,   80,    0
  1865,  7059,19600123,   86,    0
  1865,  7059,19600124,   92,    1
  1865,  7059,19600125,   61,    0
  1865,  7059,19600126,   50,    0
  1865,  7059,19600127,   56,    0
  1865,  7059,19600128,   53,    0
  1865,  7059,19600129,   52,    0
  1865,  7059,19600130,   64,    0
  1865,  7059,19600131,   80,    0
  1865,  7059,19600201,   70,    0
  1865,  7059,19600202,   64,    0
  1865,  7059,19600203,   83,    0
  1865,  7059,19600204,   78,    0
  1865,  7059,19600205,   70,    0
  1865,  7059,19600206,   48,    1
  1865,  7059,19600207,   28,    0
  1865,  7059,19600208,   22,    0
  1865,  7059,19600209,   39,    0
  1865,  7059,19600210,   34,    0
  1865,  7059,19600211,   36,    0
  1865,  7059,19600212,   25,    0
  1865,  7059,19600213,   28,    0
  1865,  7059,19600214,   34,    0
  1865,  7059,19600215,   30,    0
  1865,  7059,19600216,   25,    0
  1865,  7059,19600217,   16,    0
  1865,  7059,19600218,   30,    0
  1865,  7059,19600219,   52,    0
  1865,  7059,19600220,   61,    0
  1865,  7059,19600221,   64,    1
  1865,  7059,19600222,   50,    0
  1865,  7059,19600223,   56,    0
  1865,  7059,19600224,   42,    0
  1865,  7059,19600225,   69,    0
  1865,  7059,19600226,   80,    0
  1865,  7059,19600227,   89,    0
  1865,  7059,19600228,  102,    0
  1865,  7059,19600229,   94,    0
  1865,  7059,19600301,   98,    0
  1865,  7059,19600302,   94,    0
  1865,  7059,19600303,   86,    0
  1865,  7059,19600304,   70,    0
  1865,  7059,19600305,   58,    0
  1865,  7059,19600306,   64,    1
  1865,  7059,19600307,   36,    0
  1865,  7059,19600308,   28,    0
  1865,  7059,19600309,   58,    0
  1865,  7059,19600310,   80,    0
  1865,  7059,19600311,   83,    0
  1865,  7059,19600312,   80,    0
  1865,  7059,19600313,   89,    0
  1865,  7059,19600314,   89,    0
  1865,  7059,19600315,  106,    1
  1865,  7059,19600316,   70,    1
  1865,  7059,19600317,   44,    0
  1865,  7059,19600318,   47,    0
  1865,  7059,19600319,   56,    0
  1865,  7059,19600320,   61,    0
  1865,  7059,19600321,   58,    0
  1865,  7059,19600322,   70,    0
  1865,  7059,19600323,   86,    0
  1865,  7059,19600324,   89,    0
  1865,  7059,19600325,  100,    0
  1865,  7059,19600326,   75,    0
  1865,  7059,19600327,   66,    0
  1865,  7059,19600328,   56,    0
  1865,  7059,19600329,   61,    0
  1865,  7059,19600330,   86,    0
  1865,  7059,19600331,   78,    1
  1865,  7059,19600401,   50,    0
  1865,  7059,19600402,   84,    0
  1865,  7059,19600403,   89,    0
  1865,  7059,19600404,   97,    0
  1865,  7059,19600405,  106,    0
  1865,  7059,19600406,  111,    0
  1865,  7059,19600407,  125,    0
  1865,  7059,19600408,  116,    0
  1865,  7059,19600409,  100,    0
  1865,  7059,19600410,  100,    0
  1865,  7059,19600411,   92,    0
  1865,  7059,19600412,   72,    0
  1865,  7059,19600413,   94,    0
  1865,  7059,19600414,   92,    0
  1865,  7059,19600415,   86,    0
  1865,  7059,19600416,   78,    0
  1865,  7059,19600417,   58,    0
  1865,  7059,19600418,   84,    0
  1865,  7059,19600419,   92,    0
  1865,  7059,19600420,  120,    0
  1865,  7059,19600421,  114,    0
  1865,  7059,19600422,   97,    0
  1865,  7059,19600423,   94,    0
  1865,  7059,19600424,  106,    0
  1865,  7059,19600425,   89,    0
  1865,  7059,19600426,   98,    0
  1865,  7059,19600427,   70,    0
  1865,  7059,19600428,   64,    0
  1865,  7059,19600429,   75,    0
  1865,  7059,19600430,   80,    0
  1865,  7059,19600501,   86,    0
  1865,  7059,19600502,   75,    0
  1865,  7059,19600503,  100,    0
  1865,  7059,19600504,  106,    0
  1865,  7059,19600505,  131,    0
  1865,  7059,19600506,  134,    0
  1865,  7059,19600507,  153,    0
  1865,  7059,19600508,  172,    0
  1865,  7059,19600509,  166,    0
  1865,  7059,19600510,  152,    0
  1865,  7059,19600511,  158,    0
  1865,  7059,19600512,  150,    1
  1865,  7059,19600513,  130,    0
  1865,  7059,19600514,  139,    0
  1865,  7059,19600515,  161,    0
  1865,  7059,19600516,  142,    1
  1865,  7059,19600517,  120,    0
  1865,  7059,19600518,  122,    0
  1865,  7059,19600519,  122,    0
  1865,  7059,19600520,  116,    0
  1865,  7059,19600521,  106,    0
  1865,  7059,19600522,  114,    0
  1865,  7059,19600523,  122,    0
  1865,  7059,19600524,  142,    0
  1865,  7059,19600525,  128,    0
  1865,  7059,19600526,  139,    0
  1865,  7059,19600527,  156,    0
  1865,  7059,19600528,  161,    1
  1865,  7059,19600529,  122,    0
  1865,  7059,19600530,   97,    0
  1865,  7059,19600531,  111,    0
  1865,  7059,19600601,  128,    0
  1865,  7059,19600602,  142,    0
  1865,  7059,19600603,  170,    0
  1865,  7059,19600604,  192,    0
  1865,  7059,19600605,  197,    1
  1865,  7059,19600606,  153,    0
  1865,  7059,19600607,  139,    0
  1865,  7059,19600608,  138,    0
  1865,  7059,19600609,  142,    0
  1865,  7059,19600610,  142,    0
  1865,  7059,19600611,  128,    0
  1865,  7059,19600612,  152,    0
  1865,  7059,19600613,  134,    0
  1865,  7059,19600614,  144,    0
  1865,  7059,19600615,  136,    0
  1865,  7059,19600616,  156,    0
  1865,  7059,19600617,  164,    0
  1865,  7059,19600618,  172,    0
  1865,  7059,19600619,  186,    0
  1865,  7059,19600620,  166,    0
  1865,  7059,19600621,  144,    0
  1865,  7059,19600622,  178,    1
  1865,  7059,19600623,  161,    0
  1865,  7059,19600624,  136,    0
  1865,  7059,19600625,  169,    0
  1865,  7059,19600626,  194,    1
  1865,  7059,19600627,  158,    0
  1865,  7059,19600628,  150,    0
  1865,  7059,19600629,  128,    0
  1865,  7059,19600630,  128,    0
  1865,  7059,19600701,  130,    0
  1865,  7059,19600702,  161,    0
  1865,  7059,19600703,  150,    0
  1865,  7059,19600704,  166,    0
  1865,  7059,19600705,  156,    0
  1865,  7059,19600706,  152,    0
  1865,  7059,19600707,  161,    0
  1865,  7059,19600708,  148,    0
  1865,  7059,19600709,  156,    0
  1865,  7059,19600710,  153,    0
  1865,  7059,19600711,  161,    0
  1865,  7059,19600712,  161,    0
  1865,  7059,19600713,  158,    0
  1865,  7059,19600714,  164,    0
  1865,  7059,19600715,  156,    0
