EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station CARNWATH, UNITED KINGDOM (STAID: 1877)
Blended and updated with sources:7071 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  1877,  7071,19600101,   56,    1
  1877,  7071,19600102,    0,    0
  1877,  7071,19600103,   17,    0
  1877,  7071,19600104,   39,    0
  1877,  7071,19600105,   39,    0
  1877,  7071,19600106,   20,    1
  1877,  7071,19600107,   -8,    0
  1877,  7071,19600108,  -16,    0
  1877,  7071,19600109,   16,    0
  1877,  7071,19600110,  -11,    0
  1877,  7071,19600111,   14,    0
  1877,  7071,19600112,   16,    1
  1877,  7071,19600113,   -3,    0
  1877,  7071,19600114,  -11,    0
  1877,  7071,19600115,    2,    0
  1877,  7071,19600116,    3,    0
  1877,  7071,19600117,    3,    0
  1877,  7071,19600118,   28,    1
  1877,  7071,19600119,   11,    0
  1877,  7071,19600120,  -17,    0
  1877,  7071,19600121,   30,    0
  1877,  7071,19600122,   56,    0
  1877,  7071,19600123,   89,    1
  1877,  7071,19600124,   36,    0
  1877,  7071,19600125,   28,    0
  1877,  7071,19600126,   20,    0
  1877,  7071,19600127,    2,    0
  1877,  7071,19600128,   20,    1
  1877,  7071,19600129,    6,    0
  1877,  7071,19600130,   30,    0
  1877,  7071,19600131,   36,    0
  1877,  7071,19600201,   61,    0
  1877,  7071,19600202,   61,    0
  1877,  7071,19600203,   72,    0
  1877,  7071,19600204,   52,    0
  1877,  7071,19600205,   42,    0
  1877,  7071,19600206,   30,    0
  1877,  7071,19600207,   30,    0
  1877,  7071,19600208,   -3,    0
  1877,  7071,19600209,  -12,    0
  1877,  7071,19600210,   -6,    0
  1877,  7071,19600211,  -19,    0
  1877,  7071,19600212,  -28,    0
  1877,  7071,19600213,  -42,    0
  1877,  7071,19600214,  -50,    0
  1877,  7071,19600215,  -22,    0
  1877,  7071,19600216,   -8,    0
  1877,  7071,19600217,  -42,    0
  1877,  7071,19600218,  -48,    0
  1877,  7071,19600219,  -30,    0
  1877,  7071,19600220,  -16,    0
  1877,  7071,19600221,  -14,    0
  1877,  7071,19600222,    0,    0
  1877,  7071,19600223,  -36,    0
  1877,  7071,19600224,   14,    0
  1877,  7071,19600225,   22,    0
  1877,  7071,19600226,   16,    0
  1877,  7071,19600227,   61,    0
  1877,  7071,19600228,   89,    0
  1877,  7071,19600229,  100,    1
  1877,  7071,19600301,   80,    1
  1877,  7071,19600302,   58,    0
  1877,  7071,19600303,   50,    0
  1877,  7071,19600304,   33,    0
  1877,  7071,19600305,   72,    0
  1877,  7071,19600306,   61,    1
  1877,  7071,19600307,   28,    1
  1877,  7071,19600308,    8,    0
  1877,  7071,19600309,   -8,    0
  1877,  7071,19600310,   28,    0
  1877,  7071,19600311,   61,    1
  1877,  7071,19600312,   36,    0
  1877,  7071,19600313,   58,    0
  1877,  7071,19600314,   78,    1
  1877,  7071,19600315,   61,    0
  1877,  7071,19600316,   50,    1
  1877,  7071,19600317,   36,    0
  1877,  7071,19600318,   20,    0
  1877,  7071,19600319,   42,    0
  1877,  7071,19600320,   53,    0
  1877,  7071,19600321,   58,    0
  1877,  7071,19600322,   75,    0
  1877,  7071,19600323,   50,    0
  1877,  7071,19600324,   72,    1
  1877,  7071,19600325,   42,    0
  1877,  7071,19600326,   44,    0
  1877,  7071,19600327,   30,    0
  1877,  7071,19600328,   50,    0
  1877,  7071,19600329,   50,    0
  1877,  7071,19600330,   42,    0
  1877,  7071,19600331,   33,    0
  1877,  7071,19600401,   50,    0
  1877,  7071,19600402,   66,    0
  1877,  7071,19600403,   70,    0
  1877,  7071,19600404,   86,    0
  1877,  7071,19600405,   97,    0
  1877,  7071,19600406,   94,    0
  1877,  7071,19600407,   75,    0
  1877,  7071,19600408,   94,    0
  1877,  7071,19600409,   92,    0
  1877,  7071,19600410,   70,    0
  1877,  7071,19600411,   72,    0
  1877,  7071,19600412,   64,    0
  1877,  7071,19600413,   81,    0
  1877,  7071,19600414,   58,    0
  1877,  7071,19600415,   72,    0
  1877,  7071,19600416,   70,    0
  1877,  7071,19600417,   58,    0
  1877,  7071,19600418,   70,    0
  1877,  7071,19600419,   72,    0
  1877,  7071,19600420,   80,    0
  1877,  7071,19600421,   61,    0
  1877,  7071,19600422,   92,    0
  1877,  7071,19600423,   64,    0
  1877,  7071,19600424,   86,    0
  1877,  7071,19600425,   72,    0
  1877,  7071,19600426,   64,    0
