EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ROCHES POINT, IRELAND (STAID: 2135)
Blended and updated with sources:7542 903952 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  2135,  7542,19551201,   92,    0
  2135,  7542,19551202,   81,    0
  2135,  7542,19551203,   98,    0
  2135,  7542,19551204,   82,    0
  2135,  7542,19551205,   85,    0
  2135,  7542,19551206,  115,    0
  2135,  7542,19551207,  129,    0
  2135,  7542,19551208,   84,    0
  2135,  7542,19551209,   99,    0
  2135,  7542,19551210,   82,    0
  2135,  7542,19551211,   78,    0
  2135,  7542,19551212,   86,    0
  2135,  7542,19551213,  106,    0
  2135,  7542,19551214,  101,    0
  2135,  7542,19551215,  102,    0
  2135,  7542,19551216,  101,    0
  2135,  7542,19551217,   68,    0
  2135,  7542,19551218,   66,    0
  2135,  7542,19551219,   75,    0
  2135,  7542,19551220,   64,    0
  2135,  7542,19551221,   62,    0
  2135,  7542,19551222,   69,    0
  2135,  7542,19551223,   84,    0
  2135,  7542,19551224,   83,    0
  2135,  7542,19551225,   90,    0
  2135,  7542,19551226,  105,    0
  2135,  7542,19551227,  105,    0
  2135,  7542,19551228,  118,    0
  2135,  7542,19551229,   73,    0
  2135,  7542,19551230,   58,    0
  2135,  7542,19551231,   79,    0
  2135,  7542,19560101,   97,    0
  2135,  7542,19560102,   84,    0
  2135,  7542,19560103,   86,    0
  2135,  7542,19560104,   89,    0
  2135,  7542,19560105,   88,    0
  2135,  7542,19560106,   48,    0
  2135,  7542,19560107,   52,    0
  2135,  7542,19560108,   21,    0
  2135,  7542,19560109,   28,    0
  2135,  7542,19560110,   28,    0
  2135,  7542,19560111,   38,    0
  2135,  7542,19560112,   42,    0
  2135,  7542,19560113,   44,    0
  2135,  7542,19560114,   51,    0
  2135,  7542,19560115,   49,    0
  2135,  7542,19560116,   59,    0
  2135,  7542,19560117,   54,    0
  2135,  7542,19560118,   45,    0
  2135,  7542,19560119,   66,    0
  2135,  7542,19560120,   84,    0
  2135,  7542,19560121,   74,    0
  2135,  7542,19560122,   41,    0
  2135,  7542,19560123,   24,    0
  2135,  7542,19560124,   40,    0
  2135,  7542,19560125,   67,    0
  2135,  7542,19560126,   94,    0
  2135,  7542,19560127,   91,    0
  2135,  7542,19560128,   80,    0
  2135,  7542,19560129,   93,    0
  2135,  7542,19560130,   62,    0
  2135,  7542,19560131,   54,    0
  2135,  7542,19560201,   12,    0
  2135,  7542,19560202,   19,    0
  2135,  7542,19560203,   45,    0
  2135,  7542,19560204,   60,    0
  2135,  7542,19560205,   77,    0
  2135,  7542,19560206,   63,    0
  2135,  7542,19560207,   65,    0
  2135,  7542,19560208,   45,    0
  2135,  7542,19560209,   37,    0
  2135,  7542,19560210,    3,    0
  2135,  7542,19560211,   12,    0
  2135,  7542,19560212,   27,    0
  2135,  7542,19560213,   54,    0
  2135,  7542,19560214,   21,    0
  2135,  7542,19560215,   14,    0
  2135,  7542,19560216,   37,    0
  2135,  7542,19560217,   52,    0
  2135,  7542,19560218,   19,    0
  2135,  7542,19560219,   15,    0
  2135,  7542,19560220,   10,    0
  2135,  7542,19560221,   10,    0
  2135,  7542,19560222,   16,    0
  2135,  7542,19560223,    7,    0
  2135,  7542,19560224,   24,    0
  2135,  7542,19560225,   24,    0
  2135,  7542,19560226,   23,    0
  2135,  7542,19560227,   48,    0
  2135,  7542,19560228,   97,    0
  2135,  7542,19560229,  106,    0
  2135,  7542,19560301,   86,    0
  2135,  7542,19560302,  114,    0
  2135,  7542,19560303,  124,    0
  2135,  7542,19560304,   79,    0
  2135,  7542,19560305,   65,    0
  2135,  7542,19560306,   91,    0
  2135,  7542,19560307,   78,    0
  2135,  7542,19560308,   79,    0
  2135,  7542,19560309,   81,    0
  2135,  7542,19560310,   86,    0
  2135,  7542,19560311,   89,    0
  2135,  7542,19560312,   96,    0
  2135,  7542,19560313,   85,    0
  2135,  7542,19560314,   62,    0
  2135,  7542,19560315,   66,    0
  2135,  7542,19560316,   75,    0
  2135,  7542,19560317,   63,    0
  2135,  7542,19560318,   78,    0
  2135,  7542,19560319,   79,    0
  2135,  7542,19560320,   72,    0
  2135,  7542,19560321,   76,    0
  2135,  7542,19560322,   83,    0
  2135,  7542,19560323,   84,    0
  2135,  7542,19560324,   90,    0
  2135,  7542,19560325,   92,    0
  2135,  7542,19560326,   95,    0
  2135,  7542,19560327,   96,    0
  2135,  7542,19560328,   86,    0
  2135,  7542,19560329,   77,    0
  2135,  7542,19560330,   89,    0
  2135,  7542,19560331,   79,    0
  2135,  7542,19560401,   78,    0
  2135,  7542,19560402,   70,    0
  2135,  7542,19560403,   83,    0
  2135,  7542,19560404,   84,    0
  2135,  7542,19560405,   98,    0
  2135,  7542,19560406,  108,    0
  2135,  7542,19560407,   80,    0
  2135,  7542,19560408,  101,    0
  2135,  7542,19560409,  100,    0
  2135,  7542,19560410,  109,    0
  2135,  7542,19560411,  102,    0
  2135,  7542,19560412,   99,    0
  2135,  7542,19560413,  108,    0
  2135,  7542,19560414,   75,    0
  2135,  7542,19560415,   65,    0
  2135,  7542,19560416,   69,    0
  2135,  7542,19560417,   67,    0
  2135,  7542,19560418,   67,    0
  2135,  7542,19560419,   66,    0
  2135,  7542,19560420,   74,    0
  2135,  7542,19560421,   92,    0
  2135,  7542,19560422,   84,    0
  2135,  7542,19560423,   95,    0
  2135,  7542,19560424,   94,    0
  2135,  7542,19560425,   76,    0
  2135,  7542,19560426,   85,    0
