EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station LIMOGES - BELLEGARDE, FRANCE (STAID: 2195)
Blended and updated with sources:7215 907434 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  2195,  7215,19730101,   31,    0
  2195,  7215,19730102,   20,    0
  2195,  7215,19730103,  -24,    0
  2195,  7215,19730104,   13,    0
  2195,  7215,19730105,   10,    0
  2195,  7215,19730106,    5,    0
  2195,  7215,19730107,  -12,    0
  2195,  7215,19730108,   -4,    0
  2195,  7215,19730109,  -31,    0
  2195,  7215,19730110,  -34,    0
  2195,  7215,19730111,   -9,    0
  2195,  7215,19730112,   38,    0
  2195,  7215,19730113,   58,    0
  2195,  7215,19730114,   60,    0
  2195,  7215,19730115,   51,    0
  2195,  7215,19730116,   25,    0
  2195,  7215,19730117,   56,    0
  2195,  7215,19730118,    8,    0
  2195,  7215,19730119,   11,    0
  2195,  7215,19730120,   41,    0
  2195,  7215,19730121,   34,    0
  2195,  7215,19730122,   16,    0
  2195,  7215,19730123,    2,    0
  2195,  7215,19730124,   52,    0
  2195,  7215,19730125,   58,    0
  2195,  7215,19730126,   25,    0
  2195,  7215,19730127,   52,    0
  2195,  7215,19730128,   52,    0
  2195,  7215,19730129,   32,    0
  2195,  7215,19730130,   52,    0
  2195,  7215,19730131,   34,    0
  2195,  7215,19730201,    8,    0
  2195,  7215,19730202,    8,    0
  2195,  7215,19730203,    3,    0
  2195,  7215,19730204,   36,    0
  2195,  7215,19730205,   73,    0
  2195,  7215,19730206,   47,    0
  2195,  7215,19730207,   38,    0
  2195,  7215,19730208,   20,    0
  2195,  7215,19730209,   44,    0
  2195,  7215,19730210,   25,    0
  2195,  7215,19730211,   30,    0
  2195,  7215,19730212,   43,    0
  2195,  7215,19730213,   26,    0
  2195,  7215,19730214,    4,    0
  2195,  7215,19730215,    6,    0
  2195,  7215,19730216,  -20,    0
  2195,  7215,19730217,   10,    0
  2195,  7215,19730218,   -6,    0
  2195,  7215,19730219,   28,    0
  2195,  7215,19730220,   34,    0
  2195,  7215,19730221,   44,    0
  2195,  7215,19730222,   53,    0
  2195,  7215,19730223,   41,    0
  2195,  7215,19730224,   50,    0
  2195,  7215,19730225,   14,    0
  2195,  7215,19730226,   12,    0
  2195,  7215,19730227,   18,    0
  2195,  7215,19730228,    6,    0
  2195,  7215,19730301,   32,    0
  2195,  7215,19730302,   45,    0
  2195,  7215,19730303,   52,    0
  2195,  7215,19730304,   94,    0
  2195,  7215,19730305,  108,    0
  2195,  7215,19730306,   68,    0
  2195,  7215,19730307,   32,    0
  2195,  7215,19730308,   36,    0
  2195,  7215,19730309,   62,    0
  2195,  7215,19730310,   37,    0
  2195,  7215,19730311,   26,    0
  2195,  7215,19730312,   34,    0
  2195,  7215,19730313,    4,    0
  2195,  7215,19730314,   14,    0
  2195,  7215,19730315,   32,    0
  2195,  7215,19730316,   38,    0
  2195,  7215,19730317,   48,    0
  2195,  7215,19730318,   51,    0
  2195,  7215,19730319,   68,    0
  2195,  7215,19730320,   77,    0
  2195,  7215,19730321,  106,    0
  2195,  7215,19730322,  116,    0
  2195,  7215,19730323,  112,    0
  2195,  7215,19730324,  112,    0
  2195,  7215,19730325,   67,    0
  2195,  7215,19730326,   53,    0
  2195,  7215,19730327,   77,    0
  2195,  7215,19730328,   91,    0
  2195,  7215,19730329,   67,    0
  2195,  7215,19730330,   52,    0
  2195,  7215,19730331,   88,    0
  2195,  7215,19730401,   86,    0
  2195,  7215,19730402,   55,    0
  2195,  7215,19730403,   39,    0
  2195,  7215,19730404,   49,    0
  2195,  7215,19730405,   86,    0
  2195,  7215,19730406,  102,    0
  2195,  7215,19730407,   72,    0
  2195,  7215,19730408,   54,    0
  2195,  7215,19730409,   40,    0
  2195,  7215,19730410,   18,    0
  2195,  7215,19730411,   32,    0
  2195,  7215,19730412,   54,    0
  2195,  7215,19730413,   52,    0
  2195,  7215,19730414,   56,    0
  2195,  7215,19730415,   76,    0
  2195,  7215,19730416,   86,    0
  2195,  7215,19730417,   95,    0
  2195,  7215,19730418,  108,    0
  2195,  7215,19730419,   89,    0
  2195,  7215,19730420,   33,    0
  2195,  7215,19730421,   62,    0
  2195,  7215,19730422,   47,    0
  2195,  7215,19730423,   56,    0
  2195,  7215,19730424,   56,    0
  2195,  7215,19730425,   80,    0
  2195,  7215,19730426,  106,    0
  2195,  7215,19730427,  114,    0
  2195,  7215,19730428,  113,    0
  2195,  7215,19730429,  121,    0
  2195,  7215,19730430,  146,    0
  2195,  7215,19730501,  154,    0
  2195,  7215,19730502,  156,    0
  2195,  7215,19730503,  166,    0
  2195,  7215,19730504,  156,    0
  2195,  7215,19730505,  127,    0
  2195,  7215,19730506,   94,    0
  2195,  7215,19730507,   86,    0
  2195,  7215,19730508,   88,    0
  2195,  7215,19730509,   97,    0
  2195,  7215,19730510,   90,    0
  2195,  7215,19730511,   92,    0
  2195,  7215,19730512,  102,    0
  2195,  7215,19730513,  129,    0
  2195,  7215,19730514,  164,    0
  2195,  7215,19730515,  182,    0
  2195,  7215,19730516,  196,    0
  2195,  7215,19730517,  142,    0
  2195,  7215,19730518,  158,    0
  2195,  7215,19730519,  128,    0
  2195,  7215,19730520,  160,    0
  2195,  7215,19730521,  142,    0
  2195,  7215,19730522,  139,    0
  2195,  7215,19730523,  129,    0
  2195,  7215,19730524,  133,    0
  2195,  7215,19730525,  170,    0
  2195,  7215,19730526,  203,    0
  2195,  7215,19730527,  208,    0
  2195,  7215,19730528,  144,    0
  2195,  7215,19730529,  136,    0
  2195,  7215,19730530,  132,    0
  2195,  7215,19730531,  182,    0
  2195,  7215,19730601,  122,    0
  2195,  7215,19730602,  118,    0
  2195,  7215,19730603,  132,    0
  2195,  7215,19730604,  150,    0
  2195,  7215,19730605,  154,    0
  2195,  7215,19730606,  174,    0
  2195,  7215,19730607,  184,    0
  2195,  7215,19730608,  151,    0
  2195,  7215,19730609,  159,    0
  2195,  7215,19730610,  171,    0
  2195,  7215,19730611,  182,    0
  2195,  7215,19730612,  200,    0
