EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station BREKKE SLUSE, NORWAY (STAID: 2584)
Blended and updated with sources:9797 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  2584,  9797,19570101,  -36,    0
  2584,  9797,19570102,  -47,    0
  2584,  9797,19570103,  -44,    0
  2584,  9797,19570104,   -4,    0
  2584,  9797,19570105,   23,    0
  2584,  9797,19570106,   30,    0
  2584,  9797,19570107,   -3,    0
  2584,  9797,19570108,   54,    0
  2584,  9797,19570109,   51,    0
  2584,  9797,19570110,   -6,    0
  2584,  9797,19570111,  -20,    0
  2584,  9797,19570112,   -1,    0
  2584,  9797,19570113,  -48,    0
  2584,  9797,19570114, -125,    0
  2584,  9797,19570115,  -86,    0
  2584,  9797,19570116,  -91,    0
  2584,  9797,19570117,  -74,    0
  2584,  9797,19570118,  -50,    0
  2584,  9797,19570119,  -74,    0
  2584,  9797,19570120,   25,    0
  2584,  9797,19570121,   43,    0
  2584,  9797,19570122,   34,    0
  2584,  9797,19570123,   -5,    0
  2584,  9797,19570124,   -3,    0
  2584,  9797,19570125,   -1,    0
  2584,  9797,19570126,    4,    0
  2584,  9797,19570127,    5,    0
  2584,  9797,19570128,    3,    0
  2584,  9797,19570129,   48,    0
  2584,  9797,19570130,  -15,    0
  2584,  9797,19570131,  -34,    0
  2584,  9797,19570201,   19,    0
  2584,  9797,19570202,   29,    0
  2584,  9797,19570203,   13,    0
  2584,  9797,19570204,   19,    0
  2584,  9797,19570205,   52,    0
  2584,  9797,19570206,   22,    0
  2584,  9797,19570207,    7,    0
  2584,  9797,19570208,  -15,    0
  2584,  9797,19570209,   -6,    0
  2584,  9797,19570210,    6,    0
  2584,  9797,19570211,  -23,    0
  2584,  9797,19570212,  -54,    0
  2584,  9797,19570213,  -36,    0
  2584,  9797,19570214,  -34,    0
  2584,  9797,19570215,  -49,    0
  2584,  9797,19570216,  -47,    0
  2584,  9797,19570217,  -28,    0
  2584,  9797,19570218,   -3,    0
  2584,  9797,19570219,   -8,    0
  2584,  9797,19570220,  -24,    0
  2584,  9797,19570221,  -24,    0
  2584,  9797,19570222,  -38,    0
  2584,  9797,19570223,  -48,    0
