EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ASKER, NORWAY (STAID: 2594)
Blended and updated with sources:9887 901486 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  2594,  9887,19570101,  -51,    0
  2594,  9887,19570102,  -70,    0
  2594,  9887,19570103,  -79,    0
  2594,  9887,19570104,  -35,    0
  2594,  9887,19570105,    7,    0
  2594,  9887,19570106,   17,    0
  2594,  9887,19570107,   16,    0
  2594,  9887,19570108,   66,    0
  2594,  9887,19570109,   41,    0
  2594,  9887,19570110,   35,    0
  2594,  9887,19570111,   -5,    0
  2594,  9887,19570112,  -11,    0
  2594,  9887,19570113,  -58,    0
  2594,  9887,19570114, -123,    0
  2594,  9887,19570115, -120,    0
  2594,  9887,19570116,  -70,    0
  2594,  9887,19570117,  -33,    0
  2594,  9887,19570118,  -96,    0
  2594,  9887,19570119,  -22,    0
  2594,  9887,19570120,   22,    0
  2594,  9887,19570121,   32,    0
  2594,  9887,19570122,   12,    0
  2594,  9887,19570123,  -32,    0
  2594,  9887,19570124,   -4,    0
  2594,  9887,19570125,   -6,    0
  2594,  9887,19570126,   -1,    0
  2594,  9887,19570127,  -22,    0
  2594,  9887,19570128,  -41,    0
  2594,  9887,19570129,   37,    0
  2594,  9887,19570130,   -2,    0
  2594,  9887,19570131,  -61,    0
  2594,  9887,19570201,    0,    0
  2594,  9887,19570202,   17,    0
  2594,  9887,19570203,  -24,    0
  2594,  9887,19570204,   -2,    0
  2594,  9887,19570205,   31,    0
  2594,  9887,19570206,   16,    0
  2594,  9887,19570207,   23,    0
  2594,  9887,19570208,  -30,    0
  2594,  9887,19570209,  -16,    0
  2594,  9887,19570210,   -7,    0
  2594,  9887,19570211,  -77,    0
  2594,  9887,19570212,  -80,    0
  2594,  9887,19570213,  -45,    0
