EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station VAGA - KLONES, NORWAY (STAID: 2622)
Blended and updated with sources:10139 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  2622, 10139,19570101, -101,    0
  2622, 10139,19570102, -149,    0
  2622, 10139,19570103, -191,    0
  2622, 10139,19570104,  -96,    0
  2622, 10139,19570105,   21,    0
  2622, 10139,19570106,    7,    0
  2622, 10139,19570107,  -13,    0
  2622, 10139,19570108,   63,    0
  2622, 10139,19570109,   29,    0
  2622, 10139,19570110,   -8,    0
  2622, 10139,19570111,  -16,    0
  2622, 10139,19570112,  -38,    0
  2622, 10139,19570113,  -54,    0
  2622, 10139,19570114, -210,    0
  2622, 10139,19570115,  -72,    0
  2622, 10139,19570116,   33,    0
  2622, 10139,19570117,   23,    0
  2622, 10139,19570118,   24,    0
  2622, 10139,19570119,   37,    0
  2622, 10139,19570120,   19,    0
  2622, 10139,19570121,  -12,    0
  2622, 10139,19570122,  -31,    0
  2622, 10139,19570123,  -73,    0
  2622, 10139,19570124,  -40,    0
  2622, 10139,19570125,  -51,    0
  2622, 10139,19570126,  -37,    0
  2622, 10139,19570127,  -39,    0
  2622, 10139,19570128,  -69,    0
  2622, 10139,19570129,    6,    0
  2622, 10139,19570130, -121,    0
  2622, 10139,19570131,  -56,    0
  2622, 10139,19570201,   -3,    0
  2622, 10139,19570202,  -10,    0
  2622, 10139,19570203,  -28,    0
  2622, 10139,19570204,  -13,    0
  2622, 10139,19570205,   20,    0
  2622, 10139,19570206,   22,    0
  2622, 10139,19570207,   -7,    0
  2622, 10139,19570208,  -58,    0
  2622, 10139,19570209,  -38,    0
  2622, 10139,19570210,  -61,    0
  2622, 10139,19570211, -174,    0
  2622, 10139,19570212, -184,    0
  2622, 10139,19570213,  -85,    0
  2622, 10139,19570214,  -73,    0
  2622, 10139,19570215,  -74,    0
  2622, 10139,19570216,  -80,    0
  2622, 10139,19570217,  -93,    0
  2622, 10139,19570218,  -92,    0
  2622, 10139,19570219, -104,    0
  2622, 10139,19570220, -102,    0
  2622, 10139,19570221, -121,    0
  2622, 10139,19570222, -157,    0
  2622, 10139,19570223, -158,    0
  2622, 10139,19570224, -176,    0
  2622, 10139,19570225, -200,    0
  2622, 10139,19570226, -142,    0
  2622, 10139,19570227, -150,    0
  2622, 10139,19570228, -114,    0
  2622, 10139,19570301,  -86,    0
  2622, 10139,19570302,  -89,    0
  2622, 10139,19570303,  -33,    0
  2622, 10139,19570304,  -28,    0
  2622, 10139,19570305,  -11,    0
  2622, 10139,19570306,  -95,    0
  2622, 10139,19570307,  -35,    0
  2622, 10139,19570308,  -14,    0
  2622, 10139,19570309,  -14,    0
  2622, 10139,19570310,  -11,    0
  2622, 10139,19570311,   -7,    0
  2622, 10139,19570312,   -4,    0
  2622, 10139,19570313,   56,    0
  2622, 10139,19570314,    6,    0
  2622, 10139,19570315,  -12,    0
  2622, 10139,19570316,  -85,    0
  2622, 10139,19570317,  -92,    0
  2622, 10139,19570318,  -73,    0
  2622, 10139,19570319,  -84,    0
  2622, 10139,19570320,  -78,    0
  2622, 10139,19570321,  -58,    0
  2622, 10139,19570322,  -26,    0
  2622, 10139,19570323,  -56,    0
  2622, 10139,19570324,  -67,    0
  2622, 10139,19570325,  -34,    0
  2622, 10139,19570326,  -19,    0
  2622, 10139,19570327,   -5,    0
  2622, 10139,19570328,   20,    0
  2622, 10139,19570329,    7,    0
  2622, 10139,19570330,   -2,    0
  2622, 10139,19570331,   -4,    0
  2622, 10139,19570401,   -6,    0
  2622, 10139,19570402,    6,    0
  2622, 10139,19570403,   28,    0
  2622, 10139,19570404,   45,    0
  2622, 10139,19570405,   51,    0
  2622, 10139,19570406,   32,    0
  2622, 10139,19570407,   32,    0
  2622, 10139,19570408,   50,    0
  2622, 10139,19570409,   32,    0
  2622, 10139,19570410,   11,    0
  2622, 10139,19570411,  -25,    0
  2622, 10139,19570412,  -32,    0
  2622, 10139,19570413,  -29,    0
  2622, 10139,19570414,   -7,    0
  2622, 10139,19570415,  -24,    0
  2622, 10139,19570416,   26,    0
  2622, 10139,19570417,   34,    0
  2622, 10139,19570418,   45,    0
  2622, 10139,19570419,   46,    0
  2622, 10139,19570420,   30,    0
  2622, 10139,19570421,   44,    0
  2622, 10139,19570422,   54,    0
  2622, 10139,19570423,   64,    0
  2622, 10139,19570424,   49,    0
  2622, 10139,19570425,   51,    0
  2622, 10139,19570426,   32,    0
  2622, 10139,19570427,   38,    0
  2622, 10139,19570428,   50,    0
  2622, 10139,19570429,   44,    0
  2622, 10139,19570430,   20,    0
  2622, 10139,19570501,   13,    0
  2622, 10139,19570502,   48,    0
  2622, 10139,19570503,   20,    0
  2622, 10139,19570504,   21,    0
  2622, 10139,19570505,   23,    0
  2622, 10139,19570506,   17,    0
  2622, 10139,19570507,   19,    0
  2622, 10139,19570508,   31,    0
  2622, 10139,19570509,   13,    0
  2622, 10139,19570510,   26,    0
  2622, 10139,19570511,   58,    0
  2622, 10139,19570512,   91,    0
  2622, 10139,19570513,   83,    0
  2622, 10139,19570514,   78,    0
  2622, 10139,19570515,   86,    0
  2622, 10139,19570516,   79,    0
  2622, 10139,19570517,   93,    0
  2622, 10139,19570518,   85,    0
  2622, 10139,19570519,   77,    0
  2622, 10139,19570520,   69,    0
  2622, 10139,19570521,   63,    0
  2622, 10139,19570522,   96,    0
  2622, 10139,19570523,   97,    0
  2622, 10139,19570524,  116,    0
  2622, 10139,19570525,  115,    0
  2622, 10139,19570526,  110,    0
  2622, 10139,19570527,  108,    0
  2622, 10139,19570528,  112,    0
  2622, 10139,19570529,  108,    0
  2622, 10139,19570530,  110,    0
  2622, 10139,19570531,  104,    0
  2622, 10139,19570601,   95,    0
  2622, 10139,19570602,   92,    0
  2622, 10139,19570603,  107,    0
  2622, 10139,19570604,  104,    0
  2622, 10139,19570605,   69,    0
  2622, 10139,19570606,   81,    0
  2622, 10139,19570607,   90,    0
  2622, 10139,19570608,   67,    0
  2622, 10139,19570609,   69,    0
  2622, 10139,19570610,  112,    0
  2622, 10139,19570611,  124,    0
  2622, 10139,19570612,   98,    0
  2622, 10139,19570613,  111,    0
  2622, 10139,19570614,  125,    0
  2622, 10139,19570615,  144,    0
  2622, 10139,19570616,  136,    0
  2622, 10139,19570617,  160,    0
  2622, 10139,19570618,  115,    0
  2622, 10139,19570619,   93,    0
  2622, 10139,19570620,   89,    0
  2622, 10139,19570621,   68,    0
  2622, 10139,19570622,   81,    0
  2622, 10139,19570623,   76,    0
  2622, 10139,19570624,   94,    0
  2622, 10139,19570625,  106,    0
  2622, 10139,19570626,  101,    0
  2622, 10139,19570627,  106,    0
  2622, 10139,19570628,  116,    0
  2622, 10139,19570629,  127,    0
  2622, 10139,19570630,  152,    0
  2622, 10139,19570701,  122,    0
  2622, 10139,19570702,  122,    0
  2622, 10139,19570703,  132,    0
  2622, 10139,19570704,  105,    0
  2622, 10139,19570705,  113,    0
  2622, 10139,19570706,  121,    0
  2622, 10139,19570707,  107,    0
  2622, 10139,19570708,  115,    0
  2622, 10139,19570709,  132,    0
  2622, 10139,19570710,  117,    0
  2622, 10139,19570711,  117,    0
  2622, 10139,19570712,  145,    0
  2622, 10139,19570713,  123,    0
  2622, 10139,19570714,  167,    0
  2622, 10139,19570715,  125,    0
  2622, 10139,19570716,  148,    0
  2622, 10139,19570717,  145,    0
  2622, 10139,19570718,  136,    0
  2622, 10139,19570719,  144,    0
  2622, 10139,19570720,  160,    0
  2622, 10139,19570721,  200,    0
  2622, 10139,19570722,  180,    0
  2622, 10139,19570723,  155,    0
  2622, 10139,19570724,  144,    0
  2622, 10139,19570725,  156,    0
  2622, 10139,19570726,  157,    0
  2622, 10139,19570727,  146,    0
  2622, 10139,19570728,  134,    0
  2622, 10139,19570729,  172,    0
  2622, 10139,19570730,  151,    0
  2622, 10139,19570731,  145,    0
  2622, 10139,19570801,  124,    0
  2622, 10139,19570802,  123,    0
  2622, 10139,19570803,  151,    0
  2622, 10139,19570804,  149,    0
  2622, 10139,19570805,  156,    0
  2622, 10139,19570806,  159,    0
  2622, 10139,19570807,  160,    0
  2622, 10139,19570808,  139,    0
  2622, 10139,19570809,  146,    0
  2622, 10139,19570810,  127,    0
  2622, 10139,19570811,  137,    0
  2622, 10139,19570812,  137,    0
  2622, 10139,19570813,  125,    0
  2622, 10139,19570814,  112,    0
  2622, 10139,19570815,  131,    0
  2622, 10139,19570816,  136,    0
  2622, 10139,19570817,  147,    0
  2622, 10139,19570818,  125,    0
  2622, 10139,19570819,  121,    0
  2622, 10139,19570820,  110,    0
  2622, 10139,19570821,   95,    0
  2622, 10139,19570822,   85,    0
  2622, 10139,19570823,   97,    0
  2622, 10139,19570824,  107,    0
  2622, 10139,19570825,  109,    0
  2622, 10139,19570826,   96,    0
  2622, 10139,19570827,   99,    0
  2622, 10139,19570828,   96,    0
  2622, 10139,19570829,  106,    0
  2622, 10139,19570830,  101,    0
  2622, 10139,19570831,  112,    0
  2622, 10139,19570901,  107,    0
  2622, 10139,19570902,   99,    0
  2622, 10139,19570903,   97,    0
  2622, 10139,19570904,   85,    0
  2622, 10139,19570905,   78,    0
  2622, 10139,19570906,   90,    0
  2622, 10139,19570907,   79,    0
  2622, 10139,19570908,  110,    0
  2622, 10139,19570909,   91,    0
  2622, 10139,19570910,  109,    0
  2622, 10139,19570911,   92,    0
  2622, 10139,19570912,   90,    0
  2622, 10139,19570913,   77,    0
  2622, 10139,19570914,   69,    0
  2622, 10139,19570915,   83,    0
  2622, 10139,19570916,   89,    0
  2622, 10139,19570917,   79,    0
  2622, 10139,19570918,   95,    0
  2622, 10139,19570919,   67,    0
  2622, 10139,19570920,   29,    0
  2622, 10139,19570921,   39,    0
  2622, 10139,19570922,   37,    0
  2622, 10139,19570923,   23,    0
  2622, 10139,19570924,   50,    0
  2622, 10139,19570925,   57,    0
  2622, 10139,19570926,   44,    0
  2622, 10139,19570927,   62,    0
  2622, 10139,19570928,   55,    0
  2622, 10139,19570929,   36,    0
  2622, 10139,19570930,   26,    0
  2622, 10139,19571001,   34,    0
  2622, 10139,19571002,   56,    0
  2622, 10139,19571003,   47,    0
  2622, 10139,19571004,   47,    0
  2622, 10139,19571005,   29,    0
  2622, 10139,19571006,   34,    0
  2622, 10139,19571007,  117,    0
  2622, 10139,19571008,   68,    0
  2622, 10139,19571009,   59,    0
  2622, 10139,19571010,   78,    0
  2622, 10139,19571011,   65,    0
  2622, 10139,19571012,   61,    0
  2622, 10139,19571013,   82,    0
  2622, 10139,19571014,   57,    0
  2622, 10139,19571015,   14,    0
  2622, 10139,19571016,   50,    0
  2622, 10139,19571017,   58,    0
  2622, 10139,19571018,   17,    0
  2622, 10139,19571019,   12,    0
  2622, 10139,19571020,    9,    0
  2622, 10139,19571021,   23,    0
  2622, 10139,19571022,   12,    0
  2622, 10139,19571023,   10,    0
  2622, 10139,19571024,   12,    0
