EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NORDOYAN FYR, NORWAY (STAID: 2727)
Blended and updated with sources:11113 901262 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  2727, 11113,19510101,  -65,    0
  2727, 11113,19510102,  -38,    0
  2727, 11113,19510103,  -20,    0
  2727, 11113,19510104,  -49,    0
  2727, 11113,19510105,  -43,    0
  2727, 11113,19510106,  -45,    0
  2727, 11113,19510107,  -35,    0
  2727, 11113,19510108,  -22,    0
  2727, 11113,19510109,  -37,    0
  2727, 11113,19510110,  -48,    0
  2727, 11113,19510111,  -35,    0
  2727, 11113,19510112,   -9,    0
  2727, 11113,19510113,   12,    0
  2727, 11113,19510114,    9,    0
  2727, 11113,19510115,    5,    0
  2727, 11113,19510116,   27,    0
  2727, 11113,19510117,    7,    0
  2727, 11113,19510118,    9,    0
  2727, 11113,19510119,   34,    0
  2727, 11113,19510120,   -4,    0
  2727, 11113,19510121,  -19,    0
  2727, 11113,19510122,  -42,    0
  2727, 11113,19510123,   -9,    0
  2727, 11113,19510124,   56,    0
  2727, 11113,19510125,   30,    0
  2727, 11113,19510126,   -2,    0
  2727, 11113,19510127,  -11,    0
  2727, 11113,19510128,    6,    0
  2727, 11113,19510129,   36,    0
  2727, 11113,19510130,   19,    0
  2727, 11113,19510131,    5,    0
  2727, 11113,19510201,   26,    0
  2727, 11113,19510202,   45,    0
  2727, 11113,19510203,   28,    0
  2727, 11113,19510204,   -7,    0
  2727, 11113,19510205,    5,    0
  2727, 11113,19510206,    3,    0
  2727, 11113,19510207,   12,    0
  2727, 11113,19510208,   34,    0
  2727, 11113,19510209,    5,    0
  2727, 11113,19510210,   50,    0
  2727, 11113,19510211,   39,    0
  2727, 11113,19510212,   28,    0
  2727, 11113,19510213,    2,    0
  2727, 11113,19510214,  -49,    0
  2727, 11113,19510215,  -25,    0
  2727, 11113,19510216,  -48,    0
  2727, 11113,19510217,  -52,    0
  2727, 11113,19510218,   -5,    0
  2727, 11113,19510219,  -18,    0
  2727, 11113,19510220,   15,    0
  2727, 11113,19510221,   21,    0
  2727, 11113,19510222,   19,    0
  2727, 11113,19510223,   -2,    0
  2727, 11113,19510224,   -6,    0
  2727, 11113,19510225,   20,    0
  2727, 11113,19510226,   12,    0
  2727, 11113,19510227,   16,    0
  2727, 11113,19510228,   37,    0
  2727, 11113,19510301,   46,    0
  2727, 11113,19510302,   61,    0
  2727, 11113,19510303,   49,    0
  2727, 11113,19510304,   58,    0
  2727, 11113,19510305,   43,    0
  2727, 11113,19510306,   43,    0
  2727, 11113,19510307,   23,    0
  2727, 11113,19510308,   20,    0
  2727, 11113,19510309,  -17,    0
  2727, 11113,19510310,  -35,    0
  2727, 11113,19510311,  -21,    0
  2727, 11113,19510312,  -35,    0
