EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station MIKE, NORWAY (STAID: 2757)
Blended and updated with sources:11383 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  2757, 11383,19490101,-9999,    9
  2757, 11383,19490102,-9999,    9
  2757, 11383,19490103,-9999,    9
  2757, 11383,19490104,-9999,    9
  2757, 11383,19490105,   54,    0
  2757, 11383,19490106,   25,    0
  2757, 11383,19490107,    8,    0
  2757, 11383,19490108,   12,    0
  2757, 11383,19490109,   24,    0
  2757, 11383,19490110,   52,    0
  2757, 11383,19490111,    9,    0
  2757, 11383,19490112,  -24,    0
  2757, 11383,19490113,   51,    0
  2757, 11383,19490114,   33,    0
  2757, 11383,19490115,    7,    0
  2757, 11383,19490116,   34,    0
  2757, 11383,19490117,   48,    0
  2757, 11383,19490118,   27,    0
  2757, 11383,19490119,   40,    0
  2757, 11383,19490120,    6,    0
  2757, 11383,19490121,   37,    0
  2757, 11383,19490122,   46,    0
  2757, 11383,19490123,   52,    0
  2757, 11383,19490124,   23,    0
  2757, 11383,19490125,   55,    0
  2757, 11383,19490126,   56,    0
  2757, 11383,19490127,   39,    0
  2757, 11383,19490128,   56,    0
  2757, 11383,19490129,   40,    0
  2757, 11383,19490130,    3,    0
  2757, 11383,19490131,    4,    0
  2757, 11383,19490201,   35,    0
  2757, 11383,19490202,   68,    0
  2757, 11383,19490203,-9999,    9
  2757, 11383,19490204,   14,    0
  2757, 11383,19490205,   40,    0
  2757, 11383,19490206,   65,    0
  2757, 11383,19490207,   70,    0
  2757, 11383,19490208,   67,    0
  2757, 11383,19490209,   58,    0
  2757, 11383,19490210,   37,    0
  2757, 11383,19490211,   61,    0
  2757, 11383,19490212,   61,    0
  2757, 11383,19490213,   59,    0
  2757, 11383,19490214,   39,    0
  2757, 11383,19490215,   52,    0
  2757, 11383,19490216,   44,    0
  2757, 11383,19490217,   26,    0
  2757, 11383,19490218,   54,    0
  2757, 11383,19490219,   62,    0
  2757, 11383,19490220,   66,    0
  2757, 11383,19490221,   62,    0
  2757, 11383,19490222,   36,    0
  2757, 11383,19490223,   27,    0
  2757, 11383,19490224,    8,    0
  2757, 11383,19490225,   11,    0
  2757, 11383,19490226,   26,    0
  2757, 11383,19490227,-9999,    9
  2757, 11383,19490228,    6,    0
  2757, 11383,19490301,   19,    0
  2757, 11383,19490302,   -6,    0
  2757, 11383,19490303,   18,    0
  2757, 11383,19490304,   61,    0
  2757, 11383,19490305,   60,    0
  2757, 11383,19490306,   51,    0
  2757, 11383,19490307,   49,    0
  2757, 11383,19490308,   47,    0
  2757, 11383,19490309,   54,    0
  2757, 11383,19490310,   50,    0
  2757, 11383,19490311,   46,    0
  2757, 11383,19490312,    0,    0
  2757, 11383,19490313,   32,    0
  2757, 11383,19490314,   33,    0
  2757, 11383,19490315,   14,    0
  2757, 11383,19490316,   40,    0
  2757, 11383,19490317,   39,    0
  2757, 11383,19490318,   36,    0
  2757, 11383,19490319,   13,    0
  2757, 11383,19490320,   47,    0
  2757, 11383,19490321,   50,    0
  2757, 11383,19490322,   41,    0
  2757, 11383,19490323,   49,    0
  2757, 11383,19490324,   52,    0
  2757, 11383,19490325,   23,    0
