EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station MUENCHEN-FLUGHAFEN, GERMANY (STAID: 2764)
Blended and updated with sources:11527 28628 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  2764, 28628,19700401,   26,    0
  2764, 28628,19700402,   11,    0
  2764, 28628,19700403,   -6,    0
  2764, 28628,19700404,  -13,    0
  2764, 28628,19700405,   -6,    0
  2764, 28628,19700406,   25,    0
  2764, 28628,19700407,   44,    0
  2764, 28628,19700408,   45,    0
  2764, 28628,19700409,   16,    0
  2764, 28628,19700410,   22,    0
  2764, 28628,19700411,   24,    0
  2764, 28628,19700412,   50,    0
  2764, 28628,19700413,   62,    0
  2764, 28628,19700414,   37,    0
  2764, 28628,19700415,   34,    0
  2764, 28628,19700416,   68,    0
  2764, 28628,19700417,  122,    0
  2764, 28628,19700418,  138,    0
  2764, 28628,19700419,  130,    0
  2764, 28628,19700420,   67,    0
  2764, 28628,19700421,   76,    0
  2764, 28628,19700422,  118,    0
  2764, 28628,19700423,  132,    0
  2764, 28628,19700424,  113,    0
  2764, 28628,19700425,  124,    0
  2764, 28628,19700426,   65,    0
  2764, 28628,19700427,   63,    0
  2764, 28628,19700428,   57,    0
  2764, 28628,19700429,   37,    0
  2764, 28628,19700430,   34,    0
  2764, 28628,19700501,   11,    0
  2764, 28628,19700502,   34,    0
  2764, 28628,19700503,   66,    0
  2764, 28628,19700504,   87,    0
  2764, 28628,19700505,   94,    0
  2764, 28628,19700506,  126,    0
  2764, 28628,19700507,  125,    0
  2764, 28628,19700508,  152,    0
  2764, 28628,19700509,  136,    0
  2764, 28628,19700510,  144,    0
  2764, 28628,19700511,   92,    0
  2764, 28628,19700512,   90,    0
  2764, 28628,19700513,  111,    0
  2764, 28628,19700514,  125,    0
  2764, 28628,19700515,  130,    0
  2764, 28628,19700516,  134,    0
  2764, 28628,19700517,  116,    0
  2764, 28628,19700518,  114,    0
  2764, 28628,19700519,  121,    0
  2764, 28628,19700520,  122,    0
  2764, 28628,19700521,  102,    0
  2764, 28628,19700522,   80,    0
  2764, 28628,19700523,   75,    0
  2764, 28628,19700524,  100,    0
  2764, 28628,19700525,  134,    0
  2764, 28628,19700526,  113,    0
  2764, 28628,19700527,   95,    0
  2764, 28628,19700528,  101,    0
  2764, 28628,19700529,  131,    0
  2764, 28628,19700530,  108,    0
  2764, 28628,19700531,  114,    0
  2764, 28628,19700601,  136,    0
  2764, 28628,19700602,  106,    0
  2764, 28628,19700603,  118,    0
  2764, 28628,19700604,  111,    0
  2764, 28628,19700605,  145,    0
  2764, 28628,19700606,  156,    0
  2764, 28628,19700607,  190,    0
  2764, 28628,19700608,  190,    0
  2764, 28628,19700609,  172,    0
  2764, 28628,19700610,  170,    0
  2764, 28628,19700611,  182,    0
  2764, 28628,19700612,  174,    0
  2764, 28628,19700613,  180,    0
  2764, 28628,19700614,  170,    0
  2764, 28628,19700615,  192,    0
  2764, 28628,19700616,  205,    0
  2764, 28628,19700617,  200,    0
  2764, 28628,19700618,  156,    0
  2764, 28628,19700619,  177,    0
  2764, 28628,19700620,  186,    0
  2764, 28628,19700621,  193,    0
  2764, 28628,19700622,  212,    0
  2764, 28628,19700623,  194,    0
  2764, 28628,19700624,  186,    0
  2764, 28628,19700625,  187,    0
  2764, 28628,19700626,  207,    0
  2764, 28628,19700627,  216,    0
  2764, 28628,19700628,  188,    0
  2764, 28628,19700629,  150,    0
  2764, 28628,19700630,  108,    0
  2764, 28628,19700701,  146,    0
  2764, 28628,19700702,  128,    0
  2764, 28628,19700703,  121,    0
  2764, 28628,19700704,  115,    0
  2764, 28628,19700705,  154,    0
  2764, 28628,19700706,  166,    0
  2764, 28628,19700707,  185,    0
  2764, 28628,19700708,  200,    0
  2764, 28628,19700709,  182,    0
  2764, 28628,19700710,  185,    0
  2764, 28628,19700711,  205,    0
  2764, 28628,19700712,  187,    0
  2764, 28628,19700713,  199,    0
  2764, 28628,19700714,  228,    0
  2764, 28628,19700715,  110,    0
  2764, 28628,19700716,  108,    0
  2764, 28628,19700717,   99,    0
  2764, 28628,19700718,  116,    0
  2764, 28628,19700719,  152,    0
  2764, 28628,19700720,  141,    0
  2764, 28628,19700721,  152,    0
  2764, 28628,19700722,  183,    0
  2764, 28628,19700723,  205,    0
  2764, 28628,19700724,  218,    0
  2764, 28628,19700725,  154,    0
  2764, 28628,19700726,  151,    0
  2764, 28628,19700727,  174,    0
  2764, 28628,19700728,  209,    0
  2764, 28628,19700729,  200,    0
  2764, 28628,19700730,  196,    0
  2764, 28628,19700731,  198,    0
  2764, 28628,19700801,  178,    0
  2764, 28628,19700802,  193,    0
  2764, 28628,19700803,  184,    0
  2764, 28628,19700804,  194,    0
  2764, 28628,19700805,  208,    0
  2764, 28628,19700806,  226,    0
  2764, 28628,19700807,  209,    0
  2764, 28628,19700808,  180,    0
  2764, 28628,19700809,  150,    0
  2764, 28628,19700810,  164,    0
  2764, 28628,19700811,  145,    0
  2764, 28628,19700812,  177,    0
  2764, 28628,19700813,  166,    0
  2764, 28628,19700814,  175,    0
  2764, 28628,19700815,  171,    0
  2764, 28628,19700816,  204,    0
  2764, 28628,19700817,  130,    0
  2764, 28628,19700818,  149,    0
  2764, 28628,19700819,  161,    0
  2764, 28628,19700820,  168,    0
  2764, 28628,19700821,  137,    0
  2764, 28628,19700822,  121,    0
  2764, 28628,19700823,  132,    0
  2764, 28628,19700824,  128,    0
  2764, 28628,19700825,  136,    0
  2764, 28628,19700826,  138,    0
  2764, 28628,19700827,  146,    0
  2764, 28628,19700828,  169,    0
  2764, 28628,19700829,  181,    0
  2764, 28628,19700830,  173,    0
  2764, 28628,19700831,  163,    0
  2764, 28628,19700901,  161,    0
  2764, 28628,19700902,  144,    0
  2764, 28628,19700903,  146,    0
  2764, 28628,19700904,  161,    0
  2764, 28628,19700905,  152,    0
  2764, 28628,19700906,  163,    0
  2764, 28628,19700907,  146,    0
  2764, 28628,19700908,  160,    0
  2764, 28628,19700909,  183,    0
  2764, 28628,19700910,  191,    0
  2764, 28628,19700911,  148,    0
  2764, 28628,19700912,  136,    0
  2764, 28628,19700913,  115,    0
  2764, 28628,19700914,  130,    0
  2764, 28628,19700915,  149,    0
  2764, 28628,19700916,  108,    0
  2764, 28628,19700917,  102,    0
  2764, 28628,19700918,   93,    0
  2764, 28628,19700919,  122,    0
  2764, 28628,19700920,  152,    0
  2764, 28628,19700921,  176,    0
  2764, 28628,19700922,  110,    0
  2764, 28628,19700923,   78,    0
  2764, 28628,19700924,   58,    0
  2764, 28628,19700925,   88,    0
  2764, 28628,19700926,  112,    0
  2764, 28628,19700927,  101,    0
  2764, 28628,19700928,   90,    0
  2764, 28628,19700929,   78,    0
  2764, 28628,19700930,  109,    0
  2764, 28628,19701001,   92,    0
  2764, 28628,19701002,   91,    0
  2764, 28628,19701003,   65,    0
  2764, 28628,19701004,   71,    0
  2764, 28628,19701005,   99,    0
  2764, 28628,19701006,  104,    0
  2764, 28628,19701007,  124,    0
  2764, 28628,19701008,  114,    0
  2764, 28628,19701009,  114,    0
  2764, 28628,19701010,  117,    0
  2764, 28628,19701011,  130,    0
  2764, 28628,19701012,  133,    0
  2764, 28628,19701013,   98,    0
  2764, 28628,19701014,  100,    0
  2764, 28628,19701015,   62,    0
  2764, 28628,19701016,   43,    0
  2764, 28628,19701017,   28,    0
  2764, 28628,19701018,   41,    0
  2764, 28628,19701019,   96,    0
  2764, 28628,19701020,   44,    0
  2764, 28628,19701021,   39,    0
  2764, 28628,19701022,   43,    0
  2764, 28628,19701023,   17,    0
  2764, 28628,19701024,   42,    0
  2764, 28628,19701025,   57,    0
  2764, 28628,19701026,   70,    0
  2764, 28628,19701027,   64,    0
  2764, 28628,19701028,   86,    0
  2764, 28628,19701029,  104,    0
  2764, 28628,19701030,   63,    0
  2764, 28628,19701031,   94,    0
  2764, 28628,19701101,  120,    0
  2764, 28628,19701102,  144,    0
  2764, 28628,19701103,  154,    0
  2764, 28628,19701104,   79,    0
  2764, 28628,19701105,   78,    0
  2764, 28628,19701106,   48,    0
  2764, 28628,19701107,   48,    0
  2764, 28628,19701108,   37,    0
  2764, 28628,19701109,   75,    0
  2764, 28628,19701110,   50,    0
  2764, 28628,19701111,   68,    0
  2764, 28628,19701112,   48,    0
  2764, 28628,19701113,   64,    0
  2764, 28628,19701114,   55,    0
  2764, 28628,19701115,   40,    0
  2764, 28628,19701116,   19,    0
  2764, 28628,19701117,   28,    0
  2764, 28628,19701118,   72,    0
  2764, 28628,19701119,   83,    0
  2764, 28628,19701120,   54,    0
  2764, 28628,19701121,   36,    0
  2764, 28628,19701122,   43,    0
  2764, 28628,19701123,   18,    0
  2764, 28628,19701124,    0,    0
  2764, 28628,19701125,   -2,    0
  2764, 28628,19701126,  -12,    0
  2764, 28628,19701127,  -10,    0
  2764, 28628,19701128,  -12,    0
  2764, 28628,19701129,   28,    0
  2764, 28628,19701130,   53,    0
  2764, 28628,19701201,   69,    0
  2764, 28628,19701202,   40,    0
  2764, 28628,19701203,   48,    0
  2764, 28628,19701204,   36,    0
  2764, 28628,19701205,   54,    0
  2764, 28628,19701206,   12,    0
  2764, 28628,19701207,   10,    0
  2764, 28628,19701208,    0,    0
  2764, 28628,19701209,  -10,    0
  2764, 28628,19701210,    6,    0
  2764, 28628,19701211,   -8,    0
  2764, 28628,19701212,  -20,    0
  2764, 28628,19701213,  -20,    0
  2764, 28628,19701214,   -2,    0
  2764, 28628,19701215,    4,    0
  2764, 28628,19701216,   -2,    0
  2764, 28628,19701217,  -28,    0
  2764, 28628,19701218,    0,    0
  2764, 28628,19701219,  -20,    0
  2764, 28628,19701220,  -29,    0
  2764, 28628,19701221,   -9,    0
  2764, 28628,19701222,  -61,    0
  2764, 28628,19701223,  -62,    0
  2764, 28628,19701224,  -47,    0
  2764, 28628,19701225,  -66,    0
  2764, 28628,19701226, -111,    0
  2764, 28628,19701227,  -79,    0
  2764, 28628,19701228,  -54,    0
  2764, 28628,19701229,  -48,    0
  2764, 28628,19701230,  -54,    0
  2764, 28628,19701231,  -59,    0
  2764, 28628,19710101, -163,    0
  2764, 28628,19710102, -177,    0
  2764, 28628,19710103, -112,    0
  2764, 28628,19710104, -118,    0
  2764, 28628,19710105, -145,    0
  2764, 28628,19710106, -154,    0
  2764, 28628,19710107, -171,    0
  2764, 28628,19710108, -115,    0
  2764, 28628,19710109, -110,    0
  2764, 28628,19710110,  -62,    0
  2764, 28628,19710111,  -18,    0
  2764, 28628,19710112,  -94,    0
  2764, 28628,19710113, -115,    0
  2764, 28628,19710114, -102,    0
  2764, 28628,19710115,  -42,    0
  2764, 28628,19710116,   -2,    0
  2764, 28628,19710117,  -31,    0
  2764, 28628,19710118,  -60,    0
  2764, 28628,19710119,  -22,    0
  2764, 28628,19710120,   -2,    0
  2764, 28628,19710121,   -2,    0
  2764, 28628,19710122,    6,    0
  2764, 28628,19710123,    5,    0
  2764, 28628,19710124,   54,    0
  2764, 28628,19710125,   28,    0
  2764, 28628,19710126,   40,    0
  2764, 28628,19710127,   58,    0
  2764, 28628,19710128,   48,    0
  2764, 28628,19710129,   21,    0
  2764, 28628,19710130,    3,    0
  2764, 28628,19710131,   22,    0
  2764, 28628,19710201,   -6,    0
  2764, 28628,19710202,  -78,    0
  2764, 28628,19710203,  -40,    0
  2764, 28628,19710204,  -27,    0
  2764, 28628,19710205,  -36,    0
  2764, 28628,19710206,   -2,    0
  2764, 28628,19710207,   -8,    0
  2764, 28628,19710208,    8,    0
  2764, 28628,19710209,   20,    0
  2764, 28628,19710210,   10,    0
  2764, 28628,19710211,   -3,    0
  2764, 28628,19710212,   15,    0
  2764, 28628,19710213,   48,    0
  2764, 28628,19710214,   19,    0
  2764, 28628,19710215,   12,    0
  2764, 28628,19710216,   13,    0
  2764, 28628,19710217,    1,    0
  2764, 28628,19710218,   16,    0
  2764, 28628,19710219,   28,    0
  2764, 28628,19710220,    2,    0
  2764, 28628,19710221,   12,    0
  2764, 28628,19710222,   16,    0
  2764, 28628,19710223,    7,    0
  2764, 28628,19710224,    8,    0
  2764, 28628,19710225,   16,    0
  2764, 28628,19710226,  -26,    0
  2764, 28628,19710227,  -75,    0
  2764, 28628,19710228,  -76,    0
  2764, 28628,19710301,  -56,    0
  2764, 28628,19710302, -104,    0
  2764, 28628,19710303,  -56,    0
  2764, 28628,19710304, -104,    0
  2764, 28628,19710305, -162,    0
  2764, 28628,19710306, -124,    0
  2764, 28628,19710307,  -84,    0
  2764, 28628,19710308,  -64,    0
  2764, 28628,19710309,  -57,    0
  2764, 28628,19710310,  -26,    0
  2764, 28628,19710311,  -22,    0
  2764, 28628,19710312,  -33,    0
  2764, 28628,19710313,    0,    0
  2764, 28628,19710314,    4,    0
  2764, 28628,19710315,   30,    0
  2764, 28628,19710316,   13,    0
  2764, 28628,19710317,   15,    0
  2764, 28628,19710318,   54,    0
  2764, 28628,19710319,   44,    0
  2764, 28628,19710320,   59,    0
  2764, 28628,19710321,  104,    0
  2764, 28628,19710322,   72,    0
  2764, 28628,19710323,   17,    0
  2764, 28628,19710324,   44,    0
  2764, 28628,19710325,   69,    0
  2764, 28628,19710326,   21,    0
  2764, 28628,19710327,   32,    0
  2764, 28628,19710328,   35,    0
  2764, 28628,19710329,   20,    0
  2764, 28628,19710330,   26,    0
  2764, 28628,19710331,   40,    0
  2764, 28628,19710401,   64,    0
  2764, 28628,19710402,   67,    0
  2764, 28628,19710403,   81,    0
  2764, 28628,19710404,   97,    0
  2764, 28628,19710405,   87,    0
  2764, 28628,19710406,   80,    0
  2764, 28628,19710407,   88,    0
  2764, 28628,19710408,  117,    0
  2764, 28628,19710409,  115,    0
  2764, 28628,19710410,  120,    0
  2764, 28628,19710411,   92,    0
  2764, 28628,19710412,   65,    0
  2764, 28628,19710413,   74,    0
  2764, 28628,19710414,   68,    0
  2764, 28628,19710415,   90,    0
  2764, 28628,19710416,  114,    0
  2764, 28628,19710417,   64,    0
  2764, 28628,19710418,   68,    0
  2764, 28628,19710419,  100,    0
  2764, 28628,19710420,  118,    0
  2764, 28628,19710421,  117,    0
  2764, 28628,19710422,  144,    0
  2764, 28628,19710423,  146,    0
  2764, 28628,19710424,   85,    0
  2764, 28628,19710425,   56,    0
  2764, 28628,19710426,   69,    0
  2764, 28628,19710427,   84,    0
  2764, 28628,19710428,   30,    0
  2764, 28628,19710429,   54,    0
  2764, 28628,19710430,   84,    0
  2764, 28628,19710501,   56,    0
  2764, 28628,19710502,   57,    0
  2764, 28628,19710503,   74,    0
  2764, 28628,19710504,   92,    0
  2764, 28628,19710505,   94,    0
  2764, 28628,19710506,  124,    0
  2764, 28628,19710507,  117,    0
  2764, 28628,19710508,  131,    0
  2764, 28628,19710509,  153,    0
  2764, 28628,19710510,  136,    0
  2764, 28628,19710511,  160,    0
  2764, 28628,19710512,  167,    0
  2764, 28628,19710513,  163,    0
  2764, 28628,19710514,  161,    0
  2764, 28628,19710515,  158,    0
  2764, 28628,19710516,  179,    0
  2764, 28628,19710517,  182,    0
  2764, 28628,19710518,  208,    0
  2764, 28628,19710519,  184,    0
