EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NOVI SAD, SERBIA (STAID: 2923)
Blended and updated with sources:11908 913168 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  2923, 11908,19490101,   73,    0
  2923, 11908,19490102,   85,    0
  2923, 11908,19490103,   85,    0
  2923, 11908,19490104,   74,    0
  2923, 11908,19490105,   31,    0
  2923, 11908,19490106,   35,    0
  2923, 11908,19490107,   20,    0
  2923, 11908,19490108,  -10,    0
  2923, 11908,19490109,    9,    0
  2923, 11908,19490110,   11,    0
  2923, 11908,19490111,   12,    0
  2923, 11908,19490112,    7,    0
  2923, 11908,19490113,    6,    0
  2923, 11908,19490114,    1,    0
  2923, 11908,19490115,  -12,    0
  2923, 11908,19490116,   -6,    0
  2923, 11908,19490117,  -33,    0
  2923, 11908,19490118,   16,    0
  2923, 11908,19490119,   24,    0
  2923, 11908,19490120,   42,    0
  2923, 11908,19490121,   40,    0
  2923, 11908,19490122,   24,    0
  2923, 11908,19490123,  -26,    0
  2923, 11908,19490124,  -37,    0
  2923, 11908,19490125,  -31,    0
  2923, 11908,19490126,  -13,    0
  2923, 11908,19490127,  -19,    0
  2923, 11908,19490128,  -18,    0
  2923, 11908,19490129,  -15,    0
  2923, 11908,19490130,    9,    0
  2923, 11908,19490131,   14,    0
  2923, 11908,19490201,  -19,    0
  2923, 11908,19490202,  -69,    0
  2923, 11908,19490203,  -91,    0
  2923, 11908,19490204,  -52,    0
  2923, 11908,19490205,   -1,    0
  2923, 11908,19490206,  -14,    0
  2923, 11908,19490207,  -10,    0
  2923, 11908,19490208,    7,    0
  2923, 11908,19490209,   30,    0
  2923, 11908,19490210,   29,    0
  2923, 11908,19490211,   23,    0
  2923, 11908,19490212,    6,    0
  2923, 11908,19490213,  -12,    0
  2923, 11908,19490214,  -15,    0
  2923, 11908,19490215,   -1,    0
  2923, 11908,19490216,   36,    0
  2923, 11908,19490217,   51,    0
  2923, 11908,19490218,   49,    0
  2923, 11908,19490219,   54,    0
  2923, 11908,19490220,   45,    0
  2923, 11908,19490221,   22,    0
  2923, 11908,19490222,   -1,    0
  2923, 11908,19490223,   29,    0
  2923, 11908,19490224,   84,    0
  2923, 11908,19490225,   59,    0
  2923, 11908,19490226,   40,    0
  2923, 11908,19490227,   85,    0
  2923, 11908,19490228,   29,    0
  2923, 11908,19490301,   17,    0
  2923, 11908,19490302,   10,    0
  2923, 11908,19490303,  -24,    0
  2923, 11908,19490304,  -32,    0
  2923, 11908,19490305,  -48,    0
  2923, 11908,19490306,  -51,    0
  2923, 11908,19490307,  -33,    0
  2923, 11908,19490308,  -13,    0
  2923, 11908,19490309,  -17,    0
  2923, 11908,19490310,   -1,    0
  2923, 11908,19490311,  -17,    0
  2923, 11908,19490312,  -31,    0
  2923, 11908,19490313,   -1,    0
  2923, 11908,19490314,   66,    0
  2923, 11908,19490315,   63,    0
  2923, 11908,19490316,   39,    0
  2923, 11908,19490317,   38,    0
  2923, 11908,19490318,   62,    0
  2923, 11908,19490319,   42,    0
  2923, 11908,19490320,   17,    0
  2923, 11908,19490321,   -2,    0
  2923, 11908,19490322,   17,    0
  2923, 11908,19490323,   30,    0
  2923, 11908,19490324,   42,    0
  2923, 11908,19490325,   50,    0
  2923, 11908,19490326,   82,    0
  2923, 11908,19490327,  106,    0
  2923, 11908,19490328,   96,    0
  2923, 11908,19490329,   98,    0
  2923, 11908,19490330,   60,    0
  2923, 11908,19490331,   50,    0
  2923, 11908,19490401,   65,    0
  2923, 11908,19490402,  100,    0
  2923, 11908,19490403,  105,    0
  2923, 11908,19490404,  114,    0
  2923, 11908,19490405,  148,    0
  2923, 11908,19490406,  116,    0
  2923, 11908,19490407,  134,    0
  2923, 11908,19490408,   44,    0
  2923, 11908,19490409,   32,    0
  2923, 11908,19490410,   36,    0
  2923, 11908,19490411,   66,    0
  2923, 11908,19490412,  136,    0
  2923, 11908,19490413,  134,    0
  2923, 11908,19490414,  162,    0
  2923, 11908,19490415,  115,    0
  2923, 11908,19490416,  101,    0
  2923, 11908,19490417,  105,    0
  2923, 11908,19490418,   87,    0
  2923, 11908,19490419,  149,    0
  2923, 11908,19490420,  160,    0
  2923, 11908,19490421,  131,    0
  2923, 11908,19490422,  185,    0
  2923, 11908,19490423,  113,    0
  2923, 11908,19490424,  125,    0
  2923, 11908,19490425,  197,    0
  2923, 11908,19490426,  180,    0
  2923, 11908,19490427,  182,    0
  2923, 11908,19490428,  167,    0
  2923, 11908,19490429,  175,    0
  2923, 11908,19490430,  200,    0
  2923, 11908,19490501,  209,    0
  2923, 11908,19490502,  172,    0
  2923, 11908,19490503,  187,    0
  2923, 11908,19490504,  198,    0
  2923, 11908,19490505,  224,    0
  2923, 11908,19490506,  202,    0
  2923, 11908,19490507,  195,    0
  2923, 11908,19490508,  158,    0
  2923, 11908,19490509,  101,    0
  2923, 11908,19490510,  122,    0
  2923, 11908,19490511,  103,    0
  2923, 11908,19490512,  149,    0
  2923, 11908,19490513,  150,    0
  2923, 11908,19490514,  159,    0
  2923, 11908,19490515,  163,    0
  2923, 11908,19490516,  178,    0
  2923, 11908,19490517,  174,    0
  2923, 11908,19490518,  189,    0
  2923, 11908,19490519,  202,    0
  2923, 11908,19490520,  168,    0
  2923, 11908,19490521,  173,    0
  2923, 11908,19490522,  128,    0
  2923, 11908,19490523,  142,    0
  2923, 11908,19490524,  152,    0
  2923, 11908,19490525,  182,    0
  2923, 11908,19490526,  190,    0
  2923, 11908,19490527,  142,    0
  2923, 11908,19490528,  175,    0
  2923, 11908,19490529,  209,    0
  2923, 11908,19490530,  237,    0
  2923, 11908,19490531,  221,    0
  2923, 11908,19490601,  224,    0
  2923, 11908,19490602,  202,    0
  2923, 11908,19490603,  189,    0
  2923, 11908,19490604,  204,    0
  2923, 11908,19490605,  173,    0
  2923, 11908,19490606,  150,    0
  2923, 11908,19490607,  160,    0
  2923, 11908,19490608,  202,    0
  2923, 11908,19490609,  231,    0
  2923, 11908,19490610,  250,    0
  2923, 11908,19490611,  220,    0
  2923, 11908,19490612,  152,    0
  2923, 11908,19490613,  126,    0
  2923, 11908,19490614,  169,    0
  2923, 11908,19490615,  213,    0
  2923, 11908,19490616,  190,    0
  2923, 11908,19490617,  164,    0
  2923, 11908,19490618,  137,    0
  2923, 11908,19490619,  154,    0
  2923, 11908,19490620,  140,    0
  2923, 11908,19490621,  159,    0
  2923, 11908,19490622,  133,    0
  2923, 11908,19490623,  148,    0
  2923, 11908,19490624,  121,    0
  2923, 11908,19490625,  125,    0
  2923, 11908,19490626,  144,    0
  2923, 11908,19490627,  184,    0
  2923, 11908,19490628,  164,    0
  2923, 11908,19490629,  152,    0
  2923, 11908,19490630,  170,    0
  2923, 11908,19490701,  151,    0
  2923, 11908,19490702,  188,    0
  2923, 11908,19490703,  157,    0
  2923, 11908,19490704,  180,    0
  2923, 11908,19490705,  208,    0
  2923, 11908,19490706,  215,    0
  2923, 11908,19490707,  224,    0
  2923, 11908,19490708,  216,    0
  2923, 11908,19490709,  185,    0
  2923, 11908,19490710,  175,    0
  2923, 11908,19490711,  181,    0
  2923, 11908,19490712,  187,    0
  2923, 11908,19490713,  208,    0
  2923, 11908,19490714,  242,    0
  2923, 11908,19490715,  258,    0
  2923, 11908,19490716,  267,    0
  2923, 11908,19490717,  233,    0
  2923, 11908,19490718,  242,    0
  2923, 11908,19490719,  210,    0
  2923, 11908,19490720,  152,    0
  2923, 11908,19490721,  158,    0
  2923, 11908,19490722,  188,    0
  2923, 11908,19490723,  194,    0
  2923, 11908,19490724,  190,    0
  2923, 11908,19490725,  204,    0
  2923, 11908,19490726,  223,    0
  2923, 11908,19490727,  239,    0
  2923, 11908,19490728,  242,    0
  2923, 11908,19490729,  248,    0
  2923, 11908,19490730,  217,    0
  2923, 11908,19490731,  216,    0
  2923, 11908,19490801,  240,    0
  2923, 11908,19490802,  259,    0
  2923, 11908,19490803,  254,    0
  2923, 11908,19490804,  214,    0
  2923, 11908,19490805,  206,    0
  2923, 11908,19490806,  212,    0
  2923, 11908,19490807,  239,    0
  2923, 11908,19490808,  242,    0
  2923, 11908,19490809,  232,    0
  2923, 11908,19490810,  237,    0
  2923, 11908,19490811,  239,    0
  2923, 11908,19490812,  161,    0
  2923, 11908,19490813,  128,    0
  2923, 11908,19490814,  115,    0
  2923, 11908,19490815,  147,    0
  2923, 11908,19490816,  159,    0
  2923, 11908,19490817,  196,    0
  2923, 11908,19490818,  144,    0
  2923, 11908,19490819,  132,    0
  2923, 11908,19490820,  132,    0
  2923, 11908,19490821,  127,    0
  2923, 11908,19490822,  170,    0
  2923, 11908,19490823,  196,    0
  2923, 11908,19490824,  201,    0
  2923, 11908,19490825,  219,    0
  2923, 11908,19490826,  206,    0
  2923, 11908,19490827,  192,    0
  2923, 11908,19490828,  183,    0
  2923, 11908,19490829,  189,    0
  2923, 11908,19490830,  207,    0
  2923, 11908,19490831,  200,    0
  2923, 11908,19490901,  190,    0
  2923, 11908,19490902,  219,    0
  2923, 11908,19490903,  245,    0
  2923, 11908,19490904,  224,    0
  2923, 11908,19490905,  215,    0
  2923, 11908,19490906,  209,    0
  2923, 11908,19490907,  195,    0
  2923, 11908,19490908,  178,    0
  2923, 11908,19490909,  172,    0
  2923, 11908,19490910,  145,    0
  2923, 11908,19490911,  142,    0
  2923, 11908,19490912,  164,    0
  2923, 11908,19490913,  149,    0
  2923, 11908,19490914,  171,    0
  2923, 11908,19490915,  197,    0
  2923, 11908,19490916,  173,    0
  2923, 11908,19490917,  186,    0
  2923, 11908,19490918,  182,    0
  2923, 11908,19490919,  185,    0
  2923, 11908,19490920,  167,    0
  2923, 11908,19490921,  178,    0
  2923, 11908,19490922,  193,    0
  2923, 11908,19490923,  182,    0
  2923, 11908,19490924,  143,    0
  2923, 11908,19490925,  130,    0
  2923, 11908,19490926,  137,    0
  2923, 11908,19490927,  142,    0
  2923, 11908,19490928,  146,    0
  2923, 11908,19490929,  159,    0
  2923, 11908,19490930,  148,    0
  2923, 11908,19491001,  179,    0
  2923, 11908,19491002,  171,    0
  2923, 11908,19491003,  161,    0
  2923, 11908,19491004,  135,    0
  2923, 11908,19491005,  116,    0
  2923, 11908,19491006,  136,    0
  2923, 11908,19491007,  141,    0
  2923, 11908,19491008,  121,    0
  2923, 11908,19491009,  134,    0
  2923, 11908,19491010,  150,    0
  2923, 11908,19491011,  116,    0
  2923, 11908,19491012,   95,    0
  2923, 11908,19491013,   97,    0
  2923, 11908,19491014,  106,    0
  2923, 11908,19491015,  104,    0
  2923, 11908,19491016,  112,    0
  2923, 11908,19491017,  110,    0
  2923, 11908,19491018,  105,    0
  2923, 11908,19491019,  110,    0
  2923, 11908,19491020,   80,    0
  2923, 11908,19491021,   76,    0
  2923, 11908,19491022,  102,    0
  2923, 11908,19491023,  110,    0
  2923, 11908,19491024,  125,    0
  2923, 11908,19491025,  151,    0
  2923, 11908,19491026,  158,    0
  2923, 11908,19491027,  152,    0
  2923, 11908,19491028,   89,    0
  2923, 11908,19491029,   75,    0
  2923, 11908,19491030,   70,    0
  2923, 11908,19491031,   54,    0
  2923, 11908,19491101,   54,    0
  2923, 11908,19491102,   42,    0
  2923, 11908,19491103,   35,    0
  2923, 11908,19491104,   37,    0
  2923, 11908,19491105,   57,    0
  2923, 11908,19491106,  108,    0
  2923, 11908,19491107,  123,    0
  2923, 11908,19491108,   77,    0
  2923, 11908,19491109,   45,    0
  2923, 11908,19491110,   42,    0
  2923, 11908,19491111,   72,    0
  2923, 11908,19491112,   92,    0
  2923, 11908,19491113,   98,    0
  2923, 11908,19491114,   90,    0
  2923, 11908,19491115,  102,    0
  2923, 11908,19491116,  101,    0
  2923, 11908,19491117,   91,    0
  2923, 11908,19491118,   81,    0
  2923, 11908,19491119,   99,    0
  2923, 11908,19491120,  106,    0
  2923, 11908,19491121,  106,    0
  2923, 11908,19491122,  104,    0
  2923, 11908,19491123,   91,    0
  2923, 11908,19491124,   90,    0
  2923, 11908,19491125,  102,    0
  2923, 11908,19491126,  117,    0
  2923, 11908,19491127,  102,    0
  2923, 11908,19491128,  103,    0
  2923, 11908,19491129,   58,    0
  2923, 11908,19491130,   27,    0
  2923, 11908,19491201,   22,    0
  2923, 11908,19491202,   35,    0
  2923, 11908,19491203,   22,    0
  2923, 11908,19491204,   52,    0
  2923, 11908,19491205,   59,    0
  2923, 11908,19491206,   38,    0
  2923, 11908,19491207,   49,    0
  2923, 11908,19491208,   98,    0
  2923, 11908,19491209,  110,    0
  2923, 11908,19491210,   82,    0
  2923, 11908,19491211,   51,    0
  2923, 11908,19491212,   31,    0
  2923, 11908,19491213,    2,    0
  2923, 11908,19491214,  -21,    0
  2923, 11908,19491215,   23,    0
  2923, 11908,19491216,   29,    0
  2923, 11908,19491217,   33,    0
  2923, 11908,19491218,   34,    0
  2923, 11908,19491219,   15,    0
  2923, 11908,19491220,   16,    0
  2923, 11908,19491221,   18,    0
  2923, 11908,19491222,   -8,    0
  2923, 11908,19491223,   10,    0
  2923, 11908,19491224,    9,    0
  2923, 11908,19491225,  -15,    0
  2923, 11908,19491226,   -4,    0
  2923, 11908,19491227,   36,    0
  2923, 11908,19491228,   46,    0
  2923, 11908,19491229,   27,    0
  2923, 11908,19491230,   43,    0
  2923, 11908,19491231,   22,    0
  2923, 11908,19500101,  -46,    0
  2923, 11908,19500102,  -34,    0
  2923, 11908,19500103,    6,    0
  2923, 11908,19500104,   13,    0
  2923, 11908,19500105,  -10,    0
  2923, 11908,19500106,   35,    0
  2923, 11908,19500107,   30,    0
  2923, 11908,19500108,   28,    0
  2923, 11908,19500109,   39,    0
  2923, 11908,19500110,   18,    0
  2923, 11908,19500111,  -58,    0
  2923, 11908,19500112, -154,    0
  2923, 11908,19500113,  -87,    0
  2923, 11908,19500114,  -34,    0
  2923, 11908,19500115,   23,    0
  2923, 11908,19500116,   29,    0
  2923, 11908,19500117,   61,    0
  2923, 11908,19500118,   25,    0
  2923, 11908,19500119,  -15,    0
  2923, 11908,19500120,  -36,    0
  2923, 11908,19500121,  -81,    0
  2923, 11908,19500122,  -75,    0
  2923, 11908,19500123,  -90,    0
  2923, 11908,19500124, -102,    0
  2923, 11908,19500125, -120,    0
  2923, 11908,19500126, -142,    0
  2923, 11908,19500127,  -52,    0
  2923, 11908,19500128,  -26,    0
  2923, 11908,19500129,  -65,    0
  2923, 11908,19500130, -128,    0
  2923, 11908,19500131, -122,    0
  2923, 11908,19500201,  -50,    0
  2923, 11908,19500202,  -97,    0
  2923, 11908,19500203, -122,    0
  2923, 11908,19500204, -139,    0
  2923, 11908,19500205,  -52,    0
  2923, 11908,19500206,    7,    0
  2923, 11908,19500207,   19,    0
  2923, 11908,19500208,    9,    0
  2923, 11908,19500209,    9,    0
  2923, 11908,19500210,   25,    0
  2923, 11908,19500211,   74,    0
  2923, 11908,19500212,   43,    0
  2923, 11908,19500213,   69,    0
  2923, 11908,19500214,  103,    0
  2923, 11908,19500215,   36,    0
  2923, 11908,19500216,   51,    0
  2923, 11908,19500217,   54,    0
  2923, 11908,19500218,   57,    0
  2923, 11908,19500219,   19,    0
  2923, 11908,19500220,   17,    0
  2923, 11908,19500221,   50,    0
  2923, 11908,19500222,   36,    0
  2923, 11908,19500223,   17,    0
  2923, 11908,19500224,   58,    0
  2923, 11908,19500225,   73,    0
  2923, 11908,19500226,   83,    0
  2923, 11908,19500227,   58,    0
  2923, 11908,19500228,   22,    0
  2923, 11908,19500301,   35,    0
  2923, 11908,19500302,   45,    0
  2923, 11908,19500303,   54,    0
  2923, 11908,19500304,   43,    0
  2923, 11908,19500305,   39,    0
  2923, 11908,19500306,   47,    0
  2923, 11908,19500307,   65,    0
  2923, 11908,19500308,   91,    0
  2923, 11908,19500309,   66,    0
  2923, 11908,19500310,   75,    0
  2923, 11908,19500311,   26,    0
  2923, 11908,19500312,   74,    0
  2923, 11908,19500313,   74,    0
  2923, 11908,19500314,   77,    0
  2923, 11908,19500315,   86,    0
  2923, 11908,19500316,   93,    0
  2923, 11908,19500317,  109,    0
  2923, 11908,19500318,   94,    0
  2923, 11908,19500319,   71,    0
  2923, 11908,19500320,   56,    0
  2923, 11908,19500321,   62,    0
  2923, 11908,19500322,   70,    0
  2923, 11908,19500323,   75,    0
  2923, 11908,19500324,   57,    0
  2923, 11908,19500325,   54,    0
  2923, 11908,19500326,   65,    0
  2923, 11908,19500327,   74,    0
  2923, 11908,19500328,   96,    0
  2923, 11908,19500329,  105,    0
  2923, 11908,19500330,  103,    0
  2923, 11908,19500331,   85,    0
  2923, 11908,19500401,   98,    0
  2923, 11908,19500402,  112,    0
  2923, 11908,19500403,  124,    0
  2923, 11908,19500404,  110,    0
  2923, 11908,19500405,   92,    0
  2923, 11908,19500406,   73,    0
  2923, 11908,19500407,   81,    0
  2923, 11908,19500408,   76,    0
  2923, 11908,19500409,  100,    0
  2923, 11908,19500410,   78,    0
  2923, 11908,19500411,  121,    0
  2923, 11908,19500412,  118,    0
  2923, 11908,19500413,  163,    0
  2923, 11908,19500414,  150,    0
  2923, 11908,19500415,  157,    0
  2923, 11908,19500416,  159,    0
  2923, 11908,19500417,  105,    0
  2923, 11908,19500418,  125,    0
  2923, 11908,19500419,  168,    0
  2923, 11908,19500420,  169,    0
  2923, 11908,19500421,  231,    0
  2923, 11908,19500422,  222,    0
  2923, 11908,19500423,  182,    0
  2923, 11908,19500424,  149,    0
  2923, 11908,19500425,  158,    0
  2923, 11908,19500426,  115,    0
  2923, 11908,19500427,  147,    0
  2923, 11908,19500428,  118,    0
  2923, 11908,19500429,  107,    0
  2923, 11908,19500430,  130,    0
  2923, 11908,19500501,  135,    0
  2923, 11908,19500502,  155,    0
  2923, 11908,19500503,  158,    0
  2923, 11908,19500504,  160,    0
  2923, 11908,19500505,  164,    0
  2923, 11908,19500506,  149,    0
  2923, 11908,19500507,  165,    0
  2923, 11908,19500508,  169,    0
  2923, 11908,19500509,  177,    0
  2923, 11908,19500510,  169,    0
  2923, 11908,19500511,  135,    0
  2923, 11908,19500512,  140,    0
  2923, 11908,19500513,  152,    0
  2923, 11908,19500514,  166,    0
  2923, 11908,19500515,  165,    0
  2923, 11908,19500516,  176,    0
  2923, 11908,19500517,  177,    0
  2923, 11908,19500518,  200,    0
  2923, 11908,19500519,  213,    0
  2923, 11908,19500520,  205,    0
  2923, 11908,19500521,  227,    0
  2923, 11908,19500522,  239,    0
  2923, 11908,19500523,  231,    0
  2923, 11908,19500524,  258,    0
  2923, 11908,19500525,  234,    0
  2923, 11908,19500526,  286,    0
  2923, 11908,19500527,  235,    0
  2923, 11908,19500528,  224,    0
  2923, 11908,19500529,  159,    0
  2923, 11908,19500530,  169,    0
  2923, 11908,19500531,  204,    0
  2923, 11908,19500601,  187,    0
  2923, 11908,19500602,  140,    0
  2923, 11908,19500603,  170,    0
  2923, 11908,19500604,  189,    0
  2923, 11908,19500605,  203,    0
  2923, 11908,19500606,  221,    0
  2923, 11908,19500607,  224,    0
  2923, 11908,19500608,  234,    0
  2923, 11908,19500609,  231,    0
  2923, 11908,19500610,  213,    0
  2923, 11908,19500611,  210,    0
  2923, 11908,19500612,  192,    0
  2923, 11908,19500613,  220,    0
  2923, 11908,19500614,  235,    0
  2923, 11908,19500615,  228,    0
  2923, 11908,19500616,  261,    0
  2923, 11908,19500617,  274,    0
  2923, 11908,19500618,  188,    0
  2923, 11908,19500619,  194,    0
  2923, 11908,19500620,  215,    0
  2923, 11908,19500621,  241,    0
  2923, 11908,19500622,  234,    0
  2923, 11908,19500623,  224,    0
  2923, 11908,19500624,  206,    0
  2923, 11908,19500625,  206,    0
