EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station UIL, KAZAKHSTAN (STAID: 2949)
Blended and updated with sources:17567 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  2949, 17567,19250101,-9999,    9
  2949, 17567,19250102,-9999,    9
  2949, 17567,19250103,-9999,    9
  2949, 17567,19250104,-9999,    9
  2949, 17567,19250105,-9999,    9
  2949, 17567,19250106,-9999,    9
  2949, 17567,19250107,-9999,    9
  2949, 17567,19250108,-9999,    9
  2949, 17567,19250109,-9999,    9
  2949, 17567,19250110,-9999,    9
  2949, 17567,19250111,-9999,    9
  2949, 17567,19250112,-9999,    9
  2949, 17567,19250113,-9999,    9
  2949, 17567,19250114,-9999,    9
  2949, 17567,19250115,-9999,    9
  2949, 17567,19250116,-9999,    9
  2949, 17567,19250117,-9999,    9
  2949, 17567,19250118,-9999,    9
  2949, 17567,19250119,-9999,    9
  2949, 17567,19250120,-9999,    9
  2949, 17567,19250121,-9999,    9
  2949, 17567,19250122,-9999,    9
  2949, 17567,19250123,-9999,    9
  2949, 17567,19250124,-9999,    9
  2949, 17567,19250125,-9999,    9
  2949, 17567,19250126,-9999,    9
  2949, 17567,19250127,-9999,    9
  2949, 17567,19250128,-9999,    9
  2949, 17567,19250129,-9999,    9
  2949, 17567,19250130,-9999,    9
  2949, 17567,19250131,-9999,    9
  2949, 17567,19250201,-9999,    9
  2949, 17567,19250202,-9999,    9
  2949, 17567,19250203,-9999,    9
  2949, 17567,19250204,-9999,    9
  2949, 17567,19250205,-9999,    9
  2949, 17567,19250206,-9999,    9
  2949, 17567,19250207,-9999,    9
  2949, 17567,19250208,-9999,    9
  2949, 17567,19250209,-9999,    9
  2949, 17567,19250210,-9999,    9
  2949, 17567,19250211,-9999,    9
  2949, 17567,19250212,-9999,    9
  2949, 17567,19250213,-9999,    9
  2949, 17567,19250214,-9999,    9
  2949, 17567,19250215,-9999,    9
  2949, 17567,19250216,-9999,    9
  2949, 17567,19250217,-9999,    9
  2949, 17567,19250218,-9999,    9
  2949, 17567,19250219,-9999,    9
  2949, 17567,19250220,-9999,    9
  2949, 17567,19250221,-9999,    9
  2949, 17567,19250222,-9999,    9
  2949, 17567,19250223,-9999,    9
  2949, 17567,19250224,-9999,    9
  2949, 17567,19250225,-9999,    9
  2949, 17567,19250226,-9999,    9
  2949, 17567,19250227,-9999,    9
  2949, 17567,19250228,-9999,    9
  2949, 17567,19250301,-9999,    9
  2949, 17567,19250302,-9999,    9
  2949, 17567,19250303,-9999,    9
  2949, 17567,19250304,-9999,    9
  2949, 17567,19250305,-9999,    9
  2949, 17567,19250306,-9999,    9
  2949, 17567,19250307,-9999,    9
  2949, 17567,19250308,-9999,    9
  2949, 17567,19250309,-9999,    9
  2949, 17567,19250310,-9999,    9
  2949, 17567,19250311,-9999,    9
  2949, 17567,19250312,-9999,    9
  2949, 17567,19250313,-9999,    9
