EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station LANZAROTE/AEROPUERTO, SPAIN (STAID: 2970)
Blended and updated with sources:20201 960040 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  2970, 20201,19721101,  201,    0
  2970, 20201,19721102,  192,    0
  2970, 20201,19721103,  194,    0
  2970, 20201,19721104,  201,    0
  2970, 20201,19721105,  202,    0
  2970, 20201,19721106,  195,    0
  2970, 20201,19721107,  198,    0
  2970, 20201,19721108,  193,    0
  2970, 20201,19721109,  198,    0
  2970, 20201,19721110,  201,    0
  2970, 20201,19721111,  198,    0
  2970, 20201,19721112,  195,    0
  2970, 20201,19721113,  207,    0
  2970, 20201,19721114,  212,    0
  2970, 20201,19721115,  204,    0
  2970, 20201,19721116,  194,    0
  2970, 20201,19721117,  188,    0
  2970, 20201,19721118,  185,    0
  2970, 20201,19721119,  193,    0
  2970, 20201,19721120,  192,    0
  2970, 20201,19721121,  180,    0
  2970, 20201,19721122,  184,    0
  2970, 20201,19721123,  188,    0
  2970, 20201,19721124,  185,    0
  2970, 20201,19721125,  193,    0
  2970, 20201,19721126,  195,    0
  2970, 20201,19721127,  208,    0
  2970, 20201,19721128,  180,    0
  2970, 20201,19721129,  173,    0
  2970, 20201,19721130,  178,    0
  2970, 20201,19721201,  188,    0
  2970, 20201,19721202,  172,    0
  2970, 20201,19721203,  172,    0
  2970, 20201,19721204,  169,    0
  2970, 20201,19721205,  182,    0
  2970, 20201,19721206,  158,    0
  2970, 20201,19721207,  175,    0
  2970, 20201,19721208,  164,    0
  2970, 20201,19721209,  164,    0
  2970, 20201,19721210,  174,    0
  2970, 20201,19721211,  174,    0
  2970, 20201,19721212,  179,    0
  2970, 20201,19721213,  174,    0
  2970, 20201,19721214,  181,    0
  2970, 20201,19721215,  178,    0
  2970, 20201,19721216,  185,    0
  2970, 20201,19721217,  180,    0
  2970, 20201,19721218,  148,    0
  2970, 20201,19721219,  172,    0
  2970, 20201,19721220,  174,    0
  2970, 20201,19721221,  168,    0
  2970, 20201,19721222,  173,    0
  2970, 20201,19721223,  161,    0
  2970, 20201,19721224,  146,    0
  2970, 20201,19721225,  166,    0
  2970, 20201,19721226,  158,    0
  2970, 20201,19721227,  174,    0
  2970, 20201,19721228,  170,    0
  2970, 20201,19721229,  165,    0
  2970, 20201,19721230,  164,    0
  2970, 20201,19721231,  156,    0
  2970, 20201,19730101,  150,    0
  2970, 20201,19730102,  141,    0
  2970, 20201,19730103,  163,    0
  2970, 20201,19730104,  156,    0
  2970, 20201,19730105,  158,    0
  2970, 20201,19730106,  157,    0
  2970, 20201,19730107,  150,    0
  2970, 20201,19730108,  155,    0
  2970, 20201,19730109,  155,    0
  2970, 20201,19730110,  145,    0
  2970, 20201,19730111,  158,    0
  2970, 20201,19730112,  148,    0
  2970, 20201,19730113,  160,    0
  2970, 20201,19730114,  159,    0
  2970, 20201,19730115,  158,    0
  2970, 20201,19730116,  180,    0
  2970, 20201,19730117,  172,    0
  2970, 20201,19730118,  158,    0
  2970, 20201,19730119,  160,    0
  2970, 20201,19730120,  150,    0
  2970, 20201,19730121,  168,    0
  2970, 20201,19730122,  168,    0
  2970, 20201,19730123,  170,    0
  2970, 20201,19730124,  146,    0
  2970, 20201,19730125,  156,    0
  2970, 20201,19730126,  158,    0
  2970, 20201,19730127,  168,    0
  2970, 20201,19730128,  182,    0
  2970, 20201,19730129,  172,    0
  2970, 20201,19730130,  158,    0
  2970, 20201,19730131,  158,    0
  2970, 20201,19730201,  160,    0
  2970, 20201,19730202,  165,    0
  2970, 20201,19730203,  173,    0
  2970, 20201,19730204,  172,    0
  2970, 20201,19730205,  170,    0
  2970, 20201,19730206,  165,    0
  2970, 20201,19730207,  181,    0
  2970, 20201,19730208,  167,    0
  2970, 20201,19730209,  165,    0
  2970, 20201,19730210,  168,    0
  2970, 20201,19730211,  159,    0
  2970, 20201,19730212,  158,    0
  2970, 20201,19730213,  162,    0
  2970, 20201,19730214,  150,    0
  2970, 20201,19730215,  158,    0
  2970, 20201,19730216,  149,    0
  2970, 20201,19730217,  155,    0
  2970, 20201,19730218,  166,    0
  2970, 20201,19730219,  160,    0
  2970, 20201,19730220,  156,    0
  2970, 20201,19730221,  162,    0
  2970, 20201,19730222,  165,    0
  2970, 20201,19730223,  160,    0
  2970, 20201,19730224,  156,    0
  2970, 20201,19730225,  160,    0
  2970, 20201,19730226,  165,    0
  2970, 20201,19730227,  178,    0
  2970, 20201,19730228,  165,    0
  2970, 20201,19730301,  173,    0
  2970, 20201,19730302,  185,    0
  2970, 20201,19730303,  206,    0
  2970, 20201,19730304,  206,    0
  2970, 20201,19730305,  202,    0
  2970, 20201,19730306,  196,    0
  2970, 20201,19730307,  189,    0
  2970, 20201,19730308,  199,    0
  2970, 20201,19730309,  185,    0
  2970, 20201,19730310,  163,    0
  2970, 20201,19730311,  148,    0
  2970, 20201,19730312,  148,    0
  2970, 20201,19730313,  164,    0
  2970, 20201,19730314,  157,    0
  2970, 20201,19730315,  172,    0
  2970, 20201,19730316,  147,    0
  2970, 20201,19730317,  145,    0
  2970, 20201,19730318,  145,    0
  2970, 20201,19730319,  158,    0
  2970, 20201,19730320,  171,    0
  2970, 20201,19730321,  165,    0
  2970, 20201,19730322,  179,    0
  2970, 20201,19730323,  173,    0
  2970, 20201,19730324,  169,    0
  2970, 20201,19730325,  186,    0
  2970, 20201,19730326,  165,    0
  2970, 20201,19730327,  168,    0
  2970, 20201,19730328,  180,    0
  2970, 20201,19730329,  172,    0
  2970, 20201,19730330,  162,    0
  2970, 20201,19730331,  177,    0
  2970, 20201,19730401,  172,    0
  2970, 20201,19730402,  183,    0
  2970, 20201,19730403,  242,    0
  2970, 20201,19730404,  244,    0
  2970, 20201,19730405,  242,    0
  2970, 20201,19730406,  218,    0
  2970, 20201,19730407,  202,    0
  2970, 20201,19730408,  179,    0
  2970, 20201,19730409,  181,    0
  2970, 20201,19730410,  180,    0
  2970, 20201,19730411,  177,    0
  2970, 20201,19730412,  178,    0
  2970, 20201,19730413,  183,    0
  2970, 20201,19730414,  173,    0
  2970, 20201,19730415,  158,    0
  2970, 20201,19730416,  158,    0
  2970, 20201,19730417,  170,    0
  2970, 20201,19730418,  176,    0
  2970, 20201,19730419,  164,    0
  2970, 20201,19730420,  162,    0
  2970, 20201,19730421,  173,    0
  2970, 20201,19730422,  172,    0
  2970, 20201,19730423,  172,    0
  2970, 20201,19730424,  156,    0
  2970, 20201,19730425,  151,    0
  2970, 20201,19730426,  187,    0
  2970, 20201,19730427,  196,    0
  2970, 20201,19730428,  196,    0
  2970, 20201,19730429,  177,    0
  2970, 20201,19730430,  198,    0
  2970, 20201,19730501,-9999,    9
  2970, 20201,19730502,-9999,    9
  2970, 20201,19730503,-9999,    9
  2970, 20201,19730504,-9999,    9
  2970, 20201,19730505,-9999,    9
  2970, 20201,19730506,-9999,    9
  2970, 20201,19730507,-9999,    9
  2970, 20201,19730508,-9999,    9
  2970, 20201,19730509,-9999,    9
  2970, 20201,19730510,-9999,    9
  2970, 20201,19730511,-9999,    9
  2970, 20201,19730512,-9999,    9
  2970, 20201,19730513,-9999,    9
  2970, 20201,19730514,-9999,    9
  2970, 20201,19730515,-9999,    9
  2970, 20201,19730516,-9999,    9
  2970, 20201,19730517,-9999,    9
  2970, 20201,19730518,-9999,    9
  2970, 20201,19730519,-9999,    9
  2970, 20201,19730520,-9999,    9
  2970, 20201,19730521,  180,    0
  2970, 20201,19730522,  198,    0
  2970, 20201,19730523,  210,    0
  2970, 20201,19730524,  202,    0
  2970, 20201,19730525,  212,    0
  2970, 20201,19730526,  215,    0
  2970, 20201,19730527,  205,    0
  2970, 20201,19730528,  202,    0
  2970, 20201,19730529,  198,    0
  2970, 20201,19730530,  202,    0
  2970, 20201,19730531,  204,    0
  2970, 20201,19730601,  218,    0
  2970, 20201,19730602,  203,    0
  2970, 20201,19730603,  198,    0
  2970, 20201,19730604,  204,    0
  2970, 20201,19730605,  192,    0
  2970, 20201,19730606,  192,    0
  2970, 20201,19730607,  204,    0
  2970, 20201,19730608,  196,    0
  2970, 20201,19730609,  198,    0
  2970, 20201,19730610,  203,    0
  2970, 20201,19730611,  203,    0
  2970, 20201,19730612,  215,    0
  2970, 20201,19730613,  215,    0
  2970, 20201,19730614,  207,    0
  2970, 20201,19730615,  195,    0
  2970, 20201,19730616,  200,    0
  2970, 20201,19730617,  207,    0
  2970, 20201,19730618,  210,    0
  2970, 20201,19730619,  219,    0
  2970, 20201,19730620,  211,    0
  2970, 20201,19730621,  198,    0
  2970, 20201,19730622,  210,    0
  2970, 20201,19730623,  219,    0
  2970, 20201,19730624,  190,    0
  2970, 20201,19730625,  207,    0
  2970, 20201,19730626,  221,    0
  2970, 20201,19730627,  214,    0
  2970, 20201,19730628,  226,    0
  2970, 20201,19730629,  238,    0
  2970, 20201,19730630,  238,    0
  2970, 20201,19730701,  224,    0
  2970, 20201,19730702,  230,    0
  2970, 20201,19730703,  242,    0
  2970, 20201,19730704,  232,    0
  2970, 20201,19730705,  223,    0
  2970, 20201,19730706,  222,    0
  2970, 20201,19730707,  228,    0
  2970, 20201,19730708,  225,    0
  2970, 20201,19730709,  228,    0
  2970, 20201,19730710,  214,    0
  2970, 20201,19730711,  217,    0
  2970, 20201,19730712,  228,    0
  2970, 20201,19730713,  220,    0
  2970, 20201,19730714,  231,    0
  2970, 20201,19730715,  236,    0
  2970, 20201,19730716,  230,    0
  2970, 20201,19730717,  225,    0
  2970, 20201,19730718,  225,    0
  2970, 20201,19730719,  220,    0
  2970, 20201,19730720,  224,    0
  2970, 20201,19730721,  230,    0
  2970, 20201,19730722,  230,    0
  2970, 20201,19730723,  225,    0
  2970, 20201,19730724,  222,    0
  2970, 20201,19730725,  228,    0
  2970, 20201,19730726,  232,    0
  2970, 20201,19730727,  238,    0
  2970, 20201,19730728,  241,    0
  2970, 20201,19730729,  223,    0
  2970, 20201,19730730,  222,    0
  2970, 20201,19730731,  222,    0
  2970, 20201,19730801,  229,    0
  2970, 20201,19730802,  235,    0
  2970, 20201,19730803,  230,    0
  2970, 20201,19730804,  224,    0
  2970, 20201,19730805,  225,    0
  2970, 20201,19730806,  230,    0
  2970, 20201,19730807,  236,    0
  2970, 20201,19730808,  231,    0
  2970, 20201,19730809,  229,    0
  2970, 20201,19730810,  225,    0
  2970, 20201,19730811,  221,    0
  2970, 20201,19730812,  238,    0
  2970, 20201,19730813,  257,    0
  2970, 20201,19730814,  275,    0
  2970, 20201,19730815,  269,    0
  2970, 20201,19730816,  236,    0
  2970, 20201,19730817,  229,    0
  2970, 20201,19730818,  236,    0
  2970, 20201,19730819,  246,    0
  2970, 20201,19730820,  242,    0
  2970, 20201,19730821,  234,    0
  2970, 20201,19730822,  229,    0
  2970, 20201,19730823,  242,    0
  2970, 20201,19730824,  237,    0
  2970, 20201,19730825,  230,    0
  2970, 20201,19730826,  240,    0
  2970, 20201,19730827,  235,    0
  2970, 20201,19730828,  230,    0
  2970, 20201,19730829,  240,    0
  2970, 20201,19730830,  250,    0
  2970, 20201,19730831,  257,    0
  2970, 20201,19730901,  248,    0
  2970, 20201,19730902,  248,    0
  2970, 20201,19730903,  243,    0
  2970, 20201,19730904,  244,    0
  2970, 20201,19730905,  250,    0
  2970, 20201,19730906,  227,    0
  2970, 20201,19730907,  233,    0
  2970, 20201,19730908,  240,    0
  2970, 20201,19730909,  208,    0
  2970, 20201,19730910,  217,    0
  2970, 20201,19730911,  236,    0
  2970, 20201,19730912,  236,    0
  2970, 20201,19730913,  238,    0
  2970, 20201,19730914,  228,    0
  2970, 20201,19730915,  244,    0
  2970, 20201,19730916,  250,    0
  2970, 20201,19730917,  244,    0
  2970, 20201,19730918,  240,    0
  2970, 20201,19730919,  235,    0
  2970, 20201,19730920,  233,    0
  2970, 20201,19730921,  240,    0
  2970, 20201,19730922,  232,    0
  2970, 20201,19730923,  232,    0
  2970, 20201,19730924,  224,    0
  2970, 20201,19730925,  227,    0
  2970, 20201,19730926,  257,    0
  2970, 20201,19730927,  265,    0
  2970, 20201,19730928,  265,    0
  2970, 20201,19730929,  270,    0
  2970, 20201,19730930,  236,    0
  2970, 20201,19731001,  216,    0
  2970, 20201,19731002,  211,    0
  2970, 20201,19731003,  190,    0
  2970, 20201,19731004,  192,    0
  2970, 20201,19731005,  206,    0
  2970, 20201,19731006,  211,    0
  2970, 20201,19731007,  196,    0
  2970, 20201,19731008,  195,    0
  2970, 20201,19731009,  199,    0
  2970, 20201,19731010,  222,    0
  2970, 20201,19731011,  221,    0
  2970, 20201,19731012,  228,    0
  2970, 20201,19731013,  228,    0
  2970, 20201,19731014,  226,    0
  2970, 20201,19731015,  219,    0
  2970, 20201,19731016,  222,    0
  2970, 20201,19731017,  205,    0
  2970, 20201,19731018,  204,    0
  2970, 20201,19731019,  208,    0
  2970, 20201,19731020,  201,    0
  2970, 20201,19731021,  195,    0
  2970, 20201,19731022,  205,    0
  2970, 20201,19731023,  185,    0
  2970, 20201,19731024,  257,    0
  2970, 20201,19731025,  234,    0
  2970, 20201,19731026,  228,    0
  2970, 20201,19731027,  230,    0
  2970, 20201,19731028,  245,    0
  2970, 20201,19731029,  252,    0
  2970, 20201,19731030,  238,    0
  2970, 20201,19731031,  220,    0
  2970, 20201,19731101,  218,    0
  2970, 20201,19731102,  215,    0
  2970, 20201,19731103,  193,    0
  2970, 20201,19731104,  201,    0
  2970, 20201,19731105,  190,    0
  2970, 20201,19731106,  210,    0
  2970, 20201,19731107,  196,    0
  2970, 20201,19731108,  204,    0
  2970, 20201,19731109,  191,    0
  2970, 20201,19731110,  186,    0
  2970, 20201,19731111,  193,    0
  2970, 20201,19731112,  187,    0
  2970, 20201,19731113,  190,    0
  2970, 20201,19731114,  212,    0
  2970, 20201,19731115,  205,    0
  2970, 20201,19731116,  212,    0
  2970, 20201,19731117,  212,    0
  2970, 20201,19731118,  191,    0
  2970, 20201,19731119,  202,    0
  2970, 20201,19731120,  205,    0
  2970, 20201,19731121,  216,    0
  2970, 20201,19731122,  201,    0
  2970, 20201,19731123,  202,    0
  2970, 20201,19731124,  218,    0
  2970, 20201,19731125,  213,    0
  2970, 20201,19731126,  200,    0
  2970, 20201,19731127,  194,    0
  2970, 20201,19731128,  192,    0
  2970, 20201,19731129,  203,    0
  2970, 20201,19731130,  195,    0
  2970, 20201,19731201,  180,    0
  2970, 20201,19731202,  172,    0
  2970, 20201,19731203,  168,    0
