EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station CHULPANOVO, RUSSIAN FEDERATION (STAID: 3117)
Blended and updated with sources:50033 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  3117, 50033,19360101,  -63,    0
  3117, 50033,19360102,  -65,    0
  3117, 50033,19360103,  -39,    0
  3117, 50033,19360104,  -77,    0
  3117, 50033,19360105, -102,    0
  3117, 50033,19360106, -106,    0
  3117, 50033,19360107,  -86,    0
  3117, 50033,19360108, -170,    0
  3117, 50033,19360109,  -96,    0
  3117, 50033,19360110, -136,    0
  3117, 50033,19360111, -145,    0
  3117, 50033,19360112,  -83,    0
  3117, 50033,19360113,  -60,    0
  3117, 50033,19360114,  -44,    0
  3117, 50033,19360115,  -44,    0
  3117, 50033,19360116,  -58,    0
  3117, 50033,19360117,-9999,    9
  3117, 50033,19360118, -143,    0
  3117, 50033,19360119, -134,    0
  3117, 50033,19360120, -169,    0
  3117, 50033,19360121, -114,    0
  3117, 50033,19360122, -123,    0
  3117, 50033,19360123, -128,    0
  3117, 50033,19360124,  -94,    0
  3117, 50033,19360125, -152,    0
  3117, 50033,19360126, -100,    0
  3117, 50033,19360127, -120,    0
  3117, 50033,19360128, -143,    0
  3117, 50033,19360129, -109,    0
  3117, 50033,19360130,-9999,    9
  3117, 50033,19360131, -236,    0
  3117, 50033,19360201, -198,    0
  3117, 50033,19360202, -234,    0
  3117, 50033,19360203, -147,    0
  3117, 50033,19360204, -130,    0
  3117, 50033,19360205, -136,    0
  3117, 50033,19360206, -142,    0
  3117, 50033,19360207, -168,    0
  3117, 50033,19360208, -152,    0
  3117, 50033,19360209, -210,    0
  3117, 50033,19360210, -134,    0
  3117, 50033,19360211, -116,    0
  3117, 50033,19360212, -278,    0
  3117, 50033,19360213, -234,    0
  3117, 50033,19360214,  -60,    0
  3117, 50033,19360215, -150,    0
  3117, 50033,19360216, -192,    0
  3117, 50033,19360217, -180,    0
  3117, 50033,19360218, -112,    0
  3117, 50033,19360219, -159,    0
  3117, 50033,19360220, -167,    0
  3117, 50033,19360221, -144,    0
  3117, 50033,19360222, -160,    0
  3117, 50033,19360223, -171,    0
  3117, 50033,19360224, -190,    0
  3117, 50033,19360225, -166,    0
  3117, 50033,19360226, -145,    0
  3117, 50033,19360227, -136,    0
  3117, 50033,19360228, -156,    0
  3117, 50033,19360229, -104,    0
  3117, 50033,19360301,  -74,    0
  3117, 50033,19360302,  -86,    0
  3117, 50033,19360303, -122,    0
  3117, 50033,19360304, -128,    0
  3117, 50033,19360305,  -78,    0
  3117, 50033,19360306,  -66,    0
  3117, 50033,19360307,  -45,    0
  3117, 50033,19360308,  -56,    0
  3117, 50033,19360309, -109,    0
  3117, 50033,19360310,  -89,    0
  3117, 50033,19360311,-9999,    9
  3117, 50033,19360312, -121,    0
  3117, 50033,19360313, -122,    0
  3117, 50033,19360314,  -66,    0
  3117, 50033,19360315, -119,    0
  3117, 50033,19360316, -140,    0
  3117, 50033,19360317, -129,    0
  3117, 50033,19360318,  -46,    0
  3117, 50033,19360319,  -36,    0
  3117, 50033,19360320,  -22,    0
  3117, 50033,19360321,  -46,    0
  3117, 50033,19360322,  -58,    0
  3117, 50033,19360323,  -33,    0
  3117, 50033,19360324,  -29,    0
  3117, 50033,19360325, -110,    0
  3117, 50033,19360326, -116,    0
  3117, 50033,19360327, -190,    0
  3117, 50033,19360328, -151,    0
  3117, 50033,19360329,-9999,    9
  3117, 50033,19360330,  -75,    0
  3117, 50033,19360331,  -82,    0
  3117, 50033,19360401,  -66,    0
  3117, 50033,19360402,  -46,    0
  3117, 50033,19360403,  -44,    0
  3117, 50033,19360404,  -22,    0
  3117, 50033,19360405,   -6,    0
  3117, 50033,19360406,    3,    0
  3117, 50033,19360407,  -18,    0
  3117, 50033,19360408,  -64,    0
  3117, 50033,19360409,  -34,    0
  3117, 50033,19360410,    6,    0
  3117, 50033,19360411,   -1,    0
  3117, 50033,19360412,   10,    0
  3117, 50033,19360413,   19,    0
  3117, 50033,19360414,   24,    0
  3117, 50033,19360415,   22,    0
  3117, 50033,19360416,   46,    0
  3117, 50033,19360417,   44,    0
  3117, 50033,19360418,   50,    0
  3117, 50033,19360419,   60,    0
  3117, 50033,19360420,   66,    0
  3117, 50033,19360421,   83,    0
  3117, 50033,19360422,   88,    0
  3117, 50033,19360423,   75,    0
  3117, 50033,19360424,   83,    0
  3117, 50033,19360425,-9999,    9
  3117, 50033,19360426,  136,    0
  3117, 50033,19360427,  140,    0
  3117, 50033,19360428,  124,    0
  3117, 50033,19360429,   74,    0
  3117, 50033,19360430,   76,    0
  3117, 50033,19360501,  103,    0
  3117, 50033,19360502,  121,    0
  3117, 50033,19360503,  110,    0
  3117, 50033,19360504,-9999,    9
  3117, 50033,19360505,   54,    0
  3117, 50033,19360506,   59,    0
  3117, 50033,19360507,   45,    0
  3117, 50033,19360508,   92,    0
  3117, 50033,19360509,  104,    0
  3117, 50033,19360510,  116,    0
  3117, 50033,19360511,  132,    0
  3117, 50033,19360512,  110,    0
  3117, 50033,19360513,  130,    0
  3117, 50033,19360514,  136,    0
  3117, 50033,19360515,   74,    0
  3117, 50033,19360516,   10,    0
  3117, 50033,19360517,   68,    0
  3117, 50033,19360518,   85,    0
  3117, 50033,19360519,   71,    0
  3117, 50033,19360520,   69,    0
  3117, 50033,19360521,   97,    0
  3117, 50033,19360522,  137,    0
  3117, 50033,19360523,  125,    0
  3117, 50033,19360524,  134,    0
  3117, 50033,19360525,  122,    0
  3117, 50033,19360526,  129,    0
  3117, 50033,19360527,  146,    0
  3117, 50033,19360528,  174,    0
  3117, 50033,19360529,  183,    0
  3117, 50033,19360530,  204,    0
  3117, 50033,19360531,  220,    0
  3117, 50033,19360601,  242,    0
  3117, 50033,19360602,  252,    0
  3117, 50033,19360603,  244,    0
  3117, 50033,19360604,  270,    0
  3117, 50033,19360605,  256,    0
  3117, 50033,19360606,  242,    0
  3117, 50033,19360607,  211,    0
  3117, 50033,19360608,  180,    0
  3117, 50033,19360609,  170,    0
  3117, 50033,19360610,-9999,    9
  3117, 50033,19360611,  180,    0
  3117, 50033,19360612,  170,    0
  3117, 50033,19360613,  219,    0
  3117, 50033,19360614,  215,    0
  3117, 50033,19360615,  218,    0
  3117, 50033,19360616,  226,    0
  3117, 50033,19360617,  197,    0
  3117, 50033,19360618,  165,    0
  3117, 50033,19360619,  188,    0
  3117, 50033,19360620,  214,    0
  3117, 50033,19360621,  161,    0
  3117, 50033,19360622,  172,    0
  3117, 50033,19360623,  205,    0
  3117, 50033,19360624,  256,    0
  3117, 50033,19360625,  254,    0
  3117, 50033,19360626,  212,    0
  3117, 50033,19360627,  213,    0
  3117, 50033,19360628,  196,    0
  3117, 50033,19360629,  196,    0
  3117, 50033,19360630,  164,    0
  3117, 50033,19360701,  142,    0
  3117, 50033,19360702,  151,    0
  3117, 50033,19360703,  131,    0
  3117, 50033,19360704,  167,    0
  3117, 50033,19360705,  192,    0
  3117, 50033,19360706,  216,    0
  3117, 50033,19360707,  151,    0
  3117, 50033,19360708,  228,    0
  3117, 50033,19360709,  204,    0
  3117, 50033,19360710,  176,    0
  3117, 50033,19360711,  179,    0
  3117, 50033,19360712,  224,    0
  3117, 50033,19360713,  226,    0
  3117, 50033,19360714,  228,    0
  3117, 50033,19360715,  237,    0
  3117, 50033,19360716,  256,    0
  3117, 50033,19360717,  268,    0
  3117, 50033,19360718,  228,    0
  3117, 50033,19360719,  191,    0
  3117, 50033,19360720,  180,    0
  3117, 50033,19360721,  167,    0
  3117, 50033,19360722,  213,    0
  3117, 50033,19360723,  255,    0
  3117, 50033,19360724,  250,    0
  3117, 50033,19360725,-9999,    9
  3117, 50033,19360726,  239,    0
  3117, 50033,19360727,  241,    0
  3117, 50033,19360728,  220,    0
  3117, 50033,19360729,  219,    0
  3117, 50033,19360730,  238,    0
  3117, 50033,19360731,  250,    0
  3117, 50033,19360801,  271,    0
  3117, 50033,19360802,  270,    0
  3117, 50033,19360803,  239,    0
  3117, 50033,19360804,  222,    0
  3117, 50033,19360805,  237,    0
  3117, 50033,19360806,  261,    0
  3117, 50033,19360807,  253,    0
  3117, 50033,19360808,  286,    0
  3117, 50033,19360809,  211,    0
  3117, 50033,19360810,  195,    0
  3117, 50033,19360811,  181,    0
  3117, 50033,19360812,  166,    0
  3117, 50033,19360813,  190,    0
  3117, 50033,19360814,  245,    0
  3117, 50033,19360815,  234,    0
  3117, 50033,19360816,  219,    0
  3117, 50033,19360817,  159,    0
  3117, 50033,19360818,  169,    0
  3117, 50033,19360819,  142,    0
  3117, 50033,19360820,  164,    0
  3117, 50033,19360821,  188,    0
  3117, 50033,19360822,  157,    0
  3117, 50033,19360823,  128,    0
  3117, 50033,19360824,   98,    0
  3117, 50033,19360825,  121,    0
  3117, 50033,19360826,  125,    0
  3117, 50033,19360827,  151,    0
  3117, 50033,19360828,  138,    0
  3117, 50033,19360829,  123,    0
  3117, 50033,19360830,  102,    0
  3117, 50033,19360831,  110,    0
  3117, 50033,19360901,  116,    0
  3117, 50033,19360902,  148,    0
  3117, 50033,19360903,  128,    0
  3117, 50033,19360904,  126,    0
  3117, 50033,19360905,  112,    0
  3117, 50033,19360906,  106,    0
  3117, 50033,19360907,  110,    0
  3117, 50033,19360908,  106,    0
  3117, 50033,19360909,  166,    0
  3117, 50033,19360910,  177,    0
  3117, 50033,19360911,   84,    0
  3117, 50033,19360912,   86,    0
  3117, 50033,19360913,  111,    0
  3117, 50033,19360914,   80,    0
  3117, 50033,19360915,   80,    0
  3117, 50033,19360916,   68,    0
  3117, 50033,19360917,   64,    0
  3117, 50033,19360918,   59,    0
  3117, 50033,19360919,   52,    0
  3117, 50033,19360920,  112,    0
  3117, 50033,19360921,   82,    0
  3117, 50033,19360922,   73,    0
  3117, 50033,19360923,  114,    0
  3117, 50033,19360924,  133,    0
  3117, 50033,19360925,   87,    0
  3117, 50033,19360926,   75,    0
  3117, 50033,19360927,  138,    0
  3117, 50033,19360928,  117,    0
  3117, 50033,19360929,  164,    0
  3117, 50033,19360930,  177,    0
  3117, 50033,19361001,  130,    0
  3117, 50033,19361002,  183,    0
  3117, 50033,19361003,  132,    0
  3117, 50033,19361004,   68,    0
  3117, 50033,19361005,   51,    0
  3117, 50033,19361006,   37,    0
  3117, 50033,19361007,   25,    0
  3117, 50033,19361008,   47,    0
  3117, 50033,19361009,   62,    0
  3117, 50033,19361010,    0,    0
  3117, 50033,19361011,    8,    0
  3117, 50033,19361012,    3,    0
  3117, 50033,19361013,   -8,    0
  3117, 50033,19361014,   -7,    0
  3117, 50033,19361015,   23,    0
  3117, 50033,19361016,   38,    0
  3117, 50033,19361017,   51,    0
  3117, 50033,19361018,   31,    0
  3117, 50033,19361019,   19,    0
  3117, 50033,19361020,   62,    0
  3117, 50033,19361021,   38,    0
  3117, 50033,19361022,   37,    0
  3117, 50033,19361023,   -9,    0
  3117, 50033,19361024,    4,    0
  3117, 50033,19361025,   15,    0
  3117, 50033,19361026,   38,    0
  3117, 50033,19361027,    2,    0
  3117, 50033,19361028,   -8,    0
  3117, 50033,19361029,  -24,    0
  3117, 50033,19361030,  -27,    0
  3117, 50033,19361031,  -15,    0
  3117, 50033,19361101,   26,    0
  3117, 50033,19361102,   43,    0
  3117, 50033,19361103,   11,    0
  3117, 50033,19361104,   71,    0
  3117, 50033,19361105,   47,    0
  3117, 50033,19361106,   16,    0
  3117, 50033,19361107,   14,    0
  3117, 50033,19361108,   10,    0
  3117, 50033,19361109,   20,    0
  3117, 50033,19361110,   62,    0
  3117, 50033,19361111,   58,    0
  3117, 50033,19361112,   59,    0
  3117, 50033,19361113,   73,    0
  3117, 50033,19361114,   26,    0
  3117, 50033,19361115,   16,    0
  3117, 50033,19361116,   31,    0
  3117, 50033,19361117,    6,    0
  3117, 50033,19361118,   -9,    0
  3117, 50033,19361119,   -1,    0
  3117, 50033,19361120,  -69,    0
  3117, 50033,19361121, -111,    0
  3117, 50033,19361122,  -98,    0
  3117, 50033,19361123, -108,    0
  3117, 50033,19361124,  -44,    0
  3117, 50033,19361125,  -62,    0
  3117, 50033,19361126,  -92,    0
  3117, 50033,19361127, -142,    0
  3117, 50033,19361128, -157,    0
  3117, 50033,19361129, -116,    0
  3117, 50033,19361130, -118,    0
  3117, 50033,19361201,  -25,    0
  3117, 50033,19361202,  -10,    0
  3117, 50033,19361203,   11,    0
  3117, 50033,19361204,   -7,    0
  3117, 50033,19361205,  -31,    0
  3117, 50033,19361206,  -74,    0
  3117, 50033,19361207,  -74,    0
  3117, 50033,19361208,  -86,    0
  3117, 50033,19361209,  -69,    0
  3117, 50033,19361210,  -76,    0
  3117, 50033,19361211,  -34,    0
  3117, 50033,19361212,   -5,    0
  3117, 50033,19361213,   -8,    0
  3117, 50033,19361214,  -38,    0
  3117, 50033,19361215,  -36,    0
  3117, 50033,19361216,  -50,    0
  3117, 50033,19361217,  -85,    0
  3117, 50033,19361218,  -94,    0
  3117, 50033,19361219,  -67,    0
  3117, 50033,19361220,  -44,    0
  3117, 50033,19361221,  -28,    0
  3117, 50033,19361222,    6,    0
  3117, 50033,19361223,   14,    0
  3117, 50033,19361224,    4,    0
  3117, 50033,19361225,  -20,    0
  3117, 50033,19361226,  -22,    0
  3117, 50033,19361227, -114,    0
  3117, 50033,19361228, -132,    0
  3117, 50033,19361229,  -56,    0
  3117, 50033,19361230, -132,    0
  3117, 50033,19361231, -214,    0
  3117, 50033,19370101, -182,    0
  3117, 50033,19370102,    0,    0
  3117, 50033,19370103,  -20,    0
  3117, 50033,19370104,-9999,    9
  3117, 50033,19370105,  -58,    0
  3117, 50033,19370106,  -54,    0
  3117, 50033,19370107,  -50,    0
  3117, 50033,19370108,  -86,    0
  3117, 50033,19370109,-9999,    9
  3117, 50033,19370110, -166,    0
  3117, 50033,19370111, -231,    0
  3117, 50033,19370112, -232,    0
  3117, 50033,19370113, -214,    0
  3117, 50033,19370114,-9999,    9
  3117, 50033,19370115,  -72,    0
  3117, 50033,19370116, -131,    0
  3117, 50033,19370117, -189,    0
  3117, 50033,19370118, -120,    0
  3117, 50033,19370119,-9999,    9
  3117, 50033,19370120, -217,    0
  3117, 50033,19370121,-9999,    9
  3117, 50033,19370122,-9999,    9
  3117, 50033,19370123, -197,    0
  3117, 50033,19370124,-9999,    9
  3117, 50033,19370125, -242,    0
  3117, 50033,19370126, -222,    0
  3117, 50033,19370127, -165,    0
  3117, 50033,19370128, -255,    0
  3117, 50033,19370129, -289,    0
  3117, 50033,19370130, -282,    0
  3117, 50033,19370131, -271,    0
  3117, 50033,19370201,-9999,    9
  3117, 50033,19370202, -182,    0
  3117, 50033,19370203, -159,    0
  3117, 50033,19370204, -186,    0
  3117, 50033,19370205, -164,    0
  3117, 50033,19370206, -150,    0
  3117, 50033,19370207,  -71,    0
  3117, 50033,19370208,    5,    0
  3117, 50033,19370209,  -55,    0
  3117, 50033,19370210,  -99,    0
  3117, 50033,19370211, -143,    0
  3117, 50033,19370212, -142,    0
  3117, 50033,19370213, -146,    0
  3117, 50033,19370214, -120,    0
  3117, 50033,19370215,  -70,    0
  3117, 50033,19370216,  -77,    0
  3117, 50033,19370217,  -94,    0
  3117, 50033,19370218, -123,    0
  3117, 50033,19370219,-9999,    9
  3117, 50033,19370220, -130,    0
  3117, 50033,19370221, -152,    0
  3117, 50033,19370222, -140,    0
  3117, 50033,19370223, -116,    0
  3117, 50033,19370224, -136,    0
  3117, 50033,19370225, -122,    0
  3117, 50033,19370226, -128,    0
  3117, 50033,19370227, -144,    0
  3117, 50033,19370228, -106,    0
  3117, 50033,19370301, -123,    0
  3117, 50033,19370302, -140,    0
  3117, 50033,19370303, -174,    0
  3117, 50033,19370304, -185,    0
  3117, 50033,19370305,  -62,    0
  3117, 50033,19370306,  -74,    0
  3117, 50033,19370307,  -84,    0
  3117, 50033,19370308,  -69,    0
  3117, 50033,19370309,  -31,    0
  3117, 50033,19370310,    0,    0
  3117, 50033,19370311,    4,    0
  3117, 50033,19370312,  -16,    0
  3117, 50033,19370313,    4,    0
  3117, 50033,19370314,  -52,    0
  3117, 50033,19370315,  -74,    0
  3117, 50033,19370316,  -27,    0
  3117, 50033,19370317,    0,    0
  3117, 50033,19370318,    2,    0
  3117, 50033,19370319,-9999,    9
  3117, 50033,19370320,    6,    0
  3117, 50033,19370321,    6,    0
  3117, 50033,19370322,  -25,    0
