EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station K14-FA-1C           , NETHERLANDS (STAID: 3168)
Blended and updated with sources:13674 906204 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  3168, 13674,20061207,-9999,    9
  3168, 13674,20061208,-9999,    9
  3168, 13674,20061209,-9999,    9
  3168, 13674,20061210,-9999,    9
  3168, 13674,20061211,-9999,    9
  3168, 13674,20061212,-9999,    9
  3168, 13674,20061213,-9999,    9
  3168, 13674,20061214,-9999,    9
  3168, 13674,20061215,-9999,    9
  3168, 13674,20061216,-9999,    9
  3168, 13674,20061217,-9999,    9
  3168, 13674,20061218,-9999,    9
  3168, 13674,20061219,-9999,    9
  3168, 13674,20061220,-9999,    9
  3168, 13674,20061221,-9999,    9
  3168, 13674,20061222,-9999,    9
  3168, 13674,20061223,-9999,    9
  3168, 13674,20061224,-9999,    9
  3168, 13674,20061225,-9999,    9
  3168, 13674,20061226,-9999,    9
  3168, 13674,20061227,-9999,    9
  3168, 13674,20061228,-9999,    9
  3168, 13674,20061229,-9999,    9
  3168, 13674,20061230,-9999,    9
  3168, 13674,20061231,-9999,    9
  3168, 13674,20070101,-9999,    9
  3168, 13674,20070102,-9999,    9
  3168, 13674,20070103,-9999,    9
  3168, 13674,20070104,-9999,    9
  3168, 13674,20070105,-9999,    9
  3168, 13674,20070106,-9999,    9
  3168, 13674,20070107,-9999,    9
  3168, 13674,20070108,-9999,    9
  3168, 13674,20070109,-9999,    9
  3168, 13674,20070110,-9999,    9
  3168, 13674,20070111,-9999,    9
