EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station HOORN-A             , NETHERLANDS (STAID: 3175)
Blended and updated with sources:13710 906212 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  3175, 13710,20090313,-9999,    9
  3175, 13710,20090314,-9999,    9
  3175, 13710,20090315,-9999,    9
  3175, 13710,20090316,   69,    0
  3175, 13710,20090317,   61,    0
  3175, 13710,20090318,   52,    0
  3175, 13710,20090319,   55,    0
  3175, 13710,20090320,   46,    0
  3175, 13710,20090321,   50,    0
  3175, 13710,20090322,   71,    0
  3175, 13710,20090323,   68,    0
  3175, 13710,20090324,   58,    0
  3175, 13710,20090325,   64,    0
  3175, 13710,20090326,   73,    0
  3175, 13710,20090327,   66,    0
  3175, 13710,20090328,   62,    0
  3175, 13710,20090329,   54,    0
  3175, 13710,20090330,   62,    0
  3175, 13710,20090331,   76,    0
  3175, 13710,20090401,   74,    0
  3175, 13710,20090402,   77,    0
  3175, 13710,20090403,   85,    0
  3175, 13710,20090404,   71,    0
  3175, 13710,20090405,   76,    0
  3175, 13710,20090406,  118,    0
  3175, 13710,20090407,   94,    0
  3175, 13710,20090408,   83,    0
  3175, 13710,20090409,   95,    0
  3175, 13710,20090410,  138,    0
  3175, 13710,20090411,  126,    0
  3175, 13710,20090412,   99,    0
  3175, 13710,20090413,   79,    0
  3175, 13710,20090414,   82,    0
  3175, 13710,20090415,  106,    0
  3175, 13710,20090416,  105,    0
  3175, 13710,20090417,   96,    0
  3175, 13710,20090418,   89,    0
  3175, 13710,20090419,   95,    0
  3175, 13710,20090420,   90,    0
  3175, 13710,20090421,   73,    0
  3175, 13710,20090422,   91,    0
  3175, 13710,20090423,   95,    0
  3175, 13710,20090424,  129,    0
  3175, 13710,20090425,  123,    0
  3175, 13710,20090426,   95,    0
  3175, 13710,20090427,  105,    0
  3175, 13710,20090428,   98,    0
  3175, 13710,20090429,  103,    0
  3175, 13710,20090430,  114,    0
  3175, 13710,20090501,-9999,    9
  3175, 13710,20090502,-9999,    9
  3175, 13710,20090503,-9999,    9
  3175, 13710,20090504,-9999,    9
  3175, 13710,20090505,-9999,    9
  3175, 13710,20090506,-9999,    9
