EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station EUROPLATFORM        , NETHERLANDS (STAID: 3189)
Blended and updated with sources:13734 906321 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  3189, 13734,19960701,  137,    0
  3189, 13734,19960702,  138,    0
  3189, 13734,19960703,  150,    0
  3189, 13734,19960704,  145,    0
  3189, 13734,19960705,  142,    0
  3189, 13734,19960706,  136,    0
  3189, 13734,19960707,  138,    0
  3189, 13734,19960708,  136,    0
  3189, 13734,19960709,  145,    0
  3189, 13734,19960710,  143,    0
  3189, 13734,19960711,  152,    0
  3189, 13734,19960712,  154,    0
  3189, 13734,19960713,  154,    0
  3189, 13734,19960714,  157,    0
  3189, 13734,19960715,  148,    0
  3189, 13734,19960716,  142,    0
  3189, 13734,19960717,  144,    0
  3189, 13734,19960718,  140,    0
  3189, 13734,19960719,  147,    0
  3189, 13734,19960720,  169,    0
  3189, 13734,19960721,  178,    0
  3189, 13734,19960722,  202,    0
  3189, 13734,19960723,  181,    0
  3189, 13734,19960724,  152,    0
  3189, 13734,19960725,  145,    0
  3189, 13734,19960726,  172,    0
  3189, 13734,19960727,  161,    0
  3189, 13734,19960728,  168,    0
  3189, 13734,19960729,  173,    0
  3189, 13734,19960730,  163,    0
  3189, 13734,19960731,  169,    0
  3189, 13734,19960801,  168,    0
  3189, 13734,19960802,  164,    0
  3189, 13734,19960803,  167,    0
  3189, 13734,19960804,  173,    0
  3189, 13734,19960805,  188,    0
  3189, 13734,19960806,  177,    0
  3189, 13734,19960807,  163,    0
  3189, 13734,19960808,  170,    0
  3189, 13734,19960809,  186,    0
  3189, 13734,19960810,  184,    0
  3189, 13734,19960811,  177,    0
  3189, 13734,19960812,  169,    0
  3189, 13734,19960813,  172,    0
  3189, 13734,19960814,  167,    0
  3189, 13734,19960815,  161,    0
  3189, 13734,19960816,  172,    0
  3189, 13734,19960817,  186,    0
  3189, 13734,19960818,  188,    0
  3189, 13734,19960819,  207,    0
  3189, 13734,19960820,  203,    0
  3189, 13734,19960821,  179,    0
  3189, 13734,19960822,  178,    0
  3189, 13734,19960823,  188,    0
  3189, 13734,19960824,  172,    0
  3189, 13734,19960825,  172,    0
  3189, 13734,19960826,  170,    0
  3189, 13734,19960827,  168,    0
  3189, 13734,19960828,  165,    0
  3189, 13734,19960829,  164,    0
  3189, 13734,19960830,  160,    0
  3189, 13734,19960831,  153,    0
  3189, 13734,19960901,  160,    0
  3189, 13734,19960902,  172,    0
  3189, 13734,19960903,  171,    0
  3189, 13734,19960904,  164,    0
  3189, 13734,19960905,  169,    0
  3189, 13734,19960906,  161,    0
  3189, 13734,19960907,  160,    0
  3189, 13734,19960908,  157,    0
  3189, 13734,19960909,  158,    0
  3189, 13734,19960910,  150,    0
  3189, 13734,19960911,  149,    0
  3189, 13734,19960912,  143,    0
  3189, 13734,19960913,  145,    0
  3189, 13734,19960914,  148,    0
