EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station OSTROV VRANGELYA, RUSSIAN FEDERATION (STAID: 3196)
Blended and updated with sources:16816 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  3196, 16816,19260101,-9999,    9
  3196, 16816,19260102,-9999,    9
  3196, 16816,19260103,-9999,    9
  3196, 16816,19260104,-9999,    9
  3196, 16816,19260105,-9999,    9
  3196, 16816,19260106,-9999,    9
  3196, 16816,19260107,-9999,    9
  3196, 16816,19260108,-9999,    9
  3196, 16816,19260109,-9999,    9
  3196, 16816,19260110,-9999,    9
  3196, 16816,19260111,-9999,    9
  3196, 16816,19260112,-9999,    9
  3196, 16816,19260113,-9999,    9
  3196, 16816,19260114,-9999,    9
  3196, 16816,19260115,-9999,    9
  3196, 16816,19260116,-9999,    9
  3196, 16816,19260117,-9999,    9
  3196, 16816,19260118,-9999,    9
  3196, 16816,19260119,-9999,    9
  3196, 16816,19260120,-9999,    9
  3196, 16816,19260121,-9999,    9
  3196, 16816,19260122,-9999,    9
  3196, 16816,19260123,-9999,    9
  3196, 16816,19260124,-9999,    9
  3196, 16816,19260125,-9999,    9
  3196, 16816,19260126,-9999,    9
  3196, 16816,19260127,-9999,    9
  3196, 16816,19260128,-9999,    9
  3196, 16816,19260129,-9999,    9
  3196, 16816,19260130,-9999,    9
  3196, 16816,19260131,-9999,    9
  3196, 16816,19260201,-9999,    9
  3196, 16816,19260202,-9999,    9
  3196, 16816,19260203,-9999,    9
  3196, 16816,19260204,-9999,    9
  3196, 16816,19260205,-9999,    9
  3196, 16816,19260206,-9999,    9
  3196, 16816,19260207,-9999,    9
  3196, 16816,19260208,-9999,    9
  3196, 16816,19260209,-9999,    9
  3196, 16816,19260210,-9999,    9
  3196, 16816,19260211,-9999,    9
  3196, 16816,19260212,-9999,    9
  3196, 16816,19260213,-9999,    9
  3196, 16816,19260214,-9999,    9
  3196, 16816,19260215,-9999,    9
  3196, 16816,19260216,-9999,    9
  3196, 16816,19260217,-9999,    9
  3196, 16816,19260218,-9999,    9
  3196, 16816,19260219,-9999,    9
  3196, 16816,19260220,-9999,    9
  3196, 16816,19260221,-9999,    9
  3196, 16816,19260222,-9999,    9
  3196, 16816,19260223,-9999,    9
  3196, 16816,19260224,-9999,    9
  3196, 16816,19260225,-9999,    9
  3196, 16816,19260226,-9999,    9
  3196, 16816,19260227,-9999,    9
  3196, 16816,19260228,-9999,    9
  3196, 16816,19260301,-9999,    9
  3196, 16816,19260302,-9999,    9
  3196, 16816,19260303,-9999,    9
  3196, 16816,19260304,-9999,    9
  3196, 16816,19260305,-9999,    9
  3196, 16816,19260306,-9999,    9
  3196, 16816,19260307,-9999,    9
  3196, 16816,19260308,-9999,    9
  3196, 16816,19260309,-9999,    9
  3196, 16816,19260310,-9999,    9
  3196, 16816,19260311,-9999,    9
  3196, 16816,19260312,-9999,    9
  3196, 16816,19260313,-9999,    9
  3196, 16816,19260314,-9999,    9
  3196, 16816,19260315,-9999,    9
  3196, 16816,19260316,-9999,    9
  3196, 16816,19260317,-9999,    9
  3196, 16816,19260318,-9999,    9
  3196, 16816,19260319,-9999,    9
  3196, 16816,19260320,-9999,    9
  3196, 16816,19260321,-9999,    9
  3196, 16816,19260322,-9999,    9
  3196, 16816,19260323,-9999,    9
  3196, 16816,19260324,-9999,    9
  3196, 16816,19260325,-9999,    9
  3196, 16816,19260326,-9999,    9
  3196, 16816,19260327,-9999,    9
  3196, 16816,19260328,-9999,    9
  3196, 16816,19260329,-9999,    9
  3196, 16816,19260330,-9999,    9
  3196, 16816,19260331,-9999,    9
  3196, 16816,19260401,-9999,    9
  3196, 16816,19260402,-9999,    9
  3196, 16816,19260403,-9999,    9
  3196, 16816,19260404,-9999,    9
  3196, 16816,19260405,-9999,    9
  3196, 16816,19260406,-9999,    9
  3196, 16816,19260407,-9999,    9
  3196, 16816,19260408,-9999,    9
  3196, 16816,19260409,-9999,    9
  3196, 16816,19260410,-9999,    9
  3196, 16816,19260411,-9999,    9
  3196, 16816,19260412,-9999,    9
  3196, 16816,19260413,-9999,    9
  3196, 16816,19260414,-9999,    9
  3196, 16816,19260415,-9999,    9
  3196, 16816,19260416,-9999,    9
  3196, 16816,19260417,-9999,    9
  3196, 16816,19260418,-9999,    9
  3196, 16816,19260419,-9999,    9
  3196, 16816,19260420,-9999,    9
  3196, 16816,19260421,-9999,    9
  3196, 16816,19260422,-9999,    9
  3196, 16816,19260423,-9999,    9
  3196, 16816,19260424,-9999,    9
  3196, 16816,19260425,-9999,    9
  3196, 16816,19260426,-9999,    9
  3196, 16816,19260427,-9999,    9
  3196, 16816,19260428,-9999,    9
  3196, 16816,19260429,-9999,    9
  3196, 16816,19260430,-9999,    9
  3196, 16816,19260501,-9999,    9
  3196, 16816,19260502,-9999,    9
  3196, 16816,19260503,-9999,    9
  3196, 16816,19260504,-9999,    9
  3196, 16816,19260505,-9999,    9
  3196, 16816,19260506,-9999,    9
  3196, 16816,19260507,-9999,    9
  3196, 16816,19260508,-9999,    9
  3196, 16816,19260509,-9999,    9
  3196, 16816,19260510,-9999,    9
  3196, 16816,19260511,-9999,    9
  3196, 16816,19260512,-9999,    9
  3196, 16816,19260513,-9999,    9
  3196, 16816,19260514,-9999,    9
  3196, 16816,19260515,-9999,    9
  3196, 16816,19260516,-9999,    9
  3196, 16816,19260517,-9999,    9
  3196, 16816,19260518,-9999,    9
  3196, 16816,19260519,-9999,    9
  3196, 16816,19260520,-9999,    9
  3196, 16816,19260521,-9999,    9
  3196, 16816,19260522,-9999,    9
  3196, 16816,19260523,-9999,    9
  3196, 16816,19260524,-9999,    9
  3196, 16816,19260525,-9999,    9
  3196, 16816,19260526,-9999,    9
  3196, 16816,19260527,-9999,    9
  3196, 16816,19260528,-9999,    9
  3196, 16816,19260529,-9999,    9
  3196, 16816,19260530,-9999,    9
  3196, 16816,19260531,-9999,    9
  3196, 16816,19260601,-9999,    9
  3196, 16816,19260602,-9999,    9
  3196, 16816,19260603,-9999,    9
  3196, 16816,19260604,-9999,    9
  3196, 16816,19260605,-9999,    9
  3196, 16816,19260606,-9999,    9
  3196, 16816,19260607,-9999,    9
  3196, 16816,19260608,-9999,    9
  3196, 16816,19260609,-9999,    9
  3196, 16816,19260610,-9999,    9
  3196, 16816,19260611,-9999,    9
  3196, 16816,19260612,-9999,    9
  3196, 16816,19260613,-9999,    9
  3196, 16816,19260614,-9999,    9
  3196, 16816,19260615,-9999,    9
  3196, 16816,19260616,-9999,    9
  3196, 16816,19260617,-9999,    9
  3196, 16816,19260618,-9999,    9
  3196, 16816,19260619,-9999,    9
  3196, 16816,19260620,-9999,    9
  3196, 16816,19260621,-9999,    9
  3196, 16816,19260622,-9999,    9
  3196, 16816,19260623,-9999,    9
  3196, 16816,19260624,-9999,    9
  3196, 16816,19260625,-9999,    9
  3196, 16816,19260626,-9999,    9
  3196, 16816,19260627,-9999,    9
  3196, 16816,19260628,-9999,    9
  3196, 16816,19260629,-9999,    9
  3196, 16816,19260630,-9999,    9
  3196, 16816,19260701,-9999,    9
  3196, 16816,19260702,-9999,    9
  3196, 16816,19260703,-9999,    9
  3196, 16816,19260704,-9999,    9
  3196, 16816,19260705,-9999,    9
  3196, 16816,19260706,-9999,    9
  3196, 16816,19260707,-9999,    9
  3196, 16816,19260708,-9999,    9
  3196, 16816,19260709,-9999,    9
  3196, 16816,19260710,-9999,    9
  3196, 16816,19260711,-9999,    9
  3196, 16816,19260712,-9999,    9
  3196, 16816,19260713,-9999,    9
  3196, 16816,19260714,-9999,    9
  3196, 16816,19260715,-9999,    9
  3196, 16816,19260716,-9999,    9
  3196, 16816,19260717,-9999,    9
  3196, 16816,19260718,-9999,    9
  3196, 16816,19260719,-9999,    9
  3196, 16816,19260720,-9999,    9
  3196, 16816,19260721,-9999,    9
  3196, 16816,19260722,-9999,    9
  3196, 16816,19260723,-9999,    9
  3196, 16816,19260724,-9999,    9
  3196, 16816,19260725,-9999,    9
  3196, 16816,19260726,-9999,    9
  3196, 16816,19260727,-9999,    9
  3196, 16816,19260728,-9999,    9
  3196, 16816,19260729,-9999,    9
  3196, 16816,19260730,-9999,    9
  3196, 16816,19260731,-9999,    9
  3196, 16816,19260801,-9999,    9
  3196, 16816,19260802,-9999,    9
  3196, 16816,19260803,-9999,    9
  3196, 16816,19260804,-9999,    9
  3196, 16816,19260805,-9999,    9
  3196, 16816,19260806,-9999,    9
  3196, 16816,19260807,-9999,    9
  3196, 16816,19260808,-9999,    9
  3196, 16816,19260809,-9999,    9
  3196, 16816,19260810,-9999,    9
  3196, 16816,19260811,-9999,    9
  3196, 16816,19260812,-9999,    9
  3196, 16816,19260813,-9999,    9
  3196, 16816,19260814,-9999,    9
  3196, 16816,19260815,-9999,    9
  3196, 16816,19260816,-9999,    9
  3196, 16816,19260817,-9999,    9
  3196, 16816,19260818,-9999,    9
  3196, 16816,19260819,-9999,    9
  3196, 16816,19260820,-9999,    9
  3196, 16816,19260821,-9999,    9
  3196, 16816,19260822,-9999,    9
  3196, 16816,19260823,-9999,    9
  3196, 16816,19260824,-9999,    9
  3196, 16816,19260825,-9999,    9
  3196, 16816,19260826,-9999,    9
  3196, 16816,19260827,-9999,    9
  3196, 16816,19260828,-9999,    9
  3196, 16816,19260829,-9999,    9
  3196, 16816,19260830,-9999,    9
  3196, 16816,19260831,-9999,    9
  3196, 16816,19260901,-9999,    9
  3196, 16816,19260902,-9999,    9
  3196, 16816,19260903,-9999,    9
  3196, 16816,19260904,-9999,    9
  3196, 16816,19260905,-9999,    9
  3196, 16816,19260906,-9999,    9
  3196, 16816,19260907,-9999,    9
  3196, 16816,19260908,-9999,    9
  3196, 16816,19260909,-9999,    9
  3196, 16816,19260910,-9999,    9
  3196, 16816,19260911,-9999,    9
  3196, 16816,19260912,-9999,    9
  3196, 16816,19260913,-9999,    9
  3196, 16816,19260914,-9999,    9
  3196, 16816,19260915,-9999,    9
  3196, 16816,19260916,-9999,    9
  3196, 16816,19260917,-9999,    9
  3196, 16816,19260918,-9999,    9
  3196, 16816,19260919,-9999,    9
  3196, 16816,19260920,-9999,    9
  3196, 16816,19260921,-9999,    9
  3196, 16816,19260922,-9999,    9
  3196, 16816,19260923,-9999,    9
  3196, 16816,19260924,-9999,    9
  3196, 16816,19260925,-9999,    9
  3196, 16816,19260926,-9999,    9
  3196, 16816,19260927,-9999,    9
  3196, 16816,19260928,-9999,    9
  3196, 16816,19260929,-9999,    9
  3196, 16816,19260930,-9999,    9
  3196, 16816,19261001,  -54,    0
  3196, 16816,19261002,  -62,    0
  3196, 16816,19261003,  -47,    0
  3196, 16816,19261004,  -65,    0
  3196, 16816,19261005,  -75,    0
  3196, 16816,19261006,  -74,    0
  3196, 16816,19261007,  -85,    0
  3196, 16816,19261008,  -60,    0
  3196, 16816,19261009,  -23,    0
  3196, 16816,19261010,  -35,    0
  3196, 16816,19261011,  -79,    0
  3196, 16816,19261012,  -79,    0
  3196, 16816,19261013,   -5,    0
  3196, 16816,19261014,    4,    0
  3196, 16816,19261015,    3,    0
  3196, 16816,19261016,  -23,    0
  3196, 16816,19261017,  -48,    0
  3196, 16816,19261018,  -36,    0
  3196, 16816,19261019,  -27,    0
  3196, 16816,19261020,  -35,    0
  3196, 16816,19261021,  -39,    0
  3196, 16816,19261022,  -22,    0
  3196, 16816,19261023,  -15,    0
  3196, 16816,19261024,  -37,    0
  3196, 16816,19261025,  -68,    0
  3196, 16816,19261026,  -65,    0
  3196, 16816,19261027, -109,    0
  3196, 16816,19261028, -120,    0
  3196, 16816,19261029, -109,    0
  3196, 16816,19261030,  -71,    0
  3196, 16816,19261031,  -58,    0
  3196, 16816,19261101, -129,    0
  3196, 16816,19261102, -135,    0
  3196, 16816,19261103,  -69,    0
  3196, 16816,19261104,  -54,    0
  3196, 16816,19261105,  -45,    0
  3196, 16816,19261106,  -21,    0
  3196, 16816,19261107, -123,    0
  3196, 16816,19261108,  -87,    0
  3196, 16816,19261109, -112,    0
  3196, 16816,19261110, -117,    0
  3196, 16816,19261111, -104,    0
  3196, 16816,19261112, -103,    0
  3196, 16816,19261113,  -98,    0
  3196, 16816,19261114,  -95,    0
  3196, 16816,19261115, -169,    0
  3196, 16816,19261116, -214,    0
  3196, 16816,19261117,  -54,    0
  3196, 16816,19261118,  -31,    0
  3196, 16816,19261119, -128,    0
