EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station IVDEL', RUSSIAN FEDERATION (STAID: 3201)
Blended and updated with sources:16877 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  3201, 16877,19340101,-9999,    9
  3201, 16877,19340102,-9999,    9
  3201, 16877,19340103,-9999,    9
  3201, 16877,19340104,-9999,    9
  3201, 16877,19340105,-9999,    9
  3201, 16877,19340106,-9999,    9
  3201, 16877,19340107,-9999,    9
  3201, 16877,19340108,-9999,    9
  3201, 16877,19340109,-9999,    9
  3201, 16877,19340110,-9999,    9
  3201, 16877,19340111,-9999,    9
  3201, 16877,19340112,-9999,    9
  3201, 16877,19340113,-9999,    9
  3201, 16877,19340114,-9999,    9
  3201, 16877,19340115,-9999,    9
  3201, 16877,19340116,-9999,    9
  3201, 16877,19340117,-9999,    9
  3201, 16877,19340118,-9999,    9
  3201, 16877,19340119,-9999,    9
  3201, 16877,19340120,-9999,    9
  3201, 16877,19340121,-9999,    9
  3201, 16877,19340122,-9999,    9
  3201, 16877,19340123,-9999,    9
  3201, 16877,19340124,-9999,    9
  3201, 16877,19340125,-9999,    9
  3201, 16877,19340126,-9999,    9
  3201, 16877,19340127,-9999,    9
  3201, 16877,19340128,-9999,    9
  3201, 16877,19340129,-9999,    9
  3201, 16877,19340130,-9999,    9
  3201, 16877,19340131,-9999,    9
  3201, 16877,19340201,-9999,    9
  3201, 16877,19340202,-9999,    9
  3201, 16877,19340203,-9999,    9
  3201, 16877,19340204,-9999,    9
  3201, 16877,19340205,-9999,    9
  3201, 16877,19340206,-9999,    9
  3201, 16877,19340207,-9999,    9
  3201, 16877,19340208,-9999,    9
  3201, 16877,19340209,-9999,    9
  3201, 16877,19340210,-9999,    9
  3201, 16877,19340211,-9999,    9
  3201, 16877,19340212,-9999,    9
  3201, 16877,19340213,-9999,    9
  3201, 16877,19340214,-9999,    9
  3201, 16877,19340215,-9999,    9
  3201, 16877,19340216,-9999,    9
  3201, 16877,19340217,-9999,    9
  3201, 16877,19340218,-9999,    9
  3201, 16877,19340219,-9999,    9
  3201, 16877,19340220,-9999,    9
  3201, 16877,19340221,-9999,    9
  3201, 16877,19340222,-9999,    9
  3201, 16877,19340223,-9999,    9
  3201, 16877,19340224,-9999,    9
  3201, 16877,19340225,-9999,    9
  3201, 16877,19340226,-9999,    9
  3201, 16877,19340227,-9999,    9
  3201, 16877,19340228,-9999,    9
  3201, 16877,19340301,-9999,    9
  3201, 16877,19340302,-9999,    9
  3201, 16877,19340303,-9999,    9
  3201, 16877,19340304,-9999,    9
  3201, 16877,19340305,-9999,    9
  3201, 16877,19340306,-9999,    9
  3201, 16877,19340307,-9999,    9
  3201, 16877,19340308,-9999,    9
  3201, 16877,19340309,-9999,    9
  3201, 16877,19340310,-9999,    9
  3201, 16877,19340311,-9999,    9
  3201, 16877,19340312,-9999,    9
  3201, 16877,19340313,-9999,    9
  3201, 16877,19340314,-9999,    9
  3201, 16877,19340315,-9999,    9
  3201, 16877,19340316,-9999,    9
  3201, 16877,19340317,-9999,    9
  3201, 16877,19340318,-9999,    9
  3201, 16877,19340319,-9999,    9
  3201, 16877,19340320,-9999,    9
  3201, 16877,19340321,-9999,    9
  3201, 16877,19340322,-9999,    9
  3201, 16877,19340323,-9999,    9
  3201, 16877,19340324,-9999,    9
  3201, 16877,19340325,-9999,    9
  3201, 16877,19340326,-9999,    9
  3201, 16877,19340327,-9999,    9
  3201, 16877,19340328,-9999,    9
  3201, 16877,19340329,-9999,    9
  3201, 16877,19340330,-9999,    9
  3201, 16877,19340331,-9999,    9
  3201, 16877,19340401,-9999,    9
  3201, 16877,19340402,-9999,    9
  3201, 16877,19340403,-9999,    9
  3201, 16877,19340404,-9999,    9
  3201, 16877,19340405,-9999,    9
  3201, 16877,19340406,-9999,    9
  3201, 16877,19340407,-9999,    9
  3201, 16877,19340408,-9999,    9
  3201, 16877,19340409,-9999,    9
  3201, 16877,19340410,-9999,    9
  3201, 16877,19340411,-9999,    9
  3201, 16877,19340412,-9999,    9
  3201, 16877,19340413,-9999,    9
  3201, 16877,19340414,-9999,    9
  3201, 16877,19340415,-9999,    9
  3201, 16877,19340416,-9999,    9
  3201, 16877,19340417,-9999,    9
  3201, 16877,19340418,-9999,    9
  3201, 16877,19340419,-9999,    9
  3201, 16877,19340420,-9999,    9
  3201, 16877,19340421,-9999,    9
  3201, 16877,19340422,-9999,    9
  3201, 16877,19340423,-9999,    9
  3201, 16877,19340424,-9999,    9
  3201, 16877,19340425,-9999,    9
  3201, 16877,19340426,-9999,    9
  3201, 16877,19340427,-9999,    9
  3201, 16877,19340428,-9999,    9
  3201, 16877,19340429,-9999,    9
  3201, 16877,19340430,-9999,    9
  3201, 16877,19340501,-9999,    9
  3201, 16877,19340502,-9999,    9
  3201, 16877,19340503,-9999,    9
  3201, 16877,19340504,-9999,    9
  3201, 16877,19340505,-9999,    9
  3201, 16877,19340506,-9999,    9
  3201, 16877,19340507,-9999,    9
  3201, 16877,19340508,-9999,    9
  3201, 16877,19340509,-9999,    9
  3201, 16877,19340510,-9999,    9
  3201, 16877,19340511,-9999,    9
  3201, 16877,19340512,-9999,    9
  3201, 16877,19340513,-9999,    9
  3201, 16877,19340514,-9999,    9
  3201, 16877,19340515,-9999,    9
  3201, 16877,19340516,-9999,    9
  3201, 16877,19340517,-9999,    9
  3201, 16877,19340518,-9999,    9
  3201, 16877,19340519,-9999,    9
  3201, 16877,19340520,-9999,    9
  3201, 16877,19340521,-9999,    9
  3201, 16877,19340522,-9999,    9
  3201, 16877,19340523,-9999,    9
  3201, 16877,19340524,-9999,    9
  3201, 16877,19340525,-9999,    9
  3201, 16877,19340526,-9999,    9
  3201, 16877,19340527,-9999,    9
  3201, 16877,19340528,-9999,    9
  3201, 16877,19340529,-9999,    9
  3201, 16877,19340530,-9999,    9
  3201, 16877,19340531,-9999,    9
  3201, 16877,19340601,-9999,    9
  3201, 16877,19340602,-9999,    9
  3201, 16877,19340603,-9999,    9
  3201, 16877,19340604,-9999,    9
  3201, 16877,19340605,-9999,    9
  3201, 16877,19340606,-9999,    9
  3201, 16877,19340607,-9999,    9
  3201, 16877,19340608,-9999,    9
  3201, 16877,19340609,-9999,    9
  3201, 16877,19340610,-9999,    9
  3201, 16877,19340611,-9999,    9
  3201, 16877,19340612,-9999,    9
  3201, 16877,19340613,-9999,    9
  3201, 16877,19340614,-9999,    9
  3201, 16877,19340615,-9999,    9
  3201, 16877,19340616,-9999,    9
  3201, 16877,19340617,-9999,    9
  3201, 16877,19340618,-9999,    9
  3201, 16877,19340619,-9999,    9
  3201, 16877,19340620,-9999,    9
  3201, 16877,19340621,-9999,    9
  3201, 16877,19340622,-9999,    9
  3201, 16877,19340623,-9999,    9
  3201, 16877,19340624,-9999,    9
  3201, 16877,19340625,-9999,    9
  3201, 16877,19340626,-9999,    9
  3201, 16877,19340627,-9999,    9
  3201, 16877,19340628,-9999,    9
  3201, 16877,19340629,-9999,    9
  3201, 16877,19340630,-9999,    9
  3201, 16877,19340701,-9999,    9
  3201, 16877,19340702,-9999,    9
  3201, 16877,19340703,-9999,    9
  3201, 16877,19340704,-9999,    9
  3201, 16877,19340705,-9999,    9
  3201, 16877,19340706,-9999,    9
  3201, 16877,19340707,-9999,    9
  3201, 16877,19340708,-9999,    9
  3201, 16877,19340709,-9999,    9
  3201, 16877,19340710,-9999,    9
  3201, 16877,19340711,-9999,    9
  3201, 16877,19340712,-9999,    9
  3201, 16877,19340713,-9999,    9
  3201, 16877,19340714,-9999,    9
  3201, 16877,19340715,-9999,    9
  3201, 16877,19340716,-9999,    9
  3201, 16877,19340717,-9999,    9
  3201, 16877,19340718,-9999,    9
  3201, 16877,19340719,-9999,    9
  3201, 16877,19340720,-9999,    9
  3201, 16877,19340721,-9999,    9
  3201, 16877,19340722,-9999,    9
  3201, 16877,19340723,-9999,    9
  3201, 16877,19340724,-9999,    9
  3201, 16877,19340725,-9999,    9
  3201, 16877,19340726,-9999,    9
