EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SAMARA, RUSSIAN FEDERATION (STAID: 3225)
Blended and updated with sources:17076 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  3225, 17076,19360101, -122,    0
  3225, 17076,19360102, -110,    0
  3225, 17076,19360103,  -70,    0
  3225, 17076,19360104,  -92,    0
  3225, 17076,19360105, -114,    0
  3225, 17076,19360106, -139,    0
  3225, 17076,19360107, -109,    0
  3225, 17076,19360108,  -86,    0
  3225, 17076,19360109, -109,    0
  3225, 17076,19360110, -148,    0
  3225, 17076,19360111, -147,    0
  3225, 17076,19360112,  -86,    0
  3225, 17076,19360113,  -71,    0
  3225, 17076,19360114,  -46,    0
  3225, 17076,19360115,  -40,    0
  3225, 17076,19360116,  -59,    0
  3225, 17076,19360117, -110,    0
  3225, 17076,19360118, -131,    0
  3225, 17076,19360119, -133,    0
  3225, 17076,19360120, -213,    0
  3225, 17076,19360121, -162,    0
  3225, 17076,19360122, -165,    0
  3225, 17076,19360123, -154,    0
  3225, 17076,19360124, -136,    0
  3225, 17076,19360125, -167,    0
  3225, 17076,19360126, -112,    0
  3225, 17076,19360127, -117,    0
  3225, 17076,19360128,  -90,    0
  3225, 17076,19360129,  -84,    0
  3225, 17076,19360130, -122,    0
  3225, 17076,19360131, -235,    0
  3225, 17076,19360201, -184,    0
  3225, 17076,19360202, -189,    0
  3225, 17076,19360203, -161,    0
  3225, 17076,19360204, -137,    0
  3225, 17076,19360205, -156,    0
  3225, 17076,19360206, -140,    0
  3225, 17076,19360207, -105,    0
  3225, 17076,19360208, -120,    0
  3225, 17076,19360209, -185,    0
  3225, 17076,19360210, -139,    0
  3225, 17076,19360211, -108,    0
  3225, 17076,19360212, -238,    0
  3225, 17076,19360213, -165,    0
  3225, 17076,19360214,  -68,    0
  3225, 17076,19360215, -138,    0
  3225, 17076,19360216, -167,    0
  3225, 17076,19360217, -180,    0
  3225, 17076,19360218, -130,    0
  3225, 17076,19360219, -184,    0
  3225, 17076,19360220, -131,    0
  3225, 17076,19360221, -147,    0
  3225, 17076,19360222, -152,    0
  3225, 17076,19360223, -139,    0
  3225, 17076,19360224, -151,    0
  3225, 17076,19360225, -155,    0
  3225, 17076,19360226, -142,    0
  3225, 17076,19360227, -132,    0
  3225, 17076,19360228, -159,    0
  3225, 17076,19360229, -112,    0
  3225, 17076,19360301,  -76,    0
  3225, 17076,19360302, -106,    0
  3225, 17076,19360303, -140,    0
  3225, 17076,19360304, -140,    0
  3225, 17076,19360305, -102,    0
  3225, 17076,19360306,  -91,    0
  3225, 17076,19360307,  -71,    0
  3225, 17076,19360308,  -31,    0
  3225, 17076,19360309,  -95,    0
  3225, 17076,19360310,  -93,    0
  3225, 17076,19360311, -103,    0
  3225, 17076,19360312, -112,    0
  3225, 17076,19360313, -104,    0
  3225, 17076,19360314,  -70,    0
  3225, 17076,19360315,  -95,    0
  3225, 17076,19360316, -108,    0
  3225, 17076,19360317, -107,    0
  3225, 17076,19360318,  -52,    0
  3225, 17076,19360319,  -44,    0
  3225, 17076,19360320,  -11,    0
  3225, 17076,19360321,  -46,    0
  3225, 17076,19360322,  -61,    0
  3225, 17076,19360323,  -35,    0
  3225, 17076,19360324,  -25,    0
  3225, 17076,19360325,  -92,    0
  3225, 17076,19360326, -110,    0
  3225, 17076,19360327, -120,    0
  3225, 17076,19360328, -141,    0
  3225, 17076,19360329,  -90,    0
  3225, 17076,19360330,  -70,    0
  3225, 17076,19360331,  -64,    0
  3225, 17076,19360401,  -52,    0
  3225, 17076,19360402,  -28,    0
  3225, 17076,19360403,  -32,    0
  3225, 17076,19360404,  -39,    0
  3225, 17076,19360405,  -17,    0
  3225, 17076,19360406,    3,    0
  3225, 17076,19360407,  -23,    0
  3225, 17076,19360408,  -45,    0
  3225, 17076,19360409,  -27,    0
  3225, 17076,19360410,   -6,    0
  3225, 17076,19360411,   -3,    0
  3225, 17076,19360412,    2,    0
  3225, 17076,19360413,   20,    0
  3225, 17076,19360414,   34,    0
  3225, 17076,19360415,   22,    0
  3225, 17076,19360416,   52,    0
  3225, 17076,19360417,   56,    0
  3225, 17076,19360418,   59,    0
  3225, 17076,19360419,   72,    0
  3225, 17076,19360420,   69,    0
  3225, 17076,19360421,   72,    0
  3225, 17076,19360422,   82,    0
  3225, 17076,19360423,   76,    0
  3225, 17076,19360424,   83,    0
  3225, 17076,19360425,  123,    0
  3225, 17076,19360426,  130,    0
  3225, 17076,19360427,  133,    0
  3225, 17076,19360428,  135,    0
  3225, 17076,19360429,   94,    0
  3225, 17076,19360430,   92,    0
  3225, 17076,19360501,  128,    0
  3225, 17076,19360502,  136,    0
  3225, 17076,19360503,  124,    0
  3225, 17076,19360504,  120,    0
  3225, 17076,19360505,   82,    0
  3225, 17076,19360506,   58,    0
  3225, 17076,19360507,   48,    0
  3225, 17076,19360508,   88,    0
  3225, 17076,19360509,  117,    0
  3225, 17076,19360510,  140,    0
  3225, 17076,19360511,  144,    0
  3225, 17076,19360512,  146,    0
  3225, 17076,19360513,  151,    0
  3225, 17076,19360514,  169,    0
  3225, 17076,19360515,   99,    0
  3225, 17076,19360516,   24,    0
  3225, 17076,19360517,   59,    0
  3225, 17076,19360518,  114,    0
  3225, 17076,19360519,  110,    0
  3225, 17076,19360520,   71,    0
  3225, 17076,19360521,  115,    0
  3225, 17076,19360522,  159,    0
  3225, 17076,19360523,  133,    0
  3225, 17076,19360524,  131,    0
  3225, 17076,19360525,  132,    0
  3225, 17076,19360526,  132,    0
  3225, 17076,19360527,  161,    0
  3225, 17076,19360528,  189,    0
  3225, 17076,19360529,  206,    0
  3225, 17076,19360530,  228,    0
  3225, 17076,19360531,  252,    0
  3225, 17076,19360601,  256,    0
  3225, 17076,19360602,  266,    0
  3225, 17076,19360603,  265,    0
  3225, 17076,19360604,  251,    0
  3225, 17076,19360605,  262,    0
  3225, 17076,19360606,  244,    0
  3225, 17076,19360607,  262,    0
  3225, 17076,19360608,  245,    0
  3225, 17076,19360609,  198,    0
  3225, 17076,19360610,  170,    0
  3225, 17076,19360611,  201,    0
  3225, 17076,19360612,  214,    0
  3225, 17076,19360613,  240,    0
  3225, 17076,19360614,  248,    0
  3225, 17076,19360615,  253,    0
  3225, 17076,19360616,  238,    0
  3225, 17076,19360617,  211,    0
  3225, 17076,19360618,  178,    0
  3225, 17076,19360619,  200,    0
  3225, 17076,19360620,  224,    0
  3225, 17076,19360621,  210,    0
  3225, 17076,19360622,  174,    0
  3225, 17076,19360623,  218,    0
  3225, 17076,19360624,  265,    0
  3225, 17076,19360625,  267,    0
  3225, 17076,19360626,  270,    0
  3225, 17076,19360627,  235,    0
  3225, 17076,19360628,  220,    0
  3225, 17076,19360629,  233,    0
  3225, 17076,19360630,  174,    0
  3225, 17076,19360701,  164,    0
  3225, 17076,19360702,  168,    0
  3225, 17076,19360703,  172,    0
  3225, 17076,19360704,  200,    0
  3225, 17076,19360705,  222,    0
  3225, 17076,19360706,  236,    0
  3225, 17076,19360707,  256,    0
  3225, 17076,19360708,  273,    0
  3225, 17076,19360709,  214,    0
  3225, 17076,19360710,  186,    0
  3225, 17076,19360711,  160,    0
  3225, 17076,19360712,  209,    0
  3225, 17076,19360713,  236,    0
  3225, 17076,19360714,  234,    0
  3225, 17076,19360715,  256,    0
  3225, 17076,19360716,  278,    0
  3225, 17076,19360717,  289,    0
  3225, 17076,19360718,  257,    0
  3225, 17076,19360719,  202,    0
  3225, 17076,19360720,  193,    0
  3225, 17076,19360721,  172,    0
  3225, 17076,19360722,  208,    0
  3225, 17076,19360723,  230,    0
  3225, 17076,19360724,  229,    0
  3225, 17076,19360725,  237,    0
  3225, 17076,19360726,  260,    0
  3225, 17076,19360727,  257,    0
  3225, 17076,19360728,  231,    0
  3225, 17076,19360729,  235,    0
  3225, 17076,19360730,  250,    0
  3225, 17076,19360731,  269,    0
  3225, 17076,19360801,  290,    0
  3225, 17076,19360802,  292,    0
  3225, 17076,19360803,  279,    0
  3225, 17076,19360804,  252,    0
  3225, 17076,19360805,  268,    0
  3225, 17076,19360806,  288,    0
  3225, 17076,19360807,  282,    0
  3225, 17076,19360808,  270,    0
  3225, 17076,19360809,  242,    0
  3225, 17076,19360810,  218,    0
  3225, 17076,19360811,  205,    0
  3225, 17076,19360812,  202,    0
  3225, 17076,19360813,  222,    0
  3225, 17076,19360814,  270,    0
  3225, 17076,19360815,  252,    0
  3225, 17076,19360816,  229,    0
  3225, 17076,19360817,  205,    0
  3225, 17076,19360818,  158,    0
  3225, 17076,19360819,  156,    0
  3225, 17076,19360820,  169,    0
  3225, 17076,19360821,  204,    0
  3225, 17076,19360822,  182,    0
  3225, 17076,19360823,  160,    0
  3225, 17076,19360824,  124,    0
  3225, 17076,19360825,  132,    0
  3225, 17076,19360826,  147,    0
  3225, 17076,19360827,  161,    0
  3225, 17076,19360828,  163,    0
  3225, 17076,19360829,  154,    0
  3225, 17076,19360830,  161,    0
  3225, 17076,19360831,  134,    0
  3225, 17076,19360901,  146,    0
  3225, 17076,19360902,  161,    0
  3225, 17076,19360903,  124,    0
  3225, 17076,19360904,  115,    0
  3225, 17076,19360905,  112,    0
  3225, 17076,19360906,  117,    0
  3225, 17076,19360907,  118,    0
  3225, 17076,19360908,  130,    0
  3225, 17076,19360909,  165,    0
  3225, 17076,19360910,  184,    0
  3225, 17076,19360911,  102,    0
  3225, 17076,19360912,  102,    0
  3225, 17076,19360913,   98,    0
  3225, 17076,19360914,   78,    0
  3225, 17076,19360915,   77,    0
  3225, 17076,19360916,   66,    0
  3225, 17076,19360917,   67,    0
  3225, 17076,19360918,   66,    0
  3225, 17076,19360919,   65,    0
  3225, 17076,19360920,  108,    0
  3225, 17076,19360921,   97,    0
  3225, 17076,19360922,   82,    0
  3225, 17076,19360923,  120,    0
  3225, 17076,19360924,  136,    0
  3225, 17076,19360925,  118,    0
  3225, 17076,19360926,  117,    0
  3225, 17076,19360927,  139,    0
  3225, 17076,19360928,  148,    0
  3225, 17076,19360929,  178,    0
  3225, 17076,19360930,  174,    0
  3225, 17076,19361001,  162,    0
  3225, 17076,19361002,  186,    0
  3225, 17076,19361003,  135,    0
  3225, 17076,19361004,   73,    0
  3225, 17076,19361005,   52,    0
  3225, 17076,19361006,   50,    0
  3225, 17076,19361007,   26,    0
  3225, 17076,19361008,   70,    0
  3225, 17076,19361009,   82,    0
