EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ENISEJSK, RUSSIAN FEDERATION (STAID: 3227)
Blended and updated with sources:17086 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  3227, 17086,18840101, -152,    0
  3227, 17086,18840102, -152,    0
  3227, 17086,18840103,  -85,    0
  3227, 17086,18840104, -107,    0
  3227, 17086,18840105, -166,    0
  3227, 17086,18840106, -140,    0
  3227, 17086,18840107, -160,    0
  3227, 17086,18840108, -124,    0
  3227, 17086,18840109, -133,    0
  3227, 17086,18840110, -128,    0
  3227, 17086,18840111, -163,    0
  3227, 17086,18840112, -325,    0
  3227, 17086,18840113, -330,    0
  3227, 17086,18840114, -309,    0
  3227, 17086,18840115, -272,    0
  3227, 17086,18840116, -213,    0
  3227, 17086,18840117, -166,    0
  3227, 17086,18840118, -151,    0
  3227, 17086,18840119, -200,    0
  3227, 17086,18840120, -298,    0
  3227, 17086,18840121, -336,    0
  3227, 17086,18840122, -262,    0
  3227, 17086,18840123, -173,    0
  3227, 17086,18840124, -141,    0
  3227, 17086,18840125, -130,    0
  3227, 17086,18840126, -128,    0
  3227, 17086,18840127,  -81,    0
  3227, 17086,18840128,  -98,    0
  3227, 17086,18840129, -115,    0
  3227, 17086,18840130, -108,    0
  3227, 17086,18840131, -146,    0
  3227, 17086,18840201, -209,    0
  3227, 17086,18840202, -259,    0
  3227, 17086,18840203, -302,    0
  3227, 17086,18840204, -249,    0
  3227, 17086,18840205, -218,    0
  3227, 17086,18840206, -219,    0
  3227, 17086,18840207, -205,    0
  3227, 17086,18840208, -191,    0
  3227, 17086,18840209,  -91,    0
  3227, 17086,18840210, -101,    0
  3227, 17086,18840211,  -67,    0
  3227, 17086,18840212, -111,    0
  3227, 17086,18840213, -203,    0
  3227, 17086,18840214, -142,    0
  3227, 17086,18840215,  -93,    0
  3227, 17086,18840216, -195,    0
  3227, 17086,18840217, -231,    0
  3227, 17086,18840218, -240,    0
  3227, 17086,18840219, -144,    0
  3227, 17086,18840220, -114,    0
  3227, 17086,18840221,  -73,    0
  3227, 17086,18840222, -137,    0
  3227, 17086,18840223, -154,    0
  3227, 17086,18840224, -197,    0
  3227, 17086,18840225,  -91,    0
  3227, 17086,18840226, -204,    0
  3227, 17086,18840227, -223,    0
  3227, 17086,18840228, -204,    0
  3227, 17086,18840229, -151,    0
  3227, 17086,18840301, -204,    0
  3227, 17086,18840302, -174,    0
  3227, 17086,18840303, -187,    0
  3227, 17086,18840304, -180,    0
  3227, 17086,18840305, -137,    0
  3227, 17086,18840306, -212,    0
  3227, 17086,18840307, -216,    0
  3227, 17086,18840308, -246,    0
  3227, 17086,18840309, -217,    0
  3227, 17086,18840310,  -96,    0
  3227, 17086,18840311, -153,    0
  3227, 17086,18840312, -205,    0
  3227, 17086,18840313, -222,    0
  3227, 17086,18840314, -181,    0
  3227, 17086,18840315, -176,    0
  3227, 17086,18840316, -211,    0
  3227, 17086,18840317, -219,    0
  3227, 17086,18840318, -224,    0
  3227, 17086,18840319, -165,    0
  3227, 17086,18840320, -101,    0
  3227, 17086,18840321,  -83,    0
  3227, 17086,18840322,  -32,    0
  3227, 17086,18840323,  -51,    0
  3227, 17086,18840324,  -50,    0
  3227, 17086,18840325,  -85,    0
  3227, 17086,18840326,  -99,    0
  3227, 17086,18840327,  -92,    0
  3227, 17086,18840328,  -58,    0
  3227, 17086,18840329,  -24,    0
  3227, 17086,18840330,  -21,    0
  3227, 17086,18840331,  -52,    0
  3227, 17086,18840401,  -72,    0
  3227, 17086,18840402,  -48,    0
  3227, 17086,18840403, -126,    0
  3227, 17086,18840404, -144,    0
  3227, 17086,18840405, -114,    0
  3227, 17086,18840406,  -51,    0
  3227, 17086,18840407,  -34,    0
  3227, 17086,18840408, -133,    0
  3227, 17086,18840409, -118,    0
  3227, 17086,18840410,  -98,    0
  3227, 17086,18840411, -147,    0
  3227, 17086,18840412,  -94,    0
  3227, 17086,18840413, -158,    0
  3227, 17086,18840414, -175,    0
  3227, 17086,18840415,  -91,    0
  3227, 17086,18840416,   21,    0
  3227, 17086,18840417,   50,    0
  3227, 17086,18840418,  -24,    0
  3227, 17086,18840419,   33,    0
  3227, 17086,18840420,   38,    0
  3227, 17086,18840421,  -18,    0
  3227, 17086,18840422,  -60,    0
  3227, 17086,18840423,  -80,    0
  3227, 17086,18840424,  -15,    0
  3227, 17086,18840425,   59,    0
  3227, 17086,18840426,   66,    0
  3227, 17086,18840427,   -7,    0
  3227, 17086,18840428,  -70,    0
  3227, 17086,18840429,    1,    0
  3227, 17086,18840430,   52,    0
  3227, 17086,18840501,   31,    0
  3227, 17086,18840502,   19,    0
  3227, 17086,18840503,   61,    0
  3227, 17086,18840504,   71,    0
  3227, 17086,18840505,   47,    0
  3227, 17086,18840506,   57,    0
  3227, 17086,18840507,   63,    0
  3227, 17086,18840508,   72,    0
  3227, 17086,18840509,  111,    0
  3227, 17086,18840510,  131,    0
  3227, 17086,18840511,  122,    0
  3227, 17086,18840512,   99,    0
  3227, 17086,18840513,  126,    0
  3227, 17086,18840514,   63,    0
  3227, 17086,18840515,   44,    0
  3227, 17086,18840516,   93,    0
  3227, 17086,18840517,  179,    0
  3227, 17086,18840518,  168,    0
  3227, 17086,18840519,  138,    0
  3227, 17086,18840520,  166,    0
  3227, 17086,18840521,  186,    0
  3227, 17086,18840522,   83,    0
  3227, 17086,18840523,   25,    0
  3227, 17086,18840524,   58,    0
  3227, 17086,18840525,   72,    0
  3227, 17086,18840526,  139,    0
  3227, 17086,18840527,  191,    0
  3227, 17086,18840528,  122,    0
  3227, 17086,18840529,   86,    0
  3227, 17086,18840530,  160,    0
  3227, 17086,18840531,  172,    0
  3227, 17086,18840601,  110,    0
  3227, 17086,18840602,  116,    0
  3227, 17086,18840603,  142,    0
  3227, 17086,18840604,  147,    0
  3227, 17086,18840605,  103,    0
  3227, 17086,18840606,  127,    0
  3227, 17086,18840607,   99,    0
  3227, 17086,18840608,  146,    0
  3227, 17086,18840609,   95,    0
  3227, 17086,18840610,   84,    0
  3227, 17086,18840611,  115,    0
  3227, 17086,18840612,  145,    0
  3227, 17086,18840613,  121,    0
  3227, 17086,18840614,  139,    0
  3227, 17086,18840615,  120,    0
  3227, 17086,18840616,  140,    0
  3227, 17086,18840617,  179,    0
  3227, 17086,18840618,  195,    0
  3227, 17086,18840619,  205,    0
  3227, 17086,18840620,  196,    0
  3227, 17086,18840621,  172,    0
  3227, 17086,18840622,  147,    0
  3227, 17086,18840623,  142,    0
  3227, 17086,18840624,  107,    0
  3227, 17086,18840625,  101,    0
  3227, 17086,18840626,  117,    0
  3227, 17086,18840627,  115,    0
  3227, 17086,18840628,  113,    0
  3227, 17086,18840629,  130,    0
  3227, 17086,18840630,  149,    0
  3227, 17086,18840701,  164,    0
  3227, 17086,18840702,  192,    0
  3227, 17086,18840703,  212,    0
  3227, 17086,18840704,  232,    0
  3227, 17086,18840705,  224,    0
  3227, 17086,18840706,  205,    0
  3227, 17086,18840707,  226,    0
  3227, 17086,18840708,  245,    0
  3227, 17086,18840709,  245,    0
  3227, 17086,18840710,  264,    0
  3227, 17086,18840711,  275,    0
  3227, 17086,18840712,  225,    0
  3227, 17086,18840713,  202,    0
  3227, 17086,18840714,  236,    0
  3227, 17086,18840715,  193,    0
  3227, 17086,18840716,  176,    0
  3227, 17086,18840717,  198,    0
  3227, 17086,18840718,  166,    0
  3227, 17086,18840719,  184,    0
  3227, 17086,18840720,  182,    0
  3227, 17086,18840721,  180,    0
  3227, 17086,18840722,  148,    0
  3227, 17086,18840723,  159,    0
  3227, 17086,18840724,  204,    0
  3227, 17086,18840725,  202,    0
  3227, 17086,18840726,  131,    0
  3227, 17086,18840727,  138,    0
  3227, 17086,18840728,  122,    0
  3227, 17086,18840729,  156,    0
  3227, 17086,18840730,  208,    0
  3227, 17086,18840731,  206,    0
  3227, 17086,18840801,  196,    0
  3227, 17086,18840802,  173,    0
  3227, 17086,18840803,  138,    0
  3227, 17086,18840804,  107,    0
  3227, 17086,18840805,  107,    0
  3227, 17086,18840806,  122,    0
  3227, 17086,18840807,  160,    0
  3227, 17086,18840808,  194,    0
  3227, 17086,18840809,  193,    0
  3227, 17086,18840810,  192,    0
  3227, 17086,18840811,  218,    0
  3227, 17086,18840812,  197,    0
  3227, 17086,18840813,  137,    0
  3227, 17086,18840814,  137,    0
  3227, 17086,18840815,  144,    0
  3227, 17086,18840816,  136,    0
  3227, 17086,18840817,  145,    0
  3227, 17086,18840818,  177,    0
  3227, 17086,18840819,  158,    0
  3227, 17086,18840820,  153,    0
  3227, 17086,18840821,  149,    0
  3227, 17086,18840822,-9999,    9
  3227, 17086,18840823,-9999,    9
  3227, 17086,18840824,-9999,    9
  3227, 17086,18840825,-9999,    9
  3227, 17086,18840826,-9999,    9
  3227, 17086,18840827,-9999,    9
  3227, 17086,18840828,-9999,    9
  3227, 17086,18840829,  113,    0
  3227, 17086,18840830,  121,    0
  3227, 17086,18840831,  118,    0
  3227, 17086,18840901,  111,    0
  3227, 17086,18840902,   92,    0
  3227, 17086,18840903,  111,    0
  3227, 17086,18840904,   92,    0
  3227, 17086,18840905,   83,    0
  3227, 17086,18840906,   85,    0
  3227, 17086,18840907,   76,    0
  3227, 17086,18840908,   80,    0
  3227, 17086,18840909,   97,    0
  3227, 17086,18840910,  115,    0
  3227, 17086,18840911,  110,    0
  3227, 17086,18840912,   85,    0
  3227, 17086,18840913,   95,    0
  3227, 17086,18840914,  110,    0
  3227, 17086,18840915,   49,    0
  3227, 17086,18840916,  125,    0
  3227, 17086,18840917,  139,    0
  3227, 17086,18840918,  149,    0
  3227, 17086,18840919,   93,    0
  3227, 17086,18840920,  134,    0
  3227, 17086,18840921,   29,    0
  3227, 17086,18840922,    1,    0
  3227, 17086,18840923,   18,    0
  3227, 17086,18840924,   47,    0
  3227, 17086,18840925,   63,    0
  3227, 17086,18840926,   24,    0
  3227, 17086,18840927,  -18,    0
  3227, 17086,18840928,   12,    0
  3227, 17086,18840929,   24,    0
  3227, 17086,18840930,   27,    0
  3227, 17086,18841001,   22,    0
  3227, 17086,18841002,   14,    0
  3227, 17086,18841003,   53,    0
