EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station BODAJBO, RUSSIAN FEDERATION (STAID: 3237)
Blended and updated with sources:17136 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  3237, 17136,19360101, -275,    0
  3237, 17136,19360102, -265,    0
  3237, 17136,19360103, -425,    0
  3237, 17136,19360104, -398,    0
  3237, 17136,19360105, -438,    0
  3237, 17136,19360106, -445,    0
  3237, 17136,19360107, -444,    0
  3237, 17136,19360108, -317,    0
  3237, 17136,19360109, -240,    0
  3237, 17136,19360110, -234,    0
  3237, 17136,19360111, -244,    0
  3237, 17136,19360112, -286,    0
  3237, 17136,19360113, -303,    0
  3237, 17136,19360114, -334,    0
  3237, 17136,19360115, -372,    0
  3237, 17136,19360116, -335,    0
  3237, 17136,19360117, -386,    0
  3237, 17136,19360118, -391,    0
  3237, 17136,19360119, -452,    0
  3237, 17136,19360120, -444,    0
  3237, 17136,19360121, -455,    0
  3237, 17136,19360122, -383,    0
  3237, 17136,19360123, -393,    0
  3237, 17136,19360124, -427,    0
  3237, 17136,19360125, -428,    0
  3237, 17136,19360126, -420,    0
  3237, 17136,19360127, -365,    0
  3237, 17136,19360128, -343,    0
  3237, 17136,19360129, -436,    0
  3237, 17136,19360130, -455,    0
  3237, 17136,19360131, -441,    0
  3237, 17136,19360201, -448,    0
