EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station IRKUTSK OBSERV., RUSSIAN FEDERATION (STAID: 3245)
Blended and updated with sources:17176 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  3245, 17176,18820101,  -94,    0
  3245, 17176,18820102,  -90,    0
  3245, 17176,18820103, -108,    0
  3245, 17176,18820104, -192,    0
  3245, 17176,18820105, -298,    0
  3245, 17176,18820106, -203,    0
  3245, 17176,18820107, -121,    0
  3245, 17176,18820108,  -95,    0
  3245, 17176,18820109, -136,    0
  3245, 17176,18820110, -112,    0
  3245, 17176,18820111, -145,    0
  3245, 17176,18820112, -186,    0
  3245, 17176,18820113, -189,    0
  3245, 17176,18820114, -156,    0
  3245, 17176,18820115, -139,    0
  3245, 17176,18820116, -132,    0
  3245, 17176,18820117, -121,    0
  3245, 17176,18820118, -158,    0
  3245, 17176,18820119, -129,    0
  3245, 17176,18820120, -145,    0
  3245, 17176,18820121, -141,    0
  3245, 17176,18820122, -138,    0
  3245, 17176,18820123, -128,    0
  3245, 17176,18820124, -212,    0
  3245, 17176,18820125, -184,    0
  3245, 17176,18820126, -188,    0
  3245, 17176,18820127, -138,    0
  3245, 17176,18820128, -182,    0
  3245, 17176,18820129, -175,    0
  3245, 17176,18820130, -157,    0
  3245, 17176,18820131, -168,    0
  3245, 17176,18820201, -210,    0
  3245, 17176,18820202, -254,    0
  3245, 17176,18820203, -151,    0
  3245, 17176,18820204, -171,    0
  3245, 17176,18820205, -147,    0
  3245, 17176,18820206, -137,    0
  3245, 17176,18820207, -111,    0
  3245, 17176,18820208, -114,    0
  3245, 17176,18820209, -161,    0
  3245, 17176,18820210, -112,    0
  3245, 17176,18820211, -116,    0
  3245, 17176,18820212,  -94,    0
  3245, 17176,18820213, -103,    0
  3245, 17176,18820214,  -98,    0
  3245, 17176,18820215,  -79,    0
  3245, 17176,18820216, -175,    0
  3245, 17176,18820217, -211,    0
  3245, 17176,18820218, -177,    0
  3245, 17176,18820219, -139,    0
  3245, 17176,18820220, -124,    0
  3245, 17176,18820221, -148,    0
  3245, 17176,18820222, -174,    0
  3245, 17176,18820223, -125,    0
  3245, 17176,18820224, -158,    0
  3245, 17176,18820225, -151,    0
  3245, 17176,18820226, -162,    0
  3245, 17176,18820227, -125,    0
  3245, 17176,18820228, -158,    0
  3245, 17176,18820301, -118,    0
  3245, 17176,18820302,  -87,    0
  3245, 17176,18820303,  -55,    0
  3245, 17176,18820304,  -58,    0
  3245, 17176,18820305, -111,    0
  3245, 17176,18820306, -112,    0
  3245, 17176,18820307,  -36,    0
  3245, 17176,18820308,  -12,    0
  3245, 17176,18820309,  -23,    0
  3245, 17176,18820310,  -25,    0
  3245, 17176,18820311,  -49,    0
  3245, 17176,18820312,  -19,    0
  3245, 17176,18820313,   12,    0
  3245, 17176,18820314,    9,    0
  3245, 17176,18820315,   -5,    0
  3245, 17176,18820316,  -29,    0
  3245, 17176,18820317,  -64,    0
  3245, 17176,18820318,  -38,    0
  3245, 17176,18820319,  -40,    0
  3245, 17176,18820320,   -5,    0
  3245, 17176,18820321,   -8,    0
  3245, 17176,18820322,   -8,    0
  3245, 17176,18820323,  -43,    0
  3245, 17176,18820324,  -72,    0
  3245, 17176,18820325,  -56,    0
  3245, 17176,18820326,  -15,    0
  3245, 17176,18820327,   -8,    0
  3245, 17176,18820328,  -11,    0
  3245, 17176,18820329,    1,    0
  3245, 17176,18820330,  -16,    0
  3245, 17176,18820331,  -36,    0
  3245, 17176,18820401,  -51,    0
  3245, 17176,18820402,  -65,    0
  3245, 17176,18820403,  -15,    0
  3245, 17176,18820404,    2,    0
  3245, 17176,18820405,   16,    0
  3245, 17176,18820406,   83,    0
  3245, 17176,18820407,    8,    0
  3245, 17176,18820408,  -79,    0
  3245, 17176,18820409,  -91,    0
  3245, 17176,18820410,  -52,    0
  3245, 17176,18820411,   22,    0
  3245, 17176,18820412,   54,    0
  3245, 17176,18820413,   83,    0
  3245, 17176,18820414,   55,    0
  3245, 17176,18820415,   70,    0
  3245, 17176,18820416,   61,    0
  3245, 17176,18820417,   39,    0
  3245, 17176,18820418,   40,    0
  3245, 17176,18820419,   78,    0
  3245, 17176,18820420,   82,    0
  3245, 17176,18820421,  102,    0
  3245, 17176,18820422,  152,    0
  3245, 17176,18820423,   71,    0
  3245, 17176,18820424,   64,    0
  3245, 17176,18820425,   49,    0
  3245, 17176,18820426,   31,    0
  3245, 17176,18820427,    6,    0
  3245, 17176,18820428,   22,    0
  3245, 17176,18820429,   87,    0
  3245, 17176,18820430,   78,    0
  3245, 17176,18820501,   33,    0
  3245, 17176,18820502,  -10,    0
  3245, 17176,18820503,   61,    0
  3245, 17176,18820504,   92,    0
  3245, 17176,18820505,    1,    0
  3245, 17176,18820506,   12,    0
  3245, 17176,18820507,   55,    0
  3245, 17176,18820508,  107,    0
  3245, 17176,18820509,  126,    0
  3245, 17176,18820510,  124,    0
  3245, 17176,18820511,  150,    0
  3245, 17176,18820512,  126,    0
  3245, 17176,18820513,   56,    0
  3245, 17176,18820514,   24,    0
  3245, 17176,18820515,   29,    0
  3245, 17176,18820516,   48,    0
  3245, 17176,18820517,   35,    0
  3245, 17176,18820518,   35,    0
  3245, 17176,18820519,   65,    0
  3245, 17176,18820520,  109,    0
  3245, 17176,18820521,  130,    0
  3245, 17176,18820522,   80,    0
  3245, 17176,18820523,  127,    0
  3245, 17176,18820524,  183,    0
  3245, 17176,18820525,  195,    0
  3245, 17176,18820526,  134,    0
  3245, 17176,18820527,  110,    0
  3245, 17176,18820528,  135,    0
  3245, 17176,18820529,  152,    0
  3245, 17176,18820530,  129,    0
  3245, 17176,18820531,  157,    0
  3245, 17176,18820601,  180,    0
  3245, 17176,18820602,   58,    0
  3245, 17176,18820603,   38,    0
  3245, 17176,18820604,   94,    0
  3245, 17176,18820605,  121,    0
  3245, 17176,18820606,  102,    0
  3245, 17176,18820607,   96,    0
  3245, 17176,18820608,  146,    0
  3245, 17176,18820609,  178,    0
  3245, 17176,18820610,  212,    0
  3245, 17176,18820611,  206,    0
  3245, 17176,18820612,  224,    0
  3245, 17176,18820613,   54,    0
  3245, 17176,18820614,  113,    0
  3245, 17176,18820615,   72,    0
  3245, 17176,18820616,  106,    0
  3245, 17176,18820617,  141,    0
  3245, 17176,18820618,  126,    0
  3245, 17176,18820619,  109,    0
  3245, 17176,18820620,  102,    0
  3245, 17176,18820621,  122,    0
  3245, 17176,18820622,  144,    0
  3245, 17176,18820623,  154,    0
  3245, 17176,18820624,  173,    0
  3245, 17176,18820625,  202,    0
  3245, 17176,18820626,  224,    0
  3245, 17176,18820627,  222,    0
  3245, 17176,18820628,  169,    0
  3245, 17176,18820629,  176,    0
  3245, 17176,18820630,  158,    0
  3245, 17176,18820701,  159,    0
  3245, 17176,18820702,  188,    0
  3245, 17176,18820703,  206,    0
  3245, 17176,18820704,  194,    0
  3245, 17176,18820705,  212,    0
  3245, 17176,18820706,  178,    0
  3245, 17176,18820707,  204,    0
  3245, 17176,18820708,  180,    0
  3245, 17176,18820709,  174,    0
  3245, 17176,18820710,  217,    0
  3245, 17176,18820711,  226,    0
  3245, 17176,18820712,  246,    0
  3245, 17176,18820713,  233,    0
  3245, 17176,18820714,  201,    0
  3245, 17176,18820715,  116,    0
  3245, 17176,18820716,  138,    0
  3245, 17176,18820717,  153,    0
  3245, 17176,18820718,  163,    0
  3245, 17176,18820719,  189,    0
