EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ULAN-UDE', RUSSIAN FEDERATION (STAID: 3248)
Blended and updated with sources:17191 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  3248, 17191,18860101,-9999,    9
  3248, 17191,18860102,-9999,    9
  3248, 17191,18860103,-9999,    9
  3248, 17191,18860104,-9999,    9
  3248, 17191,18860105,-9999,    9
  3248, 17191,18860106,-9999,    9
  3248, 17191,18860107,-9999,    9
  3248, 17191,18860108,-9999,    9
  3248, 17191,18860109,-9999,    9
  3248, 17191,18860110,-9999,    9
  3248, 17191,18860111,-9999,    9
  3248, 17191,18860112,-9999,    9
  3248, 17191,18860113,-9999,    9
  3248, 17191,18860114,-9999,    9
  3248, 17191,18860115,-9999,    9
  3248, 17191,18860116,-9999,    9
  3248, 17191,18860117,-9999,    9
  3248, 17191,18860118,-9999,    9
  3248, 17191,18860119,-9999,    9
  3248, 17191,18860120,-9999,    9
  3248, 17191,18860121,-9999,    9
  3248, 17191,18860122,-9999,    9
  3248, 17191,18860123,-9999,    9
  3248, 17191,18860124,-9999,    9
  3248, 17191,18860125,-9999,    9
  3248, 17191,18860126,-9999,    9
  3248, 17191,18860127,-9999,    9
  3248, 17191,18860128,-9999,    9
  3248, 17191,18860129,-9999,    9
  3248, 17191,18860130,-9999,    9
  3248, 17191,18860131,-9999,    9
