EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ICHA, RUSSIAN FEDERATION (STAID: 3274)
Blended and updated with sources:17321 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  3274, 17321,19360101,  -61,    0
  3274, 17321,19360102,  -79,    0
  3274, 17321,19360103,  -56,    0
  3274, 17321,19360104, -122,    0
  3274, 17321,19360105, -167,    0
  3274, 17321,19360106, -209,    0
  3274, 17321,19360107, -204,    0
  3274, 17321,19360108, -174,    0
  3274, 17321,19360109, -137,    0
  3274, 17321,19360110, -108,    0
  3274, 17321,19360111, -219,    0
  3274, 17321,19360112, -215,    0
  3274, 17321,19360113, -166,    0
  3274, 17321,19360114, -140,    0
  3274, 17321,19360115,  -85,    0
  3274, 17321,19360116,   -4,    0
  3274, 17321,19360117,    7,    0
  3274, 17321,19360118,  -20,    0
  3274, 17321,19360119, -132,    0
  3274, 17321,19360120, -190,    0
  3274, 17321,19360121, -159,    0
  3274, 17321,19360122, -178,    0
  3274, 17321,19360123, -186,    0
  3274, 17321,19360124, -208,    0
  3274, 17321,19360125, -202,    0
  3274, 17321,19360126, -234,    0
  3274, 17321,19360127, -235,    0
  3274, 17321,19360128, -150,    0
  3274, 17321,19360129, -101,    0
  3274, 17321,19360130, -142,    0
  3274, 17321,19360131, -186,    0
  3274, 17321,19360201, -169,    0
  3274, 17321,19360202,  -95,    0
  3274, 17321,19360203,  -23,    0
  3274, 17321,19360204,  -33,    0
  3274, 17321,19360205,  -52,    0
  3274, 17321,19360206,  -47,    0
  3274, 17321,19360207,  -79,    0
  3274, 17321,19360208, -127,    0
  3274, 17321,19360209, -112,    0
  3274, 17321,19360210,  -59,    0
  3274, 17321,19360211,  -26,    0
  3274, 17321,19360212,  -81,    0
  3274, 17321,19360213, -146,    0
  3274, 17321,19360214, -172,    0
  3274, 17321,19360215, -152,    0
  3274, 17321,19360216, -142,    0
  3274, 17321,19360217, -140,    0
