EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station BALHASH, KAZAKHSTAN (STAID: 3283)
Blended and updated with sources:17597 935796 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  3283, 17597,19360101, -244,    0
  3283, 17597,19360102, -227,    0
  3283, 17597,19360103, -220,    0
  3283, 17597,19360104, -251,    0
  3283, 17597,19360105, -260,    0
  3283, 17597,19360106, -240,    0
  3283, 17597,19360107, -216,    0
  3283, 17597,19360108, -175,    0
  3283, 17597,19360109, -202,    0
  3283, 17597,19360110, -220,    0
  3283, 17597,19360111, -220,    0
  3283, 17597,19360112, -224,    0
  3283, 17597,19360113, -231,    0
  3283, 17597,19360114, -199,    0
  3283, 17597,19360115, -188,    0
  3283, 17597,19360116, -169,    0
  3283, 17597,19360117, -131,    0
  3283, 17597,19360118, -172,    0
  3283, 17597,19360119, -138,    0
  3283, 17597,19360120, -134,    0
  3283, 17597,19360121, -198,    0
  3283, 17597,19360122, -251,    0
  3283, 17597,19360123, -248,    0
  3283, 17597,19360124, -231,    0
  3283, 17597,19360125, -214,    0
  3283, 17597,19360126, -189,    0
  3283, 17597,19360127, -184,    0
  3283, 17597,19360128,  -84,    0
  3283, 17597,19360129, -113,    0
  3283, 17597,19360130,  -92,    0
  3283, 17597,19360131,  -59,    0
  3283, 17597,19360201,-9999,    9
  3283, 17597,19360202,-9999,    9
  3283, 17597,19360203,-9999,    9
  3283, 17597,19360204,-9999,    9
  3283, 17597,19360205,-9999,    9
  3283, 17597,19360206,-9999,    9
  3283, 17597,19360207,-9999,    9
  3283, 17597,19360208,-9999,    9
  3283, 17597,19360209,-9999,    9
  3283, 17597,19360210,-9999,    9
  3283, 17597,19360211,-9999,    9
  3283, 17597,19360212,-9999,    9
  3283, 17597,19360213,-9999,    9
  3283, 17597,19360214,-9999,    9
  3283, 17597,19360215,-9999,    9
  3283, 17597,19360216,-9999,    9
  3283, 17597,19360217,-9999,    9
  3283, 17597,19360218,-9999,    9
  3283, 17597,19360219,-9999,    9
  3283, 17597,19360220,-9999,    9
  3283, 17597,19360221,-9999,    9
  3283, 17597,19360222,-9999,    9
  3283, 17597,19360223,-9999,    9
  3283, 17597,19360224,-9999,    9
  3283, 17597,19360225,-9999,    9
  3283, 17597,19360226,-9999,    9
  3283, 17597,19360227,-9999,    9
  3283, 17597,19360228,-9999,    9
  3283, 17597,19360229,-9999,    9
  3283, 17597,19360301, -151,    0
  3283, 17597,19360302, -165,    0
  3283, 17597,19360303, -189,    0
  3283, 17597,19360304, -172,    0
  3283, 17597,19360305, -148,    0
  3283, 17597,19360306, -158,    0
  3283, 17597,19360307, -133,    0
  3283, 17597,19360308, -110,    0
  3283, 17597,19360309, -141,    0
  3283, 17597,19360310, -200,    0
  3283, 17597,19360311, -152,    0
  3283, 17597,19360312, -162,    0
  3283, 17597,19360313, -136,    0
  3283, 17597,19360314, -116,    0
  3283, 17597,19360315,  -64,    0
  3283, 17597,19360316,  -14,    0
  3283, 17597,19360317, -102,    0
  3283, 17597,19360318, -143,    0
  3283, 17597,19360319, -166,    0
  3283, 17597,19360320, -112,    0
  3283, 17597,19360321,  -14,    0
  3283, 17597,19360322,   -4,    0
  3283, 17597,19360323,  -15,    0
  3283, 17597,19360324,  -64,    0
  3283, 17597,19360325,  -72,    0
  3283, 17597,19360326,  -92,    0
  3283, 17597,19360327,  -59,    0
  3283, 17597,19360328,  -72,    0
  3283, 17597,19360329, -106,    0
  3283, 17597,19360330,  -59,    0
  3283, 17597,19360331,    5,    0
  3283, 17597,19360401,  -36,    0
  3283, 17597,19360402,  -93,    0
  3283, 17597,19360403,  -62,    0
  3283, 17597,19360404,  -66,    0
  3283, 17597,19360405,  -28,    0
  3283, 17597,19360406,  -26,    0
  3283, 17597,19360407,  -26,    0
  3283, 17597,19360408,  -18,    0
  3283, 17597,19360409,  -17,    0
  3283, 17597,19360410,   -3,    0
  3283, 17597,19360411,   21,    0
  3283, 17597,19360412,   60,    0
  3283, 17597,19360413,   90,    0
  3283, 17597,19360414,   93,    0
  3283, 17597,19360415,   42,    0
  3283, 17597,19360416,   66,    0
  3283, 17597,19360417,   96,    0
  3283, 17597,19360418,  126,    0
  3283, 17597,19360419,  106,    0
  3283, 17597,19360420,   81,    0
  3283, 17597,19360421,  108,    0
  3283, 17597,19360422,  128,    0
  3283, 17597,19360423,   82,    0
  3283, 17597,19360424,   91,    0
  3283, 17597,19360425,   14,    0
  3283, 17597,19360426,   49,    0
  3283, 17597,19360427,   70,    0
  3283, 17597,19360428,   86,    0
  3283, 17597,19360429,  103,    0
  3283, 17597,19360430,   24,    0
  3283, 17597,19360501,   20,    0
  3283, 17597,19360502,   56,    0
  3283, 17597,19360503,  108,    0
  3283, 17597,19360504,  138,    0
  3283, 17597,19360505,  142,    0
  3283, 17597,19360506,  145,    0
  3283, 17597,19360507,  156,    0
  3283, 17597,19360508,  158,    0
  3283, 17597,19360509,  120,    0
  3283, 17597,19360510,   86,    0
  3283, 17597,19360511,  118,    0
  3283, 17597,19360512,  140,    0
  3283, 17597,19360513,  147,    0
  3283, 17597,19360514,  152,    0
  3283, 17597,19360515,  180,    0
  3283, 17597,19360516,  157,    0
  3283, 17597,19360517,  156,    0
  3283, 17597,19360518,  162,    0
  3283, 17597,19360519,  120,    0
  3283, 17597,19360520,  162,    0
  3283, 17597,19360521,  117,    0
  3283, 17597,19360522,   88,    0
  3283, 17597,19360523,  140,    0
  3283, 17597,19360524,  182,    0
  3283, 17597,19360525,  198,    0
  3283, 17597,19360526,  228,    0
  3283, 17597,19360527,  196,    0
  3283, 17597,19360528,  164,    0
  3283, 17597,19360529,  174,    0
  3283, 17597,19360530,  203,    0
  3283, 17597,19360531,  228,    0
  3283, 17597,19360601,  229,    0
  3283, 17597,19360602,  223,    0
  3283, 17597,19360603,  232,    0
  3283, 17597,19360604,  235,    0
  3283, 17597,19360605,  197,    0
  3283, 17597,19360606,  215,    0
  3283, 17597,19360607,  244,    0
  3283, 17597,19360608,  267,    0
  3283, 17597,19360609,  239,    0
  3283, 17597,19360610,  247,    0
  3283, 17597,19360611,  209,    0
  3283, 17597,19360612,  206,    0
  3283, 17597,19360613,  209,    0
  3283, 17597,19360614,  172,    0
  3283, 17597,19360615,  186,    0
  3283, 17597,19360616,  230,    0
  3283, 17597,19360617,  257,    0
  3283, 17597,19360618,  274,    0
  3283, 17597,19360619,  228,    0
  3283, 17597,19360620,  157,    0
  3283, 17597,19360621,  159,    0
  3283, 17597,19360622,  190,    0
  3283, 17597,19360623,  214,    0
  3283, 17597,19360624,  234,    0
  3283, 17597,19360625,  244,    0
  3283, 17597,19360626,  263,    0
  3283, 17597,19360627,  273,    0
  3283, 17597,19360628,  282,    0
  3283, 17597,19360629,  294,    0
  3283, 17597,19360630,  312,    0
  3283, 17597,19360701,  317,    0
  3283, 17597,19360702,  272,    0
  3283, 17597,19360703,  232,    0
  3283, 17597,19360704,  195,    0
  3283, 17597,19360705,  212,    0
  3283, 17597,19360706,  146,    0
  3283, 17597,19360707,  133,    0
  3283, 17597,19360708,  158,    0
  3283, 17597,19360709,  194,    0
  3283, 17597,19360710,  202,    0
  3283, 17597,19360711,  232,    0
  3283, 17597,19360712,  252,    0
  3283, 17597,19360713,  280,    0
  3283, 17597,19360714,  269,    0
  3283, 17597,19360715,  220,    0
  3283, 17597,19360716,  206,    0
  3283, 17597,19360717,  221,    0
  3283, 17597,19360718,  245,    0
  3283, 17597,19360719,  267,    0
  3283, 17597,19360720,  294,    0
  3283, 17597,19360721,  306,    0
  3283, 17597,19360722,  324,    0
  3283, 17597,19360723,  326,    0
  3283, 17597,19360724,  331,    0
  3283, 17597,19360725,  320,    0
  3283, 17597,19360726,  259,    0
  3283, 17597,19360727,  248,    0
  3283, 17597,19360728,  249,    0
  3283, 17597,19360729,  240,    0
  3283, 17597,19360730,  196,    0
  3283, 17597,19360731,  148,    0
  3283, 17597,19360801,  177,    0
  3283, 17597,19360802,  184,    0
  3283, 17597,19360803,  199,    0
  3283, 17597,19360804,  187,    0
  3283, 17597,19360805,  174,    0
  3283, 17597,19360806,  145,    0
  3283, 17597,19360807,  155,    0
  3283, 17597,19360808,  182,    0
  3283, 17597,19360809,  196,    0
  3283, 17597,19360810,  190,    0
  3283, 17597,19360811,  204,    0
  3283, 17597,19360812,  223,    0
  3283, 17597,19360813,  241,    0
  3283, 17597,19360814,  206,    0
  3283, 17597,19360815,  186,    0
  3283, 17597,19360816,  181,    0
  3283, 17597,19360817,  204,    0
  3283, 17597,19360818,  217,    0
  3283, 17597,19360819,  195,    0
  3283, 17597,19360820,  150,    0
  3283, 17597,19360821,  188,    0
  3283, 17597,19360822,  210,    0
  3283, 17597,19360823,  169,    0
  3283, 17597,19360824,  152,    0
  3283, 17597,19360825,  128,    0
  3283, 17597,19360826,  144,    0
  3283, 17597,19360827,  172,    0
  3283, 17597,19360828,  217,    0
  3283, 17597,19360829,  181,    0
  3283, 17597,19360830,  180,    0
  3283, 17597,19360831,  181,    0
  3283, 17597,19360901,  177,    0
  3283, 17597,19360902,  181,    0
  3283, 17597,19360903,  147,    0
  3283, 17597,19360904,  168,    0
  3283, 17597,19360905,  173,    0
  3283, 17597,19360906,  174,    0
  3283, 17597,19360907,  212,    0
  3283, 17597,19360908,  166,    0
  3283, 17597,19360909,  156,    0
  3283, 17597,19360910,  152,    0
  3283, 17597,19360911,  173,    0
  3283, 17597,19360912,  176,    0
  3283, 17597,19360913,  179,    0
  3283, 17597,19360914,  192,    0
  3283, 17597,19360915,  208,    0
  3283, 17597,19360916,  210,    0
  3283, 17597,19360917,  156,    0
  3283, 17597,19360918,  130,    0
  3283, 17597,19360919,  160,    0
  3283, 17597,19360920,  132,    0
  3283, 17597,19360921,  136,    0
  3283, 17597,19360922,  157,    0
  3283, 17597,19360923,  138,    0
  3283, 17597,19360924,   85,    0
  3283, 17597,19360925,  108,    0
  3283, 17597,19360926,  137,    0
  3283, 17597,19360927,  144,    0
  3283, 17597,19360928,  113,    0
  3283, 17597,19360929,  132,    0
  3283, 17597,19360930,  128,    0
  3283, 17597,19361001,  139,    0
  3283, 17597,19361002,  153,    0
  3283, 17597,19361003,  156,    0
  3283, 17597,19361004,  138,    0
  3283, 17597,19361005,  148,    0
  3283, 17597,19361006,  150,    0
  3283, 17597,19361007,  153,    0
  3283, 17597,19361008,  144,    0
  3283, 17597,19361009,  142,    0
  3283, 17597,19361010,  142,    0
