EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station MURSKA SOBOTA-RAKICAN, SLOVENIA (STAID: 3335)
Blended and updated with sources:15198 914031 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  3335, 15198,19610101,  -12,    0
  3335, 15198,19610102,   -1,    0
  3335, 15198,19610103,   48,    0
  3335, 15198,19610104,   46,    0
  3335, 15198,19610105,   14,    0
  3335, 15198,19610106,   -3,    0
  3335, 15198,19610107,   19,    0
  3335, 15198,19610108,   22,    0
  3335, 15198,19610109,    6,    0
  3335, 15198,19610110,    9,    0
  3335, 15198,19610111,   23,    0
  3335, 15198,19610112,    2,    0
  3335, 15198,19610113,  -30,    0
  3335, 15198,19610114,  -45,    0
  3335, 15198,19610115,  -24,    0
  3335, 15198,19610116,  -29,    0
  3335, 15198,19610117,  -35,    0
  3335, 15198,19610118,  -77,    0
  3335, 15198,19610119,  -90,    0
  3335, 15198,19610120,  -81,    0
  3335, 15198,19610121,  -60,    0
  3335, 15198,19610122,  -47,    0
  3335, 15198,19610123,  -41,    0
  3335, 15198,19610124,  -16,    0
  3335, 15198,19610125,  -20,    0
  3335, 15198,19610126,  -44,    0
  3335, 15198,19610127, -108,    0
  3335, 15198,19610128, -128,    0
  3335, 15198,19610129, -105,    0
  3335, 15198,19610130,  -39,    0
  3335, 15198,19610131,   12,    0
  3335, 15198,19610201,   25,    0
  3335, 15198,19610202,   21,    0
  3335, 15198,19610203,   34,    0
  3335, 15198,19610204,    6,    0
