EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station HEMAVAN, SWEDEN (STAID: 3536)
Blended and updated with sources:37196 37202 902104 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  3536, 37196,19650601,   46,    0
  3536, 37196,19650602,   46,    0
  3536, 37196,19650603,   49,    0
  3536, 37196,19650604,   56,    0
  3536, 37196,19650605,   83,    0
  3536, 37196,19650606,  103,    0
  3536, 37196,19650607,  138,    0
  3536, 37196,19650608,  148,    0
  3536, 37196,19650609,  125,    0
  3536, 37196,19650610,  121,    0
  3536, 37196,19650611,   84,    0
  3536, 37196,19650612,  104,    0
  3536, 37196,19650613,  103,    0
  3536, 37196,19650614,  107,    0
  3536, 37196,19650615,   86,    0
  3536, 37196,19650616,   90,    0
  3536, 37196,19650617,  135,    0
  3536, 37196,19650618,  109,    0
  3536, 37196,19650619,  103,    0
  3536, 37196,19650620,   68,    0
  3536, 37196,19650621,   74,    0
  3536, 37196,19650622,   76,    0
  3536, 37196,19650623,   77,    0
  3536, 37196,19650624,  101,    0
  3536, 37196,19650625,  119,    0
  3536, 37196,19650626,  116,    0
  3536, 37196,19650627,   85,    0
  3536, 37196,19650628,   67,    0
  3536, 37196,19650629,   65,    0
  3536, 37196,19650630,   63,    0
  3536, 37196,19650701,   54,    0
  3536, 37196,19650702,   54,    0
  3536, 37196,19650703,   52,    0
  3536, 37196,19650704,   50,    0
  3536, 37196,19650705,   67,    0
  3536, 37196,19650706,   87,    0
  3536, 37196,19650707,  109,    0
  3536, 37196,19650708,   80,    0
  3536, 37196,19650709,   60,    0
  3536, 37196,19650710,   60,    0
  3536, 37196,19650711,   71,    0
  3536, 37196,19650712,   93,    0
  3536, 37196,19650713,   89,    0
  3536, 37196,19650714,   79,    0
  3536, 37196,19650715,   57,    0
  3536, 37196,19650716,   62,    0
  3536, 37196,19650717,   94,    0
  3536, 37196,19650718,  107,    0
  3536, 37196,19650719,  115,    0
  3536, 37196,19650720,  117,    0
  3536, 37196,19650721,  136,    0
  3536, 37196,19650722,  165,    0
  3536, 37196,19650723,  149,    0
  3536, 37196,19650724,  129,    0
  3536, 37196,19650725,  143,    0
  3536, 37196,19650726,  120,    0
  3536, 37196,19650727,  122,    0
  3536, 37196,19650728,  113,    0
  3536, 37196,19650729,  117,    0
  3536, 37196,19650730,  118,    0
  3536, 37196,19650731,  134,    0
  3536, 37196,19650801,  114,    0
  3536, 37196,19650802,  113,    0
  3536, 37196,19650803,  107,    0
  3536, 37196,19650804,   91,    0
  3536, 37196,19650805,   63,    0
  3536, 37196,19650806,   62,    0
  3536, 37196,19650807,   83,    0
  3536, 37196,19650808,   52,    0
  3536, 37196,19650809,   70,    0
  3536, 37196,19650810,   80,    0
  3536, 37196,19650811,   78,    0
  3536, 37196,19650812,   92,    0
  3536, 37196,19650813,   97,    0
  3536, 37196,19650814,   89,    0
  3536, 37196,19650815,  100,    0
  3536, 37196,19650816,  114,    0
  3536, 37196,19650817,  103,    0
  3536, 37196,19650818,  111,    0
  3536, 37196,19650819,  106,    0
  3536, 37196,19650820,   83,    0
  3536, 37196,19650821,   81,    0
  3536, 37196,19650822,   95,    0
  3536, 37196,19650823,  104,    0
  3536, 37196,19650824,   89,    0
  3536, 37196,19650825,  139,    0
  3536, 37196,19650826,  133,    0
  3536, 37196,19650827,  117,    0
  3536, 37196,19650828,   86,    0
  3536, 37196,19650829,  124,    0
  3536, 37196,19650830,  112,    0
  3536, 37196,19650831,   86,    0
  3536, 37196,19650901,   91,    0
  3536, 37196,19650902,   87,    0
  3536, 37196,19650903,  131,    0
  3536, 37196,19650904,  103,    0
  3536, 37196,19650905,  117,    0
  3536, 37196,19650906,  116,    0
  3536, 37196,19650907,  113,    0
  3536, 37196,19650908,  114,    0
  3536, 37196,19650909,  115,    0
  3536, 37196,19650910,   99,    0
  3536, 37196,19650911,   65,    0
  3536, 37196,19650912,   69,    0
  3536, 37196,19650913,   64,    0
