EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station YANAUL, RUSSIAN FEDERATION (STAID: 3795)
Blended and updated with sources:49828 928419 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  3795, 49828,19360101,  -70,    0
  3795, 49828,19360102,  -82,    0
  3795, 49828,19360103,  -43,    0
  3795, 49828,19360104,  -47,    0
  3795, 49828,19360105,  -60,    0
  3795, 49828,19360106,  -86,    0
  3795, 49828,19360107,  -80,    0
  3795, 49828,19360108, -135,    0
  3795, 49828,19360109, -105,    0
  3795, 49828,19360110,  -93,    0
  3795, 49828,19360111, -119,    0
  3795, 49828,19360112,  -97,    0
  3795, 49828,19360113,  -65,    0
  3795, 49828,19360114,  -58,    0
  3795, 49828,19360115,  -69,    0
  3795, 49828,19360116,  -58,    0
  3795, 49828,19360117,  -81,    0
  3795, 49828,19360118, -140,    0
  3795, 49828,19360119, -144,    0
  3795, 49828,19360120, -161,    0
  3795, 49828,19360121, -113,    0
  3795, 49828,19360122, -104,    0
  3795, 49828,19360123, -107,    0
  3795, 49828,19360124,  -73,    0
  3795, 49828,19360125, -142,    0
  3795, 49828,19360126, -108,    0
  3795, 49828,19360127, -171,    0
  3795, 49828,19360128, -164,    0
  3795, 49828,19360129, -218,    0
  3795, 49828,19360130, -290,    0
  3795, 49828,19360131, -255,    0
  3795, 49828,19360201, -228,    0
  3795, 49828,19360202, -231,    0
  3795, 49828,19360203, -188,    0
  3795, 49828,19360204, -112,    0
  3795, 49828,19360205, -103,    0
  3795, 49828,19360206,  -82,    0
  3795, 49828,19360207, -158,    0
  3795, 49828,19360208, -129,    0
  3795, 49828,19360209, -258,    0
  3795, 49828,19360210, -164,    0
  3795, 49828,19360211,  -96,    0
  3795, 49828,19360212, -246,    0
  3795, 49828,19360213, -319,    0
  3795, 49828,19360214,  -57,    0
  3795, 49828,19360215, -104,    0
  3795, 49828,19360216, -114,    0
  3795, 49828,19360217, -137,    0
  3795, 49828,19360218, -184,    0
  3795, 49828,19360219, -100,    0
  3795, 49828,19360220, -132,    0
  3795, 49828,19360221, -192,    0
  3795, 49828,19360222, -229,    0
  3795, 49828,19360223, -210,    0
  3795, 49828,19360224, -187,    0
  3795, 49828,19360225, -116,    0
  3795, 49828,19360226, -120,    0
  3795, 49828,19360227, -196,    0
  3795, 49828,19360228, -159,    0
  3795, 49828,19360229,  -79,    0
  3795, 49828,19360301, -212,    0
  3795, 49828,19360302,  -64,    0
  3795, 49828,19360303,  -58,    0
  3795, 49828,19360304, -112,    0
  3795, 49828,19360305,  -75,    0
  3795, 49828,19360306,  -28,    0
  3795, 49828,19360307,   -8,    0
  3795, 49828,19360308, -135,    0
  3795, 49828,19360309, -116,    0
  3795, 49828,19360310,  -40,    0
  3795, 49828,19360311,  -50,    0
  3795, 49828,19360312,  -86,    0
  3795, 49828,19360313,  -52,    0
  3795, 49828,19360314,  -56,    0
  3795, 49828,19360315, -109,    0
  3795, 49828,19360316, -174,    0
  3795, 49828,19360317, -156,    0
  3795, 49828,19360318,  -70,    0
  3795, 49828,19360319,  -39,    0
  3795, 49828,19360320,  -30,    0
  3795, 49828,19360321,  -36,    0
  3795, 49828,19360322,  -71,    0
  3795, 49828,19360323,  -66,    0
  3795, 49828,19360324,  -69,    0
  3795, 49828,19360325, -113,    0
  3795, 49828,19360326, -153,    0
  3795, 49828,19360327, -178,    0
  3795, 49828,19360328, -165,    0
  3795, 49828,19360329, -186,    0
  3795, 49828,19360330, -100,    0
  3795, 49828,19360331,  -94,    0
  3795, 49828,19360401, -104,    0
  3795, 49828,19360402,  -28,    0
  3795, 49828,19360403,  -22,    0
  3795, 49828,19360404,  -33,    0
  3795, 49828,19360405,  -34,    0
  3795, 49828,19360406,   -6,    0
  3795, 49828,19360407,    6,    0
  3795, 49828,19360408,  -56,    0
  3795, 49828,19360409,  -60,    0
  3795, 49828,19360410,   18,    0
  3795, 49828,19360411,   -8,    0
  3795, 49828,19360412,   -8,    0
  3795, 49828,19360413,   -4,    0
  3795, 49828,19360414,    2,    0
  3795, 49828,19360415,   18,    0
  3795, 49828,19360416,   27,    0
  3795, 49828,19360417,   22,    0
  3795, 49828,19360418,   28,    0
  3795, 49828,19360419,   37,    0
  3795, 49828,19360420,   50,    0
