EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station DUVAN, RUSSIAN FEDERATION (STAID: 3799)
Blended and updated with sources:49908 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  3799, 49908,19360101,-9999,    9
  3799, 49908,19360102,-9999,    9
  3799, 49908,19360103,-9999,    9
  3799, 49908,19360104,-9999,    9
  3799, 49908,19360105,-9999,    9
  3799, 49908,19360106,-9999,    9
  3799, 49908,19360107,-9999,    9
  3799, 49908,19360108,-9999,    9
  3799, 49908,19360109,-9999,    9
  3799, 49908,19360110,-9999,    9
  3799, 49908,19360111,-9999,    9
  3799, 49908,19360112,-9999,    9
  3799, 49908,19360113,-9999,    9
  3799, 49908,19360114,-9999,    9
  3799, 49908,19360115,-9999,    9
  3799, 49908,19360116,-9999,    9
  3799, 49908,19360117,-9999,    9
  3799, 49908,19360118,-9999,    9
  3799, 49908,19360119,-9999,    9
  3799, 49908,19360120,-9999,    9
  3799, 49908,19360121,-9999,    9
  3799, 49908,19360122,-9999,    9
  3799, 49908,19360123,-9999,    9
  3799, 49908,19360124,-9999,    9
  3799, 49908,19360125,-9999,    9
  3799, 49908,19360126,-9999,    9
  3799, 49908,19360127,-9999,    9
  3799, 49908,19360128,-9999,    9
  3799, 49908,19360129,-9999,    9
  3799, 49908,19360130,-9999,    9
  3799, 49908,19360131,-9999,    9
  3799, 49908,19360201,-9999,    9
  3799, 49908,19360202,-9999,    9
  3799, 49908,19360203,-9999,    9
  3799, 49908,19360204,-9999,    9
  3799, 49908,19360205,-9999,    9
  3799, 49908,19360206,-9999,    9
  3799, 49908,19360207,-9999,    9
  3799, 49908,19360208,-9999,    9
  3799, 49908,19360209,-9999,    9
  3799, 49908,19360210,-9999,    9
  3799, 49908,19360211,-9999,    9
  3799, 49908,19360212,-9999,    9
  3799, 49908,19360213,-9999,    9
  3799, 49908,19360214,-9999,    9
  3799, 49908,19360215,-9999,    9
  3799, 49908,19360216,-9999,    9
  3799, 49908,19360217,-9999,    9
  3799, 49908,19360218,-9999,    9
  3799, 49908,19360219,-9999,    9
  3799, 49908,19360220,-9999,    9
  3799, 49908,19360221,-9999,    9
  3799, 49908,19360222,-9999,    9
  3799, 49908,19360223,-9999,    9
  3799, 49908,19360224,-9999,    9
  3799, 49908,19360225,-9999,    9
  3799, 49908,19360226,-9999,    9
  3799, 49908,19360227,-9999,    9
  3799, 49908,19360228,-9999,    9
  3799, 49908,19360229,-9999,    9
  3799, 49908,19360301,-9999,    9
  3799, 49908,19360302,-9999,    9
  3799, 49908,19360303,-9999,    9
  3799, 49908,19360304,-9999,    9
  3799, 49908,19360305,-9999,    9
  3799, 49908,19360306,-9999,    9
  3799, 49908,19360307,-9999,    9
  3799, 49908,19360308,-9999,    9
  3799, 49908,19360309,-9999,    9
  3799, 49908,19360310,-9999,    9
  3799, 49908,19360311,-9999,    9
  3799, 49908,19360312,-9999,    9
  3799, 49908,19360313,-9999,    9
  3799, 49908,19360314,-9999,    9
  3799, 49908,19360315,-9999,    9
  3799, 49908,19360316,-9999,    9
  3799, 49908,19360317,-9999,    9
  3799, 49908,19360318,-9999,    9
  3799, 49908,19360319,-9999,    9
  3799, 49908,19360320,-9999,    9
  3799, 49908,19360321,-9999,    9
  3799, 49908,19360322,-9999,    9
  3799, 49908,19360323,-9999,    9
  3799, 49908,19360324,-9999,    9
  3799, 49908,19360325,-9999,    9
  3799, 49908,19360326,-9999,    9
  3799, 49908,19360327,-9999,    9
  3799, 49908,19360328,-9999,    9
  3799, 49908,19360329,-9999,    9
  3799, 49908,19360330,-9999,    9
  3799, 49908,19360331,-9999,    9
  3799, 49908,19360401,  -99,    0
  3799, 49908,19360402,  -23,    0
  3799, 49908,19360403,  -32,    0
  3799, 49908,19360404,  -30,    0
  3799, 49908,19360405,  -42,    0
  3799, 49908,19360406,    2,    0
  3799, 49908,19360407,   22,    0
  3799, 49908,19360408,   -6,    0
  3799, 49908,19360409,  -13,    0
  3799, 49908,19360410,    6,    0
  3799, 49908,19360411,  -14,    0
  3799, 49908,19360412,  -14,    0
  3799, 49908,19360413,  -13,    0
  3799, 49908,19360414,   12,    0
  3799, 49908,19360415,   33,    0
  3799, 49908,19360416,   38,    0
  3799, 49908,19360417,   33,    0
  3799, 49908,19360418,   26,    0
  3799, 49908,19360419,   32,    0
  3799, 49908,19360420,   47,    0
  3799, 49908,19360421,   55,    0
  3799, 49908,19360422,   96,    0
  3799, 49908,19360423,   90,    0
  3799, 49908,19360424,   78,    0
  3799, 49908,19360425,   85,    0
  3799, 49908,19360426,  105,    0
  3799, 49908,19360427,   92,    0
  3799, 49908,19360428,   40,    0
  3799, 49908,19360429,   14,    0
  3799, 49908,19360430,   48,    0
  3799, 49908,19360501,   91,    0
  3799, 49908,19360502,  123,    0
  3799, 49908,19360503,  107,    0
  3799, 49908,19360504,   28,    0
  3799, 49908,19360505,   31,    0
  3799, 49908,19360506,   17,    0
  3799, 49908,19360507,   40,    0
  3799, 49908,19360508,   82,    0
  3799, 49908,19360509,   51,    0
  3799, 49908,19360510,   63,    0
  3799, 49908,19360511,   60,    0
  3799, 49908,19360512,   50,    0
  3799, 49908,19360513,   88,    0
  3799, 49908,19360514,  116,    0
  3799, 49908,19360515,   66,    0
  3799, 49908,19360516,  -13,    0
  3799, 49908,19360517,    2,    0
  3799, 49908,19360518,   64,    0
  3799, 49908,19360519,   48,    0
  3799, 49908,19360520,   13,    0
  3799, 49908,19360521,   60,    0
  3799, 49908,19360522,  115,    0
  3799, 49908,19360523,  148,    0
  3799, 49908,19360524,  133,    0
  3799, 49908,19360525,  119,    0
  3799, 49908,19360526,   92,    0
  3799, 49908,19360527,  112,    0
  3799, 49908,19360528,  179,    0
  3799, 49908,19360529,  186,    0
  3799, 49908,19360530,  200,    0
  3799, 49908,19360531,  238,    0
  3799, 49908,19360601,  203,    0
  3799, 49908,19360602,  214,    0
  3799, 49908,19360603,  220,    0
  3799, 49908,19360604,  233,    0
  3799, 49908,19360605,  244,    0
  3799, 49908,19360606,  238,    0
  3799, 49908,19360607,  188,    0
  3799, 49908,19360608,  131,    0
  3799, 49908,19360609,   90,    0
  3799, 49908,19360610,  134,    0
  3799, 49908,19360611,  150,    0
  3799, 49908,19360612,  191,    0
  3799, 49908,19360613,  190,    0
  3799, 49908,19360614,  197,    0
  3799, 49908,19360615,  228,    0
  3799, 49908,19360616,  160,    0
  3799, 49908,19360617,  123,    0
  3799, 49908,19360618,   92,    0
  3799, 49908,19360619,  160,    0
  3799, 49908,19360620,  167,    0
  3799, 49908,19360621,  151,    0
  3799, 49908,19360622,  179,    0
  3799, 49908,19360623,  204,    0
  3799, 49908,19360624,  224,    0
  3799, 49908,19360625,  237,    0
  3799, 49908,19360626,  240,    0
  3799, 49908,19360627,  197,    0
  3799, 49908,19360628,  178,    0
  3799, 49908,19360629,  166,    0
  3799, 49908,19360630,  122,    0
  3799, 49908,19360701,  128,    0
  3799, 49908,19360702,  114,    0
  3799, 49908,19360703,  105,    0
  3799, 49908,19360704,  133,    0
  3799, 49908,19360705,  144,    0
  3799, 49908,19360706,  153,    0
  3799, 49908,19360707,  144,    0
