EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station MADRID/TORREJON, SPAIN (STAID: 3839)
Blended and updated with sources:20273 20300 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  3839, 20273,19450101,   20,    0
  3839, 20273,19450102,    9,    0
  3839, 20273,19450103,  -19,    0
  3839, 20273,19450104,  -49,    0
  3839, 20273,19450105,  -18,    0
  3839, 20273,19450106,   17,    0
  3839, 20273,19450107,   58,    0
  3839, 20273,19450108,   16,    0
  3839, 20273,19450109,    1,    0
  3839, 20273,19450110,   14,    0
  3839, 20273,19450111,   29,    0
  3839, 20273,19450112,  -11,    0
  3839, 20273,19450113,  -20,    0
  3839, 20273,19450114,  -56,    0
  3839, 20273,19450115,  -47,    0
  3839, 20273,19450116,  -92,    0
  3839, 20273,19450117,  -47,    0
  3839, 20273,19450118,  -45,    0
  3839, 20273,19450119,   22,    0
  3839, 20273,19450120,   20,    0
  3839, 20273,19450121,   49,    0
  3839, 20273,19450122,   42,    0
  3839, 20273,19450123,   44,    0
  3839, 20273,19450124,   68,    0
  3839, 20273,19450125,   56,    0
  3839, 20273,19450126,   30,    0
  3839, 20273,19450127,   24,    0
  3839, 20273,19450128,   78,    0
  3839, 20273,19450129,   61,    0
  3839, 20273,19450130,   54,    0
  3839, 20273,19450131,   67,    0
  3839, 20273,19450201,   64,    0
  3839, 20273,19450202,   46,    0
  3839, 20273,19450203,   50,    0
  3839, 20273,19450204,   44,    0
  3839, 20273,19450205,   46,    0
  3839, 20273,19450206,   82,    0
  3839, 20273,19450207,   86,    0
  3839, 20273,19450208,   72,    0
  3839, 20273,19450209,   64,    0
  3839, 20273,19450210,   68,    0
  3839, 20273,19450211,   69,    0
  3839, 20273,19450212,   71,    0
  3839, 20273,19450213,   86,    0
  3839, 20273,19450214,   85,    0
  3839, 20273,19450215,   71,    0
  3839, 20273,19450216,   68,    0
  3839, 20273,19450217,   78,    0
  3839, 20273,19450218,   74,    0
  3839, 20273,19450219,   92,    0
  3839, 20273,19450220,   79,    0
  3839, 20273,19450221,   84,    0
  3839, 20273,19450222,   99,    0
  3839, 20273,19450223,   53,    0
  3839, 20273,19450224,   64,    0
  3839, 20273,19450225,   80,    0
  3839, 20273,19450226,   84,    0
  3839, 20273,19450227,   81,    0
  3839, 20273,19450228,   95,    0
  3839, 20273,19450301,  106,    0
  3839, 20273,19450302,   92,    0
  3839, 20273,19450303,   98,    0
  3839, 20273,19450304,   78,    0
  3839, 20273,19450305,   65,    0
  3839, 20273,19450306,   77,    0
  3839, 20273,19450307,   92,    0
  3839, 20273,19450308,   71,    0
  3839, 20273,19450309,   99,    0
  3839, 20273,19450310,  100,    0
  3839, 20273,19450311,  111,    0
  3839, 20273,19450312,  114,    0
  3839, 20273,19450313,  103,    0
  3839, 20273,19450314,  108,    0
  3839, 20273,19450315,  110,    0
  3839, 20273,19450316,  114,    0
  3839, 20273,19450317,  107,    0
  3839, 20273,19450318,  106,    0
  3839, 20273,19450319,  120,    0
  3839, 20273,19450320,  121,    0
  3839, 20273,19450321,  115,    0
  3839, 20273,19450322,   98,    0
  3839, 20273,19450323,   94,    0
  3839, 20273,19450324,   69,    0
  3839, 20273,19450325,   82,    0
  3839, 20273,19450326,   74,    0
  3839, 20273,19450327,   83,    0
  3839, 20273,19450328,   98,    0
  3839, 20273,19450329,  126,    0
  3839, 20273,19450330,  134,    0
  3839, 20273,19450331,  132,    0
  3839, 20273,19450401,  160,    0
  3839, 20273,19450402,  152,    0
  3839, 20273,19450403,  152,    0
  3839, 20273,19450404,  135,    0
  3839, 20273,19450405,  151,    0
  3839, 20273,19450406,  160,    0
  3839, 20273,19450407,  161,    0
  3839, 20273,19450408,  140,    0
  3839, 20273,19450409,  113,    0
  3839, 20273,19450410,  142,    0
  3839, 20273,19450411,  156,    0
  3839, 20273,19450412,  133,    0
  3839, 20273,19450413,  139,    0
  3839, 20273,19450414,  142,    0
  3839, 20273,19450415,  169,    0
  3839, 20273,19450416,  171,    0
  3839, 20273,19450417,  172,    0
  3839, 20273,19450418,  173,    0
  3839, 20273,19450419,  186,    0
  3839, 20273,19450420,  201,    0
  3839, 20273,19450421,  214,    0
  3839, 20273,19450422,  195,    0
  3839, 20273,19450423,  186,    0
  3839, 20273,19450424,  156,    0
  3839, 20273,19450425,  148,    0
  3839, 20273,19450426,  148,    0
  3839, 20273,19450427,  152,    0
  3839, 20273,19450428,  108,    0
  3839, 20273,19450429,  130,    0
  3839, 20273,19450430,  149,    0
  3839, 20273,19450501,  111,    0
