EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station GIJON LA MERCED, SPAIN (STAID: 3911)
Blended and updated with sources:19796 19805 19814 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  3911, 19805,19381001,  164,    0
  3911, 19805,19381002,  164,    0
  3911, 19805,19381003,  159,    0
  3911, 19805,19381004,  182,    0
  3911, 19805,19381005,  154,    0
  3911, 19805,19381006,  160,    0
  3911, 19805,19381007,  171,    0
  3911, 19805,19381008,  177,    0
  3911, 19805,19381009,  168,    0
  3911, 19805,19381010,  188,    0
  3911, 19805,19381011,  149,    0
  3911, 19805,19381012,  124,    0
  3911, 19805,19381013,  158,    0
  3911, 19805,19381014,  164,    0
  3911, 19805,19381015,  155,    0
  3911, 19805,19381016,  156,    0
  3911, 19805,19381017,  160,    0
  3911, 19805,19381018,  163,    0
  3911, 19805,19381019,  166,    0
  3911, 19805,19381020,  166,    0
  3911, 19805,19381021,  164,    0
  3911, 19805,19381022,  164,    0
  3911, 19805,19381023,  142,    0
  3911, 19805,19381024,  146,    0
  3911, 19805,19381025,  145,    0
  3911, 19805,19381026,  144,    0
  3911, 19805,19381027,  131,    0
  3911, 19805,19381028,  124,    0
  3911, 19805,19381029,  128,    0
  3911, 19805,19381030,  124,    0
  3911, 19805,19381031,  140,    0
  3911, 19805,19381101,  144,    0
  3911, 19805,19381102,  140,    0
  3911, 19805,19381103,  132,    0
  3911, 19805,19381104,  146,    0
  3911, 19805,19381105,  132,    0
  3911, 19805,19381106,  124,    0
  3911, 19805,19381107,  118,    0
  3911, 19805,19381108,  124,    0
  3911, 19805,19381109,  155,    0
  3911, 19805,19381110,  158,    0
  3911, 19805,19381111,  146,    0
  3911, 19805,19381112,  187,    0
  3911, 19805,19381113,  200,    0
  3911, 19805,19381114,  182,    0
  3911, 19805,19381115,  158,    0
  3911, 19805,19381116,  155,    0
  3911, 19805,19381117,  139,    0
  3911, 19805,19381118,  154,    0
  3911, 19805,19381119,  134,    0
  3911, 19805,19381120,  135,    0
  3911, 19805,19381121,  167,    0
  3911, 19805,19381122,  160,    0
  3911, 19805,19381123,  178,    0
  3911, 19805,19381124,  108,    0
  3911, 19805,19381125,  120,    0
  3911, 19805,19381126,  112,    0
  3911, 19805,19381127,  122,    0
  3911, 19805,19381128,  110,    0
  3911, 19805,19381129,   79,    0
  3911, 19805,19381130,  113,    0
