EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station CACERES CIUDAD, SPAIN (STAID: 3921)
Blended and updated with sources:19922 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  3921, 19922,19200101,  107,    0
  3921, 19922,19200102,   64,    0
  3921, 19922,19200103,   66,    0
  3921, 19922,19200104,   59,    0
  3921, 19922,19200105,   59,    0
  3921, 19922,19200106,   42,    0
  3921, 19922,19200107,   51,    0
  3921, 19922,19200108,   64,    0
  3921, 19922,19200109,   81,    0
  3921, 19922,19200110,   56,    0
  3921, 19922,19200111,   76,    0
  3921, 19922,19200112,  100,    0
  3921, 19922,19200113,   56,    0
  3921, 19922,19200114,   41,    0
  3921, 19922,19200115,   78,    0
  3921, 19922,19200116,   82,    0
  3921, 19922,19200117,   90,    0
  3921, 19922,19200118,   96,    0
  3921, 19922,19200119,   85,    0
  3921, 19922,19200120,   68,    0
  3921, 19922,19200121,   92,    0
  3921, 19922,19200122,  111,    0
  3921, 19922,19200123,  109,    0
  3921, 19922,19200124,  102,    0
  3921, 19922,19200125,   93,    0
  3921, 19922,19200126,   80,    0
  3921, 19922,19200127,  104,    0
  3921, 19922,19200128,   99,    0
  3921, 19922,19200129,   71,    0
  3921, 19922,19200130,   77,    0
  3921, 19922,19200131,   93,    0
  3921, 19922,19200201,   93,    0
  3921, 19922,19200202,  101,    0
  3921, 19922,19200203,  125,    0
  3921, 19922,19200204,  115,    0
  3921, 19922,19200205,   91,    0
  3921, 19922,19200206,   72,    0
  3921, 19922,19200207,   67,    0
  3921, 19922,19200208,   64,    0
  3921, 19922,19200209,   68,    0
  3921, 19922,19200210,   66,    0
  3921, 19922,19200211,   76,    0
  3921, 19922,19200212,   90,    0
  3921, 19922,19200213,   74,    0
  3921, 19922,19200214,   85,    0
  3921, 19922,19200215,  102,    0
  3921, 19922,19200216,  106,    0
  3921, 19922,19200217,   83,    0
  3921, 19922,19200218,   67,    0
  3921, 19922,19200219,   68,    0
  3921, 19922,19200220,   90,    0
  3921, 19922,19200221,  113,    0
  3921, 19922,19200222,  112,    0
  3921, 19922,19200223,  106,    0
  3921, 19922,19200224,   83,    0
  3921, 19922,19200225,   98,    0
  3921, 19922,19200226,  112,    0
  3921, 19922,19200227,  107,    0
  3921, 19922,19200228,   89,    0
