EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station MADRID/CUATROVIENTOS, SPAIN (STAID: 3947)
Blended and updated with sources:1000 20282 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  3947,  1000,19200101,  104,    0
  3947,  1000,19200102,   68,    0
  3947,  1000,19200103,   55,    0
  3947,  1000,19200104,   46,    0
  3947,  1000,19200105,   41,    0
  3947,  1000,19200106,   22,    0
  3947,  1000,19200107,   38,    0
  3947,  1000,19200108,   23,    0
  3947,  1000,19200109,   55,    0
  3947,  1000,19200110,   53,    0
  3947,  1000,19200111,   69,    0
  3947,  1000,19200112,   50,    0
  3947,  1000,19200113,   65,    0
  3947,  1000,19200114,   63,    0
  3947,  1000,19200115,   72,    0
  3947,  1000,19200116,   84,    0
  3947,  1000,19200117,   86,    0
  3947,  1000,19200118,   60,    0
  3947,  1000,19200119,   47,    0
  3947,  1000,19200120,   46,    0
  3947,  1000,19200121,   70,    0
  3947,  1000,19200122,   89,    0
  3947,  1000,19200123,   72,    0
  3947,  1000,19200124,   76,    0
  3947,  1000,19200125,   80,    0
  3947,  1000,19200126,   68,    0
  3947,  1000,19200127,   89,    0
  3947,  1000,19200128,   78,    0
  3947,  1000,19200129,   66,    0
  3947,  1000,19200130,   36,    0
  3947,  1000,19200131,   56,    0
  3947,  1000,19200201,   86,    0
  3947,  1000,19200202,   96,    0
  3947,  1000,19200203,   74,    0
  3947,  1000,19200204,   70,    0
  3947,  1000,19200205,   51,    0
  3947,  1000,19200206,   49,    0
  3947,  1000,19200207,   45,    0
  3947,  1000,19200208,   38,    0
  3947,  1000,19200209,   40,    0
  3947,  1000,19200210,   49,    0
  3947,  1000,19200211,   44,    0
  3947,  1000,19200212,   64,    0
  3947,  1000,19200213,   74,    0
  3947,  1000,19200214,   92,    0
  3947,  1000,19200215,   72,    0
  3947,  1000,19200216,   88,    0
  3947,  1000,19200217,   90,    0
  3947,  1000,19200218,  114,    0
  3947,  1000,19200219,   92,    0
  3947,  1000,19200220,   60,    0
  3947,  1000,19200221,   82,    0
  3947,  1000,19200222,   88,    0
  3947,  1000,19200223,   82,    0
  3947,  1000,19200224,   76,    0
  3947,  1000,19200225,   84,    0
  3947,  1000,19200226,  102,    0
  3947,  1000,19200227,  113,    0
  3947,  1000,19200228,  118,    0
  3947,  1000,19200229,  123,    0
  3947,  1000,19200301,   74,    0
  3947,  1000,19200302,  101,    0
  3947,  1000,19200303,  106,    0
  3947,  1000,19200304,  118,    0
  3947,  1000,19200305,  113,    0
  3947,  1000,19200306,  136,    0
  3947,  1000,19200307,   56,    0
  3947,  1000,19200308,   31,    0
  3947,  1000,19200309,   18,    0
  3947,  1000,19200310,   35,    0
  3947,  1000,19200311,   54,    0
  3947,  1000,19200312,  105,    0
  3947,  1000,19200313,  100,    0
  3947,  1000,19200314,  101,    0
  3947,  1000,19200315,   74,    0
  3947,  1000,19200316,   52,    0
  3947,  1000,19200317,   91,    0
  3947,  1000,19200318,  113,    0
  3947,  1000,19200319,  138,    0
  3947,  1000,19200320,  144,    0
  3947,  1000,19200321,  144,    0
  3947,  1000,19200322,  147,    0
  3947,  1000,19200323,  150,    0
  3947,  1000,19200324,  137,    0
  3947,  1000,19200325,  135,    0
  3947,  1000,19200326,  146,    0
  3947,  1000,19200327,  120,    0
  3947,  1000,19200328,  124,    0
  3947,  1000,19200329,   72,    0
  3947,  1000,19200330,   58,    0
  3947,  1000,19200331,   88,    0
  3947,  1000,19200401,  123,    0
  3947,  1000,19200402,  112,    0
  3947,  1000,19200403,  131,    0
  3947,  1000,19200404,  136,    0
  3947,  1000,19200405,  124,    0
  3947,  1000,19200406,  142,    0
  3947,  1000,19200407,  138,    0
  3947,  1000,19200408,  138,    0
  3947,  1000,19200409,  130,    0
  3947,  1000,19200410,  117,    0
  3947,  1000,19200411,  116,    0
  3947,  1000,19200412,  112,    0
  3947,  1000,19200413,  104,    0
  3947,  1000,19200414,  130,    0
  3947,  1000,19200415,  136,    0
  3947,  1000,19200416,  147,    0
  3947,  1000,19200417,  118,    0
  3947,  1000,19200418,  108,    0
  3947,  1000,19200419,  116,    0
  3947,  1000,19200420,  120,    0
  3947,  1000,19200421,   96,    0
  3947,  1000,19200422,  108,    0
  3947,  1000,19200423,  153,    0
  3947,  1000,19200424,  134,    0
  3947,  1000,19200425,  161,    0
  3947,  1000,19200426,  168,    0
  3947,  1000,19200427,  145,    0
  3947,  1000,19200428,  173,    0
  3947,  1000,19200429,  180,    0
  3947,  1000,19200430,  163,    0
  3947,  1000,19200501,  168,    0
  3947,  1000,19200502,  166,    0
  3947,  1000,19200503,  150,    0
  3947,  1000,19200504,  159,    0
  3947,  1000,19200505,  140,    0
  3947,  1000,19200506,  184,    0
  3947,  1000,19200507,  198,    0
  3947,  1000,19200508,  214,    0
  3947,  1000,19200509,  229,    0
  3947,  1000,19200510,  216,    0
  3947,  1000,19200511,  232,    0
  3947,  1000,19200512,  202,    0
  3947,  1000,19200513,  188,    0
  3947,  1000,19200514,  162,    0
  3947,  1000,19200515,  177,    0
  3947,  1000,19200516,  170,    0
  3947,  1000,19200517,  161,    0
  3947,  1000,19200518,  187,    0
  3947,  1000,19200519,  204,    0
  3947,  1000,19200520,  166,    0
  3947,  1000,19200521,  144,    0
  3947,  1000,19200522,  174,    0
  3947,  1000,19200523,  170,    0
  3947,  1000,19200524,  160,    0
  3947,  1000,19200525,  160,    0
  3947,  1000,19200526,  190,    0
  3947,  1000,19200527,  214,    0
  3947,  1000,19200528,  218,    0
  3947,  1000,19200529,  218,    0
  3947,  1000,19200530,  203,    0
  3947,  1000,19200531,  206,    0
  3947,  1000,19200601,  200,    0
  3947,  1000,19200602,  192,    0
  3947,  1000,19200603,  196,    0
  3947,  1000,19200604,  221,    0
  3947,  1000,19200605,  208,    0
  3947,  1000,19200606,  206,    0
  3947,  1000,19200607,  160,    0
  3947,  1000,19200608,  182,    0
  3947,  1000,19200609,  182,    0
  3947,  1000,19200610,  164,    0
  3947,  1000,19200611,  164,    0
  3947,  1000,19200612,  164,    0
  3947,  1000,19200613,  160,    0
  3947,  1000,19200614,  144,    0
  3947,  1000,19200615,  188,    0
  3947,  1000,19200616,  200,    0
  3947,  1000,19200617,  172,    0
  3947,  1000,19200618,  205,    0
  3947,  1000,19200619,  231,    0
  3947,  1000,19200620,  237,    0
  3947,  1000,19200621,  264,    0
  3947,  1000,19200622,  279,    0
  3947,  1000,19200623,  300,    0
  3947,  1000,19200624,  273,    0
  3947,  1000,19200625,  270,    0
  3947,  1000,19200626,  261,    0
  3947,  1000,19200627,  241,    0
  3947,  1000,19200628,  231,    0
  3947,  1000,19200629,  228,    0
  3947,  1000,19200630,  226,    0
  3947,  1000,19200701,  224,    0
  3947,  1000,19200702,  214,    0
  3947,  1000,19200703,  206,    0
  3947,  1000,19200704,  198,    0
  3947,  1000,19200705,  204,    0
  3947,  1000,19200706,  232,    0
  3947,  1000,19200707,  220,    0
  3947,  1000,19200708,  218,    0
  3947,  1000,19200709,  203,    0
  3947,  1000,19200710,  239,    0
  3947,  1000,19200711,  249,    0
  3947,  1000,19200712,  252,    0
  3947,  1000,19200713,  252,    0
  3947,  1000,19200714,  246,    0
  3947,  1000,19200715,  254,    0
  3947,  1000,19200716,  252,    0
  3947,  1000,19200717,  250,    0
  3947,  1000,19200718,  242,    0
  3947,  1000,19200719,  273,    0
  3947,  1000,19200720,  268,    0
  3947,  1000,19200721,  248,    0
  3947,  1000,19200722,  247,    0
  3947,  1000,19200723,  266,    0
  3947,  1000,19200724,  253,    0
  3947,  1000,19200725,  252,    0
  3947,  1000,19200726,  242,    0
  3947,  1000,19200727,  213,    0
  3947,  1000,19200728,  207,    0
  3947,  1000,19200729,  239,    0
  3947,  1000,19200730,  254,    0
  3947,  1000,19200731,  267,    0
  3947,  1000,19200801,  258,    0
  3947,  1000,19200802,  260,    0
  3947,  1000,19200803,  249,    0
  3947,  1000,19200804,  263,    0
  3947,  1000,19200805,  254,    0
  3947,  1000,19200806,  258,    0
  3947,  1000,19200807,  270,    0
  3947,  1000,19200808,  274,    0
  3947,  1000,19200809,  271,    0
  3947,  1000,19200810,  272,    0
  3947,  1000,19200811,  270,    0
  3947,  1000,19200812,  274,    0
  3947,  1000,19200813,  252,    0
  3947,  1000,19200814,  216,    0
  3947,  1000,19200815,  198,    0
  3947,  1000,19200816,  222,    0
  3947,  1000,19200817,  237,    0
  3947,  1000,19200818,  230,    0
  3947,  1000,19200819,  211,    0
  3947,  1000,19200820,  214,    0
  3947,  1000,19200821,  226,    0
  3947,  1000,19200822,  232,    0
  3947,  1000,19200823,  223,    0
  3947,  1000,19200824,  241,    0
  3947,  1000,19200825,  198,    0
  3947,  1000,19200826,  225,    0
  3947,  1000,19200827,  234,    0
  3947,  1000,19200828,  234,    0
  3947,  1000,19200829,  223,    0
  3947,  1000,19200830,  224,    0
  3947,  1000,19200831,  221,    0
  3947,  1000,19200901,  224,    0
  3947,  1000,19200902,  218,    0
  3947,  1000,19200903,  216,    0
  3947,  1000,19200904,  223,    0
  3947,  1000,19200905,  226,    0
  3947,  1000,19200906,  240,    0
  3947,  1000,19200907,  247,    0
  3947,  1000,19200908,  240,    0
  3947,  1000,19200909,  210,    0
  3947,  1000,19200910,  212,    0
  3947,  1000,19200911,  228,    0
  3947,  1000,19200912,  200,    0
  3947,  1000,19200913,  186,    0
  3947,  1000,19200914,  185,    0
  3947,  1000,19200915,  210,    0
  3947,  1000,19200916,  218,    0
  3947,  1000,19200917,  208,    0
  3947,  1000,19200918,  192,    0
  3947,  1000,19200919,  182,    0
  3947,  1000,19200920,  156,    0
  3947,  1000,19200921,  148,    0
  3947,  1000,19200922,  149,    0
  3947,  1000,19200923,  129,    0
  3947,  1000,19200924,  124,    0
  3947,  1000,19200925,  142,    0
