EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station MADRID/GETAFE, SPAIN (STAID: 3948)
Blended and updated with sources:20291 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  3948, 20291,19510101,   41,    0
  3948, 20291,19510102,   64,    0
  3948, 20291,19510103,   41,    0
  3948, 20291,19510104,   26,    0
  3948, 20291,19510105,   53,    0
  3948, 20291,19510106,   43,    0
  3948, 20291,19510107,   60,    0
  3948, 20291,19510108,   60,    0
  3948, 20291,19510109,   55,    0
  3948, 20291,19510110,   53,    0
  3948, 20291,19510111,   58,    0
  3948, 20291,19510112,   55,    0
  3948, 20291,19510113,   58,    0
  3948, 20291,19510114,  100,    0
  3948, 20291,19510115,   95,    0
  3948, 20291,19510116,   94,    0
  3948, 20291,19510117,   75,    0
  3948, 20291,19510118,   70,    0
  3948, 20291,19510119,   75,    0
  3948, 20291,19510120,   76,    0
  3948, 20291,19510121,   72,    0
  3948, 20291,19510122,   45,    0
  3948, 20291,19510123,   60,    0
  3948, 20291,19510124,    2,    0
  3948, 20291,19510125,   33,    0
  3948, 20291,19510126,   25,    0
  3948, 20291,19510127,    2,    0
  3948, 20291,19510128,   22,    0
  3948, 20291,19510129,   25,    0
  3948, 20291,19510130,   18,    0
  3948, 20291,19510131,   44,    0
  3948, 20291,19510201,   57,    0
  3948, 20291,19510202,   42,    0
  3948, 20291,19510203,   21,    0
  3948, 20291,19510204,   46,    0
  3948, 20291,19510205,   38,    0
  3948, 20291,19510206,   10,    0
  3948, 20291,19510207,   63,    0
  3948, 20291,19510208,   87,    0
  3948, 20291,19510209,   48,    0
  3948, 20291,19510210,   33,    0
  3948, 20291,19510211,   23,    0
