EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SALAMANCA OBS., SPAIN (STAID: 3956)
Blended and updated with sources:20417 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  3956, 20417,19700101,   40,    0
  3956, 20417,19700102,  -50,    0
  3956, 20417,19700103,   62,    0
  3956, 20417,19700104,  110,    0
  3956, 20417,19700105,   96,    0
  3956, 20417,19700106,   61,    0
  3956, 20417,19700107,   63,    0
  3956, 20417,19700108,   76,    0
  3956, 20417,19700109,   74,    0
  3956, 20417,19700110,   76,    0
  3956, 20417,19700111,   66,    0
  3956, 20417,19700112,   56,    0
  3956, 20417,19700113,  106,    0
  3956, 20417,19700114,   78,    0
  3956, 20417,19700115,   49,    0
  3956, 20417,19700116,   46,    0
  3956, 20417,19700117,   41,    0
  3956, 20417,19700118,   81,    0
  3956, 20417,19700119,  106,    0
  3956, 20417,19700120,   82,    0
  3956, 20417,19700121,   42,    0
  3956, 20417,19700122,   67,    0
  3956, 20417,19700123,   74,    0
  3956, 20417,19700124,   59,    0
  3956, 20417,19700125,   86,    0
  3956, 20417,19700126,   48,    0
  3956, 20417,19700127,   41,    0
  3956, 20417,19700128,   68,    0
  3956, 20417,19700129,   78,    0
  3956, 20417,19700130,   77,    0
  3956, 20417,19700131,   60,    0
  3956, 20417,19700201,   73,    0
  3956, 20417,19700202,   76,    0
  3956, 20417,19700203,   72,    0
  3956, 20417,19700204,   80,    0
  3956, 20417,19700205,   41,    0
  3956, 20417,19700206,   54,    0
  3956, 20417,19700207,   70,    0
  3956, 20417,19700208,   50,    0
  3956, 20417,19700209,   65,    0
  3956, 20417,19700210,   46,    0
  3956, 20417,19700211,   65,    0
  3956, 20417,19700212,   85,    0
  3956, 20417,19700213,   34,    0
  3956, 20417,19700214,   24,    0
  3956, 20417,19700215,   19,    0
  3956, 20417,19700216,   32,    0
  3956, 20417,19700217,   40,    0
  3956, 20417,19700218,   50,    0
  3956, 20417,19700219,   58,    0
  3956, 20417,19700220,   74,    0
  3956, 20417,19700221,   68,    0
  3956, 20417,19700222,   74,    0
  3956, 20417,19700223,   72,    0
  3956, 20417,19700224,   80,    0
  3956, 20417,19700225,   46,    0
  3956, 20417,19700226,   38,    0
  3956, 20417,19700227,   33,    0
  3956, 20417,19700228,   49,    0
  3956, 20417,19700301,   26,    0
  3956, 20417,19700302,   26,    0
  3956, 20417,19700303,   30,    0
  3956, 20417,19700304,   35,    0
  3956, 20417,19700305,   44,    0
  3956, 20417,19700306,   43,    0
  3956, 20417,19700307,   54,    0
  3956, 20417,19700308,   74,    0
  3956, 20417,19700309,   50,    0
  3956, 20417,19700310,   26,    0
  3956, 20417,19700311,   38,    0
  3956, 20417,19700312,   33,    0
  3956, 20417,19700313,   24,    0
  3956, 20417,19700314,   32,    0
  3956, 20417,19700315,   30,    0
  3956, 20417,19700316,   47,    0
  3956, 20417,19700317,   64,    0
  3956, 20417,19700318,   70,    0
  3956, 20417,19700319,   99,    0
  3956, 20417,19700320,  106,    0
  3956, 20417,19700321,   94,    0
  3956, 20417,19700322,   97,    0
  3956, 20417,19700323,   76,    0
  3956, 20417,19700324,   49,    0
  3956, 20417,19700325,   64,    0
  3956, 20417,19700326,   42,    0
  3956, 20417,19700327,   71,    0
  3956, 20417,19700328,   58,    0
  3956, 20417,19700329,   64,    0
  3956, 20417,19700330,   78,    0
  3956, 20417,19700331,   91,    0
  3956, 20417,19700401,  102,    0
  3956, 20417,19700402,   57,    0
  3956, 20417,19700403,   39,    0
  3956, 20417,19700404,   50,    0
  3956, 20417,19700405,   66,    0
  3956, 20417,19700406,   88,    0
  3956, 20417,19700407,   72,    0
  3956, 20417,19700408,   54,    0
  3956, 20417,19700409,   63,    0
  3956, 20417,19700410,   68,    0
  3956, 20417,19700411,   77,    0
  3956, 20417,19700412,  130,    0
  3956, 20417,19700413,  115,    0
  3956, 20417,19700414,  122,    0
  3956, 20417,19700415,  140,    0
  3956, 20417,19700416,  154,    0
  3956, 20417,19700417,  160,    0
  3956, 20417,19700418,  169,    0
  3956, 20417,19700419,   98,    0
