EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station STA. CRUZ DE TENERIFE, SPAIN (STAID: 3959)
Blended and updated with sources:20453 960020 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  3959, 20453,19310101,  161,    0
  3959, 20453,19310102,  164,    0
  3959, 20453,19310103,  174,    0
  3959, 20453,19310104,  182,    0
  3959, 20453,19310105,  182,    0
  3959, 20453,19310106,  172,    0
  3959, 20453,19310107,  171,    0
  3959, 20453,19310108,  172,    0
  3959, 20453,19310109,  191,    0
  3959, 20453,19310110,  202,    0
  3959, 20453,19310111,  182,    0
  3959, 20453,19310112,  186,    0
  3959, 20453,19310113,  184,    0
  3959, 20453,19310114,  172,    0
  3959, 20453,19310115,  169,    0
  3959, 20453,19310116,  172,    0
  3959, 20453,19310117,  163,    0
  3959, 20453,19310118,  143,    0
  3959, 20453,19310119,  159,    0
  3959, 20453,19310120,  188,    0
  3959, 20453,19310121,  162,    0
  3959, 20453,19310122,  183,    0
  3959, 20453,19310123,  166,    0
  3959, 20453,19310124,  170,    0
  3959, 20453,19310125,  175,    0
  3959, 20453,19310126,  180,    0
  3959, 20453,19310127,  169,    0
  3959, 20453,19310128,  168,    0
  3959, 20453,19310129,  168,    0
  3959, 20453,19310130,  165,    0
  3959, 20453,19310131,  172,    0
  3959, 20453,19310201,  160,    0
  3959, 20453,19310202,  162,    0
  3959, 20453,19310203,  169,    0
  3959, 20453,19310204,  173,    0
  3959, 20453,19310205,  168,    0
  3959, 20453,19310206,  163,    0
  3959, 20453,19310207,  164,    0
  3959, 20453,19310208,  166,    0
  3959, 20453,19310209,  169,    0
  3959, 20453,19310210,  176,    0
  3959, 20453,19310211,  182,    0
  3959, 20453,19310212,  175,    0
