EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FELDBERG/SCHWARZWALD, GERMANY (STAID: 3987)
Blended and updated with sources:20936 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  3987, 20936,19450101, -131,    0
  3987, 20936,19450102, -100,    0
  3987, 20936,19450103,  -58,    0
  3987, 20936,19450104,  -74,    0
  3987, 20936,19450105,  -86,    0
  3987, 20936,19450106, -110,    0
  3987, 20936,19450107, -101,    0
  3987, 20936,19450108, -120,    0
  3987, 20936,19450109, -118,    0
  3987, 20936,19450110, -124,    0
  3987, 20936,19450111, -142,    0
  3987, 20936,19450112,  -82,    0
  3987, 20936,19450113,  -60,    0
  3987, 20936,19450114,  -12,    0
  3987, 20936,19450115,  -24,    0
  3987, 20936,19450116,  -53,    0
  3987, 20936,19450117,  -52,    0
  3987, 20936,19450118,  -51,    0
  3987, 20936,19450119,  -74,    0
  3987, 20936,19450120, -102,    0
  3987, 20936,19450121, -115,    0
  3987, 20936,19450122, -113,    0
  3987, 20936,19450123,  -80,    0
  3987, 20936,19450124,  -69,    0
  3987, 20936,19450125,  -73,    0
  3987, 20936,19450126, -108,    0
  3987, 20936,19450127, -112,    0
  3987, 20936,19450128, -130,    0
  3987, 20936,19450129, -160,    0
  3987, 20936,19450130,  -82,    0
  3987, 20936,19450131,    3,    0
  3987, 20936,19450201,   -6,    0
  3987, 20936,19450202,  -13,    0
  3987, 20936,19450203,  -24,    0
  3987, 20936,19450204,  -24,    0
  3987, 20936,19450205,    7,    0
  3987, 20936,19450206,  -24,    0
  3987, 20936,19450207,    0,    0
  3987, 20936,19450208,  -16,    0
  3987, 20936,19450209,  -44,    0
  3987, 20936,19450210,  -47,    0
  3987, 20936,19450211,  -29,    0
  3987, 20936,19450212,   26,    0
  3987, 20936,19450213,   11,    0
  3987, 20936,19450214,    3,    0
  3987, 20936,19450215,   17,    0
  3987, 20936,19450216,   12,    0
  3987, 20936,19450217,   18,    0
  3987, 20936,19450218,   11,    0
  3987, 20936,19450219,  -14,    0
  3987, 20936,19450220,    0,    0
  3987, 20936,19450221,  -42,    0
  3987, 20936,19450222,  -50,    0
  3987, 20936,19450223,   16,    0
  3987, 20936,19450224,  -31,    0
  3987, 20936,19450225,  -15,    0
  3987, 20936,19450226,    8,    0
  3987, 20936,19450227,   52,    0
  3987, 20936,19450228,   48,    0
  3987, 20936,19450301,-9999,    9
  3987, 20936,19450302,-9999,    9
  3987, 20936,19450303,-9999,    9
  3987, 20936,19450304,-9999,    9
  3987, 20936,19450305,-9999,    9
  3987, 20936,19450306,-9999,    9
  3987, 20936,19450307,-9999,    9
  3987, 20936,19450308,-9999,    9
  3987, 20936,19450309,-9999,    9
  3987, 20936,19450310,-9999,    9
  3987, 20936,19450311,-9999,    9
  3987, 20936,19450312,-9999,    9
  3987, 20936,19450313,-9999,    9
  3987, 20936,19450314,-9999,    9
  3987, 20936,19450315,-9999,    9
  3987, 20936,19450316,-9999,    9
  3987, 20936,19450317,-9999,    9
  3987, 20936,19450318,-9999,    9
  3987, 20936,19450319,-9999,    9
  3987, 20936,19450320,-9999,    9
  3987, 20936,19450321,-9999,    9
  3987, 20936,19450322,-9999,    9
  3987, 20936,19450323,-9999,    9
  3987, 20936,19450324,-9999,    9
  3987, 20936,19450325,-9999,    9
  3987, 20936,19450326,-9999,    9
  3987, 20936,19450327,-9999,    9
  3987, 20936,19450328,-9999,    9
  3987, 20936,19450329,-9999,    9
  3987, 20936,19450330,-9999,    9
  3987, 20936,19450331,-9999,    9
  3987, 20936,19450401,   28,    0
  3987, 20936,19450402,   68,    0
  3987, 20936,19450403,   16,    0
  3987, 20936,19450404,    2,    0
  3987, 20936,19450405,   14,    0
  3987, 20936,19450406,   -1,    0
  3987, 20936,19450407,  -33,    0
  3987, 20936,19450408,  -23,    0
  3987, 20936,19450409,   18,    0
  3987, 20936,19450410,   60,    0
  3987, 20936,19450411,-9999,    9
  3987, 20936,19450412,-9999,    9
  3987, 20936,19450413,-9999,    9
  3987, 20936,19450414,-9999,    9
  3987, 20936,19450415,-9999,    9
  3987, 20936,19450416,-9999,    9
  3987, 20936,19450417,-9999,    9
  3987, 20936,19450418,-9999,    9
  3987, 20936,19450419,-9999,    9
  3987, 20936,19450420,-9999,    9
  3987, 20936,19450421,-9999,    9
  3987, 20936,19450422,-9999,    9
  3987, 20936,19450423,-9999,    9
  3987, 20936,19450424,-9999,    9
  3987, 20936,19450425,-9999,    9
  3987, 20936,19450426,-9999,    9
  3987, 20936,19450427,-9999,    9
  3987, 20936,19450428,-9999,    9
  3987, 20936,19450429,-9999,    9
  3987, 20936,19450430,-9999,    9
  3987, 20936,19450501,-9999,    9
  3987, 20936,19450502,-9999,    9
  3987, 20936,19450503,-9999,    9
  3987, 20936,19450504,-9999,    9
  3987, 20936,19450505,-9999,    9
  3987, 20936,19450506,-9999,    9
  3987, 20936,19450507,-9999,    9
  3987, 20936,19450508,-9999,    9
  3987, 20936,19450509,-9999,    9
  3987, 20936,19450510,-9999,    9
  3987, 20936,19450511,-9999,    9
  3987, 20936,19450512,-9999,    9
  3987, 20936,19450513,-9999,    9
  3987, 20936,19450514,-9999,    9
  3987, 20936,19450515,-9999,    9
  3987, 20936,19450516,-9999,    9
  3987, 20936,19450517,-9999,    9
  3987, 20936,19450518,-9999,    9
  3987, 20936,19450519,-9999,    9
  3987, 20936,19450520,-9999,    9
  3987, 20936,19450521,-9999,    9
  3987, 20936,19450522,-9999,    9
  3987, 20936,19450523,-9999,    9
  3987, 20936,19450524,-9999,    9
  3987, 20936,19450525,-9999,    9
  3987, 20936,19450526,-9999,    9
  3987, 20936,19450527,-9999,    9
  3987, 20936,19450528,-9999,    9
  3987, 20936,19450529,-9999,    9
  3987, 20936,19450530,-9999,    9
  3987, 20936,19450531,-9999,    9
  3987, 20936,19450601,-9999,    9
  3987, 20936,19450602,-9999,    9
  3987, 20936,19450603,-9999,    9
  3987, 20936,19450604,-9999,    9
  3987, 20936,19450605,-9999,    9
  3987, 20936,19450606,-9999,    9
  3987, 20936,19450607,-9999,    9
  3987, 20936,19450608,-9999,    9
  3987, 20936,19450609,-9999,    9
  3987, 20936,19450610,-9999,    9
  3987, 20936,19450611,-9999,    9
  3987, 20936,19450612,-9999,    9
  3987, 20936,19450613,-9999,    9
  3987, 20936,19450614,-9999,    9
  3987, 20936,19450615,-9999,    9
  3987, 20936,19450616,-9999,    9
  3987, 20936,19450617,-9999,    9
  3987, 20936,19450618,-9999,    9
  3987, 20936,19450619,-9999,    9
  3987, 20936,19450620,-9999,    9
  3987, 20936,19450621,-9999,    9
  3987, 20936,19450622,-9999,    9
  3987, 20936,19450623,-9999,    9
  3987, 20936,19450624,-9999,    9
