EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station OBERSTDORF, GERMANY (STAID: 4002)
Blended and updated with sources:21116 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  4002, 21116,19100101,  -27,    0
  4002, 21116,19100102,  -82,    0
  4002, 21116,19100103,  -31,    0
  4002, 21116,19100104,   -6,    0
  4002, 21116,19100105,  -10,    0
  4002, 21116,19100106,   -5,    0
  4002, 21116,19100107,  -34,    0
  4002, 21116,19100108,  -25,    0
  4002, 21116,19100109,  -19,    0
  4002, 21116,19100110,  -15,    0
  4002, 21116,19100111,   29,    0
  4002, 21116,19100112,   -8,    0
  4002, 21116,19100113,  -37,    0
  4002, 21116,19100114,  -32,    0
  4002, 21116,19100115,   39,    0
  4002, 21116,19100116,   32,    0
  4002, 21116,19100117,    3,    0
  4002, 21116,19100118,   42,    0
  4002, 21116,19100119,   14,    0
  4002, 21116,19100120,    7,    0
  4002, 21116,19100121,  -16,    0
  4002, 21116,19100122,  -43,    0
  4002, 21116,19100123,  -64,    0
  4002, 21116,19100124,   16,    0
  4002, 21116,19100125,  -28,    0
  4002, 21116,19100126,  -50,    0
  4002, 21116,19100127,  -40,    0
  4002, 21116,19100128,    8,    0
  4002, 21116,19100129,   11,    0
  4002, 21116,19100130,   -9,    0
  4002, 21116,19100131,  -45,    0
  4002, 21116,19100201, -100,    0
  4002, 21116,19100202, -105,    0
  4002, 21116,19100203,  -51,    0
  4002, 21116,19100204,   -8,    0
  4002, 21116,19100205,  -35,    0
  4002, 21116,19100206,  -14,    0
  4002, 21116,19100207,   33,    0
  4002, 21116,19100208,   30,    0
  4002, 21116,19100209,  -25,    0
  4002, 21116,19100210,  -81,    0
  4002, 21116,19100211,  -73,    0
  4002, 21116,19100212,  -21,    0
  4002, 21116,19100213,  -56,    0
  4002, 21116,19100214,  -82,    0
  4002, 21116,19100215,   -6,    0
  4002, 21116,19100216,  -21,    0
  4002, 21116,19100217,  -36,    0
  4002, 21116,19100218,   16,    0
  4002, 21116,19100219,   66,    0
  4002, 21116,19100220,   69,    0
  4002, 21116,19100221,   40,    0
  4002, 21116,19100222,   41,    0
  4002, 21116,19100223,   29,    0
  4002, 21116,19100224,    6,    0
  4002, 21116,19100225,   55,    0
  4002, 21116,19100226,   49,    0
  4002, 21116,19100227,   -5,    0
  4002, 21116,19100228,  -29,    0
  4002, 21116,19100301,  -20,    0
  4002, 21116,19100302,    3,    0
  4002, 21116,19100303,   -6,    0
  4002, 21116,19100304,  -28,    0
  4002, 21116,19100305,  -29,    0
  4002, 21116,19100306,  -17,    0
  4002, 21116,19100307,   -4,    0
  4002, 21116,19100308,   -4,    0
  4002, 21116,19100309,    4,    0
  4002, 21116,19100310,   30,    0
  4002, 21116,19100311,   45,    0
  4002, 21116,19100312,   48,    0
  4002, 21116,19100313,   38,    0
  4002, 21116,19100314,   38,    0
  4002, 21116,19100315,   57,    0
  4002, 21116,19100316,   40,    0
  4002, 21116,19100317,   39,    0
  4002, 21116,19100318,   37,    0
  4002, 21116,19100319,    5,    0
  4002, 21116,19100320,  -10,    0
  4002, 21116,19100321,   12,    0
  4002, 21116,19100322,   30,    0
  4002, 21116,19100323,   19,    0
  4002, 21116,19100324,   21,    0
  4002, 21116,19100325,   23,    0
  4002, 21116,19100326,   18,    0
  4002, 21116,19100327,   37,    0
  4002, 21116,19100328,   38,    0
  4002, 21116,19100329,   24,    0
  4002, 21116,19100330,  -26,    0
  4002, 21116,19100331,  -43,    0
  4002, 21116,19100401,  -26,    0
  4002, 21116,19100402,    5,    0
  4002, 21116,19100403,   59,    0
  4002, 21116,19100404,   37,    0
  4002, 21116,19100405,   47,    0
  4002, 21116,19100406,   70,    0
  4002, 21116,19100407,   28,    0
  4002, 21116,19100408,   35,    0
  4002, 21116,19100409,   23,    0
  4002, 21116,19100410,    8,    0
  4002, 21116,19100411,   -5,    0
  4002, 21116,19100412,   54,    0
  4002, 21116,19100413,  116,    0
  4002, 21116,19100414,  131,    0
  4002, 21116,19100415,   80,    0
  4002, 21116,19100416,   78,    0
  4002, 21116,19100417,   27,    0
  4002, 21116,19100418,   38,    0
  4002, 21116,19100419,   71,    0
  4002, 21116,19100420,   75,    0
  4002, 21116,19100421,   80,    0
  4002, 21116,19100422,   54,    0
  4002, 21116,19100423,   40,    0
  4002, 21116,19100424,   91,    0
  4002, 21116,19100425,   54,    0
  4002, 21116,19100426,   49,    0
  4002, 21116,19100427,   43,    0
  4002, 21116,19100428,   64,    0
  4002, 21116,19100429,   72,    0
  4002, 21116,19100430,   21,    0
  4002, 21116,19100501,   32,    0
  4002, 21116,19100502,   25,    0
  4002, 21116,19100503,   15,    0
  4002, 21116,19100504,   40,    0
  4002, 21116,19100505,   17,    0
  4002, 21116,19100506,   70,    0
  4002, 21116,19100507,   52,    0
  4002, 21116,19100508,   16,    0
  4002, 21116,19100509,   18,    0
  4002, 21116,19100510,   24,    0
  4002, 21116,19100511,   12,    0
  4002, 21116,19100512,   43,    0
  4002, 21116,19100513,   66,    0
  4002, 21116,19100514,   98,    0
  4002, 21116,19100515,  114,    0
  4002, 21116,19100516,  123,    0
  4002, 21116,19100517,  160,    0
