EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station OHRINGEN, GERMANY (STAID: 4003)
Blended and updated with sources:21128 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  4003, 21128,19470101,  -28,    0
  4003, 21128,19470102,   -6,    0
  4003, 21128,19470103,    1,    0
  4003, 21128,19470104,  -67,    0
  4003, 21128,19470105, -116,    0
  4003, 21128,19470106, -113,    0
  4003, 21128,19470107, -102,    0
  4003, 21128,19470108,  -41,    0
  4003, 21128,19470109,   18,    0
  4003, 21128,19470110,   10,    0
  4003, 21128,19470111,   23,    0
  4003, 21128,19470112,   48,    0
  4003, 21128,19470113,   69,    0
  4003, 21128,19470114,   45,    0
  4003, 21128,19470115,   52,    0
  4003, 21128,19470116,   35,    0
  4003, 21128,19470117,   32,    0
  4003, 21128,19470118,   16,    0
  4003, 21128,19470119,   -4,    0
  4003, 21128,19470120,  -20,    0
  4003, 21128,19470121,  -13,    0
  4003, 21128,19470122,  -48,    0
  4003, 21128,19470123,  -58,    0
  4003, 21128,19470124,  -93,    0
  4003, 21128,19470125, -102,    0
  4003, 21128,19470126,  -98,    0
  4003, 21128,19470127, -138,    0
  4003, 21128,19470128, -117,    0
  4003, 21128,19470129, -115,    0
  4003, 21128,19470130,  -92,    0
  4003, 21128,19470131,  -94,    0
  4003, 21128,19470201,  -82,    0
  4003, 21128,19470202,  -86,    0
  4003, 21128,19470203,  -46,    0
  4003, 21128,19470204,  -46,    0
  4003, 21128,19470205,  -48,    0
  4003, 21128,19470206,  -68,    0
  4003, 21128,19470207,  -72,    0
  4003, 21128,19470208,  -45,    0
  4003, 21128,19470209,    5,    0
  4003, 21128,19470210,    3,    0
  4003, 21128,19470211,   15,    0
  4003, 21128,19470212,   -1,    0
  4003, 21128,19470213,  -34,    0
  4003, 21128,19470214,  -44,    0
  4003, 21128,19470215,  -60,    0
  4003, 21128,19470216,  -70,    0
  4003, 21128,19470217,  -67,    0
  4003, 21128,19470218,  -59,    0
  4003, 21128,19470219,  -52,    0
  4003, 21128,19470220,  -49,    0
  4003, 21128,19470221,    3,    0
  4003, 21128,19470222,   54,    0
  4003, 21128,19470223,  -31,    0
  4003, 21128,19470224,  -50,    0
  4003, 21128,19470225,  -52,    0
  4003, 21128,19470226,  -60,    0
  4003, 21128,19470227,  -20,    0
  4003, 21128,19470228,    9,    0
  4003, 21128,19470301,  -14,    0
  4003, 21128,19470302,  -14,    0
  4003, 21128,19470303,  -24,    0
  4003, 21128,19470304,    9,    0
  4003, 21128,19470305,   49,    0
  4003, 21128,19470306,   72,    0
  4003, 21128,19470307,    8,    0
  4003, 21128,19470308,  -17,    0
  4003, 21128,19470309,    5,    0
  4003, 21128,19470310,   17,    0
  4003, 21128,19470311,   61,    0
  4003, 21128,19470312,    8,    0
  4003, 21128,19470313,   90,    0
  4003, 21128,19470314,   98,    0
  4003, 21128,19470315,    1,    0
  4003, 21128,19470316,   68,    0
  4003, 21128,19470317,  110,    0
  4003, 21128,19470318,  112,    0
  4003, 21128,19470319,   79,    0
  4003, 21128,19470320,   73,    0
  4003, 21128,19470321,  116,    0
  4003, 21128,19470322,  110,    0
  4003, 21128,19470323,   91,    0
  4003, 21128,19470324,   87,    0
  4003, 21128,19470325,   27,    0
  4003, 21128,19470326,   44,    0
  4003, 21128,19470327,   71,    0
  4003, 21128,19470328,  128,    0
  4003, 21128,19470329,  134,    0
  4003, 21128,19470330,   84,    0
  4003, 21128,19470331,   98,    0
  4003, 21128,19470401,   88,    0
  4003, 21128,19470402,   64,    0
  4003, 21128,19470403,   68,    0
  4003, 21128,19470404,   94,    0
  4003, 21128,19470405,   40,    0
  4003, 21128,19470406,   78,    0
  4003, 21128,19470407,  120,    0
  4003, 21128,19470408,  130,    0
  4003, 21128,19470409,   60,    0
  4003, 21128,19470410,   50,    0
  4003, 21128,19470411,   60,    0
  4003, 21128,19470412,   73,    0
  4003, 21128,19470413,  100,    0
  4003, 21128,19470414,  123,    0
  4003, 21128,19470415,  145,    0
  4003, 21128,19470416,  141,    0
  4003, 21128,19470417,  148,    0
  4003, 21128,19470418,  126,    0
  4003, 21128,19470419,  123,    0
  4003, 21128,19470420,  134,    0
  4003, 21128,19470421,  125,    0
  4003, 21128,19470422,  169,    0
  4003, 21128,19470423,  113,    0
  4003, 21128,19470424,  116,    0
  4003, 21128,19470425,  127,    0
  4003, 21128,19470426,  148,    0
  4003, 21128,19470427,  161,    0
  4003, 21128,19470428,  135,    0
  4003, 21128,19470429,  103,    0
  4003, 21128,19470430,  113,    0
  4003, 21128,19470501,   92,    0
  4003, 21128,19470502,  130,    0
  4003, 21128,19470503,  153,    0
  4003, 21128,19470504,  120,    0
  4003, 21128,19470505,   81,    0
  4003, 21128,19470506,  110,    0
  4003, 21128,19470507,  146,    0
  4003, 21128,19470508,  170,    0
  4003, 21128,19470509,  183,    0
  4003, 21128,19470510,  160,    0
  4003, 21128,19470511,  183,    0
  4003, 21128,19470512,  183,    0
  4003, 21128,19470513,  184,    0
  4003, 21128,19470514,  182,    0
  4003, 21128,19470515,  144,    0
  4003, 21128,19470516,   84,    0
  4003, 21128,19470517,  114,    0
  4003, 21128,19470518,  112,    0
  4003, 21128,19470519,  132,    0
  4003, 21128,19470520,  133,    0
  4003, 21128,19470521,  150,    0
  4003, 21128,19470522,  159,    0
  4003, 21128,19470523,  153,    0
  4003, 21128,19470524,  152,    0
  4003, 21128,19470525,  176,    0
  4003, 21128,19470526,  200,    0
  4003, 21128,19470527,  198,    0
  4003, 21128,19470528,  196,    0
  4003, 21128,19470529,  185,    0
  4003, 21128,19470530,  206,    0
  4003, 21128,19470531,  210,    0
  4003, 21128,19470601,  222,    0
  4003, 21128,19470602,  237,    0
  4003, 21128,19470603,  242,    0
  4003, 21128,19470604,  236,    0
  4003, 21128,19470605,  163,    0
  4003, 21128,19470606,  112,    0
  4003, 21128,19470607,  114,    0
  4003, 21128,19470608,  143,    0
  4003, 21128,19470609,  129,    0
  4003, 21128,19470610,  124,    0
  4003, 21128,19470611,  137,    0
  4003, 21128,19470612,  150,    0
  4003, 21128,19470613,  173,    0
  4003, 21128,19470614,  195,    0
  4003, 21128,19470615,  150,    0
  4003, 21128,19470616,  144,    0
  4003, 21128,19470617,  166,    0
  4003, 21128,19470618,  193,    0
  4003, 21128,19470619,  184,    0
  4003, 21128,19470620,  207,    0
  4003, 21128,19470621,  210,    0
  4003, 21128,19470622,  151,    0
  4003, 21128,19470623,  153,    0
  4003, 21128,19470624,  182,    0
  4003, 21128,19470625,  239,    0
  4003, 21128,19470626,  261,    0
  4003, 21128,19470627,  267,    0
  4003, 21128,19470628,  264,    0
  4003, 21128,19470629,  259,    0
  4003, 21128,19470630,  228,    0
  4003, 21128,19470701,  180,    0
  4003, 21128,19470702,  186,    0
  4003, 21128,19470703,  210,    0
  4003, 21128,19470704,  234,    0
  4003, 21128,19470705,  189,    0
  4003, 21128,19470706,  172,    0
  4003, 21128,19470707,  219,    0
  4003, 21128,19470708,  169,    0
  4003, 21128,19470709,  134,    0
  4003, 21128,19470710,  139,    0
  4003, 21128,19470711,  154,    0
  4003, 21128,19470712,  150,    0
  4003, 21128,19470713,  163,    0
  4003, 21128,19470714,  189,    0
  4003, 21128,19470715,  200,    0
  4003, 21128,19470716,  214,    0
  4003, 21128,19470717,  216,    0
  4003, 21128,19470718,  190,    0
  4003, 21128,19470719,  181,    0
  4003, 21128,19470720,  161,    0
  4003, 21128,19470721,  177,    0
  4003, 21128,19470722,  210,    0
  4003, 21128,19470723,  228,    0
  4003, 21128,19470724,  245,    0
  4003, 21128,19470725,  255,    0
  4003, 21128,19470726,  256,    0
  4003, 21128,19470727,  259,    0
  4003, 21128,19470728,  255,    0
  4003, 21128,19470729,  275,    0
  4003, 21128,19470730,  251,    0
  4003, 21128,19470731,  238,    0
  4003, 21128,19470801,  227,    0
  4003, 21128,19470802,  232,    0
  4003, 21128,19470803,  254,    0
  4003, 21128,19470804,  261,    0
  4003, 21128,19470805,  190,    0
  4003, 21128,19470806,  179,    0
  4003, 21128,19470807,  168,    0
  4003, 21128,19470808,  159,    0
  4003, 21128,19470809,  179,    0
  4003, 21128,19470810,  201,    0
  4003, 21128,19470811,  206,    0
  4003, 21128,19470812,  203,    0
  4003, 21128,19470813,  210,    0
  4003, 21128,19470814,  234,    0
  4003, 21128,19470815,  251,    0
  4003, 21128,19470816,  257,    0
  4003, 21128,19470817,  238,    0
  4003, 21128,19470818,  231,    0
  4003, 21128,19470819,  233,    0
  4003, 21128,19470820,  250,    0
  4003, 21128,19470821,  194,    0
  4003, 21128,19470822,  191,    0
  4003, 21128,19470823,  189,    0
  4003, 21128,19470824,  168,    0
  4003, 21128,19470825,  176,    0
  4003, 21128,19470826,  169,    0
  4003, 21128,19470827,  188,    0
  4003, 21128,19470828,  195,    0
  4003, 21128,19470829,  170,    0
  4003, 21128,19470830,  147,    0
  4003, 21128,19470831,  136,    0
  4003, 21128,19470901,  146,    0
  4003, 21128,19470902,  174,    0
  4003, 21128,19470903,  164,    0
  4003, 21128,19470904,  154,    0
  4003, 21128,19470905,  166,    0
  4003, 21128,19470906,  166,    0
  4003, 21128,19470907,  162,    0
  4003, 21128,19470908,  183,    0
  4003, 21128,19470909,  167,    0
  4003, 21128,19470910,  162,    0
  4003, 21128,19470911,  195,    0
  4003, 21128,19470912,  219,    0
  4003, 21128,19470913,  221,    0
  4003, 21128,19470914,  212,    0
  4003, 21128,19470915,  220,    0
  4003, 21128,19470916,  198,    0
  4003, 21128,19470917,  194,    0
  4003, 21128,19470918,  199,    0
  4003, 21128,19470919,  212,    0
  4003, 21128,19470920,  201,    0
  4003, 21128,19470921,  175,    0
  4003, 21128,19470922,  120,    0
  4003, 21128,19470923,  106,    0
  4003, 21128,19470924,   91,    0
  4003, 21128,19470925,  123,    0
  4003, 21128,19470926,  178,    0
  4003, 21128,19470927,  153,    0
  4003, 21128,19470928,  155,    0
  4003, 21128,19470929,  157,    0
  4003, 21128,19470930,   90,    0
  4003, 21128,19471001,   71,    0
  4003, 21128,19471002,   93,    0
  4003, 21128,19471003,   83,    0
  4003, 21128,19471004,   75,    0
  4003, 21128,19471005,  118,    0
  4003, 21128,19471006,  111,    0
  4003, 21128,19471007,  130,    0
  4003, 21128,19471008,  142,    0
  4003, 21128,19471009,  142,    0
  4003, 21128,19471010,  136,    0
  4003, 21128,19471011,  115,    0
  4003, 21128,19471012,  121,    0
  4003, 21128,19471013,  117,    0
  4003, 21128,19471014,  103,    0
  4003, 21128,19471015,  114,    0
  4003, 21128,19471016,   98,    0
  4003, 21128,19471017,  113,    0
  4003, 21128,19471018,   45,    0
  4003, 21128,19471019,   40,    0
  4003, 21128,19471020,   60,    0
  4003, 21128,19471021,   59,    0
  4003, 21128,19471022,   70,    0
  4003, 21128,19471023,   82,    0
  4003, 21128,19471024,   74,    0
  4003, 21128,19471025,   54,    0
  4003, 21128,19471026,    6,    0
  4003, 21128,19471027,   15,    0
  4003, 21128,19471028,   32,    0
  4003, 21128,19471029,   55,    0
  4003, 21128,19471030,   48,    0
  4003, 21128,19471031,   51,    0
  4003, 21128,19471101,   89,    0
  4003, 21128,19471102,  102,    0
  4003, 21128,19471103,   52,    0
  4003, 21128,19471104,   86,    0
  4003, 21128,19471105,   70,    0
  4003, 21128,19471106,   63,    0
  4003, 21128,19471107,   48,    0
  4003, 21128,19471108,   72,    0
  4003, 21128,19471109,   76,    0
  4003, 21128,19471110,   97,    0
  4003, 21128,19471111,  101,    0
  4003, 21128,19471112,  112,    0
  4003, 21128,19471113,   90,    0
  4003, 21128,19471114,   58,    0
  4003, 21128,19471115,   60,    0
  4003, 21128,19471116,   24,    0
  4003, 21128,19471117,   16,    0
  4003, 21128,19471118,    5,    0
  4003, 21128,19471119,   33,    0
  4003, 21128,19471120,   76,    0
  4003, 21128,19471121,  102,    0
  4003, 21128,19471122,  115,    0
  4003, 21128,19471123,  130,    0
  4003, 21128,19471124,   60,    0
  4003, 21128,19471125,   30,    0
  4003, 21128,19471126,    3,    0
  4003, 21128,19471127,  -10,    0
  4003, 21128,19471128,    6,    0
  4003, 21128,19471129,   13,    0
  4003, 21128,19471130,   17,    0
  4003, 21128,19471201,  -15,    0
  4003, 21128,19471202,    0,    0
  4003, 21128,19471203,   15,    0
  4003, 21128,19471204,   13,    0
  4003, 21128,19471205,   32,    0
  4003, 21128,19471206,   22,    0
  4003, 21128,19471207,   29,    0
  4003, 21128,19471208,   36,    0
  4003, 21128,19471209,   34,    0
  4003, 21128,19471210,   13,    0
  4003, 21128,19471211,    7,    0
  4003, 21128,19471212,    2,    0
  4003, 21128,19471213,   28,    0
  4003, 21128,19471214,    2,    0
  4003, 21128,19471215,  -13,    0
  4003, 21128,19471216,  -15,    0
  4003, 21128,19471217,  -18,    0
  4003, 21128,19471218,  -51,    0
  4003, 21128,19471219,  -67,    0
  4003, 21128,19471220,  -17,    0
  4003, 21128,19471221,   11,    0
  4003, 21128,19471222,   43,    0
  4003, 21128,19471223,   59,    0
  4003, 21128,19471224,   48,    0
  4003, 21128,19471225,   42,    0
  4003, 21128,19471226,   39,    0
  4003, 21128,19471227,   65,    0
  4003, 21128,19471228,   80,    0
  4003, 21128,19471229,   17,    0
  4003, 21128,19471230,    8,    0
  4003, 21128,19471231,  -35,    0
  4003, 21128,19480101,    8,    0
  4003, 21128,19480102,   80,    0
  4003, 21128,19480103,  111,    0
  4003, 21128,19480104,   85,    0
  4003, 21128,19480105,   96,    0
  4003, 21128,19480106,   31,    0
  4003, 21128,19480107,  104,    0
  4003, 21128,19480108,   42,    0
  4003, 21128,19480109,   34,    0
  4003, 21128,19480110,   53,    0
  4003, 21128,19480111,   46,    0
  4003, 21128,19480112,   81,    0
  4003, 21128,19480113,  114,    0
  4003, 21128,19480114,   34,    0
  4003, 21128,19480115,   28,    0
  4003, 21128,19480116,   23,    0
  4003, 21128,19480117,   19,    0
  4003, 21128,19480118,   31,    0
  4003, 21128,19480119,   21,    0
  4003, 21128,19480120,    2,    0
  4003, 21128,19480121,  -11,    0
  4003, 21128,19480122,   13,    0
  4003, 21128,19480123,   14,    0
  4003, 21128,19480124,   16,    0
  4003, 21128,19480125,  -12,    0
