EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station EBERSBERG-HALBING, GERMANY (STAID: 4035)
Blended and updated with sources:21512 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  4035, 21512,19780101,  -16,    0
  4035, 21512,19780102,   11,    0
  4035, 21512,19780103,   33,    0
  4035, 21512,19780104,  -18,    0
  4035, 21512,19780105,  -72,    0
  4035, 21512,19780106,  -47,    0
  4035, 21512,19780107,  -44,    0
  4035, 21512,19780108,  -50,    0
  4035, 21512,19780109,  -34,    0
  4035, 21512,19780110,  -12,    0
  4035, 21512,19780111,   -9,    0
  4035, 21512,19780112,    2,    0
  4035, 21512,19780113,   -1,    0
  4035, 21512,19780114,   -7,    0
  4035, 21512,19780115,  -23,    0
  4035, 21512,19780116,  -44,    0
  4035, 21512,19780117,  -31,    0
  4035, 21512,19780118,  -11,    0
  4035, 21512,19780119,  -32,    0
  4035, 21512,19780120,  -32,    0
  4035, 21512,19780121,  -17,    0
  4035, 21512,19780122,  -24,    0
  4035, 21512,19780123,  -16,    0
  4035, 21512,19780124,   28,    0
  4035, 21512,19780125,    8,    0
  4035, 21512,19780126,    8,    0
  4035, 21512,19780127,   -2,    0
  4035, 21512,19780128,   43,    0
  4035, 21512,19780129,    6,    0
  4035, 21512,19780130,   -2,    0
  4035, 21512,19780131,   -7,    0
  4035, 21512,19780201,  -34,    0
  4035, 21512,19780202,   12,    0
  4035, 21512,19780203,  -15,    0
  4035, 21512,19780204,  -57,    0
  4035, 21512,19780205,  -54,    0
  4035, 21512,19780206,  -19,    0
  4035, 21512,19780207,  -39,    0
  4035, 21512,19780208,  -54,    0
  4035, 21512,19780209,  -73,    0
  4035, 21512,19780210,  -67,    0
  4035, 21512,19780211,  -49,    0
  4035, 21512,19780212,  -53,    0
  4035, 21512,19780213,  -50,    0
  4035, 21512,19780214,  -43,    0
  4035, 21512,19780215,  -48,    0
  4035, 21512,19780216,  -51,    0
  4035, 21512,19780217,  -50,    0
  4035, 21512,19780218,  -71,    0
  4035, 21512,19780219,  -75,    0
  4035, 21512,19780220,  -72,    0
  4035, 21512,19780221,  -48,    0
  4035, 21512,19780222,   14,    0
  4035, 21512,19780223,   22,    0
  4035, 21512,19780224,   46,    0
  4035, 21512,19780225,   68,    0
  4035, 21512,19780226,   46,    0
  4035, 21512,19780227,   34,    0
  4035, 21512,19780228,   40,    0
  4035, 21512,19780301,   13,    0
  4035, 21512,19780302,   18,    0
  4035, 21512,19780303,   41,    0
  4035, 21512,19780304,   25,    0
  4035, 21512,19780305,   21,    0
  4035, 21512,19780306,    8,    0
  4035, 21512,19780307,   -7,    0
  4035, 21512,19780308,   30,    0
  4035, 21512,19780309,   40,    0
  4035, 21512,19780310,   49,    0
  4035, 21512,19780311,   63,    0
  4035, 21512,19780312,   45,    0
  4035, 21512,19780313,   43,    0
  4035, 21512,19780314,   55,    0
  4035, 21512,19780315,   58,    0
  4035, 21512,19780316,   47,    0
  4035, 21512,19780317,   14,    0
  4035, 21512,19780318,    1,    0
  4035, 21512,19780319,    6,    0
  4035, 21512,19780320,   24,    0
  4035, 21512,19780321,   14,    0
  4035, 21512,19780322,   -6,    0
  4035, 21512,19780323,   12,    0
  4035, 21512,19780324,    8,    0
  4035, 21512,19780325,   42,    0
  4035, 21512,19780326,    6,    0
  4035, 21512,19780327,   28,    0
  4035, 21512,19780328,   99,    0
  4035, 21512,19780329,  124,    0
  4035, 21512,19780330,  122,    0
  4035, 21512,19780331,  123,    0
  4035, 21512,19780401,   88,    0
  4035, 21512,19780402,   92,    0
  4035, 21512,19780403,   81,    0
  4035, 21512,19780404,   82,    0
  4035, 21512,19780405,   64,    0
  4035, 21512,19780406,   32,    0
  4035, 21512,19780407,   40,    0
  4035, 21512,19780408,   60,    0
  4035, 21512,19780409,   60,    0
  4035, 21512,19780410,   77,    0
  4035, 21512,19780411,   24,    0
  4035, 21512,19780412,   17,    0
  4035, 21512,19780413,   14,    0
  4035, 21512,19780414,   20,    0
  4035, 21512,19780415,   27,    0
  4035, 21512,19780416,   24,    0
  4035, 21512,19780417,   21,    0
  4035, 21512,19780418,   37,    0
  4035, 21512,19780419,   58,    0
  4035, 21512,19780420,   84,    0
  4035, 21512,19780421,   65,    0
  4035, 21512,19780422,   81,    0
  4035, 21512,19780423,   91,    0
  4035, 21512,19780424,   96,    0
  4035, 21512,19780425,  110,    0
  4035, 21512,19780426,  118,    0
  4035, 21512,19780427,  103,    0
  4035, 21512,19780428,   78,    0
  4035, 21512,19780429,  129,    0
  4035, 21512,19780430,  135,    0
  4035, 21512,19780501,  111,    0
  4035, 21512,19780502,   72,    0
  4035, 21512,19780503,   89,    0
  4035, 21512,19780504,  128,    0
  4035, 21512,19780505,  144,    0
  4035, 21512,19780506,  140,    0
  4035, 21512,19780507,   74,    0
  4035, 21512,19780508,   64,    0
  4035, 21512,19780509,   80,    0
  4035, 21512,19780510,   70,    0
  4035, 21512,19780511,   29,    0
  4035, 21512,19780512,   44,    0
  4035, 21512,19780513,   53,    0
  4035, 21512,19780514,   76,    0
  4035, 21512,19780515,   74,    0
  4035, 21512,19780516,   84,    0
  4035, 21512,19780517,   98,    0
  4035, 21512,19780518,  132,    0
  4035, 21512,19780519,  112,    0
  4035, 21512,19780520,  128,    0
  4035, 21512,19780521,  153,    0
  4035, 21512,19780522,  147,    0
  4035, 21512,19780523,   87,    0
  4035, 21512,19780524,   91,    0
  4035, 21512,19780525,  113,    0
  4035, 21512,19780526,  120,    0
  4035, 21512,19780527,  113,    0
  4035, 21512,19780528,  123,    0
  4035, 21512,19780529,  137,    0
  4035, 21512,19780530,  146,    0
  4035, 21512,19780531,  163,    0
