EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station EBRACH, GERMANY (STAID: 4037)
Blended and updated with sources:21536 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  4037, 21536,19630101,  -59,    0
  4037, 21536,19630102,  -39,    0
  4037, 21536,19630103,  -10,    0
  4037, 21536,19630104,   14,    0
  4037, 21536,19630105,    8,    0
  4037, 21536,19630106,    4,    0
  4037, 21536,19630107,  -34,    0
  4037, 21536,19630108,  -44,    0
  4037, 21536,19630109,  -56,    0
  4037, 21536,19630110, -104,    0
  4037, 21536,19630111, -119,    0
  4037, 21536,19630112, -124,    0
  4037, 21536,19630113, -155,    0
  4037, 21536,19630114, -101,    0
  4037, 21536,19630115, -107,    0
  4037, 21536,19630116, -140,    0
  4037, 21536,19630117, -125,    0
  4037, 21536,19630118, -136,    0
  4037, 21536,19630119,  -76,    0
  4037, 21536,19630120,  -89,    0
  4037, 21536,19630121, -114,    0
  4037, 21536,19630122,  -87,    0
  4037, 21536,19630123,  -68,    0
  4037, 21536,19630124,  -96,    0
  4037, 21536,19630125,  -80,    0
  4037, 21536,19630126,  -42,    0
  4037, 21536,19630127,  -36,    0
  4037, 21536,19630128,  -48,    0
  4037, 21536,19630129,  -60,    0
  4037, 21536,19630130, -136,    0
  4037, 21536,19630131, -122,    0
  4037, 21536,19630201, -114,    0
  4037, 21536,19630202, -126,    0
  4037, 21536,19630203, -114,    0
  4037, 21536,19630204, -124,    0
  4037, 21536,19630205, -148,    0
  4037, 21536,19630206, -121,    0
  4037, 21536,19630207,  -62,    0
  4037, 21536,19630208,  -49,    0
  4037, 21536,19630209,  -42,    0
  4037, 21536,19630210,  -46,    0
  4037, 21536,19630211,  -30,    0
  4037, 21536,19630212,  -24,    0
