EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station EISLEBEN-HELFTA, GERMANY (STAID: 4044)
Blended and updated with sources:21620 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  4044, 21620,19470101,  -84,    0
  4044, 21620,19470102,  -36,    0
  4044, 21620,19470103,  -44,    0
  4044, 21620,19470104, -113,    0
  4044, 21620,19470105, -150,    0
  4044, 21620,19470106, -175,    0
  4044, 21620,19470107, -176,    0
  4044, 21620,19470108, -154,    0
  4044, 21620,19470109,  -66,    0
  4044, 21620,19470110,  -67,    0
  4044, 21620,19470111,  -96,    0
  4044, 21620,19470112,   17,    0
  4044, 21620,19470113,   30,    0
  4044, 21620,19470114,   30,    0
  4044, 21620,19470115,   54,    0
  4044, 21620,19470116,   64,    0
  4044, 21620,19470117,   49,    0
  4044, 21620,19470118,   36,    0
  4044, 21620,19470119,   19,    0
  4044, 21620,19470120,  -10,    0
  4044, 21620,19470121,  -22,    0
  4044, 21620,19470122,  -38,    0
  4044, 21620,19470123,  -52,    0
  4044, 21620,19470124,  -49,    0
  4044, 21620,19470125,  -63,    0
  4044, 21620,19470126,  -93,    0
  4044, 21620,19470127, -110,    0
  4044, 21620,19470128, -102,    0
  4044, 21620,19470129, -123,    0
  4044, 21620,19470130, -118,    0
  4044, 21620,19470131, -149,    0
  4044, 21620,19470201, -140,    0
  4044, 21620,19470202, -154,    0
  4044, 21620,19470203,  -80,    0
  4044, 21620,19470204,  -75,    0
  4044, 21620,19470205,  -60,    0
  4044, 21620,19470206,  -87,    0
  4044, 21620,19470207, -133,    0
  4044, 21620,19470208, -154,    0
  4044, 21620,19470209, -115,    0
  4044, 21620,19470210, -108,    0
  4044, 21620,19470211, -111,    0
  4044, 21620,19470212,  -97,    0
  4044, 21620,19470213,  -81,    0
  4044, 21620,19470214,  -71,    0
  4044, 21620,19470215,  -92,    0
  4044, 21620,19470216,  -84,    0
  4044, 21620,19470217, -100,    0
  4044, 21620,19470218, -100,    0
  4044, 21620,19470219,  -99,    0
  4044, 21620,19470220, -109,    0
  4044, 21620,19470221, -102,    0
  4044, 21620,19470222,  -63,    0
  4044, 21620,19470223,  -83,    0
  4044, 21620,19470224, -103,    0
  4044, 21620,19470225,  -89,    0
  4044, 21620,19470226,  -98,    0
  4044, 21620,19470227,  -62,    0
  4044, 21620,19470228,   -6,    0
  4044, 21620,19470301,  -40,    0
  4044, 21620,19470302,  -34,    0
  4044, 21620,19470303,  -66,    0
  4044, 21620,19470304,  -52,    0
  4044, 21620,19470305,  -23,    0
  4044, 21620,19470306,   31,    0
  4044, 21620,19470307,   -9,    0
  4044, 21620,19470308,  -45,    0
  4044, 21620,19470309,  -26,    0
  4044, 21620,19470310,  -46,    0
  4044, 21620,19470311,   16,    0
  4044, 21620,19470312,  -55,    0
  4044, 21620,19470313,    7,    0
