EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ELSDORF/ERFTKREIS, GERMANY (STAID: 4049)
Blended and updated with sources:21680 24296 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  4049, 21680,19470701,  166,    0
  4049, 21680,19470702,  173,    0
  4049, 21680,19470703,  200,    0
  4049, 21680,19470704,  238,    0
  4049, 21680,19470705,  170,    0
  4049, 21680,19470706,  154,    0
  4049, 21680,19470707,  190,    0
  4049, 21680,19470708,  166,    0
  4049, 21680,19470709,  151,    0
  4049, 21680,19470710,  134,    0
  4049, 21680,19470711,  151,    0
  4049, 21680,19470712,  154,    0
  4049, 21680,19470713,  171,    0
  4049, 21680,19470714,  188,    0
  4049, 21680,19470715,  222,    0
  4049, 21680,19470716,  228,    0
  4049, 21680,19470717,  200,    0
  4049, 21680,19470718,  198,    0
  4049, 21680,19470719,  210,    0
  4049, 21680,19470720,  160,    0
  4049, 21680,19470721,  206,    0
  4049, 21680,19470722,  238,    0
  4049, 21680,19470723,  252,    0
  4049, 21680,19470724,  252,    0
  4049, 21680,19470725,  231,    0
  4049, 21680,19470726,  253,    0
  4049, 21680,19470727,  238,    0
  4049, 21680,19470728,  265,    0
  4049, 21680,19470729,  272,    0
  4049, 21680,19470730,  223,    0
  4049, 21680,19470731,  220,    0
  4049, 21680,19470801,  204,    0
  4049, 21680,19470802,  220,    0
  4049, 21680,19470803,  241,    0
  4049, 21680,19470804,  244,    0
  4049, 21680,19470805,  192,    0
  4049, 21680,19470806,  177,    0
  4049, 21680,19470807,  173,    0
  4049, 21680,19470808,  161,    0
  4049, 21680,19470809,  174,    0
  4049, 21680,19470810,  208,    0
  4049, 21680,19470811,  218,    0
  4049, 21680,19470812,  226,    0
  4049, 21680,19470813,  220,    0
  4049, 21680,19470814,  218,    0
  4049, 21680,19470815,  232,    0
  4049, 21680,19470816,  256,    0
  4049, 21680,19470817,  241,    0
  4049, 21680,19470818,  248,    0
  4049, 21680,19470819,  246,    0
  4049, 21680,19470820,  241,    0
  4049, 21680,19470821,  224,    0
  4049, 21680,19470822,  206,    0
  4049, 21680,19470823,  198,    0
  4049, 21680,19470824,  188,    0
  4049, 21680,19470825,  196,    0
  4049, 21680,19470826,  201,    0
  4049, 21680,19470827,  204,    0
  4049, 21680,19470828,  202,    0
  4049, 21680,19470829,  172,    0
  4049, 21680,19470830,  164,    0
  4049, 21680,19470831,  157,    0
  4049, 21680,19470901,  160,    0
  4049, 21680,19470902,  169,    0
  4049, 21680,19470903,  168,    0
  4049, 21680,19470904,  166,    0
  4049, 21680,19470905,  167,    0
  4049, 21680,19470906,  183,    0
  4049, 21680,19470907,  157,    0
  4049, 21680,19470908,  178,    0
  4049, 21680,19470909,  167,    0
  4049, 21680,19470910,  172,    0
  4049, 21680,19470911,  199,    0
  4049, 21680,19470912,  225,    0
  4049, 21680,19470913,  241,    0
  4049, 21680,19470914,  202,    0
  4049, 21680,19470915,  218,    0
  4049, 21680,19470916,  222,    0
  4049, 21680,19470917,  172,    0
  4049, 21680,19470918,  207,    0
  4049, 21680,19470919,  233,    0
  4049, 21680,19470920,  215,    0
  4049, 21680,19470921,  170,    0
  4049, 21680,19470922,  126,    0
  4049, 21680,19470923,  112,    0
  4049, 21680,19470924,  101,    0
  4049, 21680,19470925,  112,    0
  4049, 21680,19470926,  158,    0
  4049, 21680,19470927,  156,    0
  4049, 21680,19470928,  180,    0
  4049, 21680,19470929,  144,    0
  4049, 21680,19470930,  104,    0
  4049, 21680,19471001,   86,    0
  4049, 21680,19471002,  107,    0
  4049, 21680,19471003,   81,    0
  4049, 21680,19471004,   79,    0
  4049, 21680,19471005,   96,    0
  4049, 21680,19471006,  129,    0
  4049, 21680,19471007,  132,    0
  4049, 21680,19471008,  158,    0
  4049, 21680,19471009,  157,    0
  4049, 21680,19471010,  140,    0
  4049, 21680,19471011,  123,    0
  4049, 21680,19471012,  132,    0
  4049, 21680,19471013,  128,    0
  4049, 21680,19471014,  130,    0
  4049, 21680,19471015,  117,    0
  4049, 21680,19471016,  129,    0
  4049, 21680,19471017,  116,    0
  4049, 21680,19471018,   66,    0
  4049, 21680,19471019,   48,    0
  4049, 21680,19471020,   60,    0
  4049, 21680,19471021,   96,    0
  4049, 21680,19471022,  132,    0
  4049, 21680,19471023,  132,    0
  4049, 21680,19471024,   87,    0
  4049, 21680,19471025,   37,    0
  4049, 21680,19471026,   19,    0
  4049, 21680,19471027,   18,    0
  4049, 21680,19471028,    4,    0
  4049, 21680,19471029,   37,    0
  4049, 21680,19471030,   57,    0
  4049, 21680,19471031,   64,    0
  4049, 21680,19471101,   85,    0
  4049, 21680,19471102,   86,    0
  4049, 21680,19471103,   98,    0
  4049, 21680,19471104,   98,    0
  4049, 21680,19471105,   95,    0
  4049, 21680,19471106,   92,    0
  4049, 21680,19471107,   90,    0
  4049, 21680,19471108,   84,    0
  4049, 21680,19471109,  112,    0
  4049, 21680,19471110,  109,    0
  4049, 21680,19471111,  118,    0
  4049, 21680,19471112,  129,    0
  4049, 21680,19471113,   78,    0
  4049, 21680,19471114,   71,    0
  4049, 21680,19471115,   57,    0
  4049, 21680,19471116,   28,    0
  4049, 21680,19471117,   14,    0
  4049, 21680,19471118,   -4,    0
  4049, 21680,19471119,    9,    0
  4049, 21680,19471120,   77,    0
  4049, 21680,19471121,  136,    0
  4049, 21680,19471122,  140,    0
  4049, 21680,19471123,  136,    0
  4049, 21680,19471124,   66,    0
  4049, 21680,19471125,   29,    0
  4049, 21680,19471126,   25,    0
  4049, 21680,19471127,   10,    0
  4049, 21680,19471128,    0,    0
  4049, 21680,19471129,   18,    0
  4049, 21680,19471130,   24,    0
  4049, 21680,19471201,    1,    0
  4049, 21680,19471202,    6,    0
  4049, 21680,19471203,   12,    0
  4049, 21680,19471204,   30,    0
  4049, 21680,19471205,   44,    0
  4049, 21680,19471206,   50,    0
  4049, 21680,19471207,   46,    0
  4049, 21680,19471208,   50,    0
  4049, 21680,19471209,   43,    0
  4049, 21680,19471210,   25,    0
  4049, 21680,19471211,   14,    0
  4049, 21680,19471212,   58,    0
  4049, 21680,19471213,   60,    0
  4049, 21680,19471214,   22,    0
  4049, 21680,19471215,   23,    0
  4049, 21680,19471216,   39,    0
  4049, 21680,19471217,   34,    0
  4049, 21680,19471218,    1,    0
  4049, 21680,19471219,    8,    0
  4049, 21680,19471220,   42,    0
  4049, 21680,19471221,   58,    0
  4049, 21680,19471222,   72,    0
  4049, 21680,19471223,   80,    0
  4049, 21680,19471224,   70,    0
  4049, 21680,19471225,   76,    0
  4049, 21680,19471226,   40,    0
  4049, 21680,19471227,   94,    0
  4049, 21680,19471228,   77,    0
  4049, 21680,19471229,   24,    0
  4049, 21680,19471230,   22,    0
  4049, 21680,19471231,   -2,    0
  4049, 21680,19480101,   -2,    0
  4049, 21680,19480102,  117,    0
  4049, 21680,19480103,  124,    0
  4049, 21680,19480104,  110,    0
  4049, 21680,19480105,   86,    0
  4049, 21680,19480106,   32,    0
  4049, 21680,19480107,  100,    0
  4049, 21680,19480108,   38,    0
  4049, 21680,19480109,   37,    0
  4049, 21680,19480110,   51,    0
  4049, 21680,19480111,   47,    0
  4049, 21680,19480112,   89,    0
  4049, 21680,19480113,  119,    0
  4049, 21680,19480114,   67,    0
  4049, 21680,19480115,   40,    0
  4049, 21680,19480116,   13,    0
  4049, 21680,19480117,   18,    0
  4049, 21680,19480118,   42,    0
  4049, 21680,19480119,   26,    0
  4049, 21680,19480120,    5,    0
  4049, 21680,19480121,   18,    0
  4049, 21680,19480122,   36,    0
  4049, 21680,19480123,   22,    0
  4049, 21680,19480124,   36,    0
  4049, 21680,19480125,   44,    0
  4049, 21680,19480126,   36,    0
  4049, 21680,19480127,   38,    0
  4049, 21680,19480128,   67,    0
  4049, 21680,19480129,   76,    0
  4049, 21680,19480130,  103,    0
  4049, 21680,19480131,  103,    0
  4049, 21680,19480201,   76,    0
  4049, 21680,19480202,  109,    0
  4049, 21680,19480203,  100,    0
  4049, 21680,19480204,   64,    0
  4049, 21680,19480205,   58,    0
  4049, 21680,19480206,   59,    0
  4049, 21680,19480207,   68,    0
  4049, 21680,19480208,  102,    0
  4049, 21680,19480209,   82,    0
  4049, 21680,19480210,   74,    0
  4049, 21680,19480211,   68,    0
  4049, 21680,19480212,   46,    0
  4049, 21680,19480213,   48,    0
  4049, 21680,19480214,   78,    0
  4049, 21680,19480215,   83,    0
  4049, 21680,19480216,   10,    0
  4049, 21680,19480217,   -9,    0
  4049, 21680,19480218,  -20,    0
  4049, 21680,19480219,  -55,    0
  4049, 21680,19480220,  -80,    0
  4049, 21680,19480221,  -53,    0
  4049, 21680,19480222,  -34,    0
  4049, 21680,19480223,  -34,    0
  4049, 21680,19480224,  -35,    0
  4049, 21680,19480225,  -26,    0
  4049, 21680,19480226,    1,    0
  4049, 21680,19480227,   12,    0
  4049, 21680,19480228,   23,    0
  4049, 21680,19480229,   20,    0
  4049, 21680,19480301,   29,    0
  4049, 21680,19480302,   22,    0
  4049, 21680,19480303,   36,    0
  4049, 21680,19480304,   34,    0
  4049, 21680,19480305,   60,    0
  4049, 21680,19480306,   70,    0
  4049, 21680,19480307,   94,    0
  4049, 21680,19480308,  116,    0
  4049, 21680,19480309,  113,    0
  4049, 21680,19480310,   85,    0
  4049, 21680,19480311,   86,    0
  4049, 21680,19480312,   73,    0
  4049, 21680,19480313,   76,    0
  4049, 21680,19480314,   64,    0
  4049, 21680,19480315,   90,    0
  4049, 21680,19480316,   84,    0
  4049, 21680,19480317,   68,    0
  4049, 21680,19480318,   64,    0
  4049, 21680,19480319,   55,    0
  4049, 21680,19480320,   99,    0
  4049, 21680,19480321,   96,    0
  4049, 21680,19480322,   80,    0
  4049, 21680,19480323,   50,    0
  4049, 21680,19480324,   43,    0
  4049, 21680,19480325,   80,    0
  4049, 21680,19480326,   93,    0
  4049, 21680,19480327,   65,    0
  4049, 21680,19480328,   65,    0
  4049, 21680,19480329,   94,    0
  4049, 21680,19480330,  114,    0
  4049, 21680,19480331,  111,    0
  4049, 21680,19480401,   76,    0
  4049, 21680,19480402,  100,    0
  4049, 21680,19480403,   63,    0
  4049, 21680,19480404,   73,    0
  4049, 21680,19480405,   73,    0
  4049, 21680,19480406,   59,    0
  4049, 21680,19480407,   99,    0
  4049, 21680,19480408,   88,    0
  4049, 21680,19480409,   67,    0
  4049, 21680,19480410,   63,    0
  4049, 21680,19480411,   74,    0
  4049, 21680,19480412,   68,    0
