EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station BAD-SOHL ELSTER, GERMANY (STAID: 4051)
Blended and updated with sources:21704 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  4051, 21704,19480601,  133,    0
  4051, 21704,19480602,  109,    0
  4051, 21704,19480603,   84,    0
  4051, 21704,19480604,   91,    0
  4051, 21704,19480605,  116,    0
  4051, 21704,19480606,  137,    0
  4051, 21704,19480607,  185,    0
  4051, 21704,19480608,  178,    0
  4051, 21704,19480609,  196,    0
  4051, 21704,19480610,  208,    0
  4051, 21704,19480611,  211,    0
  4051, 21704,19480612,  195,    0
  4051, 21704,19480613,  176,    0
  4051, 21704,19480614,  178,    0
  4051, 21704,19480615,  202,    0
  4051, 21704,19480616,  166,    0
  4051, 21704,19480617,  167,    0
  4051, 21704,19480618,  154,    0
  4051, 21704,19480619,  132,    0
  4051, 21704,19480620,  111,    0
  4051, 21704,19480621,   93,    0
  4051, 21704,19480622,  100,    0
  4051, 21704,19480623,  102,    0
  4051, 21704,19480624,  118,    0
  4051, 21704,19480625,  104,    0
  4051, 21704,19480626,  134,    0
  4051, 21704,19480627,  150,    0
  4051, 21704,19480628,  113,    0
  4051, 21704,19480629,   92,    0
  4051, 21704,19480630,  107,    0
  4051, 21704,19480701,  100,    0
