EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ESCHAU-HOBBACH, GERMANY (STAID: 4068)
Blended and updated with sources:21908 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  4068, 21908,19911201,   23,    0
  4068, 21908,19911202,  -10,    0
  4068, 21908,19911203,   -1,    0
  4068, 21908,19911204,    3,    0
  4068, 21908,19911205,   -4,    0
  4068, 21908,19911206,  -15,    0
  4068, 21908,19911207,    0,    0
  4068, 21908,19911208,    9,    0
  4068, 21908,19911209,  -30,    0
  4068, 21908,19911210,  -40,    0
  4068, 21908,19911211,  -40,    0
  4068, 21908,19911212,  -58,    0
  4068, 21908,19911213,  -72,    0
  4068, 21908,19911214,  -70,    0
  4068, 21908,19911215,  -85,    0
  4068, 21908,19911216,  -29,    0
  4068, 21908,19911217,    4,    0
  4068, 21908,19911218,   47,    0
  4068, 21908,19911219,   70,    0
  4068, 21908,19911220,   26,    0
  4068, 21908,19911221,   46,    0
  4068, 21908,19911222,  114,    0
  4068, 21908,19911223,   98,    0
  4068, 21908,19911224,   36,    0
  4068, 21908,19911225,   23,    0
  4068, 21908,19911226,   29,    0
  4068, 21908,19911227,   22,    0
  4068, 21908,19911228,  -25,    0
  4068, 21908,19911229,   -9,    0
  4068, 21908,19911230,   13,    0
  4068, 21908,19911231,    8,    0
  4068, 21908,19920101,    6,    0
  4068, 21908,19920102,   -4,    0
  4068, 21908,19920103,    7,    0
  4068, 21908,19920104,   62,    0
  4068, 21908,19920105,   80,    0
  4068, 21908,19920106,   72,    0
  4068, 21908,19920107,   10,    0
  4068, 21908,19920108,   30,    0
  4068, 21908,19920109,   65,    0
  4068, 21908,19920110,   45,    0
  4068, 21908,19920111,   25,    0
  4068, 21908,19920112,   38,    0
  4068, 21908,19920113,   17,    0
  4068, 21908,19920114,   25,    0
  4068, 21908,19920115,   41,    0
  4068, 21908,19920116,   38,    0
  4068, 21908,19920117,   34,    0
  4068, 21908,19920118,   14,    0
  4068, 21908,19920119,   23,    0
  4068, 21908,19920120,  -16,    0
  4068, 21908,19920121,  -44,    0
  4068, 21908,19920122,  -44,    0
  4068, 21908,19920123,  -30,    0
  4068, 21908,19920124,  -30,    0
  4068, 21908,19920125,  -23,    0
  4068, 21908,19920126,  -18,    0
  4068, 21908,19920127,    6,    0
  4068, 21908,19920128,  -15,    0
  4068, 21908,19920129,   -5,    0
  4068, 21908,19920130,  -20,    0
  4068, 21908,19920131,  -26,    0
  4068, 21908,19920201,  -19,    0
  4068, 21908,19920202,  -20,    0
  4068, 21908,19920203,    6,    0
  4068, 21908,19920204,    8,    0
  4068, 21908,19920205,   44,    0
  4068, 21908,19920206,   30,    0
  4068, 21908,19920207,   15,    0
  4068, 21908,19920208,    2,    0
  4068, 21908,19920209,    2,    0
  4068, 21908,19920210,   32,    0
  4068, 21908,19920211,   40,    0
  4068, 21908,19920212,   64,    0
  4068, 21908,19920213,   51,    0
  4068, 21908,19920214,   34,    0
  4068, 21908,19920215,   72,    0
  4068, 21908,19920216,   37,    0
  4068, 21908,19920217,  -22,    0
  4068, 21908,19920218,  -62,    0
  4068, 21908,19920219,  -28,    0
  4068, 21908,19920220,   -2,    0
  4068, 21908,19920221,    8,    0
  4068, 21908,19920222,   30,    0
  4068, 21908,19920223,   46,    0
  4068, 21908,19920224,   30,    0
  4068, 21908,19920225,   32,    0
  4068, 21908,19920226,   36,    0
  4068, 21908,19920227,   39,    0
  4068, 21908,19920228,   38,    0
  4068, 21908,19920229,   48,    0
  4068, 21908,19920301,   47,    0
  4068, 21908,19920302,   17,    0
  4068, 21908,19920303,   61,    0
  4068, 21908,19920304,   51,    0
  4068, 21908,19920305,   68,    0
  4068, 21908,19920306,   55,    0
  4068, 21908,19920307,   34,    0
  4068, 21908,19920308,   32,    0
  4068, 21908,19920309,   41,    0
  4068, 21908,19920310,   57,    0
  4068, 21908,19920311,   51,    0
  4068, 21908,19920312,   66,    0
  4068, 21908,19920313,   60,    0
  4068, 21908,19920314,   33,    0
  4068, 21908,19920315,   18,    0
  4068, 21908,19920316,   24,    0
  4068, 21908,19920317,   64,    0
  4068, 21908,19920318,   53,    0
  4068, 21908,19920319,   52,    0
  4068, 21908,19920320,  104,    0
  4068, 21908,19920321,   90,    0
  4068, 21908,19920322,   56,    0
  4068, 21908,19920323,   43,    0
  4068, 21908,19920324,   38,    0
  4068, 21908,19920325,   24,    0
  4068, 21908,19920326,   39,    0
  4068, 21908,19920327,   42,    0
  4068, 21908,19920328,   24,    0
  4068, 21908,19920329,   26,    0
  4068, 21908,19920330,   54,    0
  4068, 21908,19920331,   87,    0
  4068, 21908,19920401,   42,    0
  4068, 21908,19920402,   60,    0
  4068, 21908,19920403,   60,    0
  4068, 21908,19920404,   64,    0
  4068, 21908,19920405,   40,    0
  4068, 21908,19920406,   40,    0
  4068, 21908,19920407,   54,    0
  4068, 21908,19920408,   86,    0
  4068, 21908,19920409,   62,    0
  4068, 21908,19920410,   77,    0
  4068, 21908,19920411,   86,    0
  4068, 21908,19920412,  113,    0
  4068, 21908,19920413,   88,    0
  4068, 21908,19920414,   96,    0
  4068, 21908,19920415,   80,    0
  4068, 21908,19920416,   28,    0
  4068, 21908,19920417,   44,    0
  4068, 21908,19920418,   74,    0
  4068, 21908,19920419,   84,    0
  4068, 21908,19920420,   44,    0
  4068, 21908,19920421,   77,    0
  4068, 21908,19920422,  104,    0
  4068, 21908,19920423,   84,    0
  4068, 21908,19920424,  110,    0
  4068, 21908,19920425,  144,    0
  4068, 21908,19920426,  150,    0
  4068, 21908,19920427,  110,    0
  4068, 21908,19920428,  106,    0
  4068, 21908,19920429,   74,    0
  4068, 21908,19920430,   80,    0
  4068, 21908,19920501,   89,    0
  4068, 21908,19920502,   86,    0
  4068, 21908,19920503,   84,    0
  4068, 21908,19920504,   95,    0
  4068, 21908,19920505,  120,    0
  4068, 21908,19920506,  118,    0
  4068, 21908,19920507,  138,    0
  4068, 21908,19920508,  144,    0
  4068, 21908,19920509,  116,    0
  4068, 21908,19920510,  119,    0
  4068, 21908,19920511,   86,    0
  4068, 21908,19920512,  104,    0
  4068, 21908,19920513,  149,    0
  4068, 21908,19920514,  182,    0
  4068, 21908,19920515,  188,    0
  4068, 21908,19920516,  178,    0
  4068, 21908,19920517,  130,    0
  4068, 21908,19920518,  134,    0
  4068, 21908,19920519,  153,    0
  4068, 21908,19920520,  156,    0
  4068, 21908,19920521,  165,    0
  4068, 21908,19920522,  160,    0
  4068, 21908,19920523,  175,    0
  4068, 21908,19920524,  181,    0
  4068, 21908,19920525,  176,    0
  4068, 21908,19920526,  170,    0
  4068, 21908,19920527,  158,    0
  4068, 21908,19920528,  160,    0
  4068, 21908,19920529,  174,    0
  4068, 21908,19920530,  178,    0
  4068, 21908,19920531,  190,    0
  4068, 21908,19920601,  195,    0
  4068, 21908,19920602,  189,    0
