EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station EUTIN, GERMANY (STAID: 4077)
Blended and updated with sources:22016 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  4077, 22016,19360101,   70,    0
  4077, 22016,19360102,   52,    0
  4077, 22016,19360103,   46,    0
  4077, 22016,19360104,   42,    0
  4077, 22016,19360105,   15,    0
  4077, 22016,19360106,    6,    0
  4077, 22016,19360107,   33,    0
  4077, 22016,19360108,   43,    0
  4077, 22016,19360109,   57,    0
  4077, 22016,19360110,  102,    0
  4077, 22016,19360111,   36,    0
  4077, 22016,19360112,   27,    0
  4077, 22016,19360113,   12,    0
  4077, 22016,19360114,   13,    0
  4077, 22016,19360115,   -4,    0
  4077, 22016,19360116,  -12,    0
  4077, 22016,19360117,    1,    0
  4077, 22016,19360118,   -5,    0
  4077, 22016,19360119,  -20,    0
  4077, 22016,19360120,    5,    0
  4077, 22016,19360121,   36,    0
  4077, 22016,19360122,   18,    0
  4077, 22016,19360123,   10,    0
  4077, 22016,19360124,   36,    0
  4077, 22016,19360125,   11,    0
  4077, 22016,19360126,   26,    0
  4077, 22016,19360127,   44,    0
  4077, 22016,19360128,   30,    0
  4077, 22016,19360129,   48,    0
  4077, 22016,19360130,   42,    0
  4077, 22016,19360131,   34,    0
  4077, 22016,19360201,   54,    0
  4077, 22016,19360202,   48,    0
  4077, 22016,19360203,   13,    0
  4077, 22016,19360204,   18,    0
  4077, 22016,19360205,    2,    0
  4077, 22016,19360206,  -10,    0
