EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ALTGLASHUTTE, GERMANY (STAID: 4078)
Blended and updated with sources:22028 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  4078, 22028,19531201,-9999,    9
  4078, 22028,19531202,-9999,    9
  4078, 22028,19531203,-9999,    9
  4078, 22028,19531204,-9999,    9
  4078, 22028,19531205,-9999,    9
  4078, 22028,19531206,-9999,    9
  4078, 22028,19531207,-9999,    9
  4078, 22028,19531208,-9999,    9
  4078, 22028,19531209,-9999,    9
  4078, 22028,19531210,-9999,    9
  4078, 22028,19531211,   31,    0
  4078, 22028,19531212,    3,    0
  4078, 22028,19531213,   -8,    0
  4078, 22028,19531214,  -38,    0
  4078, 22028,19531215,  -34,    0
  4078, 22028,19531216,  -30,    0
  4078, 22028,19531217,  -58,    0
  4078, 22028,19531218,  -74,    0
  4078, 22028,19531219,  -60,    0
  4078, 22028,19531220,  -55,    0
  4078, 22028,19531221,  -34,    0
  4078, 22028,19531222,  -41,    0
  4078, 22028,19531223,  -22,    0
  4078, 22028,19531224,   -4,    0
  4078, 22028,19531225,    0,    0
  4078, 22028,19531226,   -6,    0
  4078, 22028,19531227,  -12,    0
  4078, 22028,19531228,  -16,    0
  4078, 22028,19531229,  -28,    0
  4078, 22028,19531230,  -47,    0
  4078, 22028,19531231,  -84,    0
  4078, 22028,19540101,  -98,    0
  4078, 22028,19540102, -108,    0
  4078, 22028,19540103, -108,    0
  4078, 22028,19540104,  -86,    0
  4078, 22028,19540105,  -94,    0
  4078, 22028,19540106,  -88,    0
  4078, 22028,19540107,  -89,    0
  4078, 22028,19540108,  -84,    0
  4078, 22028,19540109,  -84,    0
  4078, 22028,19540110,  -68,    0
  4078, 22028,19540111,  -64,    0
  4078, 22028,19540112,  -16,    0
  4078, 22028,19540113,  -16,    0
  4078, 22028,19540114,  -22,    0
  4078, 22028,19540115,    8,    0
  4078, 22028,19540116,    6,    0
  4078, 22028,19540117,  -11,    0
  4078, 22028,19540118,  -16,    0
  4078, 22028,19540119,  -25,    0
  4078, 22028,19540120,    9,    0
  4078, 22028,19540121,  -15,    0
  4078, 22028,19540122,  -51,    0
  4078, 22028,19540123, -110,    0
  4078, 22028,19540124, -138,    0
  4078, 22028,19540125, -113,    0
  4078, 22028,19540126, -167,    0
  4078, 22028,19540127, -165,    0
  4078, 22028,19540128, -150,    0
  4078, 22028,19540129, -127,    0
  4078, 22028,19540130, -155,    0
  4078, 22028,19540131, -181,    0
  4078, 22028,19540201, -171,    0
  4078, 22028,19540202, -154,    0
  4078, 22028,19540203, -144,    0
  4078, 22028,19540204, -119,    0
  4078, 22028,19540205, -116,    0
  4078, 22028,19540206, -107,    0
  4078, 22028,19540207, -126,    0
  4078, 22028,19540208,  -75,    0
  4078, 22028,19540209,  -34,    0
  4078, 22028,19540210,  -25,    0
  4078, 22028,19540211,    4,    0
  4078, 22028,19540212,  -60,    0
  4078, 22028,19540213,  -41,    0
  4078, 22028,19540214,  -40,    0
  4078, 22028,19540215,  -46,    0
  4078, 22028,19540216,  -52,    0
  4078, 22028,19540217,  -89,    0
  4078, 22028,19540218,  -91,    0
  4078, 22028,19540219, -100,    0
  4078, 22028,19540220, -109,    0
  4078, 22028,19540221, -111,    0
  4078, 22028,19540222, -103,    0
  4078, 22028,19540223,  -75,    0
  4078, 22028,19540224,  -34,    0
  4078, 22028,19540225,   -2,    0
  4078, 22028,19540226,    3,    0
  4078, 22028,19540227,   -4,    0
  4078, 22028,19540228,   -7,    0
  4078, 22028,19540301,  -19,    0
  4078, 22028,19540302,  -10,    0
  4078, 22028,19540303,   25,    0
  4078, 22028,19540304,   15,    0
  4078, 22028,19540305,    2,    0
  4078, 22028,19540306,  -19,    0
  4078, 22028,19540307,  -15,    0
  4078, 22028,19540308,   19,    0
  4078, 22028,19540309,    4,    0
  4078, 22028,19540310,   -2,    0
  4078, 22028,19540311,    4,    0
  4078, 22028,19540312,    2,    0
  4078, 22028,19540313,   12,    0
  4078, 22028,19540314,   22,    0
  4078, 22028,19540315,    7,    0
  4078, 22028,19540316,   37,    0
  4078, 22028,19540317,   30,    0
  4078, 22028,19540318,   21,    0
  4078, 22028,19540319,   54,    0
  4078, 22028,19540320,   42,    0
  4078, 22028,19540321,   46,    0
  4078, 22028,19540322,   58,    0
  4078, 22028,19540323,   40,    0
  4078, 22028,19540324,   32,    0
  4078, 22028,19540325,   24,    0
  4078, 22028,19540326,   37,    0
  4078, 22028,19540327,   -3,    0
  4078, 22028,19540328,    3,    0
  4078, 22028,19540329,   26,    0
  4078, 22028,19540330,   63,    0
  4078, 22028,19540331,   71,    0
  4078, 22028,19540401,   34,    0
  4078, 22028,19540402,   28,    0
  4078, 22028,19540403,   72,    0
  4078, 22028,19540404,   76,    0
  4078, 22028,19540405,   43,    0
  4078, 22028,19540406,    0,    0
  4078, 22028,19540407,    6,    0
  4078, 22028,19540408,   22,    0
  4078, 22028,19540409,    6,    0
  4078, 22028,19540410,  -16,    0
  4078, 22028,19540411,   -3,    0
  4078, 22028,19540412,   35,    0
  4078, 22028,19540413,   39,    0
  4078, 22028,19540414,   35,    0
  4078, 22028,19540415,   17,    0
  4078, 22028,19540416,  -18,    0
  4078, 22028,19540417,  -12,    0
  4078, 22028,19540418,   -5,    0
  4078, 22028,19540419,   -4,    0
  4078, 22028,19540420,   -7,    0
