EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FREYSTADT-OBERNDORF, GERMANY (STAID: 4117)
Blended and updated with sources:22496 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  4117, 22496,20060101,   16,    0
  4117, 22496,20060102,   -7,    0
  4117, 22496,20060103,   -1,    0
  4117, 22496,20060104,   -3,    0
  4117, 22496,20060105,   -1,    0
  4117, 22496,20060106,   11,    0
  4117, 22496,20060107,    8,    0
  4117, 22496,20060108,  -17,    0
  4117, 22496,20060109,  -49,    0
  4117, 22496,20060110,  -55,    0
  4117, 22496,20060111,  -61,    0
  4117, 22496,20060112,  -39,    0
  4117, 22496,20060113,  -34,    0
  4117, 22496,20060114,  -60,    0
  4117, 22496,20060115,  -60,    0
  4117, 22496,20060116,  -85,    0
  4117, 22496,20060117,  -47,    0
  4117, 22496,20060118,   13,    0
  4117, 22496,20060119,    2,    0
  4117, 22496,20060120,    4,    0
  4117, 22496,20060121,   15,    0
  4117, 22496,20060122,  -27,    0
  4117, 22496,20060123,  -96,    0
  4117, 22496,20060124,  -90,    0
  4117, 22496,20060125,  -72,    0
  4117, 22496,20060126,  -56,    0
  4117, 22496,20060127,  -80,    0
  4117, 22496,20060128,  -39,    0
  4117, 22496,20060129,  -38,    0
  4117, 22496,20060130,  -56,    0
  4117, 22496,20060131,  -67,    0
  4117, 22496,20060201,  -61,    0
  4117, 22496,20060202,  -66,    0
  4117, 22496,20060203,  -82,    0
  4117, 22496,20060204,  -32,    0
  4117, 22496,20060205,  -43,    0
  4117, 22496,20060206,  -24,    0
  4117, 22496,20060207,    3,    0
  4117, 22496,20060208,   11,    0
  4117, 22496,20060209,   -4,    0
  4117, 22496,20060210,  -10,    0
  4117, 22496,20060211,  -21,    0
  4117, 22496,20060212,  -31,    0
  4117, 22496,20060213,  -60,    0
  4117, 22496,20060214,  -68,    0
  4117, 22496,20060215,    6,    0
  4117, 22496,20060216,   37,    0
  4117, 22496,20060217,   35,    0
  4117, 22496,20060218,   34,    0
  4117, 22496,20060219,   41,    0
  4117, 22496,20060220,   35,    0
  4117, 22496,20060221,   24,    0
  4117, 22496,20060222,    9,    0
