EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ANNABERG-BUCHHOLZ, GERMANY (STAID: 4153)
Blended and updated with sources:22928 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  4153, 22928,19470101,  -72,    0
  4153, 22928,19470102,  -23,    0
  4153, 22928,19470103,  -56,    0
  4153, 22928,19470104,  -98,    0
  4153, 22928,19470105, -155,    0
  4153, 22928,19470106, -142,    0
  4153, 22928,19470107, -153,    0
  4153, 22928,19470108, -100,    0
  4153, 22928,19470109,  -16,    0
  4153, 22928,19470110,  -14,    0
  4153, 22928,19470111,  -24,    0
  4153, 22928,19470112,   19,    0
  4153, 22928,19470113,   34,    0
  4153, 22928,19470114,   17,    0
  4153, 22928,19470115,   44,    0
  4153, 22928,19470116,   98,    0
  4153, 22928,19470117,   44,    0
  4153, 22928,19470118,   10,    0
  4153, 22928,19470119,  -11,    0
  4153, 22928,19470120,  -40,    0
  4153, 22928,19470121,  -58,    0
  4153, 22928,19470122,  -74,    0
  4153, 22928,19470123,  -96,    0
  4153, 22928,19470124, -110,    0
  4153, 22928,19470125, -122,    0
  4153, 22928,19470126, -130,    0
  4153, 22928,19470127, -144,    0
  4153, 22928,19470128, -130,    0
  4153, 22928,19470129,  -83,    0
  4153, 22928,19470130, -100,    0
  4153, 22928,19470131, -117,    0
  4153, 22928,19470201, -132,    0
  4153, 22928,19470202, -111,    0
  4153, 22928,19470203,  -96,    0
  4153, 22928,19470204,  -72,    0
  4153, 22928,19470205,  -89,    0
  4153, 22928,19470206, -124,    0
  4153, 22928,19470207, -125,    0
  4153, 22928,19470208,  -96,    0
  4153, 22928,19470209,  -70,    0
  4153, 22928,19470210,  -72,    0
  4153, 22928,19470211,  -72,    0
  4153, 22928,19470212,  -23,    0
  4153, 22928,19470213,  -78,    0
  4153, 22928,19470214,  -97,    0
  4153, 22928,19470215, -114,    0
  4153, 22928,19470216,  -88,    0
  4153, 22928,19470217,  -88,    0
  4153, 22928,19470218,  -64,    0
  4153, 22928,19470219,  -71,    0
  4153, 22928,19470220, -121,    0
  4153, 22928,19470221,  -96,    0
  4153, 22928,19470222,   46,    0
  4153, 22928,19470223,  -73,    0
  4153, 22928,19470224,  -96,    0
  4153, 22928,19470225,  -91,    0
  4153, 22928,19470226,  -83,    0
  4153, 22928,19470227,  -60,    0
  4153, 22928,19470228,  -23,    0
  4153, 22928,19470301,  -48,    0
  4153, 22928,19470302,  -43,    0
  4153, 22928,19470303,  -79,    0
  4153, 22928,19470304,  -46,    0
  4153, 22928,19470305,   17,    0
  4153, 22928,19470306,   48,    0
  4153, 22928,19470307,    1,    0
